Name,Address,Postcode,Category,Type,Type 2,Source,lat,long,Description
Swanswell Extended Learning Centre,EXTENDED LEARNING CENTRE BATH STREET,,Education,College,,Coventry City Council (LLPG),#N/A,#N/A,LLPG 9 Jul 2020
Store Gilbert Richards Centre Broadway,STORE GILBERT RICHARDS CENTRE BROADWAY,,Commercial - Retail - Shop / Showroom,Commercial - Retail - Shop / Showroom,,Coventry City Council (LLPG),#N/A,#N/A,LLPG 9 Jul 2020
Coventry Athletics Track ,COVENTRY ATHLETICS TRACK KIRBY CORNER ROAD,CV4 7AL,Leisure,Sports Ground,Manually Updated,Coventry City Council (LLPG),52.38581,-1.564814,LLPG 9 Jul 2020
Pavilion Hawkes Mill Sports Ground,PAVILION HAWKES MILL SPORTS GROUND HAWKES MILL LANE,CV5 9FN,Leisure,Sports Ground,Manually Updated,Coventry City Council (LLPG),52.442402,-1.557804,LLPG 9 Jul 2020
Whitley Academy,MAIN SCHOOL BUILDING WHITLEY ACADEMY ABBEY ROAD,,Education,Secondary School ,,Coventry City Council (LLPG),#N/A,#N/A,LLPG 9 Jul 2020
Stoke Park School,MINIBUS GARAGE STOKE PARK SCHOOL AND COMMUNITY COLLEGE DANE ROAD,,Education,Secondary School ,,Coventry City Council (LLPG),#N/A,#N/A,LLPG 9 Jul 2020
Sidney Stringer Academy Primrose Hill Street Cv1 5Ly,SIDNEY STRINGER ACADEMY PRIMROSE HILL STREET CV1 5LY,CV1 5LY,Education,Secondary School ,,Coventry City Council (LLPG),52.413128,-1.502745,LLPG 9 Jul 2020
Sixth Form Block Bishop Ullathorne Catholic School Leasowes Avenue,SIXTH FORM BLOCK BISHOP ULLATHORNE CATHOLIC SCHOOL LEASOWES AVENUE,,Education,Secondary School ,,Coventry City Council (LLPG),#N/A,#N/A,LLPG 9 Jul 2020
Sixth Form Block Blue Coat Church Of England School Terry Road,SIXTH FORM BLOCK BLUE COAT CHURCH OF ENGLAND SCHOOL TERRY ROAD,,Education,Secondary School ,,Coventry City Council (LLPG),#N/A,#N/A,LLPG 9 Jul 2020
Sixth Form Block Coundon Court School And Community College North Brook Road,SIXTH FORM BLOCK COUNDON COURT SCHOOL AND COMMUNITY COLLEGE NORTH BROOK ROAD,,Education,Secondary School ,,Coventry City Council (LLPG),#N/A,#N/A,LLPG 9 Jul 2020
Sixth Form Block Finham Park School Green Lane,SIXTH FORM BLOCK FINHAM PARK SCHOOL GREEN LANE,,Education,Secondary School ,,Coventry City Council (LLPG),#N/A,#N/A,LLPG 9 Jul 2020
Sixth Form Block Stoke Park School And Community College Dane Road,SIXTH FORM BLOCK STOKE PARK SCHOOL AND COMMUNITY COLLEGE DANE ROAD,,Education,Secondary School ,,Coventry City Council (LLPG),#N/A,#N/A,LLPG 9 Jul 2020
South Block Coundon Court School And Community College North Brook Road,SOUTH BLOCK COUNDON COURT SCHOOL AND COMMUNITY COLLEGE NORTH BROOK ROAD,,Education,Secondary School ,,Coventry City Council (LLPG),#N/A,#N/A,LLPG 9 Jul 2020
South Block Finham Park School Green Lane,SOUTH BLOCK FINHAM PARK SCHOOL GREEN LANE,,Education,Secondary School ,,Coventry City Council (LLPG),#N/A,#N/A,LLPG 9 Jul 2020
Sports Hall And Pool Tile Hill Wood School And Language College Nutbrook Avenue,SPORTS HALL AND POOL TILE HILL WOOD SCHOOL AND LANGUAGE COLLEGE NUTBROOK AVENUE,,Education,Secondary School ,,Coventry City Council (LLPG),#N/A,#N/A,LLPG 9 Jul 2020
Staff Block Tile Hill Wood School And Language College Nutbrook Avenue,STAFF BLOCK TILE HILL WOOD SCHOOL AND LANGUAGE COLLEGE NUTBROOK AVENUE,,Education,Secondary School ,,Coventry City Council (LLPG),#N/A,#N/A,LLPG 9 Jul 2020
Stoke Park School And Community College Dane Road Cv2 4Jw,STOKE PARK SCHOOL AND COMMUNITY COLLEGE DANE ROAD CV2 4JW,CV2 4JW,Education,Secondary School ,,Coventry City Council (LLPG),52.413784,-1.475312,LLPG 9 Jul 2020
Store Baginton Fields School Sedgemoor Road,STORE BAGINTON FIELDS SCHOOL SEDGEMOOR ROAD,,Education,Secondary School ,,Coventry City Council (LLPG),#N/A,#N/A,LLPG 9 Jul 2020
Swimming Pool And Gym Coundon Court School And Community College North Brook Road,SWIMMING POOL AND GYM COUNDON COURT SCHOOL AND COMMUNITY COLLEGE NORTH BROOK ROAD,,Education,Secondary School ,,Coventry City Council (LLPG),#N/A,#N/A,LLPG 9 Jul 2020
Temporary Classroom 10 (Language) Barrs Hill School And Community College Radford Road,TEMPORARY CLASSROOM 10 (LANGUAGE) BARRS HILL SCHOOL AND COMMUNITY COLLEGE RADFORD ROAD,,Education,Secondary School ,,Coventry City Council (LLPG),#N/A,#N/A,LLPG 9 Jul 2020
Temporary Classroom Baginton Fields School Sedgemoor Road,TEMPORARY CLASSROOM BAGINTON FIELDS SCHOOL SEDGEMOOR ROAD,,Education,Secondary School ,,Coventry City Council (LLPG),#N/A,#N/A,LLPG 9 Jul 2020
Temporary Classroom Maths Tile Hill Wood School And Language College Nutbrook Avenue,TEMPORARY CLASSROOM MATHS TILE HILL WOOD SCHOOL AND LANGUAGE COLLEGE NUTBROOK AVENUE,,Education,Secondary School ,,Coventry City Council (LLPG),#N/A,#N/A,LLPG 9 Jul 2020
Temporary Classroom Pe Tile Hill Wood School And Language College Nutbrook Avenue,TEMPORARY CLASSROOM PE TILE HILL WOOD SCHOOL AND LANGUAGE COLLEGE NUTBROOK AVENUE,,Education,Secondary School ,,Coventry City Council (LLPG),#N/A,#N/A,LLPG 9 Jul 2020
Temporary Hut A Stoke Park School And Community College Dane Road,TEMPORARY HUT A STOKE PARK SCHOOL AND COMMUNITY COLLEGE DANE ROAD,,Education,Secondary School ,,Coventry City Council (LLPG),#N/A,#N/A,LLPG 9 Jul 2020
Temporary Hut Barrs Hill School And Community College Radford Road,TEMPORARY HUT BARRS HILL SCHOOL AND COMMUNITY COLLEGE RADFORD ROAD,,Education,Secondary School ,,Coventry City Council (LLPG),#N/A,#N/A,LLPG 9 Jul 2020
The Westwood Academy Mitchell Avenue Cv4 8Dy,THE WESTWOOD ACADEMY MITCHELL AVENUE CV4 8DY,CV4 8DY,Education,Secondary School ,,Coventry City Council (LLPG),52.390521,-1.569926,LLPG 9 Jul 2020
Tile Hill Wood School And Language College Nutbrook Avenue Cv4 9Pw,TILE HILL WOOD SCHOOL AND LANGUAGE COLLEGE NUTBROOK AVENUE CV4 9PW,CV4 9PW,Education,Secondary School ,,Coventry City Council (LLPG),52.403714,-1.589411,LLPG 9 Jul 2020
Walsingham House Cardinal Newman Catholic School And Community College Sandpits Lane,WALSINGHAM HOUSE CARDINAL NEWMAN CATHOLIC SCHOOL AND COMMUNITY COLLEGE SANDPITS LANE,,Education,Secondary School ,,Coventry City Council (LLPG),#N/A,#N/A,LLPG 9 Jul 2020
West Block Ernesford Grange School And Community College Princethorpe Way,WEST BLOCK ERNESFORD GRANGE SCHOOL AND COMMUNITY COLLEGE PRINCETHORPE WAY,,Education,Secondary School ,,Coventry City Council (LLPG),#N/A,#N/A,LLPG 9 Jul 2020
West Block Finham Park School Green Lane,WEST BLOCK FINHAM PARK SCHOOL GREEN LANE,,Education,Secondary School ,,Coventry City Council (LLPG),#N/A,#N/A,LLPG 9 Jul 2020
Whitley Academy Abbey Road Cv3 4Bd,WHITLEY ACADEMY ABBEY ROAD CV3 4BD,CV3 4BD,Education,Secondary School ,,Coventry City Council (LLPG),52.386332,-1.486569,LLPG 9 Jul 2020
Woodlands Academy Broad Lane Cv5 7Ff,WOODLANDS ACADEMY BROAD LANE CV5 7FF,CV5 7FF,Education,Secondary School ,,Coventry City Council (LLPG),52.413467,-1.591109,LLPG 9 Jul 2020
York House Woodlands Academy Broad Lane,YORK HOUSE WOODLANDS ACADEMY BROAD LANE,,Education,Secondary School ,,Coventry City Council (LLPG),#N/A,#N/A,LLPG 9 Jul 2020
Youth Centre Stoke Park School And Community College Dane Road,YOUTH CENTRE STOKE PARK SCHOOL AND COMMUNITY COLLEGE DANE ROAD,,Education,Secondary School ,,Coventry City Council (LLPG),#N/A,#N/A,LLPG 9 Jul 2020
Ruined Cathedral  Coventry Cathedral Church Of St Michael Priory Street,RUINED CATHEDRAL  COVENTRY CATHEDRAL CHURCH OF ST MICHAEL PRIORY STREET,CV1 5FB,Object of Interest - Monument - Castles and historic ruins,Object of Interest - Monument - Castles and historic ruins,Manually Updated,Coventry City Council (LLPG),52.405314,-1.500063,LLPG 9 Jul 2020
Hall Yard Wood ,HALL YARD WOOD FIVEFIELD ROAD,CV7 8JE,Green Space,Forest/Woodlands,Manually Updated,Coventry City Council (LLPG),52.45269,-1.534902,LLPG 9 Jul 2020
Daddleys Wood,DADDLEYS WOOD WALL HILL ROAD,CV7 8AD,Green Space,Forest/Woodlands,Manually Updated,Coventry City Council (LLPG),52.452182,-1.566662,LLPG 9 Jul 2020
Peggy's Park ,PEGGYS PARK BEDLAM LANE,CV6 6AR,Community Spaces,Parks,Manually Updated,Coventry City Council (LLPG),52.442555,-1.496655,LLPG 9 Jul 2020
Severn Trent Reservoir Scots Lane,SEVERN TRENT RESERVOIR SCOTS LANE,CV6 2BZ,Land - Water - Lakes and reservoirs,Land - Water - Lakes and reservoirs,Manually Updated,Coventry City Council (LLPG),52.427692,-1.531047,LLPG 9 Jul 2020
Ernsford Grange Moated Site Princethorpe Way,ERNSFORD GRANGE MOATED SITE PRINCETHORPE WAY,CV3 2QD,Object of Interest - Monument - Castles and historic ruins,Object of Interest - Monument - Castles and historic ruins,Manually Updated,Coventry City Council (LLPG),52.395557,-1.458671,LLPG 9 Jul 2020
Land Adjoining 50 Cromwell Lane,LAND ADJOINING 50 CROMWELL LANE,CV4 8AQ,Land - Unused Land - Vacant or derelict land,Land - Unused Land - Vacant or derelict land,Manually Updated,Coventry City Council (LLPG),52.39147,-1.596676,LLPG 9 Jul 2020
Land Between 16 And 36 Station Street West,LAND BETWEEN 16 AND 36 STATION STREET WEST,CV6 5NA,Land - Unused Land - Vacant or derelict land,Land - Unused Land - Vacant or derelict land,Manually Updated,Coventry City Council (LLPG),52.429785,-1.500235,LLPG 9 Jul 2020
Caludon Castle Ruin Caludon Castle Park Farren Road,CALUDON CASTLE RUIN CALUDON CASTLE PARK FARREN ROAD,CV2 5EH,Object of Interest - Monument - Castles and historic ruins,Object of Interest - Monument - Castles and historic ruins,Manually Updated,Coventry City Council (LLPG),52.418962,-1.453533,LLPG 9 Jul 2020
Wyken Wmc Rugby Sports Ground,WYKEN WMC RUGBY SPORTS GROUND WYKEN CROFT,CV2 3AA,Leisure,Sports Ground,Manually Updated,Coventry City Council (LLPG),52.419692,-1.457912,LLPG 9 Jul 2020
Swanswell Park & Pool ,STONEY STANTON ROAD,CV1 4FF,Community Spaces,Land - Parks - Public Park / Garden,Manually Updated,Coventry City Council (LLPG),52.412353,-1.506635,LLPG 9 Jul 2020
In The Stillness Statue University Of Warwick Science Park Sir William Lyons Road,IN THE STILLNESS STATUE UNIVERSITY OF WARWICK SCIENCE PARK SIR WILLIAM LYONS ROAD,CV4 7EZ,Object of Interest - Monument - Statues,Object of Interest - Monument - Statues,Manually Updated,Coventry City Council (LLPG),52.386998,-1.558103,LLPG 9 Jul 2020
Majestic Kestral Statue Wild Flower Meadow Canley Ford,MAJESTIC KESTRAL STATUE WILD FLOWER MEADOW CANLEY FORD,CV4 7AR,Object of Interest - Monument - Statues,Object of Interest - Monument - Statues,Manually Updated,Coventry City Council (LLPG),52.387867,-1.538419,LLPG 9 Jul 2020
Poppies Memorial Kenilworth Road War Memorial Park Kenilworth Road,POPPIES MEMORIAL KENILWORTH ROAD WAR MEMORIAL PARK KENILWORTH ROAD,CV3 6PT,Object of Interest - Monument - Memorials and market crosses,Object of Interest - Monument - Memorials and market crosses,Manually Updated,Coventry City Council (LLPG),52.395564,-1.520718,LLPG 9 Jul 2020
Stone Sofa Statue Next To Canal Lady Lane,STONE SOFA STATUE NEXT TO CANAL LADY LANE,CV6 6AZ,Object of Interest - Monument - Statues,Object of Interest - Monument - Statues,Manually Updated,Coventry City Council (LLPG),52.450587,-1.487014,LLPG 9 Jul 2020
Garden Of International Friendship Hales Street,GARDEN OF INTERNATIONAL FRIENDSHIP HALES STREET,CV1 1JB,Land - Parks - Public Open Space / Nature Reserve,Land - Parks - Public Open Space / Nature Reserve,Manually Updated,Coventry City Council (LLPG),52.41048,-1.51036,LLPG 9 Jul 2020
Sir Guy And The Dun Cow Memorial Shelton Square Shelton Square,SIR GUY AND THE DUN COW MEMORIAL SHELTON SQUARE SHELTON SQUARE,CV1 1DG,Object of Interest - Monument - Memorials and market crosses,Object of Interest - Monument - Memorials and market crosses,Manually Updated,Coventry City Council (LLPG),52.40618,-1.513695,LLPG 9 Jul 2020
War Memorial Next To The Surgery Courtaulds Way,WAR MEMORIAL NEXT TO THE SURGERY COURTAULDS WAY,CV6 5NX,Object of Interest - Monument - Memorials and market crosses,Object of Interest - Monument - Memorials and market crosses,Manually Updated,Coventry City Council (LLPG),52.424701,-1.503109,LLPG 9 Jul 2020
War Memorial In Front Of Church Aldermans Green Road,WAR MEMORIAL IN FRONT OF CHURCH ALDERMANS GREEN ROAD,CV2 1PP,Object of Interest - Monument - Memorials and market crosses,Object of Interest - Monument - Memorials and market crosses,Manually Updated,Coventry City Council (LLPG),52.445733,-1.473064,LLPG 9 Jul 2020
War Memorial Cross Hall Lane Hall Lane,WAR MEMORIAL CROSS HALL LANE HALL LANE,CV2 2AW,Object of Interest - Monument - Memorials and market crosses,Object of Interest - Monument - Memorials and market crosses,Manually Updated,Coventry City Council (LLPG),52.42403,-1.443315,LLPG 9 Jul 2020
Martyrs Memorial Quinton Road Quinton Road,MARTYRS MEMORIAL QUINTON ROAD QUINTON ROAD,CV3 5FE,Object of Interest - Monument - Memorials and market crosses,Object of Interest - Monument - Memorials and market crosses,Manually Updated,Coventry City Council (LLPG),52.39612,-1.507609,LLPG 9 Jul 2020
Princess Elizabeths Column Memorial Broadgate,PRINCESS ELIZABETHS COLUMN MEMORIAL BROADGATE,CV1 1FS,Object of Interest - Monument - Obelisks/Milestones/standing stones,Object of Interest - Monument - Obelisks/Milestones/standing stones,Manually Updated,Coventry City Council (LLPG),52.407788,-1.511193,LLPG 9 Jul 2020
Godiva And Peeping Tom Memorial Clock Broadgate Broadgate,GODIVA AND PEEPING TOM MEMORIAL CLOCK BROADGATE BROADGATE,CV1 1FS,Object of Interest - Monument - Memorials and market crosses,Object of Interest - Monument - Memorials and market crosses,Manually Updated,Coventry City Council (LLPG),52.407788,-1.511193,LLPG 9 Jul 2020
Three Tuns Mural Bull Yard,THREE TUNS MURAL BULL YARD,CV1 1LH,Object of Interest - Monument - Other Structure,Object of Interest - Monument - Other Structure,Manually Updated,Coventry City Council (LLPG),52.406124,-1.513166,LLPG 9 Jul 2020
The Phoenix Statue Next To The Glasshouse Public House Hertford Street,THE PHOENIX STATUE NEXT TO THE GLASSHOUSE PUBLIC HOUSE HERTFORD STREET,CV1 1LH,Object of Interest - Monument - Statues,Object of Interest - Monument - Statues,Manually Updated,Coventry City Council (LLPG),52.406124,-1.513166,LLPG 9 Jul 2020
Coventry Boy Statue Outside Of Coventry University Priory Street,COVENTRY BOY STATUE OUTSIDE OF COVENTRY UNIVERSITY PRIORY STREET,CV1 5EP,Object of Interest - Monument - Statues,Object of Interest - Monument - Statues,Manually Updated,Coventry City Council (LLPG),52.408844,-1.507785,LLPG 9 Jul 2020
Statue Of Sir Frank Whittle Millennium Place Hales Street,STATUE OF SIR FRANK WHITTLE MILLENNIUM PLACE HALES STREET,CV1 1JD,Object of Interest - Monument - Statues,Object of Interest - Monument - Statues,Manually Updated,Coventry City Council (LLPG),52.410786,-1.510174,LLPG 9 Jul 2020
Pax Statue Canley Garden Cemetery Cannon Hill Road,PAX STATUE CANLEY GARDEN CEMETERY CANNON HILL ROAD,CV4 8GF,Object of Interest - Monument - Statues,Object of Interest - Monument - Statues,Manually Updated,Coventry City Council (LLPG),52.391334,-1.551417,LLPG 9 Jul 2020
The Traveller And The Stream Statue Heath Crescent Heath Crescent,THE TRAVELLER AND THE STREAM STATUE HEATH CRESCENT HEATH CRESCENT,CV2 4PR,Object of Interest - Monument - Statues,Object of Interest - Monument - Statues,Manually Updated,Coventry City Council (LLPG),52.421001,-1.483064,LLPG 9 Jul 2020
Statue Of James Brindley Coventry Canal Basin Coventry Canal,STATUE OF JAMES BRINDLEY COVENTRY CANAL BASIN COVENTRY CANAL,CV1 4LY,Object of Interest - Monument - Statues,Object of Interest - Monument - Statues,Manually Updated,Coventry City Council (LLPG),52.413632,-1.511649,LLPG 9 Jul 2020
Ecce Homo Statue Coventry Cathedral Ruins Bayley Lane,ECCE HOMO STATUE COVENTRY CATHEDRAL RUINS BAYLEY LANE,CV1 5AB,Object of Interest - Monument - Statues,Object of Interest - Monument - Statues,Manually Updated,Coventry City Council (LLPG),52.409186,-1.508002,LLPG 9 Jul 2020
Statue Of Reconciliation Coventry Cathedral Ruins Bayley Lane,STATUE OF RECONCILIATION COVENTRY CATHEDRAL RUINS BAYLEY LANE,CV1 5AB,Object of Interest - Monument - Statues,Object of Interest - Monument - Statues,Manually Updated,Coventry City Council (LLPG),52.409186,-1.508002,LLPG 9 Jul 2020
St Michael And The Devil Statue Coventry Cathedral Priory Street,ST MICHAEL AND THE DEVIL STATUE COVENTRY CATHEDRAL PRIORY STREET,CV1 5AB,Object of Interest - Monument - Statues,Object of Interest - Monument - Statues,Manually Updated,Coventry City Council (LLPG),52.409186,-1.508002,LLPG 9 Jul 2020
Sir Thomas Whites Statue Greyfriars Road,SIR THOMAS WHITES STATUE GREYFRIARS ROAD,CV1 3RY,Object of Interest - Monument - Statues,Object of Interest - Monument - Statues,Manually Updated,Coventry City Council (LLPG),52.405054,-1.515294,LLPG 9 Jul 2020
The James Starley Memorial Statue Greyfriars Green Warwick Row,THE JAMES STARLEY MEMORIAL STATUE GREYFRIARS GREEN WARWICK ROW,CV1 1EE,Object of Interest - Monument - Statues,Object of Interest - Monument - Statues,Manually Updated,Coventry City Council (LLPG),52.405505,-1.513423,LLPG 9 Jul 2020
Statue Of Leofric Outside The Council House Earl Street,STATUE OF LEOFRIC OUTSIDE THE COUNCIL HOUSE EARL STREET,CV1 5RR,Object of Interest - Monument - Statues,Object of Interest - Monument - Statues,Manually Updated,Coventry City Council (LLPG),52.40709,-1.507613,LLPG 9 Jul 2020
Statue Of Lady Godiva Broadgate Broadgate,STATUE OF LADY GODIVA BROADGATE BROADGATE,CV1 1LL,Object of Interest - Monument - Statues,Object of Interest - Monument - Statues,Manually Updated,Coventry City Council (LLPG),52.407755,-1.509767,LLPG 9 Jul 2020
Basillica Statue Outside Law Courts Much Park Street,BASILLICA STATUE OUTSIDE LAW COURTS MUCH PARK STREET,CV1 2SN,Object of Interest - Monument - Statues,Object of Interest - Monument - Statues,Manually Updated,Coventry City Council (LLPG),52.405584,-1.50644,LLPG 9 Jul 2020
Naiad Statue Chauntry Place,NAIAD STATUE CHAUNTRY PLACE,CV1 2GN,Object of Interest - Monument - Statues,Object of Interest - Monument - Statues,Manually Updated,Coventry City Council (LLPG),52.402418,-1.513095,LLPG 9 Jul 2020
Statue Of The Enfolding Peace Garden Jordan Well,STATUE OF THE ENFOLDING PEACE GARDEN JORDAN WELL,CV1 5RW,Object of Interest - Monument - Statues,Object of Interest - Monument - Statues,Manually Updated,Coventry City Council (LLPG),52.406704,-1.505845,LLPG 9 Jul 2020
Statue Of Elisabeth Frink Bronze Jordan Well Jordan Well,STATUE OF ELISABETH FRINK BRONZE JORDAN WELL JORDAN WELL,CV1 5RW,Object of Interest - Monument - Statues,Object of Interest - Monument - Statues,Manually Updated,Coventry City Council (LLPG),52.406704,-1.505845,LLPG 9 Jul 2020
Tile Hill Wood Nature Reserve,TILE HILL WOOD NATURE RESERVE BANNER LANE,CV4 9DR,Green Space,Forest/Woodlands,Manually Updated,Coventry City Council (LLPG),52.404323,-1.560517,LLPG 9 Jul 2020
Limbrick Wood,LIMBRICK WOOD JARDINE CRESCENT,CV4 9PQ,Green Space,Forest/Woodlands,Manually Updated,Coventry City Council (LLPG),52.406653,-1.575781,LLPG 9 Jul 2020
Rock Spinney,ROCK SPINNEY TARQUIN CLOSE,CV3 3BW,Green Space,Forest/Woodlands,Manually Updated,Coventry City Council (LLPG),52.390717,-1.461846,LLPG 9 Jul 2020
Binley Little Wood,BINLEY LITTLE WOOD BREDON AVENUE,CV3 2FD,Green Space,Forest/Woodlands,Manually Updated,Coventry City Council (LLPG),52.39978,-1.446465,LLPG 9 Jul 2020
Coundon Wedge,COUNDON WEDGE COUNDON WEDGE DRIVE,CV5 9DQ,Green Space,Forest/Woodlands,Manually Updated,Coventry City Council (LLPG),52.436495,-1.552548,LLPG 9 Jul 2020
The Alders,THE ALDERS TAMWORTH ROAD,CV6 2JH,Green Space,Forest/Woodlands,Manually Updated,Coventry City Council (LLPG),52.436158,-1.532634,LLPG 9 Jul 2020
Plants Hill Wood,PLANTS HILL WOOD TILE HILL LANE,CV4 9RQ,Green Space,Forest/Woodlands,Manually Updated,Coventry City Council (LLPG),52.399819,-1.588104,LLPG 9 Jul 2020
Pig Wood,PIG WOOD TILE HILL LANE,CV4 9DR,Green Space,Forest/Woodlands,Manually Updated,Coventry City Council (LLPG),52.404323,-1.560517,LLPG 9 Jul 2020
Hawkes End Wood,HAWKES END WOOD WALL HILL ROAD,CV5 9EL,Green Space,Forest/Woodlands,Manually Updated,Coventry City Council (LLPG),52.445568,-1.55534,LLPG 9 Jul 2020
