MSOA,Attribute,Value,%,,MSOA,Attribute,Value,,
E02001958,% agree it is easy to travel around in Coventry by car,,91.58%,,E02006805,% agree it is easy to travel around in Coventry by car,FALSETRUE,,
E02001959,% agree it is easy to travel around in Coventry by car,,90.38%,,E02001958,% agree it is easy to travel around in Coventry by car,FALSETRUE,,
E02001961,% agree it is easy to travel around in Coventry by car,,81.32%,,E02001959,% agree it is easy to travel around in Coventry by car,FALSETRUE,,
E02001962,% agree it is easy to travel around in Coventry by car,,92.68%,,E02001961,% agree it is easy to travel around in Coventry by car,FALSETRUE,,
E02001963,% agree it is easy to travel around in Coventry by car,,93.90%,,E02001962,% agree it is easy to travel around in Coventry by car,FALSETRUE,,
E02001964,% agree it is easy to travel around in Coventry by car,,87.13%,,E02001963,% agree it is easy to travel around in Coventry by car,FALSETRUE,,
E02001965,% agree it is easy to travel around in Coventry by car,,88.73%,,E02001964,% agree it is easy to travel around in Coventry by car,FALSETRUE,,
E02001966,% agree it is easy to travel around in Coventry by car,,95.38%,,E02001965,% agree it is easy to travel around in Coventry by car,FALSETRUE,,
E02001967,% agree it is easy to travel around in Coventry by car,,80.26%,,E02001966,% agree it is easy to travel around in Coventry by car,FALSETRUE,,
E02001968,% agree it is easy to travel around in Coventry by car,,92.19%,,E02001967,% agree it is easy to travel around in Coventry by car,FALSETRUE,,
E02001969,% agree it is easy to travel around in Coventry by car,,84.75%,,E02001968,% agree it is easy to travel around in Coventry by car,FALSETRUE,,
E02001970,% agree it is easy to travel around in Coventry by car,,92.06%,,E02001969,% agree it is easy to travel around in Coventry by car,FALSETRUE,,
E02001971,% agree it is easy to travel around in Coventry by car,,92.59%,,E02001970,% agree it is easy to travel around in Coventry by car,FALSETRUE,,
E02001972,% agree it is easy to travel around in Coventry by car,,87.80%,,E02001971,% agree it is easy to travel around in Coventry by car,FALSETRUE,,
E02001973,% agree it is easy to travel around in Coventry by car,,80.20%,,E02001972,% agree it is easy to travel around in Coventry by car,FALSETRUE,,
E02001974,% agree it is easy to travel around in Coventry by car,,77.68%,,E02001973,% agree it is easy to travel around in Coventry by car,FALSETRUE,,
E02001975,% agree it is easy to travel around in Coventry by car,,80.26%,,E02001974,% agree it is easy to travel around in Coventry by car,FALSETRUE,,
E02001976,% agree it is easy to travel around in Coventry by car,,86.55%,,E02001975,% agree it is easy to travel around in Coventry by car,FALSETRUE,,
E02001977,% agree it is easy to travel around in Coventry by car,,85.71%,,E02001976,% agree it is easy to travel around in Coventry by car,FALSETRUE,,
E02001978,% agree it is easy to travel around in Coventry by car,,78.69%,,E02001977,% agree it is easy to travel around in Coventry by car,FALSETRUE,,
E02001979,% agree it is easy to travel around in Coventry by car,,86.81%,,E02001978,% agree it is easy to travel around in Coventry by car,FALSETRUE,,
E02001980,% agree it is easy to travel around in Coventry by car,,82.50%,,E02001979,% agree it is easy to travel around in Coventry by car,FALSETRUE,,
E02001981,% agree it is easy to travel around in Coventry by car,,81.18%,,E02001980,% agree it is easy to travel around in Coventry by car,FALSETRUE,,
E02001982,% agree it is easy to travel around in Coventry by car,,85.71%,,E02001981,% agree it is easy to travel around in Coventry by car,FALSETRUE,,
E02001983,% agree it is easy to travel around in Coventry by car,,86.96%,,E02001982,% agree it is easy to travel around in Coventry by car,FALSETRUE,,
E02001984,% agree it is easy to travel around in Coventry by car,,89.38%,,E02001983,% agree it is easy to travel around in Coventry by car,FALSETRUE,,
E02001985,% agree it is easy to travel around in Coventry by car,,88.41%,,E02001984,% agree it is easy to travel around in Coventry by car,FALSETRUE,,
E02001986,% agree it is easy to travel around in Coventry by car,,81.63%,,E02001985,% agree it is easy to travel around in Coventry by car,FALSETRUE,,
E02001987,% agree it is easy to travel around in Coventry by car,,92.31%,,E02001986,% agree it is easy to travel around in Coventry by car,FALSETRUE,,
E02001988,% agree it is easy to travel around in Coventry by car,,63.77%,,E02001987,% agree it is easy to travel around in Coventry by car,FALSETRUE,,
E02001989,% agree it is easy to travel around in Coventry by car,,82.98%,,E02001988,% agree it is easy to travel around in Coventry by car,FALSETRUE,,
E02001990,% agree it is easy to travel around in Coventry by car,,85.90%,,E02001989,% agree it is easy to travel around in Coventry by car,FALSETRUE,,
E02001991,% agree it is easy to travel around in Coventry by car,,78.01%,,E02001990,% agree it is easy to travel around in Coventry by car,FALSETRUE,,
E02001992,% agree it is easy to travel around in Coventry by car,,79.55%,,E02001991,% agree it is easy to travel around in Coventry by car,FALSETRUE,,
E02001993,% agree it is easy to travel around in Coventry by car,,85.37%,,E02001992,% agree it is easy to travel around in Coventry by car,FALSETRUE,,
E02001994,% agree it is easy to travel around in Coventry by car,,83.16%,,E02001993,% agree it is easy to travel around in Coventry by car,FALSETRUE,,
E02001995,% agree it is easy to travel around in Coventry by car,,87.60%,,E02001994,% agree it is easy to travel around in Coventry by car,FALSETRUE,,
E02001996,% agree it is easy to travel around in Coventry by car,,93.33%,,E02001995,% agree it is easy to travel around in Coventry by car,FALSETRUE,,
E02001997,% agree it is easy to travel around in Coventry by car,,77.17%,,E02001996,% agree it is easy to travel around in Coventry by car,FALSETRUE,,
E02001998,% agree it is easy to travel around in Coventry by car,,74.65%,,E02001997,% agree it is easy to travel around in Coventry by car,FALSETRUE,,
E02001999,% agree it is easy to travel around in Coventry by car,,85.00%,,E02001998,% agree it is easy to travel around in Coventry by car,FALSETRUE,,
E02006805,% agree it is easy to travel around in Coventry by car,,83.56%,,E02001999,% agree it is easy to travel around in Coventry by car,FALSETRUE,,
E08000026,% agree it is easy to travel around in Coventry by car,,85.11%,,,,,,
E02001958,% agree it is easy to travel around in Coventry by public transport,,70.97%,,E02006805,% agree it is easy to travel around in Coventry by public transport,FALSETRUE,,
E02001959,% agree it is easy to travel around in Coventry by public transport,,73.68%,,E02001958,% agree it is easy to travel around in Coventry by public transport,FALSETRUE,,
E02001961,% agree it is easy to travel around in Coventry by public transport,,82.35%,,E02001959,% agree it is easy to travel around in Coventry by public transport,FALSETRUE,,
E02001962,% agree it is easy to travel around in Coventry by public transport,,48.48%,,E02001961,% agree it is easy to travel around in Coventry by public transport,FALSETRUE,,
E02001963,% agree it is easy to travel around in Coventry by public transport,,67.16%,,E02001962,% agree it is easy to travel around in Coventry by public transport,FALSETRUE,,
E02001964,% agree it is easy to travel around in Coventry by public transport,,75.51%,,E02001963,% agree it is easy to travel around in Coventry by public transport,FALSETRUE,,
E02001965,% agree it is easy to travel around in Coventry by public transport,,67.19%,,E02001964,% agree it is easy to travel around in Coventry by public transport,FALSETRUE,,
E02001966,% agree it is easy to travel around in Coventry by public transport,,96.92%,,E02001965,% agree it is easy to travel around in Coventry by public transport,FALSETRUE,,
E02001967,% agree it is easy to travel around in Coventry by public transport,,53.19%,,E02001966,% agree it is easy to travel around in Coventry by public transport,FALSETRUE,,
E02001968,% agree it is easy to travel around in Coventry by public transport,,85.96%,,E02001967,% agree it is easy to travel around in Coventry by public transport,FALSETRUE,,
E02001969,% agree it is easy to travel around in Coventry by public transport,,79.55%,,E02001968,% agree it is easy to travel around in Coventry by public transport,FALSETRUE,,
E02001970,% agree it is easy to travel around in Coventry by public transport,,78.72%,,E02001969,% agree it is easy to travel around in Coventry by public transport,FALSETRUE,,
E02001971,% agree it is easy to travel around in Coventry by public transport,,64.86%,,E02001970,% agree it is easy to travel around in Coventry by public transport,FALSETRUE,,
E02001972,% agree it is easy to travel around in Coventry by public transport,,73.68%,,E02001971,% agree it is easy to travel around in Coventry by public transport,FALSETRUE,,
E02001973,% agree it is easy to travel around in Coventry by public transport,,78.82%,,E02001972,% agree it is easy to travel around in Coventry by public transport,FALSETRUE,,
E02001974,% agree it is easy to travel around in Coventry by public transport,,62.92%,,E02001973,% agree it is easy to travel around in Coventry by public transport,FALSETRUE,,
E02001975,% agree it is easy to travel around in Coventry by public transport,,78.26%,,E02001974,% agree it is easy to travel around in Coventry by public transport,FALSETRUE,,
E02001976,% agree it is easy to travel around in Coventry by public transport,,80.00%,,E02001975,% agree it is easy to travel around in Coventry by public transport,FALSETRUE,,
E02001977,% agree it is easy to travel around in Coventry by public transport,,64.91%,,E02001976,% agree it is easy to travel around in Coventry by public transport,FALSETRUE,,
E02001978,% agree it is easy to travel around in Coventry by public transport,,64.58%,,E02001977,% agree it is easy to travel around in Coventry by public transport,FALSETRUE,,
E02001979,% agree it is easy to travel around in Coventry by public transport,,72.13%,,E02001978,% agree it is easy to travel around in Coventry by public transport,FALSETRUE,,
E02001980,% agree it is easy to travel around in Coventry by public transport,,61.22%,,E02001979,% agree it is easy to travel around in Coventry by public transport,FALSETRUE,,
E02001981,% agree it is easy to travel around in Coventry by public transport,,89.02%,,E02001980,% agree it is easy to travel around in Coventry by public transport,FALSETRUE,,
E02001982,% agree it is easy to travel around in Coventry by public transport,,70.00%,,E02001981,% agree it is easy to travel around in Coventry by public transport,FALSETRUE,,
E02001983,% agree it is easy to travel around in Coventry by public transport,,72.16%,,E02001982,% agree it is easy to travel around in Coventry by public transport,FALSETRUE,,
E02001984,% agree it is easy to travel around in Coventry by public transport,,66.34%,,E02001983,% agree it is easy to travel around in Coventry by public transport,FALSETRUE,,
E02001985,% agree it is easy to travel around in Coventry by public transport,,73.24%,,E02001984,% agree it is easy to travel around in Coventry by public transport,FALSETRUE,,
E02001986,% agree it is easy to travel around in Coventry by public transport,,75.38%,,E02001985,% agree it is easy to travel around in Coventry by public transport,FALSETRUE,,
E02001987,% agree it is easy to travel around in Coventry by public transport,,94.67%,,E02001986,% agree it is easy to travel around in Coventry by public transport,FALSETRUE,,
E02001988,% agree it is easy to travel around in Coventry by public transport,,78.08%,,E02001987,% agree it is easy to travel around in Coventry by public transport,FALSETRUE,,
E02001989,% agree it is easy to travel around in Coventry by public transport,,71.19%,,E02001988,% agree it is easy to travel around in Coventry by public transport,FALSETRUE,,
E02001990,% agree it is easy to travel around in Coventry by public transport,,72.73%,,E02001989,% agree it is easy to travel around in Coventry by public transport,FALSETRUE,,
E02001991,% agree it is easy to travel around in Coventry by public transport,,63.21%,,E02001990,% agree it is easy to travel around in Coventry by public transport,FALSETRUE,,
E02001992,% agree it is easy to travel around in Coventry by public transport,,85.53%,,E02001991,% agree it is easy to travel around in Coventry by public transport,FALSETRUE,,
E02001993,% agree it is easy to travel around in Coventry by public transport,,70.13%,,E02001992,% agree it is easy to travel around in Coventry by public transport,FALSETRUE,,
E02001994,% agree it is easy to travel around in Coventry by public transport,,56.25%,,E02001993,% agree it is easy to travel around in Coventry by public transport,FALSETRUE,,
E02001995,% agree it is easy to travel around in Coventry by public transport,,75.68%,,E02001994,% agree it is easy to travel around in Coventry by public transport,FALSETRUE,,
E02001996,% agree it is easy to travel around in Coventry by public transport,,80.30%,,E02001995,% agree it is easy to travel around in Coventry by public transport,FALSETRUE,,
E02001997,% agree it is easy to travel around in Coventry by public transport,,68.75%,,E02001996,% agree it is easy to travel around in Coventry by public transport,FALSETRUE,,
E02001998,% agree it is easy to travel around in Coventry by public transport,,69.81%,,E02001997,% agree it is easy to travel around in Coventry by public transport,FALSETRUE,,
E02001999,% agree it is easy to travel around in Coventry by public transport,,84.00%,,E02001998,% agree it is easy to travel around in Coventry by public transport,FALSETRUE,,
E02006805,% agree it is easy to travel around in Coventry by public transport,,57.89%,,E02001999,% agree it is easy to travel around in Coventry by public transport,FALSETRUE,,
E08000026,% agree it is easy to travel around in Coventry by public transport,,72.75%,,,,,,
E02001958,% agree it is easy to travel around in Coventry on foot,,97.37%,,E02006805,% agree it is easy to travel around in Coventry on foot,FALSETRUE,,
E02001959,% agree it is easy to travel around in Coventry on foot,,83.67%,,E02001958,% agree it is easy to travel around in Coventry on foot,FALSETRUE,,
E02001961,% agree it is easy to travel around in Coventry on foot,,68.04%,,E02001959,% agree it is easy to travel around in Coventry on foot,FALSETRUE,,
E02001962,% agree it is easy to travel around in Coventry on foot,,72.09%,,E02001961,% agree it is easy to travel around in Coventry on foot,FALSETRUE,,
E02001963,% agree it is easy to travel around in Coventry on foot,,87.50%,,E02001962,% agree it is easy to travel around in Coventry on foot,FALSETRUE,,
E02001964,% agree it is easy to travel around in Coventry on foot,,68.32%,,E02001963,% agree it is easy to travel around in Coventry on foot,FALSETRUE,,
E02001965,% agree it is easy to travel around in Coventry on foot,,80.00%,,E02001964,% agree it is easy to travel around in Coventry on foot,FALSETRUE,,
E02001966,% agree it is easy to travel around in Coventry on foot,,78.46%,,E02001965,% agree it is easy to travel around in Coventry on foot,FALSETRUE,,
E02001967,% agree it is easy to travel around in Coventry on foot,,92.54%,,E02001966,% agree it is easy to travel around in Coventry on foot,FALSETRUE,,
E02001968,% agree it is easy to travel around in Coventry on foot,,75.38%,,E02001967,% agree it is easy to travel around in Coventry on foot,FALSETRUE,,
E02001969,% agree it is easy to travel around in Coventry on foot,,83.02%,,E02001968,% agree it is easy to travel around in Coventry on foot,FALSETRUE,,
E02001970,% agree it is easy to travel around in Coventry on foot,,98.28%,,E02001969,% agree it is easy to travel around in Coventry on foot,FALSETRUE,,
E02001971,% agree it is easy to travel around in Coventry on foot,,92.45%,,E02001970,% agree it is easy to travel around in Coventry on foot,FALSETRUE,,
E02001972,% agree it is easy to travel around in Coventry on foot,,80.72%,,E02001971,% agree it is easy to travel around in Coventry on foot,FALSETRUE,,
E02001973,% agree it is easy to travel around in Coventry on foot,,73.40%,,E02001972,% agree it is easy to travel around in Coventry on foot,FALSETRUE,,
E02001974,% agree it is easy to travel around in Coventry on foot,,85.59%,,E02001973,% agree it is easy to travel around in Coventry on foot,FALSETRUE,,
E02001975,% agree it is easy to travel around in Coventry on foot,,85.51%,,E02001974,% agree it is easy to travel around in Coventry on foot,FALSETRUE,,
E02001976,% agree it is easy to travel around in Coventry on foot,,81.00%,,E02001975,% agree it is easy to travel around in Coventry on foot,FALSETRUE,,
E02001977,% agree it is easy to travel around in Coventry on foot,,91.86%,,E02001976,% agree it is easy to travel around in Coventry on foot,FALSETRUE,,
E02001978,% agree it is easy to travel around in Coventry on foot,,80.70%,,E02001977,% agree it is easy to travel around in Coventry on foot,FALSETRUE,,
E02001979,% agree it is easy to travel around in Coventry on foot,,87.21%,,E02001978,% agree it is easy to travel around in Coventry on foot,FALSETRUE,,
E02001980,% agree it is easy to travel around in Coventry on foot,,71.01%,,E02001979,% agree it is easy to travel around in Coventry on foot,FALSETRUE,,
E02001981,% agree it is easy to travel around in Coventry on foot,,83.33%,,E02001980,% agree it is easy to travel around in Coventry on foot,FALSETRUE,,
E02001982,% agree it is easy to travel around in Coventry on foot,,79.82%,,E02001981,% agree it is easy to travel around in Coventry on foot,FALSETRUE,,
E02001983,% agree it is easy to travel around in Coventry on foot,,83.93%,,E02001982,% agree it is easy to travel around in Coventry on foot,FALSETRUE,,
E02001984,% agree it is easy to travel around in Coventry on foot,,88.18%,,E02001983,% agree it is easy to travel around in Coventry on foot,FALSETRUE,,
E02001985,% agree it is easy to travel around in Coventry on foot,,81.08%,,E02001984,% agree it is easy to travel around in Coventry on foot,FALSETRUE,,
E02001986,% agree it is easy to travel around in Coventry on foot,,74.71%,,E02001985,% agree it is easy to travel around in Coventry on foot,FALSETRUE,,
E02001987,% agree it is easy to travel around in Coventry on foot,,88.24%,,E02001986,% agree it is easy to travel around in Coventry on foot,FALSETRUE,,
E02001988,% agree it is easy to travel around in Coventry on foot,,97.30%,,E02001987,% agree it is easy to travel around in Coventry on foot,FALSETRUE,,
E02001989,% agree it is easy to travel around in Coventry on foot,,88.51%,,E02001988,% agree it is easy to travel around in Coventry on foot,FALSETRUE,,
E02001990,% agree it is easy to travel around in Coventry on foot,,86.96%,,E02001989,% agree it is easy to travel around in Coventry on foot,FALSETRUE,,
E02001991,% agree it is easy to travel around in Coventry on foot,,67.13%,,E02001990,% agree it is easy to travel around in Coventry on foot,FALSETRUE,,
E02001992,% agree it is easy to travel around in Coventry on foot,,82.35%,,E02001991,% agree it is easy to travel around in Coventry on foot,FALSETRUE,,
E02001993,% agree it is easy to travel around in Coventry on foot,,64.84%,,E02001992,% agree it is easy to travel around in Coventry on foot,FALSETRUE,,
E02001994,% agree it is easy to travel around in Coventry on foot,,78.72%,,E02001993,% agree it is easy to travel around in Coventry on foot,FALSETRUE,,
E02001995,% agree it is easy to travel around in Coventry on foot,,72.65%,,E02001994,% agree it is easy to travel around in Coventry on foot,FALSETRUE,,
E02001996,% agree it is easy to travel around in Coventry on foot,,88.89%,,E02001995,% agree it is easy to travel around in Coventry on foot,FALSETRUE,,
E02001997,% agree it is easy to travel around in Coventry on foot,,87.50%,,E02001996,% agree it is easy to travel around in Coventry on foot,FALSETRUE,,
E02001998,% agree it is easy to travel around in Coventry on foot,,90.32%,,E02001997,% agree it is easy to travel around in Coventry on foot,FALSETRUE,,
E02001999,% agree it is easy to travel around in Coventry on foot,,83.61%,,E02001998,% agree it is easy to travel around in Coventry on foot,FALSETRUE,,
E02006805,% agree it is easy to travel around in Coventry on foot,,80.60%,,E02001999,% agree it is easy to travel around in Coventry on foot,FALSETRUE,,
E08000026,% agree it is easy to travel around in Coventry on foot,,82.45%,,,,,,
E02001958,% agree it is important to eat healty food,,92.71%,,E02006805,% agree it is important to eat healty food,FALSETRUE,,
E02001959,% agree it is important to eat healty food,,93.10%,,E02001958,% agree it is important to eat healty food,FALSETRUE,,
E02001961,% agree it is important to eat healty food,,87.27%,,E02001959,% agree it is important to eat healty food,FALSETRUE,,
E02001962,% agree it is important to eat healty food,,100.00%,,E02001961,% agree it is important to eat healty food,FALSETRUE,,
E02001963,% agree it is important to eat healty food,,98.82%,,E02001962,% agree it is important to eat healty food,FALSETRUE,,
E02001964,% agree it is important to eat healty food,,89.91%,,E02001963,% agree it is important to eat healty food,FALSETRUE,,
E02001965,% agree it is important to eat healty food,,90.67%,,E02001964,% agree it is important to eat healty food,FALSETRUE,,
E02001966,% agree it is important to eat healty food,,71.43%,,E02001965,% agree it is important to eat healty food,FALSETRUE,,
E02001967,% agree it is important to eat healty food,,97.40%,,E02001966,% agree it is important to eat healty food,FALSETRUE,,
E02001968,% agree it is important to eat healty food,,100.00%,,E02001967,% agree it is important to eat healty food,FALSETRUE,,
E02001969,% agree it is important to eat healty food,,77.78%,,E02001968,% agree it is important to eat healty food,FALSETRUE,,
E02001970,% agree it is important to eat healty food,,90.77%,,E02001969,% agree it is important to eat healty food,FALSETRUE,,
