GeographyID,MetricType,Value,Recent Trend,Compared to England value or percentiles,Compared to CCGs (since 4/19) value or percentiles
E02006528,"Emergency hospital admissions for hip fracture in 65+
lower confidence limit",118.2,,,
E02006529,"Emergency hospital admissions for hip fracture in 65+
lower confidence limit",85.2,,,
E02006530,"Emergency hospital admissions for hip fracture in 65+
lower confidence limit",36.5,,,
E02006531,"Emergency hospital admissions for hip fracture in 65+
lower confidence limit",62.2,,,
E02006532,"Emergency hospital admissions for hip fracture in 65+
lower confidence limit",56.4,,,
E02006533,"Emergency hospital admissions for hip fracture in 65+
lower confidence limit",72.6,,,
E02001958,Emergency hospital admissions for hip fracture in 65+,102.6,,,
E02001959,Emergency hospital admissions for hip fracture in 65+,68.7,,,
E02001961,Emergency hospital admissions for hip fracture in 65+,155.6,,,
E02001962,Emergency hospital admissions for hip fracture in 65+,113.7,,,
E02001963,Emergency hospital admissions for hip fracture in 65+,117.1,,,
E02001964,Emergency hospital admissions for hip fracture in 65+,102.9,,,
E02001965,Emergency hospital admissions for hip fracture in 65+,87.3,,,
E02001966,Emergency hospital admissions for hip fracture in 65+,71.4,,,
E02001967,Emergency hospital admissions for hip fracture in 65+,126.7,,,
E02001968,Emergency hospital admissions for hip fracture in 65+,103.4,,,
E02001969,Emergency hospital admissions for hip fracture in 65+,181.4,,,
E02001970,Emergency hospital admissions for hip fracture in 65+,90.7,,,
E02001971,Emergency hospital admissions for hip fracture in 65+,85.1,,,
E02001972,Emergency hospital admissions for hip fracture in 65+,93.2,,,
E02001973,Emergency hospital admissions for hip fracture in 65+,98.1,,,
E02001974,Emergency hospital admissions for hip fracture in 65+,101.8,,,
E02001975,Emergency hospital admissions for hip fracture in 65+,80.3,,,
E02001976,Emergency hospital admissions for hip fracture in 65+,93.8,,,
E02001977,Emergency hospital admissions for hip fracture in 65+,125.8,,,
E02001978,Emergency hospital admissions for hip fracture in 65+,104.5,,,
E02001979,Emergency hospital admissions for hip fracture in 65+,94.1,,,
E02001980,Emergency hospital admissions for hip fracture in 65+,84,,,
E02001981,Emergency hospital admissions for hip fracture in 65+,104.5,,,
E02001982,Emergency hospital admissions for hip fracture in 65+,93.8,,,
E02001983,Emergency hospital admissions for hip fracture in 65+,106.1,,,
E02001984,Emergency hospital admissions for hip fracture in 65+,106,,,
E02001985,Emergency hospital admissions for hip fracture in 65+,77.4,,,
E02001986,Emergency hospital admissions for hip fracture in 65+,88.2,,,
E02001987,Emergency hospital admissions for hip fracture in 65+,95.2,,,
E02001988,Emergency hospital admissions for hip fracture in 65+,149.1,,,
E02001989,Emergency hospital admissions for hip fracture in 65+,65.7,,,
E02001990,Emergency hospital admissions for hip fracture in 65+,105.7,,,
E02001991,Emergency hospital admissions for hip fracture in 65+,92.3,,,
E02001992,Emergency hospital admissions for hip fracture in 65+,116.1,,,
E02001993,Emergency hospital admissions for hip fracture in 65+,116.3,,,
E02001994,Emergency hospital admissions for hip fracture in 65+,95.8,,,
E02001995,Emergency hospital admissions for hip fracture in 65+,133,,,
E02001996,Emergency hospital admissions for hip fracture in 65+,151.7,,,
E02001997,Emergency hospital admissions for hip fracture in 65+,79.9,,,
E02001998,Emergency hospital admissions for hip fracture in 65+,86.9,,,
E02001999,Emergency hospital admissions for hip fracture in 65+,82.7,,,
E02006468,Emergency hospital admissions for hip fracture in 65+,117.5,,,
E02006469,Emergency hospital admissions for hip fracture in 65+,138.8,,,
E02006470,Emergency hospital admissions for hip fracture in 65+,105.1,,,
E02006471,Emergency hospital admissions for hip fracture in 65+,105.4,,,
E02006472,Emergency hospital admissions for hip fracture in 65+,110.9,,,
E02006473,Emergency hospital admissions for hip fracture in 65+,112.4,,,
E02006474,Emergency hospital admissions for hip fracture in 65+,142.5,,,
E02006475,Emergency hospital admissions for hip fracture in 65+,60.6,,,
E02006476,Emergency hospital admissions for hip fracture in 65+,105,,,
E02006477,Emergency hospital admissions for hip fracture in 65+,83.3,,,
E02006478,Emergency hospital admissions for hip fracture in 65+,58.1,,,
E02006479,Emergency hospital admissions for hip fracture in 65+,73.9,,,
E02006480,Emergency hospital admissions for hip fracture in 65+,90.4,,,
E02006481,Emergency hospital admissions for hip fracture in 65+,174.1,,,
E02006482,Emergency hospital admissions for hip fracture in 65+,73.6,,,
E02006483,Emergency hospital admissions for hip fracture in 65+,165.3,,,
E02006484,Emergency hospital admissions for hip fracture in 65+,121,,,
E02006485,Emergency hospital admissions for hip fracture in 65+,96.9,,,
E02006486,Emergency hospital admissions for hip fracture in 65+,123.7,,,
E02006487,Emergency hospital admissions for hip fracture in 65+,139.6,,,
E02006488,Emergency hospital admissions for hip fracture in 65+,87.4,,,
E02006489,Emergency hospital admissions for hip fracture in 65+,122.9,,,
E02006490,Emergency hospital admissions for hip fracture in 65+,108,,,
E02006492,Emergency hospital admissions for hip fracture in 65+,109.2,,,
E02006493,Emergency hospital admissions for hip fracture in 65+,72.1,,,
E02006494,Emergency hospital admissions for hip fracture in 65+,184.2,,,
E02006495,Emergency hospital admissions for hip fracture in 65+,86.3,,,
E02006496,Emergency hospital admissions for hip fracture in 65+,117.8,,,
E02006497,Emergency hospital admissions for hip fracture in 65+,80.2,,,
E02006498,Emergency hospital admissions for hip fracture in 65+,80.1,,,
E02006499,Emergency hospital admissions for hip fracture in 65+,87.5,,,
E02006500,Emergency hospital admissions for hip fracture in 65+,92.4,,,
E02006501,Emergency hospital admissions for hip fracture in 65+,104,,,
E02006502,Emergency hospital admissions for hip fracture in 65+,102.1,,,
E02006503,Emergency hospital admissions for hip fracture in 65+,57,,,
E02006504,Emergency hospital admissions for hip fracture in 65+,84,,,
E02006505,Emergency hospital admissions for hip fracture in 65+,91.8,,,
E02006506,Emergency hospital admissions for hip fracture in 65+,125.4,,,
E02006507,Emergency hospital admissions for hip fracture in 65+,110,,,
E02006508,Emergency hospital admissions for hip fracture in 65+,77,,,
E02006509,Emergency hospital admissions for hip fracture in 65+,106.4,,,
E02006510,Emergency hospital admissions for hip fracture in 65+,116.3,,,
E02006511,Emergency hospital admissions for hip fracture in 65+,80.1,,,
E02006512,Emergency hospital admissions for hip fracture in 65+,96.1,,,
E02006513,Emergency hospital admissions for hip fracture in 65+,86.6,,,
E02006514,Emergency hospital admissions for hip fracture in 65+,105.8,,,
E02006515,Emergency hospital admissions for hip fracture in 65+,120.6,,,
E02006516,Emergency hospital admissions for hip fracture in 65+,105.8,,,
E02006517,Emergency hospital admissions for hip fracture in 65+,82.6,,,
E02006518,Emergency hospital admissions for hip fracture in 65+,91.3,,,
E02006519,Emergency hospital admissions for hip fracture in 65+,98.1,,,
E02006520,Emergency hospital admissions for hip fracture in 65+,111.1,,,
E02006521,Emergency hospital admissions for hip fracture in 65+,73.6,,,
E02006522,Emergency hospital admissions for hip fracture in 65+,74.6,,,
E02006523,Emergency hospital admissions for hip fracture in 65+,115.4,,,
E02006524,Emergency hospital admissions for hip fracture in 65+,87.8,,,
E02006525,Emergency hospital admissions for hip fracture in 65+,110.4,,,
E02006526,Emergency hospital admissions for hip fracture in 65+,125.2,,,
E02006527,Emergency hospital admissions for hip fracture in 65+,100.5,,,
E02006528,Emergency hospital admissions for hip fracture in 65+,153.8,,,
E02006529,Emergency hospital admissions for hip fracture in 65+,112.5,,,
E02006530,Emergency hospital admissions for hip fracture in 65+,54.1,,,
E02006531,Emergency hospital admissions for hip fracture in 65+,94.5,,,
E02006532,Emergency hospital admissions for hip fracture in 65+,82,,,
E02006533,Emergency hospital admissions for hip fracture in 65+,97.5,,,
E02001958,"Emergency hospital admissions for hip fracture in 65+
upper confidence limit",149.3,,,
E02001959,"Emergency hospital admissions for hip fracture in 65+
upper confidence limit",101.5,,,
E02001961,"Emergency hospital admissions for hip fracture in 65+
upper confidence limit",208.2,,,
E02001962,"Emergency hospital admissions for hip fracture in 65+
upper confidence limit",169.2,,,
E02001963,"Emergency hospital admissions for hip fracture in 65+
upper confidence limit",155.7,,,
E02001964,"Emergency hospital admissions for hip fracture in 65+
upper confidence limit",146,,,
E02001965,"Emergency hospital admissions for hip fracture in 65+
upper confidence limit",121.4,,,
E02001966,"Emergency hospital admissions for hip fracture in 65+
upper confidence limit",124.8,,,
E02001967,"Emergency hospital admissions for hip fracture in 65+
upper confidence limit",160.6,,,
E02001968,"Emergency hospital admissions for hip fracture in 65+
upper confidence limit",151.6,,,
E02001969,"Emergency hospital admissions for hip fracture in 65+
upper confidence limit",231.2,,,
E02001970,"Emergency hospital admissions for hip fracture in 65+
upper confidence limit",122.6,,,
E02001971,"Emergency hospital admissions for hip fracture in 65+
upper confidence limit",126.6,,,
E02001972,"Emergency hospital admissions for hip fracture in 65+
upper confidence limit",145.5,,,
E02001973,"Emergency hospital admissions for hip fracture in 65+
upper confidence limit",140,,,
E02001974,"Emergency hospital admissions for hip fracture in 65+
upper confidence limit",132.5,,,
E02001975,"Emergency hospital admissions for hip fracture in 65+
upper confidence limit",116.8,,,
E02001976,"Emergency hospital admissions for hip fracture in 65+
upper confidence limit",128.2,,,
E02001977,"Emergency hospital admissions for hip fracture in 65+
upper confidence limit",171.9,,,
E02001978,"Emergency hospital admissions for hip fracture in 65+
upper confidence limit",151,,,
E02001979,"Emergency hospital admissions for hip fracture in 65+
upper confidence limit",125.9,,,
E02001980,"Emergency hospital admissions for hip fracture in 65+
upper confidence limit",115.4,,,
E02001981,"Emergency hospital admissions for hip fracture in 65+
upper confidence limit",165.2,,,
E02001982,"Emergency hospital admissions for hip fracture in 65+
upper confidence limit",129.3,,,
E02001983,"Emergency hospital admissions for hip fracture in 65+
upper confidence limit",142.5,,,
E02001984,"Emergency hospital admissions for hip fracture in 65+
upper confidence limit",140.5,,,
E02001985,"Emergency hospital admissions for hip fracture in 65+
upper confidence limit",142.4,,,
E02001986,"Emergency hospital admissions for hip fracture in 65+
upper confidence limit",123.9,,,
E02001987,"Emergency hospital admissions for hip fracture in 65+
upper confidence limit",157,,,
E02001988,"Emergency hospital admissions for hip fracture in 65+
upper confidence limit",203.8,,,
E02001989,"Emergency hospital admissions for hip fracture in 65+
upper confidence limit",105.2,,,
E02001990,"Emergency hospital admissions for hip fracture in 65+
upper confidence limit",136.7,,,
E02001991,"Emergency hospital admissions for hip fracture in 65+
upper confidence limit",118.8,,,
E02001992,"Emergency hospital admissions for hip fracture in 65+
upper confidence limit",154.8,,,
E02001993,"Emergency hospital admissions for hip fracture in 65+
upper confidence limit",155.2,,,
E02001994,"Emergency hospital admissions for hip fracture in 65+
upper confidence limit",127.8,,,
E02001995,"Emergency hospital admissions for hip fracture in 65+
upper confidence limit",172.4,,,
E02001996,"Emergency hospital admissions for hip fracture in 65+
upper confidence limit",206.6,,,
E02001997,"Emergency hospital admissions for hip fracture in 65+
upper confidence limit",103.1,,,
E02001998,"Emergency hospital admissions for hip fracture in 65+
upper confidence limit",120.3,,,
E02001999,"Emergency hospital admissions for hip fracture in 65+
upper confidence limit",118.1,,,
E02006468,"Emergency hospital admissions for hip fracture in 65+
upper confidence limit",149.2,,,
E02006469,"Emergency hospital admissions for hip fracture in 65+
upper confidence limit",176.9,,,
E02006470,"Emergency hospital admissions for hip fracture in 65+
upper confidence limit",132.4,,,
E02006471,"Emergency hospital admissions for hip fracture in 65+
upper confidence limit",142.9,,,
E02006472,"Emergency hospital admissions for hip fracture in 65+
upper confidence limit",144,,,
E02006473,"Emergency hospital admissions for hip fracture in 65+
upper confidence limit",140.4,,,
E02006474,"Emergency hospital admissions for hip fracture in 65+
upper confidence limit",186.4,,,
E02006475,"Emergency hospital admissions for hip fracture in 65+
upper confidence limit",85.6,,,
E02006476,"Emergency hospital admissions for hip fracture in 65+
upper confidence limit",146.8,,,
E02006477,"Emergency hospital admissions for hip fracture in 65+
upper confidence limit",114.8,,,
E02006478,"Emergency hospital admissions for hip fracture in 65+
upper confidence limit",104,,,
E02006479,"Emergency hospital admissions for hip fracture in 65+
upper confidence limit",109.1,,,
E02006480,"Emergency hospital admissions for hip fracture in 65+
upper confidence limit",132.5,,,
E02006481,"Emergency hospital admissions for hip fracture in 65+
upper confidence limit",232.3,,,
E02006482,"Emergency hospital admissions for hip fracture in 65+
upper confidence limit",112.5,,,
E02006483,"Emergency hospital admissions for hip fracture in 65+
upper confidence limit",209.5,,,
E02006484,"Emergency hospital admissions for hip fracture in 65+
upper confidence limit",159.1,,,
E02006485,"Emergency hospital admissions for hip fracture in 65+
upper confidence limit",132.4,,,
E02006486,"Emergency hospital admissions for hip fracture in 65+
upper confidence limit",167.8,,,
E02006487,"Emergency hospital admissions for hip fracture in 65+
upper confidence limit",177.6,,,
E02006488,"Emergency hospital admissions for hip fracture in 65+
upper confidence limit",115.9,,,
E02006489,"Emergency hospital admissions for hip fracture in 65+
upper confidence limit",175.4,,,
E02006490,"Emergency hospital admissions for hip fracture in 65+
upper confidence limit",143.6,,,
E02006492,"Emergency hospital admissions for hip fracture in 65+
upper confidence limit",136.7,,,
E02006493,"Emergency hospital admissions for hip fracture in 65+
upper confidence limit",117,,,
E02006494,"Emergency hospital admissions for hip fracture in 65+
upper confidence limit",233.9,,,
E02006495,"Emergency hospital admissions for hip fracture in 65+
upper confidence limit",117,,,
E02006496,"Emergency hospital admissions for hip fracture in 65+
upper confidence limit",178.4,,,
E02006497,"Emergency hospital admissions for hip fracture in 65+
upper confidence limit",122.5,,,
E02006498,"Emergency hospital admissions for hip fracture in 65+
upper confidence limit",113.1,,,
E02006499,"Emergency hospital admissions for hip fracture in 65+
upper confidence limit",124.2,,,
E02006500,"Emergency hospital admissions for hip fracture in 65+
upper confidence limit",124,,,
E02006501,"Emergency hospital admissions for hip fracture in 65+
upper confidence limit",131.6,,,
E02006502,"Emergency hospital admissions for hip fracture in 65+
upper confidence limit",122.8,,,
E02006503,"Emergency hospital admissions for hip fracture in 65+
upper confidence limit",77.9,,,
E02006504,"Emergency hospital admissions for hip fracture in 65+
upper confidence limit",116.9,,,
E02006505,"Emergency hospital admissions for hip fracture in 65+
upper confidence limit",118.4,,,
E02006506,"Emergency hospital admissions for hip fracture in 65+
upper confidence limit",164.1,,,
E02006507,"Emergency hospital admissions for hip fracture in 65+
upper confidence limit",141,,,
E02006508,"Emergency hospital admissions for hip fracture in 65+
upper confidence limit",102.5,,,
E02006509,"Emergency hospital admissions for hip fracture in 65+
upper confidence limit",138.8,,,
E02006510,"Emergency hospital admissions for hip fracture in 65+
upper confidence limit",150.3,,,
E02006511,"Emergency hospital admissions for hip fracture in 65+
upper confidence limit",104,,,
E02006512,"Emergency hospital admissions for hip fracture in 65+
upper confidence limit",120.7,,,
E02006513,"Emergency hospital admissions for hip fracture in 65+
upper confidence limit",112.7,,,
E02006514,"Emergency hospital admissions for hip fracture in 65+
upper confidence limit",128.7,,,
E02006515,"Emergency hospital admissions for hip fracture in 65+
upper confidence limit",150.1,,,
E02006516,"Emergency hospital admissions for hip fracture in 65+
upper confidence limit",135.9,,,
E02006517,"Emergency hospital admissions for hip fracture in 65+
upper confidence limit",111.7,,,
E02006518,"Emergency hospital admissions for hip fracture in 65+
upper confidence limit",114.6,,,
E02006519,"Emergency hospital admissions for hip fracture in 65+
upper confidence limit",124.6,,,
E02006520,"Emergency hospital admissions for hip fracture in 65+
upper confidence limit",143.6,,,
E02006521,"Emergency hospital admissions for hip fracture in 65+
upper confidence limit",97.1,,,
E02006522,"Emergency hospital admissions for hip fracture in 65+
upper confidence limit",112.9,,,
E02006523,"Emergency hospital admissions for hip fracture in 65+
upper confidence limit",142.6,,,
E02006524,"Emergency hospital admissions for hip fracture in 65+
upper confidence limit",126.2,,,
E02006525,"Emergency hospital admissions for hip fracture in 65+
upper confidence limit",134.2,,,
E02006526,"Emergency hospital admissions for hip fracture in 65+
upper confidence limit",159.6,,,
E02006527,"Emergency hospital admissions for hip fracture in 65+
upper confidence limit",129.6,,,
E02006528,"Emergency hospital admissions for hip fracture in 65+
upper confidence limit",196.8,,,
E02006529,"Emergency hospital admissions for hip fracture in 65+
upper confidence limit",145.7,,,
E02006530,"Emergency hospital admissions for hip fracture in 65+
upper confidence limit",77.3,,,
E02006531,"Emergency hospital admissions for hip fracture in 65+
upper confidence limit",137.4,,,
E02006532,"Emergency hospital admissions for hip fracture in 65+
upper confidence limit",115.2,,,
E02006533,"Emergency hospital admissions for hip fracture in 65+
upper confidence limit",128.2,,,
E02006502,% of residents aged 80+,10%,,,
E02006514,% of residents aged 80+,10%,,,
E02006505,% of residents aged 80+,10%,,,
E02006488,% of residents aged 80+,9%,,,
E02006521,% of residents aged 80+,9%,,,
E02006509,% of residents aged 80+,9%,,,
E02006519,% of residents aged 80+,9%,,,
E02006503,% of residents aged 80+,9%,,,
E02006518,% of residents aged 80+,9%,,,
E02001979,% of residents aged 80+,8%,,,
E02001970,% of residents aged 80+,8%,,,
E02001980,% of residents aged 80+,8%,,,
E02001997,% of residents aged 80+,8%,,,
E02006513,% of residents aged 80+,8%,,,
E02006510,% of residents aged 80+,7%,,,
E02006500,% of residents aged 80+,7%,,,
E02006511,% of residents aged 80+,7%,,,
E02001967,% of residents aged 80+,7%,,,
E02006506,% of residents aged 80+,7%,,,
E02006475,% of residents aged 80+,7%,,,
E02006504,% of residents aged 80+,7%,,,
E02001998,% of residents aged 80+,7%,,,
E02006473,% of residents aged 80+,7%,,,
E02006512,% of residents aged 80+,7%,,,
E02006485,% of residents aged 80+,6%,,,
E02006501,% of residents aged 80+,6%,,,
E02006520,% of residents aged 80+,6%,,,
E02006525,% of residents aged 80+,6%,,,
E02006474,% of residents aged 80+,6%,,,
E02006515,% of residents aged 80+,6%,,,
E02006495,% of residents aged 80+,6%,,,
E02001991,% of residents aged 80+,6%,,,
E02006523,% of residents aged 80+,6%,,,
E02001990,% of residents aged 80+,6%,,,
E02006470,% of residents aged 80+,6%,,,
E02006508,% of residents aged 80+,6%,,,
E02006516,% of residents aged 80+,6%,,,
E02006524,% of residents aged 80+,6%,,,
E02006487,% of residents aged 80+,6%,,,
E02006499,% of residents aged 80+,6%,,,
E02006490,% of residents aged 80+,6%,,,
E02006806,% of residents aged 80+,6%,,,
E02006507,% of residents aged 80+,6%,,,
E02006517,% of residents aged 80+,6%,,,
E02006477,% of residents aged 80+,6%,,,
E02001963,% of residents aged 80+,5%,,,
E02006527,% of residents aged 80+,5%,,,
E02006484,% of residents aged 80+,5%,,,
E02006526,% of residents aged 80+,5%,,,
E02006522,% of residents aged 80+,5%,,,
E02006468,% of residents aged 80+,5%,,,
E02001974,% of residents aged 80+,5%,,,
E02001959,% of residents aged 80+,5%,,,
E02001976,% of residents aged 80+,5%,,,
E02006483,% of residents aged 80+,5%,,,
E02006533,% of residents aged 80+,5%,,,
E02001982,% of residents aged 80+,5%,,,
E02006492,% of residents aged 80+,5%,,,
E02001965,% of residents aged 80+,5%,,,
E02006472,% of residents aged 80+,5%,,,
E02001969,% of residents aged 80+,5%,,,
E02006530,% of residents aged 80+,5%,,,
E02006486,% of residents aged 80+,5%,,,
E02006494,% of residents aged 80+,5%,,,
E02006471,% of residents aged 80+,5%,,,
E02001994,% of residents aged 80+,5%,,,
E02006469,% of residents aged 80+,5%,,,
E02001983,% of residents aged 80+,5%,,,
E02006529,% of residents aged 80+,4%,,,
E02006532,% of residents aged 80+,4%,,,
E02001971,% of residents aged 80+,4%,,,
E02001986,% of residents aged 80+,4%,,,
E02001993,% of residents aged 80+,4%,,,
