Year,LSOA code (2011),LSOA name (2011),IoD air quality indicator score,Change in score,Coventry postcodes 11 2019.Lower-layer Super Output Area (LSOA) 2011 local name
2012,E01009559,Coventry 034F,1.145,,"Memorial Park, Henry VIII - Styvechale Avenue"
2012,E01009560,Coventry 040A,1.143,,Stivichall - Leamington & & Knoll Drive North
2012,E01009561,Coventry 040B,1.143,,Finham North Festival & Fenside
2012,E01009562,Coventry 040C,1.234,,Cheylesmore East -Dillotford Road
2012,E01009563,Coventry 040D,1.143,,Stivichall - Baginton Road East
2012,E01009564,Coventry 005A,1.31,,Little Heath – King Georges Avenue
2012,E01009565,Coventry 009A,1.31,,Foleshill - Churchill Avenue
2012,E01009566,Coventry 009B,1.316,,Foleshill – Courtaulds Guild Road
2012,E01009567,Coventry 009C,1.319,,Edgwick - Canal Road
2012,E01009568,Coventry 009D,1.316,,Parting of the Heaths - Durbar Avenue
2012,E01009569,Coventry 015A,1.319,,Edgwick - Gallagher Retail Park Cross Road
2012,E01009570,Coventry 015B,1.319,,Foleshill - Broad Street
2012,E01009571,Coventry 015C,1.319,,Paradise - Awson Street
2012,E01009572,Coventry 015D,1.39,,Foleshill - Paragon Park Red Lane
2012,E01009573,Coventry 015E,1.324,,Bishopgate - George Elliot
2012,E01009574,Coventry 015F,1.477,,Swanswell - Leicester Causeway
2012,E01009575,Coventry 005B,1.31,,Arena Retail Park - Arbury
2012,E01009576,Coventry 008A,1.303,,Potters Green - Woodway
2012,E01009577,Coventry 007A,1.174,,Aldermans Green - Deedmore Road W
2012,E01009578,Coventry 008B,1.53,,Potters Green Triangle - Wigston Road
2012,E01009579,Coventry 007B,1.142,,Henley Green West
2012,E01009580,Coventry 019A,1.103,,"Cross Point, A46 West & University Hospital"
2012,E01009581,Coventry 007C,1.122,,Henley Green East
2012,E01009582,Coventry 008C,1.122,,Potters Green - Narberth Way
2012,E01009583,Coventry 008D,1.175,,Walsgrave on Sowe – Mount Pleasant  & Walsgrave Gardens
2012,E01009584,Coventry 007D,1.334,,Aldermans Green Industrial estate
2012,E01009585,Coventry 007E,1.174,,Wood End – Hillmorton Road
2012,E01009586,Coventry 008E,1.303,,Potters Green – Diana Drive
2012,E01009587,Coventry 011A,1.287,,Whitmore Park - Burnaby Road
2012,E01009588,Coventry 043A,1.287,,Holbrooks – Monks Park
2012,E01009589,Coventry 001A,1.29,,Ricoh Arena & Wilsons Lane
2012,E01009590,Coventry 002A,0.962,,Keresley - Prologis
2012,E01009591,Coventry 002B,1.024,,Holbrooks - Rookery Lane President Kennedy
2012,E01009592,Coventry 043B,1.109,,Holbrooks N – Masser Kirkdale Roads
2012,E01009593,Coventry 002C,1.109,,Holbrooks - Parkville – Roland Avenue
2012,E01009594,Coventry 006D,1.038,,Keresley –Penny Park Halford Roads
2012,E01009596,Coventry 043C,1.165,,Holbrooks N - Whitmore Park Dunster
2012,E01009597,Coventry 043D,1.287,,Holbrook Lane – Lythalls Lane
2012,E01009598,Coventry 002D,1.086,,Holbrooks – Penny Park Lane
2012,E01009599,Coventry 013A,1.142,,Henley College - Gresley Road
2012,E01009604,Coventry 004A,1.203,,Hall Green North
2012,E01009605,Coventry 004B,1.209,,Manor House - Privet Rd
2012,E01009606,Coventry 005C,1.211,,Little Heath Old Church Road
2012,E01009607,Coventry 004C,1.211,,Bell Green - Roseberry Ave
2012,E01009608,Coventry 004D,1.211,,Hall Green Road – Clarke Street
2012,E01009609,Coventry 005D,1.23,,Foleshill – Elkington Street
2012,E01009610,Coventry 004E,1.23,,Courthouse Green North
2012,E01009611,Coventry 035E,1.156,,Stoke Aldermoor North & East
2012,E01009612,Coventry 035F,1.266,,Stoke Aldermoor Village
2012,E01009613,Coventry 018A,1.17,,Wyken - Ravensdale Road
2012,E01009614,Coventry 021A,1.17,,Poets Corner
2012,E01009615,Coventry 027A,1.258,,Stoke Park
2012,E01009616,Coventry 027B,1.258,,Middle Stoke - Church Lane
2012,E01009617,Coventry 027C,1.212,,Binley Road - central Church Lane
2012,E01009618,Coventry 027D,1.156,,Stoke - Lord Lytton Avenue
2012,E01009619,Coventry 038D,1.229,,"Peugeot, Dominion Plaza & Humber Road North"
2012,E01009620,Coventry 027E,1.229,,Stoke Green - New Century Park
2012,E01009621,Coventry 027F,1.229,,Sidderley Avenue
2012,E01009622,Coventry 012A,1.138,,Radford - Beake Avenue South
2012,E01009623,Coventry 012B,1.138,,Radford - Beak Avenue Central
2012,E01009624,Coventry 011B,1.138,,Jubilee Crescent
2012,E01009625,Coventry 011C,1.206,,Radford - Middlemarch Road South
2012,E01009626,Coventry 011D,1.316,,Daimler Green - North Capmartin Road
2012,E01009627,Coventry 012C,1.206,,Radford Village
2012,E01009628,Coventry 012D,1.206,,Radford - Banks Road
2012,E01009629,Coventry 020A,1.324,,Daimler Green – Electric Wharf
2012,E01009630,Coventry 020B,1.206,,Radford - Lawrence Saunders Roads
2012,E01009631,Coventry 020C,1.293,,Barker Butts - Bablake School Thomson Avenue
2012,E01009632,Coventry 020D,1.477,,Nauls Mill Park - Canal Basin
2012,E01009633,Coventry 028A,1.325,,Charterhouse - St Georges Road
2012,E01009634,Coventry 028B,1.325,,London Road - Acacia Northfields Roads
2012,E01009635,Coventry 028C,1.325,,Gosford & Gulson Roads
2012,E01009636,Coventry 024A,1.408,,Hillfields - Swans Lane Thacknall Street
2012,E01009637,Coventry 024B,1.39,,Hillfields - Cambridge Street
2012,E01009638,Coventry 024C,1.477,,Hillfields Village  & Motor Museum
2012,E01009639,Coventry 024D,1.408,,City Farm North
2012,E01009640,Coventry 024E,1.352,,Hillfields - Coronation Road Swanswell Basin
2012,E01009641,Coventry 024F,1.408,,Hillfields - Canterbury Raglan Streets
2012,E01009642,Coventry 031C,1.598,,The city centre within the ring road
2012,E01009643,Coventry 017A,1.179,,Holyhead Road  – Sherbourne Crescent
2012,E01009644,Coventry 017B,1.129,,Coundon - House Donnington Southbank
2012,E01009645,Coventry 014D,1.129,,"Coundon - Cedars, Oak and Lavender Roads"
2012,E01009646,Coventry 022A,1.137,,Allesley South - Dulverton Avenue
2012,E01009647,Coventry 017C,1.293,,Alvis Retail Park - Moseley Avenue
2012,E01009648,Coventry 017D,1.179,,"Holyhead, Lake View & Batsford Roads"
2012,E01009649,Coventry 026A,1.179,,Chapelfields - Prince of Wales Road
2012,E01009650,Coventry 020E,1.293,,Upper Holyhead Road – Minster Road
2012,E01009651,Coventry 031D,1.284,,Lower Spon Street
2012,E01009652,Coventry 017E,1.129,,Coundon - Kingsbury - Shorncliffe
2012,E01009653,Coventry 017F,1.129,,Coundon - Dallington – Gaveston Roads
2012,E01009654,Coventry 021B,1.225,,Upper Stoke - Hartland Avenue
2012,E01009655,Coventry 016A,1.225,,Stoke Heath - Bartons Meadway
2012,E01009656,Coventry 016B,1.225,,Stoke Heath - Mercer Crescent– Barras Heath
2012,E01009657,Coventry 018B,1.143,,Wyken - Grange Road
2012,E01009658,Coventry 021C,1.258,,Stoke Heath - Dane Road North Allotments
2012,E01009659,Coventry 016C,1.258,,Barras Heath - West of Clay Lane
2012,E01009660,Coventry 021D,1.258,,Stoke Church End - Shakespeare Street
2012,E01009661,Coventry 028D,1.258,,Gosford Green - Kingsway
2012,E01009662,Coventry 016D,1.23,,Courthouse - Green Retail Park
2012,E01009663,Coventry 013B,1.142,,Wyken Croft North
2012,E01009664,Coventry 016E,1.23,,Courthouse Green – Sewall Highway North
2012,E01009665,Coventry 042A,1.108,,Wainbody - Cannon & Cannon Park Roads
2012,E01009666,Coventry 041A,1.161,,Stivichall - Wainbody Avenue North
2012,E01009667,Coventry 041B,1.161,,Stivichall - Dewsbury Mantilla Avenues
2012,E01009668,Coventry 041C,1.085,,Finham - Schools Green Lane
2012,E01009669,Coventry 042B,1.108,,Finham - Wainbody Avenue South
2012,E01009670,Coventry 041D,1.085,,Finham Green - Lane Erithway
2012,E01009671,Coventry 042C,0.967,,Kenilworth Rd & Gibbet Hill - Central Campus
2012,E01009672,Coventry 040E,1.201,,Finham Triangle - Green Lane
2012,E01009674,Coventry 029A,1.017,,Tile Hill Lane South - Gravel Hill
2012,E01009676,Coventry 032A,1.071,,Torrington - Templar Avenues
2012,E01009679,Coventry 036C,1.093,,Canley - Torrington Prior Deram Walk
2012,E01009681,Coventry 032B,1.071,,Lime Tree Park - Fir Tree Avenue
2012,E01009682,Coventry 032C,1.071,,Lime Tree Park – Elm Tree Avenues
2012,E01009683,Coventry 032D,1.071,,Earlplace Business Park - Middlecotes
2012,E01009684,Coventry 026B,1.137,,Whoberley Artists' Corner (Rembrandt Close)
2012,E01009685,Coventry 026C,1.137,,Whoberley - Glendower Avenue
2012,E01009686,Coventry 026D,1.309,,Coventry Business Park
2012,E01009687,Coventry 026E,1.19,,Hearsall Common - Maudslay Road
2012,E01009688,Coventry 030A,1.19,,Chapelfields - Queensland Road
2012,E01009689,Coventry 030B,1.24,,"Earlsdon Hearsall Lane – Melbourne Road North, The Butts"
2012,E01009690,Coventry 030C,1.19,,Hearsall Common – Highland Road
2012,E01009691,Coventry 030D,1.24,,Earlsdon – Broomfield Road – Sovereign Road
2012,E01009692,Coventry 022B,1.09,,Lower Eastern Green - Allesley Park Frilsham Way
2012,E01009693,Coventry 022C,1.088,,Allesley Park South - Buckingham Rise
2012,E01009694,Coventry 022D,1.137,,Allesley Park – Allesley Old Road
2012,E01009695,Coventry 023A,1.088,,Mount Nod Rise
2012,E01009696,Coventry 023B,1.088,,Mount Nod – Alderminster Road
2012,E01009697,Coventry 025A,0.948,,Hockley Broad Lane West
2012,E01009698,Coventry 025B,1.013,,Broad Lane Central – Stonebury Avenue
2012,E01009699,Coventry 029B,1.013,,Tile Hill North -Limbrick East Mount Nod
2012,E01009700,Coventry 029C,1.013,,Tile Hill North - Jardine Delius
2012,E01009701,Coventry 029D,1.017,,"Bannerpark East – Tile Hill Woods, Hawthorn Lane"
2012,E01009702,Coventry 029E,1.017,,Jardine Shopping Centre - Limbrick Wood Tile Hill Lane
2012,E01009703,Coventry 025C,0.959,,Bannerpark - Tanners Lane
2012,E01009704,Coventry 023C,1.09,,Allesley Green – Dunchurch Highway West
2012,E01009705,Coventry 023D,0.932,,Allesley Green –Upper Eastern Green Lane
2012,E01009706,Coventry 025D,0.915,,Upper Eastern - Green Hockley Lane North
2012,E01009707,Coventry 033E,1.199,,Clifford Bridge South
2012,E01009708,Coventry 033F,1.119,,Caludon South - Mayflower Road
2012,E01009709,Coventry 007F,1.142,,Manor Farm
2012,E01009710,Coventry 013C,1.18,,River Sowe – Clifford Bridge  - Henley Park Industrial Estate
2012,E01009711,Coventry 013D,1.143,,Wyken Green - Croft
2012,E01009712,Coventry 018C,1.18,,Wyken - Ansty Road North
2012,E01009713,Coventry 019B,1.18,,Caludon Castle - Bodmin Belgrave Roads
2012,E01009714,Coventry 018D,1.143,,Wyken Croft – Sewall Highway South
2012,E01009715,Coventry 019C,1.18,,"Clifford Bridge Road, Abbey Estate & Dorchester Road North"
2012,E01009716,Coventry 018E,1.17,,Hipswell Highway - Macaulay Road
2012,E01009717,Coventry 019D,1.098,,Sowe Valley - Dorchester Road South
2012,E01009718,Coventry 019E,1.119,,Attoxhall Road
2012,E01032527,Coventry 035G,1.081,,Ernesford Grange –Willenhall North - South Willenhall Lane & St James Lane
2012,E01032528,Coventry 035H,1.101,,"Ernesford Grange - Langbank Avenue, rail line & Tarquin Close North"
2012,E01032529,Coventry 038E,1.209,,"Stonebridge Highway, Industrial & Housing Estates"
2012,E01032530,Coventry 038F,1.197,,Whitley East & Seven Stars
2012,E01032531,Coventry 036E,0.994,,Canley - Charter Avenue & Robert Mountford Way
2012,E01032532,Coventry 036F,0.981,,Tile Hill - Cromwell Lane Station Road
2012,E01032533,Coventry 036G,0.966,,Westwood Heath
2012,E01032534,Coventry 037F,1.194,,Cheylesmore SE – Poitiers Road
2012,E01032535,Coventry 037G,1.264,,Cheylesmore - Daventry Road East
2012,E01032536,Coventry 001F,1.179,,"Hawkesbury, M6 & Foxford School, Anderton Road"
2012,E01032537,Coventry 001G,1.203,,Silverdale Estate & Hurst Road
2012,E01032538,Coventry 001H,1.29,,Longford Village & Longford Park
2012,E01032587,Coventry 043E,1.109,,Holbrooks N- Fallowfield – Briscoe
2012,E01033058,Coventry 042F,1.015,,"Canley Cemetery, Bransford Avenue & Sir Henry Parkes Road"
2016,E01009522,Coventry 014A,1.1,Got better,Coundon - Scots Lane
2016,E01009642,Coventry 031C,1.39,Got better,The city centre within the ring road
2016,E01009523,Coventry 010A,0.87,Got better,Hawkes End & countryside
2016,E01009638,Coventry 024C,1.33,Got better,Hillfields Village  & Motor Museum
2016,E01009524,Coventry 006A,0.94,Got better,Keresley – Kemscote Road Sandpits Lane
2016,E01009541,Coventry 039C,1.02,Got better,Willenhall - Yarningale
2016,E01009525,Coventry 006B,1.05,Got better,Keresley Green East
2016,E01009634,Coventry 028B,1.25,Got better,London Road - Acacia Northfields Roads
2016,E01009526,Coventry 010B,0.98,Got better,Coundon Wedge
2016,E01009633,Coventry 028A,1.25,Got better,Charterhouse - St Georges Road
2016,E01009527,Coventry 006C,1.13,Got better,Keresley South - Kipling Road
2016,E01009619,Coventry 038D,1.18,Got better,"Peugeot, Dominion Plaza & Humber Road North"
2016,E01009528,Coventry 010C,0.98,Got better,Browns Lane
2016,E01009635,Coventry 028C,1.25,Got better,Gosford & Gulson Roads
2016,E01009529,Coventry 014B,1.13,Got better,"Coundon - Keresley Road, Wallace Road"
2016,E01009548,Coventry 031A,1.39,Got better,"Friargate & Parkside –Technology, N. Cheylesmore"
2016,E01009530,Coventry 014C,1.01,Got better,Coundon – Norman Place Road
2016,E01009650,Coventry 020E,1.29,Got better,Upper Holyhead Road – Minster Road
2016,E01009531,Coventry 010D,1.01,Got better,Allesley Village
2016,E01009651,Coventry 031D,1.19,Got better,Lower Spon Street
2016,E01009532,Coventry 033A,1.05,Got better,Binley Business Park - Bredon Avenue
2016,E01009553,Coventry 031B,1.19,Got better,Central Six Retail Park - Queens Road
2016,E01009535,Coventry 033B,1.01,Got better,Binley - Oxenden Way
2016,E01009689,Coventry 030B,1.19,Got better,"Earlsdon Hearsall Lane – Melbourne Road North, The Butts"
2016,E01009536,Coventry 033C,1.05,Got better,Binley - Princethorpe
2016,E01009647,Coventry 017C,1.29,Got better,Alvis Retail Park - Moseley Avenue
2016,E01009537,Coventry 035C,1.01,Got better,Binley - Quorn Way Bredon Avenue
2016,E01009688,Coventry 030A,1.14,Got better,Chapelfields - Queensland Road
2016,E01009538,Coventry 035D,1.01,Got better,Binley Industrial Estate South - Willenhall Lane Central
2016,E01009632,Coventry 020D,1.33,Got better,Nauls Mill Park - Canal Basin
2016,E01009539,Coventry 039A,1.07,Got better,Willenhall Wood - Middle Ride
2016,E01009631,Coventry 020C,1.29,Got better,Barker Butts - Bablake School Thomson Avenue
2016,E01009540,Coventry 039B,1.02,Got better,Willenhall - Robin Hood & Mary Slessor
2016,E01009629,Coventry 020A,1.27,Got better,Daimler Green – Electric Wharf
2016,E01009630,Coventry 020B,1.19,Got better,Radford - Lawrence Saunders Roads
2016,E01009542,Coventry 039D,1.02,Got better,Willenhall - Chace Stretton
2016,E01009573,Coventry 015E,1.27,Got better,Bishopgate - George Elliot
2016,E01009543,Coventry 033D,1.11,Got better,Binley Oak Farm – Skipworth Road
2016,E01009574,Coventry 015F,1.33,Got better,Swanswell - Leicester Causeway
2016,E01009544,Coventry 038A,1.18,Got better,Whitley Common - Jaguar
2016,E01009637,Coventry 024B,1.33,Got better,Hillfields - Cambridge Street
2016,E01009566,Coventry 009B,1.24,Got better,Foleshill – Courtaulds Guild Road
2016,E01009549,Coventry 037B,1.16,Got better,Cheylesmore - Humphrey Burtons
2016,E01009639,Coventry 024D,1.34,Got better,City Farm North
2016,E01009550,Coventry 037C,1.16,Got better,Cheylesmore N  - The Mount
2016,E01009640,Coventry 024E,1.34,Got better,Hillfields - Coronation Road Swanswell Basin
2016,E01009552,Coventry 037E,1.16,Got better,Cheylesmore - Quinton Park Ulverscroft
2016,E01009641,Coventry 024F,1.34,Got better,Hillfields - Canterbury Raglan Streets
2016,E01009584,Coventry 007D,1.16,Got better,Aldermans Green Industrial estate
2016,E01009554,Coventry 034A,1.14,Got better,Earlsdon - Newcombe Clarendon & Shaftsbury Roads
2016,E01009709,Coventry 007F,1.11,Got better,Manor Farm
2016,E01009555,Coventry 034B,1.13,Got better,"Westwood Gardens - Sir Henry Parkes, Burnsall Roads"
2016,E01009581,Coventry 007C,1.08,Got better,Henley Green East
2016,E01009556,Coventry 034C,1.04,Got better,Earlsdon Street Beechwood Avenue South
2016,E01009579,Coventry 007B,1.11,Got better,Henley Green West
2016,E01009557,Coventry 034D,1.04,Got better,Canley Gardens – Hearsall Golf course
2016,E01009599,Coventry 013A,1.11,Got better,Henley College - Gresley Road
2016,E01009558,Coventry 034E,1.19,Got better,Earlsdon - Broadway Albany Roads
2016,E01009585,Coventry 007E,1.1,Got better,Wood End – Hillmorton Road
2016,E01009559,Coventry 034F,1.08,Got better,"Memorial Park, Henry VIII - Styvechale Avenue"
2016,E01009577,Coventry 007A,1.1,Got better,Aldermans Green - Deedmore Road W
2016,E01009560,Coventry 040A,1.08,Got better,Stivichall - Leamington & & Knoll Drive North
2016,E01009586,Coventry 008E,1.19,Got better,Potters Green – Diana Drive
2016,E01009561,Coventry 040B,1.08,Got better,Finham North Festival & Fenside
2016,E01009608,Coventry 004D,1.16,Got better,Hall Green Road – Clarke Street
2016,E01009562,Coventry 040C,1.13,Got better,Cheylesmore East -Dillotford Road
2016,E01009605,Coventry 004B,1.16,Got better,Manor House - Privet Rd
2016,E01009563,Coventry 040D,1.08,Got better,Stivichall - Baginton Road East
2016,E01009607,Coventry 004C,1.16,Got better,Bell Green - Roseberry Ave
2016,E01009564,Coventry 005A,1.22,Got better,Little Heath – King Georges Avenue
2016,E01032536,Coventry 001F,1.06,Got better,"Hawkesbury, M6 & Foxford School, Anderton Road"
2016,E01009565,Coventry 009A,1.22,Got better,Foleshill - Churchill Avenue
2016,E01032537,Coventry 001G,1.14,Got better,Silverdale Estate & Hurst Road
2016,E01009576,Coventry 008A,1.19,Got better,Potters Green - Woodway
2016,E01009567,Coventry 009C,1.26,Got better,Edgwick - Canal Road
2016,E01009582,Coventry 008C,1.08,Got better,Potters Green - Narberth Way
2016,E01009568,Coventry 009D,1.24,Got better,Parting of the Heaths - Durbar Avenue
2016,E01009580,Coventry 019A,1.03,Got better,"Cross Point, A46 West & University Hospital"
2016,E01009569,Coventry 015A,1.26,Got better,Edgwick - Gallagher Retail Park Cross Road
2016,E01009583,Coventry 008D,1.1,Got better,Walsgrave on Sowe – Mount Pleasant  & Walsgrave Gardens
2016,E01009570,Coventry 015B,1.26,Got better,Foleshill - Broad Street
2016,E01009710,Coventry 013C,1.14,Got better,River Sowe – Clifford Bridge  - Henley Park Industrial Estate
2016,E01009571,Coventry 015C,1.26,Got better,Paradise - Awson Street
2016,E01009578,Coventry 008B,1.35,Got better,Potters Green Triangle - Wigston Road
2016,E01009572,Coventry 015D,1.33,Got better,Foleshill - Paragon Park Red Lane
2016,E01009717,Coventry 019D,1.04,Got better,Sowe Valley - Dorchester Road South
2016,E01009715,Coventry 019C,1.03,Got better,"Clifford Bridge Road, Abbey Estate & Dorchester Road North"
2016,E01009575,Coventry 005B,1.22,Got better,Arena Retail Park - Arbury
2016,E01009712,Coventry 018C,1.14,Got better,Wyken - Ansty Road North
2016,E01009711,Coventry 013D,1.13,Got better,Wyken Green - Croft
2016,E01009657,Coventry 018B,1.13,Got better,Wyken - Grange Road
2016,E01009714,Coventry 018D,1.13,Got better,Wyken Croft – Sewall Highway South
2016,E01009658,Coventry 021C,1.24,Got better,Stoke Heath - Dane Road North Allotments
2016,E01009654,Coventry 021B,1.2,Got better,Upper Stoke - Hartland Avenue
2016,E01009614,Coventry 021A,1.15,Got better,Poets Corner
2016,E01009613,Coventry 018A,1.15,Got better,Wyken - Ravensdale Road
2016,E01009716,Coventry 018E,1.15,Got better,Hipswell Highway - Macaulay Road
2016,E01009656,Coventry 016B,1.2,Got better,Stoke Heath - Mercer Crescent– Barras Heath
2016,E01009655,Coventry 016A,1.2,Got better,Stoke Heath - Bartons Meadway
2016,E01009664,Coventry 016E,1.19,Got better,Courthouse Green – Sewall Highway North
2016,E01009587,Coventry 011A,1.18,Got better,Whitmore Park - Burnaby Road
2016,E01009663,Coventry 013B,1.11,Got better,Wyken Croft North
2016,E01009588,Coventry 043A,1.18,Got better,Holbrooks – Monks Park
2016,E01009616,Coventry 027B,1.24,Got better,Middle Stoke - Church Lane
2016,E01009589,Coventry 001A,1.16,Got better,Ricoh Arena & Wilsons Lane
2016,E01009617,Coventry 027C,1.1,Got better,Binley Road - central Church Lane
2016,E01009590,Coventry 002A,0.9,Got better,Keresley - Prologis
2016,E01009615,Coventry 027A,1.24,Got better,Stoke Park
2016,E01009591,Coventry 002B,0.98,Got better,Holbrooks - Rookery Lane President Kennedy
2016,E01009661,Coventry 028D,1.24,Got better,Gosford Green - Kingsway
2016,E01009592,Coventry 043B,1.06,Got better,Holbrooks N – Masser Kirkdale Roads
2016,E01009660,Coventry 021D,1.24,Got better,Stoke Church End - Shakespeare Street
2016,E01009593,Coventry 002C,1.06,Got better,Holbrooks - Parkville – Roland Avenue
2016,E01009659,Coventry 016C,1.24,Got better,Barras Heath - West of Clay Lane
2016,E01009636,Coventry 024A,1.34,Got better,Hillfields - Swans Lane Thacknall Street
2016,E01009713,Coventry 019B,1.14,Got better,Caludon Castle - Bodmin Belgrave Roads
2016,E01009597,Coventry 043D,1.18,Got better,Holbrook Lane – Lythalls Lane
2016,E01009718,Coventry 019E,1.05,Got better,Attoxhall Road
2016,E01009598,Coventry 002D,1.05,Got better,Holbrooks – Penny Park Lane
2016,E01009708,Coventry 033F,1.05,Got better,Caludon South - Mayflower Road
2016,E01009618,Coventry 027D,1.1,Got better,Stoke - Lord Lytton Avenue
2016,E01009604,Coventry 004A,1.14,Got better,Hall Green North
2016,E01009621,Coventry 027F,1.18,Got better,Sidderley Avenue
2016,E01009612,Coventry 035F,1.14,Got better,Stoke Aldermoor Village
2016,E01009606,Coventry 005C,1.16,Got better,Little Heath Old Church Road
2016,E01009611,Coventry 035E,1.1,Got better,Stoke Aldermoor North & East
2016,E01009620,Coventry 027E,1.18,Got better,Stoke Green - New Century Park
2016,E01032530,Coventry 038F,1.09,Got better,Whitley East & Seven Stars
2016,E01009609,Coventry 005D,1.19,Got better,Foleshill – Elkington Street
2016,E01009610,Coventry 004E,1.19,Got better,Courthouse Green North
2016,E01009707,Coventry 033E,1.1,Got better,Clifford Bridge South
2016,E01032527,Coventry 035G,1.01,Got better,Ernesford Grange –Willenhall North - South Willenhall Lane & St James Lane
2016,E01032528,Coventry 035H,1.03,Got better,"Ernesford Grange - Langbank Avenue, rail line & Tarquin Close North"
2016,E01009622,Coventry 012A,1.13,Got better,Radford - Beake Avenue South
2016,E01032529,Coventry 038E,1.05,Got better,"Stonebridge Highway, Industrial & Housing Estates"
2016,E01009623,Coventry 012B,1.13,Got better,Radford - Beak Avenue Central
2016,E01009624,Coventry 011B,1.13,Got better,Jubilee Crescent
2016,E01009625,Coventry 011C,1.19,Got better,Radford - Middlemarch Road South
2016,E01009626,Coventry 011D,1.24,Got better,Daimler Green - North Capmartin Road
2016,E01009627,Coventry 012C,1.19,Got better,Radford Village
2016,E01009628,Coventry 012D,1.19,Got better,Radford - Banks Road
2016,E01032534,Coventry 037F,1.17,Got better,Cheylesmore SE – Poitiers Road
2016,E01032535,Coventry 037G,1.18,Got better,Cheylesmore - Daventry Road East
2016,E01009668,Coventry 041C,1.01,Got better,Finham - Schools Green Lane
2016,E01009669,Coventry 042B,1.04,Got better,Finham - Wainbody Avenue South
2016,E01009672,Coventry 040E,1.11,Got better,Finham Triangle - Green Lane
2016,E01009666,Coventry 041A,1.08,Got better,Stivichall - Wainbody Avenue North
2016,E01009670,Coventry 041D,1.01,Got better,Finham Green - Lane Erithway
2016,E01009667,Coventry 041B,1.08,Got better,Stivichall - Dewsbury Mantilla Avenues
2016,E01009671,Coventry 042C,0.9,Got better,Kenilworth Rd & Gibbet Hill - Central Campus
2016,E01033058,Coventry 042F,0.96,Got better,"Canley Cemetery, Bransford Avenue & Sir Henry Parkes Road"
2016,E01009665,Coventry 042A,1.04,Got better,Wainbody - Cannon & Cannon Park Roads
2016,E01009643,Coventry 017A,1.14,Got better,Holyhead Road  – Sherbourne Crescent
2016,E01009644,Coventry 017B,1.1,Got better,Coundon - House Donnington Southbank
2016,E01032533,Coventry 036G,0.91,Got better,Westwood Heath
2016,E01009645,Coventry 014D,1.1,Got better,"Coundon - Cedars, Oak and Lavender Roads"
2016,E01032532,Coventry 036F,0.9,Got better,Tile Hill - Cromwell Lane Station Road
2016,E01009646,Coventry 022A,1.09,Got better,Allesley South - Dulverton Avenue
2016,E01009679,Coventry 036C,1.01,Got better,Canley - Torrington Prior Deram Walk
2016,E01032531,Coventry 036E,0.93,Got better,Canley - Charter Avenue & Robert Mountford Way
2016,E01009648,Coventry 017D,1.14,Got better,"Holyhead, Lake View & Batsford Roads"
2016,E01009683,Coventry 032D,1.03,Got better,Earlplace Business Park - Middlecotes
