MSOA,Attribute code,Attribute,Value,%
E02001993,1,Agree They Can Get Involved With The Community,,70.18%
E02001994,1,Agree They Can Get Involved With The Community,,45.45%
E02001995,1,Agree They Can Get Involved With The Community,,39.71%
E02001996,1,Agree They Can Get Involved With The Community,,37.97%
E02001997,1,Agree They Can Get Involved With The Community,,81.71%
E02001998,1,Agree They Can Get Involved With The Community,,58.06%
E02001999,1,Agree They Can Get Involved With The Community,,53.49%
E02006805,1,Agree They Can Get Involved With The Community,,36.99%
E02001958,2,Agree They Can Influence Decisions,,22.86%
E02001959,2,Agree They Can Influence Decisions,,33.33%
E02001961,2,Agree They Can Influence Decisions,,14.29%
E02001962,2,Agree They Can Influence Decisions,,61.40%
E02001963,2,Agree They Can Influence Decisions,,51.85%
E02001964,2,Agree They Can Influence Decisions,,56.82%
E02001965,2,Agree They Can Influence Decisions,,37.18%
E02001966,2,Agree They Can Influence Decisions,,38.98%
E02001967,2,Agree They Can Influence Decisions,,43.28%
E02001968,2,Agree They Can Influence Decisions,,16.95%
E02001969,2,Agree They Can Influence Decisions,,30.77%
E02001970,2,Agree They Can Influence Decisions,,24.44%
E02001971,2,Agree They Can Influence Decisions,,33.33%
E02001972,2,Agree They Can Influence Decisions,,39.02%
E02001973,2,Agree They Can Influence Decisions,,32.86%
E02001974,2,Agree They Can Influence Decisions,,38.98%
E02001975,2,Agree They Can Influence Decisions,,45.00%
E02001976,2,Agree They Can Influence Decisions,,28.95%
E02001977,2,Agree They Can Influence Decisions,,30.71%
E02001978,2,Agree They Can Influence Decisions,,19.61%
E02001979,2,Agree They Can Influence Decisions,,45.28%
E02001980,2,Agree They Can Influence Decisions,,27.87%
E02001981,2,Agree They Can Influence Decisions,,19.70%
E02001982,2,Agree They Can Influence Decisions,,26.09%
E02001983,2,Agree They Can Influence Decisions,,29.27%
E02001984,2,Agree They Can Influence Decisions,,64.38%
E02001985,2,Agree They Can Influence Decisions,,34.44%
E02001986,2,Agree They Can Influence Decisions,,32.35%
E02001987,2,Agree They Can Influence Decisions,,41.67%
E02001988,2,Agree They Can Influence Decisions,,17.65%
E02001989,2,Agree They Can Influence Decisions,,41.07%
E02001990,2,Agree They Can Influence Decisions,,30.61%
E02001991,2,Agree They Can Influence Decisions,,48.28%
E02001992,2,Agree They Can Influence Decisions,,20.31%
E02001993,2,Agree They Can Influence Decisions,,66.67%
E02001994,2,Agree They Can Influence Decisions,,23.38%
E02001995,2,Agree They Can Influence Decisions,,16.18%
E02001996,2,Agree They Can Influence Decisions,,21.52%
E02001997,2,Agree They Can Influence Decisions,,79.27%
E02001998,2,Agree They Can Influence Decisions,,17.74%
E02001999,2,Agree They Can Influence Decisions,,26.74%
E02006805,2,Agree They Can Influence Decisions,,16.44%
E02001958,3,City Centre Satisfaction,,78.57%
E02001959,3,City Centre Satisfaction,,86.36%
E02001961,3,City Centre Satisfaction,,73.02%
E02001962,3,City Centre Satisfaction,,87.72%
E02001963,3,City Centre Satisfaction,,66.67%
E02001964,3,City Centre Satisfaction,,87.50%
E02001965,3,City Centre Satisfaction,,70.51%
E02001966,3,City Centre Satisfaction,,88.14%
E02001967,3,City Centre Satisfaction,,61.19%
E02001968,3,City Centre Satisfaction,,86.44%
E02001969,3,City Centre Satisfaction,,90.77%
E02001970,3,City Centre Satisfaction,,80.00%
E02001971,3,City Centre Satisfaction,,78.26%
E02001972,3,City Centre Satisfaction,,84.15%
E02001973,3,City Centre Satisfaction,,72.86%
E02001974,3,City Centre Satisfaction,,77.97%
E02001975,3,City Centre Satisfaction,,72.00%
E02001976,3,City Centre Satisfaction,,63.16%
E02001977,3,City Centre Satisfaction,,82.68%
E02001978,3,City Centre Satisfaction,,82.35%
E02001979,3,City Centre Satisfaction,,69.81%
E02001980,3,City Centre Satisfaction,,55.74%
E02001981,3,City Centre Satisfaction,,89.39%
E02001982,3,City Centre Satisfaction,,80.43%
E02001983,3,City Centre Satisfaction,,80.49%
E02001984,3,City Centre Satisfaction,,52.05%
E02001985,3,City Centre Satisfaction,,85.56%
E02001986,3,City Centre Satisfaction,,63.24%
E02001987,3,City Centre Satisfaction,,78.33%
E02001988,3,City Centre Satisfaction,,87.25%
E02001989,3,City Centre Satisfaction,,75.00%
E02001990,3,City Centre Satisfaction,,62.24%
E02001991,3,City Centre Satisfaction,,75.86%
E02001992,3,City Centre Satisfaction,,76.56%
E02001993,3,City Centre Satisfaction,,52.63%
E02001994,3,City Centre Satisfaction,,94.81%
E02001995,3,City Centre Satisfaction,,83.82%
E02001996,3,City Centre Satisfaction,,79.75%
E02001997,3,City Centre Satisfaction,,43.90%
E02001998,3,City Centre Satisfaction,,70.97%
E02001999,3,City Centre Satisfaction,,77.91%
E02006805,3,City Centre Satisfaction,,78.08%
E02001958,4,Feel Safe - Day Time,,98.57%
E02001959,4,Feel Safe - Day Time,,96.97%
E02001961,4,Feel Safe - Day Time,,96.83%
E02001962,4,Feel Safe - Day Time,,98.25%
E02001963,4,Feel Safe - Day Time,,94.44%
E02001964,4,Feel Safe - Day Time,,80.68%
E02001965,4,Feel Safe - Day Time,,91.03%
E02001966,4,Feel Safe - Day Time,,83.05%
E02001967,4,Feel Safe - Day Time,,89.55%
E02001968,4,Feel Safe - Day Time,,96.61%
E02001969,4,Feel Safe - Day Time,,100.00%
E02001970,4,Feel Safe - Day Time,,97.78%
E02001971,4,Feel Safe - Day Time,,98.55%
E02001972,4,Feel Safe - Day Time,,87.80%
E02001973,4,Feel Safe - Day Time,,92.86%
E02001974,4,Feel Safe - Day Time,,88.14%
E02001975,4,Feel Safe - Day Time,,96.00%
E02001976,4,Feel Safe - Day Time,,92.11%
E02001977,4,Feel Safe - Day Time,,88.98%
E02001978,4,Feel Safe - Day Time,,98.04%
E02001979,4,Feel Safe - Day Time,,98.11%
E02001980,4,Feel Safe - Day Time,,98.36%
E02001981,4,Feel Safe - Day Time,,92.42%
E02001982,4,Feel Safe - Day Time,,97.83%
E02001983,4,Feel Safe - Day Time,,98.78%
E02001984,4,Feel Safe - Day Time,,100.00%
E02001985,4,Feel Safe - Day Time,,90.00%
E02001986,4,Feel Safe - Day Time,,83.82%
E02001987,4,Feel Safe - Day Time,,98.33%
E02001988,4,Feel Safe - Day Time,,91.18%
E02001989,4,Feel Safe - Day Time,,92.86%
E02001990,4,Feel Safe - Day Time,,97.96%
E02001991,4,Feel Safe - Day Time,,98.85%
E02001992,4,Feel Safe - Day Time,,93.75%
E02001993,4,Feel Safe - Day Time,,91.23%
E02001994,4,Feel Safe - Day Time,,98.70%
E02001995,4,Feel Safe - Day Time,,95.59%
E02001996,4,Feel Safe - Day Time,,91.14%
E02001997,4,Feel Safe - Day Time,,97.56%
E02001998,4,Feel Safe - Day Time,,93.55%
E02001999,4,Feel Safe - Day Time,,89.53%
E02006805,4,Feel Safe - Day Time,,94.52%
E02001958,5,Feel Safe - Night Time,,84.29%
E02001959,5,Feel Safe - Night Time,,89.39%
E02001961,5,Feel Safe - Night Time,,90.48%
E02001962,5,Feel Safe - Night Time,,89.47%
E02001963,5,Feel Safe - Night Time,,75.93%
E02001964,5,Feel Safe - Night Time,,61.36%
E02001965,5,Feel Safe - Night Time,,71.79%
E02001966,5,Feel Safe - Night Time,,64.41%
E02001967,5,Feel Safe - Night Time,,74.63%
E02001968,5,Feel Safe - Night Time,,61.02%
E02001969,5,Feel Safe - Night Time,,81.54%
E02001970,5,Feel Safe - Night Time,,77.78%
E02001971,5,Feel Safe - Night Time,,81.16%
E02001972,5,Feel Safe - Night Time,,50.00%
E02001973,5,Feel Safe - Night Time,,52.86%
E02001974,5,Feel Safe - Night Time,,57.63%
E02001975,5,Feel Safe - Night Time,,74.00%
E02001976,5,Feel Safe - Night Time,,68.42%
E02001977,5,Feel Safe - Night Time,,66.14%
E02001978,5,Feel Safe - Night Time,,80.39%
E02001979,5,Feel Safe - Night Time,,86.79%
E02001980,5,Feel Safe - Night Time,,95.08%
E02001981,5,Feel Safe - Night Time,,53.03%
E02001982,5,Feel Safe - Night Time,,93.48%
E02001983,5,Feel Safe - Night Time,,82.93%
E02001984,5,Feel Safe - Night Time,,98.63%
E02001985,5,Feel Safe - Night Time,,53.33%
E02001986,5,Feel Safe - Night Time,,50.00%
E02001987,5,Feel Safe - Night Time,,73.33%
E02001988,5,Feel Safe - Night Time,,63.73%
E02001989,5,Feel Safe - Night Time,,69.64%
E02001990,5,Feel Safe - Night Time,,77.55%
E02001991,5,Feel Safe - Night Time,,85.06%
E02001992,5,Feel Safe - Night Time,,54.69%
E02001993,5,Feel Safe - Night Time,,82.46%
E02001994,5,Feel Safe - Night Time,,94.81%
E02001995,5,Feel Safe - Night Time,,79.41%
E02001996,5,Feel Safe - Night Time,,62.03%
E02001997,5,Feel Safe - Night Time,,97.56%
E02001998,5,Feel Safe - Night Time,,83.87%
E02001999,5,Feel Safe - Night Time,,56.98%
E02006805,5,Feel Safe - Night Time,,60.27%
E02001958,6,Satisfied with Local Area,,88.57%
E02001959,6,Satisfied with Local Area,,95.45%
E02001961,6,Satisfied with Local Area,,95.24%
E02001962,6,Satisfied with Local Area,,75.44%
E02001963,6,Satisfied with Local Area,,87.04%
E02001964,6,Satisfied with Local Area,,64.77%
E02001965,6,Satisfied with Local Area,,85.90%
E02001966,6,Satisfied with Local Area,,83.05%
E02001967,6,Satisfied with Local Area,,88.06%
E02001968,6,Satisfied with Local Area,,81.36%
E02001969,6,Satisfied with Local Area,,89.23%
E02001970,6,Satisfied with Local Area,,91.11%
E02001971,6,Satisfied with Local Area,,88.41%
E02001972,6,Satisfied with Local Area,,64.63%
E02001973,6,Satisfied with Local Area,,72.86%
E02001974,6,Satisfied with Local Area,,88.14%
E02001975,6,Satisfied with Local Area,,81.00%
E02001976,6,Satisfied with Local Area,,86.84%
E02001977,6,Satisfied with Local Area,,77.95%
E02001978,6,Satisfied with Local Area,,80.39%
E02001979,6,Satisfied with Local Area,,94.34%
E02001980,6,Satisfied with Local Area,,95.08%
E02001981,6,Satisfied with Local Area,,59.09%
E02001982,6,Satisfied with Local Area,,95.65%
E02001983,6,Satisfied with Local Area,,91.46%
E02001984,6,Satisfied with Local Area,,86.30%
E02001985,6,Satisfied with Local Area,,71.11%
E02001986,6,Satisfied with Local Area,,73.53%
E02001987,6,Satisfied with Local Area,,93.33%
E02001988,6,Satisfied with Local Area,,68.63%
E02001989,6,Satisfied with Local Area,,83.93%
E02001990,6,Satisfied with Local Area,,93.88%
E02001991,6,Satisfied with Local Area,,93.10%
E02001992,6,Satisfied with Local Area,,73.44%
E02001993,6,Satisfied with Local Area,,80.70%
E02001994,6,Satisfied with Local Area,,97.40%
E02001995,6,Satisfied with Local Area,,95.59%
E02001996,6,Satisfied with Local Area,,82.28%
E02001997,6,Satisfied with Local Area,,93.90%
E02001998,6,Satisfied with Local Area,,85.48%
E02001999,6,Satisfied with Local Area,,79.07%
E02006805,6,Satisfied with Local Area,,82.19%
E02001958,7,Tickets Issued (AFD Bookers at Cov Venues),"5,535",
E02001959,7,Tickets Issued (AFD Bookers at Cov Venues),"5,483",
E02001961,7,Tickets Issued (AFD Bookers at Cov Venues),"3,858",
E02001962,7,Tickets Issued (AFD Bookers at Cov Venues),"2,670",
E02001963,7,Tickets Issued (AFD Bookers at Cov Venues),"7,115",
E02001964,7,Tickets Issued (AFD Bookers at Cov Venues),"3,147",
E02001965,7,Tickets Issued (AFD Bookers at Cov Venues),"7,078",
E02001966,7,Tickets Issued (AFD Bookers at Cov Venues),"1,143",
E02001967,7,Tickets Issued (AFD Bookers at Cov Venues),"12,354",
E02001968,7,Tickets Issued (AFD Bookers at Cov Venues),"4,633",
E02001969,7,Tickets Issued (AFD Bookers at Cov Venues),"5,326",
E02001970,7,Tickets Issued (AFD Bookers at Cov Venues),"4,130",
E02001971,7,Tickets Issued (AFD Bookers at Cov Venues),"8,345",
E02001972,7,Tickets Issued (AFD Bookers at Cov Venues),"1,964",
E02001973,7,Tickets Issued (AFD Bookers at Cov Venues),"4,487",
E02001974,7,Tickets Issued (AFD Bookers at Cov Venues),"15,699",
E02001975,7,Tickets Issued (AFD Bookers at Cov Venues),"8,049",
E02001976,7,Tickets Issued (AFD Bookers at Cov Venues),"6,065",
E02001977,7,Tickets Issued (AFD Bookers at Cov Venues),"5,093",
E02001978,7,Tickets Issued (AFD Bookers at Cov Venues),"5,477",
E02001979,7,Tickets Issued (AFD Bookers at Cov Venues),"8,938",
E02001980,7,Tickets Issued (AFD Bookers at Cov Venues),"10,589",
E02001981,7,Tickets Issued (AFD Bookers at Cov Venues),"1,951",
E02001982,7,Tickets Issued (AFD Bookers at Cov Venues),"11,364",
E02001983,7,Tickets Issued (AFD Bookers at Cov Venues),"11,730",
E02001984,7,Tickets Issued (AFD Bookers at Cov Venues),"10,337",
E02001985,7,Tickets Issued (AFD Bookers at Cov Venues),"2,331",
E02001986,7,Tickets Issued (AFD Bookers at Cov Venues),"6,709",
E02001987,7,Tickets Issued (AFD Bookers at Cov Venues),"9,650",
E02001988,7,Tickets Issued (AFD Bookers at Cov Venues),"5,935",
E02001989,7,Tickets Issued (AFD Bookers at Cov Venues),"7,390",
E02001990,7,Tickets Issued (AFD Bookers at Cov Venues),"11,837",
E02001991,7,Tickets Issued (AFD Bookers at Cov Venues),"24,177",
E02001992,7,Tickets Issued (AFD Bookers at Cov Venues),"5,923",
E02001993,7,Tickets Issued (AFD Bookers at Cov Venues),"11,047",
E02001994,7,Tickets Issued (AFD Bookers at Cov Venues),"10,934",
E02001995,7,Tickets Issued (AFD Bookers at Cov Venues),"6,482",
E02001996,7,Tickets Issued (AFD Bookers at Cov Venues),"4,076",
E02001997,7,Tickets Issued (AFD Bookers at Cov Venues),"15,274",
E02001998,7,Tickets Issued (AFD Bookers at Cov Venues),"10,677",
E02001999,7,Tickets Issued (AFD Bookers at Cov Venues),"13,200",
E02006805,7,Tickets Issued (AFD Bookers at Cov Venues),"4,689",
E02001958,8,Tickets Issued (AFD-All),8501,
E02001959,8,Tickets Issued (AFD-All),7668,
E02001961,8,Tickets Issued (AFD-All),5343,
E02001962,8,Tickets Issued (AFD-All),3711,
E02001963,8,Tickets Issued (AFD-All),9953,
E02001964,8,Tickets Issued (AFD-All),4474,
E02001965,8,Tickets Issued (AFD-All),10951,
E02001966,8,Tickets Issued (AFD-All),1642,
E02001967,8,Tickets Issued (AFD-All),17818,
E02001968,8,Tickets Issued (AFD-All),6251,
E02001969,8,Tickets Issued (AFD-All),6580,
E02001970,8,Tickets Issued (AFD-All),5823,
E02001971,8,Tickets Issued (AFD-All),11590,
E02001972,8,Tickets Issued (AFD-All),2551,
E02001973,8,Tickets Issued (AFD-All),6013,
E02001974,8,Tickets Issued (AFD-All),21145,
E02001975,8,Tickets Issued (AFD-All),11111,
E02001976,8,Tickets Issued (AFD-All),8773,
E02001977,8,Tickets Issued (AFD-All),7095,
E02001978,8,Tickets Issued (AFD-All),7707,
E02001979,8,Tickets Issued (AFD-All),12257,
E02001980,8,Tickets Issued (AFD-All),15796,
E02001981,8,Tickets Issued (AFD-All),2770,
E02001982,8,Tickets Issued (AFD-All),17096,
E02001983,8,Tickets Issued (AFD-All),17129,
E02001984,8,Tickets Issued (AFD-All),15271,
E02001985,8,Tickets Issued (AFD-All),3399,
E02001986,8,Tickets Issued (AFD-All),9971,
E02001987,8,Tickets Issued (AFD-All),14609,
E02001988,8,Tickets Issued (AFD-All),9494,
E02001989,8,Tickets Issued (AFD-All),10030,
E02001990,8,Tickets Issued (AFD-All),17011,
E02001991,8,Tickets Issued (AFD-All),37639,
E02001992,8,Tickets Issued (AFD-All),8259,
E02001993,8,Tickets Issued (AFD-All),15784,
E02001994,8,Tickets Issued (AFD-All),15613,
E02001995,8,Tickets Issued (AFD-All),9686,
E02001996,8,Tickets Issued (AFD-All),4977,
E02001997,8,Tickets Issued (AFD-All),22882,
E02001998,8,Tickets Issued (AFD-All),15260,
E02001999,8,Tickets Issued (AFD-All),18683,
E02006805,8,Tickets Issued (AFD-All),6411,
E02001958,9,Total income (AFD Bookers at Cov Venues),93622.6,
E02001959,9,Total income (AFD Bookers at Cov Venues),102687.59,
E02001961,9,Total income (AFD Bookers at Cov Venues),69620.79,
E02001962,9,Total income (AFD Bookers at Cov Venues),44060.68,
E02001963,9,Total income (AFD Bookers at Cov Venues),129575.82,
E02001964,9,Total income (AFD Bookers at Cov Venues),54218.53,
E02001965,9,Total income (AFD Bookers at Cov Venues),128623.96,
E02001966,9,Total income (AFD Bookers at Cov Venues),17904.05,
E02001967,9,Total income (AFD Bookers at Cov Venues),216886.71,
E02001968,9,Total income (AFD Bookers at Cov Venues),79263.2,
E02001969,9,Total income (AFD Bookers at Cov Venues),88701.95,
E02001970,9,Total income (AFD Bookers at Cov Venues),75497.83,
E02001971,9,Total income (AFD Bookers at Cov Venues),147518.16,
E02001972,9,Total income (AFD Bookers at Cov Venues),29247.49,
E02001973,9,Total income (AFD Bookers at Cov Venues),75160.94,
E02001974,9,Total income (AFD Bookers at Cov Venues),271819.39,
E02001975,9,Total income (AFD Bookers at Cov Venues),140151.35,
E02001976,9,Total income (AFD Bookers at Cov Venues),104312.99,
E02001977,9,Total income (AFD Bookers at Cov Venues),79703.46,
E02001978,9,Total income (AFD Bookers at Cov Venues),99050.04,
E02001979,9,Total income (AFD Bookers at Cov Venues),156398.13,
E02001980,9,Total income (AFD Bookers at Cov Venues),186657.13,
E02001981,9,Total income (AFD Bookers at Cov Venues),28873.02,
E02001982,9,Total income (AFD Bookers at Cov Venues),201410.01,
E02001983,9,Total income (AFD Bookers at Cov Venues),196445.24,
E02001984,9,Total income (AFD Bookers at Cov Venues),171496.17,
E02001985,9,Total income (AFD Bookers at Cov Venues),36686.3,
E02001986,9,Total income (AFD Bookers at Cov Venues),115049.06,
E02001987,9,Total income (AFD Bookers at Cov Venues),130789.12,
E02001988,9,Total income (AFD Bookers at Cov Venues),89427.24,
E02001989,9,Total income (AFD Bookers at Cov Venues),120235.01,
E02001990,9,Total income (AFD Bookers at Cov Venues),213802.16,
E02001991,9,Total income (AFD Bookers at Cov Venues),357462.48,
E02001992,9,Total income (AFD Bookers at Cov Venues),106614.63,
E02001993,9,Total income (AFD Bookers at Cov Venues),160977.31,
E02001994,9,Total income (AFD Bookers at Cov Venues),181599.01,
E02001995,9,Total income (AFD Bookers at Cov Venues),114007.89,
E02001996,9,Total income (AFD Bookers at Cov Venues),66252.65,
E02001997,9,Total income (AFD Bookers at Cov Venues),259239.31,
E02001998,9,Total income (AFD Bookers at Cov Venues),176181.85,
E02001999,9,Total income (AFD Bookers at Cov Venues),182397.06,
E02006805,9,Total income (AFD Bookers at Cov Venues),79579.49,
E02001958,10,Total income (AFD-All Bookers),178307.2,
E02001959,10,Total income (AFD-All Bookers),172363.03,
E02001961,10,Total income (AFD-All Bookers),110748.18,
E02001962,10,Total income (AFD-All Bookers),72619.58,
E02001963,10,Total income (AFD-All Bookers),220867.21,
E02001964,10,Total income (AFD-All Bookers),92201.93,
E02001965,10,Total income (AFD-All Bookers),252611.62,
E02001966,10,Total income (AFD-All Bookers),28779.35,
E02001967,10,Total income (AFD-All Bookers),403944.73,
E02001968,10,Total income (AFD-All Bookers),126444.32,
E02001969,10,Total income (AFD-All Bookers),124651.65,
E02001970,10,Total income (AFD-All Bookers),129846.51,
E02001971,10,Total income (AFD-All Bookers),245458.92,
E02001972,10,Total income (AFD-All Bookers),43094.99,
E02001973,10,Total income (AFD-All Bookers),119132.17,
E02001974,10,Total income (AFD-All Bookers),439740.8,
E02001975,10,Total income (AFD-All Bookers),233193.37,
E02001976,10,Total income (AFD-All Bookers),185934.26,
E02001977,10,Total income (AFD-All Bookers),131542.87,
E02001978,10,Total income (AFD-All Bookers),165497.11,
E02001979,10,Total income (AFD-All Bookers),262667.8,
E02001980,10,Total income (AFD-All Bookers),358430.11,
E02001981,10,Total income (AFD-All Bookers),50410.2,
E02001982,10,Total income (AFD-All Bookers),383494.75,
E02001983,10,Total income (AFD-All Bookers),364062,
E02001984,10,Total income (AFD-All Bookers),314615.82,
E02001985,10,Total income (AFD-All Bookers),64199.15,
E02001986,10,Total income (AFD-All Bookers),210817.6,
E02001987,10,Total income (AFD-All Bookers),254857.88,
E02001988,10,Total income (AFD-All Bookers),184939.01,
E02001989,10,Total income (AFD-All Bookers),195690.18,
E02001990,10,Total income (AFD-All Bookers),378633.5,
E02001991,10,Total income (AFD-All Bookers),754507.44,
E02001992,10,Total income (AFD-All Bookers),176438.75,
E02001993,10,Total income (AFD-All Bookers),308307.4,
E02001994,10,Total income (AFD-All Bookers),320337.83,
E02001995,10,Total income (AFD-All Bookers),205730.22,
E02001996,10,Total income (AFD-All Bookers),93884.83,
E02001997,10,Total income (AFD-All Bookers),488817.15,
E02001998,10,Total income (AFD-All Bookers),312635.77,
E02001999,10,Total income (AFD-All Bookers),350460.53,
E02006805,10,Total income (AFD-All Bookers),122233.58,
E02001958,11,Number of Bookers (AFD Bookers at Cov Venues),715,
E02001959,11,Number of Bookers (AFD Bookers at Cov Venues),735,
E02001961,11,Number of Bookers (AFD Bookers at Cov Venues),581,
E02001962,11,Number of Bookers (AFD Bookers at Cov Venues),370,
E02001963,11,Number of Bookers (AFD Bookers at Cov Venues),835,
E02001964,11,Number of Bookers (AFD Bookers at Cov Venues),517,
E02001965,11,Number of Bookers (AFD Bookers at Cov Venues),927,
E02001966,11,Number of Bookers (AFD Bookers at Cov Venues),182,
E02001967,11,Number of Bookers (AFD Bookers at Cov Venues),1284,
E02001968,11,Number of Bookers (AFD Bookers at Cov Venues),635,
E02001969,11,Number of Bookers (AFD Bookers at Cov Venues),685,
E02001970,11,Number of Bookers (AFD Bookers at Cov Venues),588,
E02001971,11,Number of Bookers (AFD Bookers at Cov Venues),908,
E02001972,11,Number of Bookers (AFD Bookers at Cov Venues),292,
E02001973,11,Number of Bookers (AFD Bookers at Cov Venues),624,
E02001974,11,Number of Bookers (AFD Bookers at Cov Venues),1646,
E02001975,11,Number of Bookers (AFD Bookers at Cov Venues),896,
E02001976,11,Number of Bookers (AFD Bookers at Cov Venues),811,
E02001977,11,Number of Bookers (AFD Bookers at Cov Venues),805,
E02001978,11,Number of Bookers (AFD Bookers at Cov Venues),706,
E02001979,11,Number of Bookers (AFD Bookers at Cov Venues),1037,
E02001980,11,Number of Bookers (AFD Bookers at Cov Venues),1071,
E02001981,11,Number of Bookers (AFD Bookers at Cov Venues),342,
E02001982,11,Number of Bookers (AFD Bookers at Cov Venues),1425,
E02001983,11,Number of Bookers (AFD Bookers at Cov Venues),1359,
E02001984,11,Number of Bookers (AFD Bookers at Cov Venues),1265,
E02001985,11,Number of Bookers (AFD Bookers at Cov Venues),416,
E02001986,11,Number of Bookers (AFD Bookers at Cov Venues),911,
E02001987,11,Number of Bookers (AFD Bookers at Cov Venues),1330,
E02001988,11,Number of Bookers (AFD Bookers at Cov Venues),849,
E02001989,11,Number of Bookers (AFD Bookers at Cov Venues),962,
E02001990,11,Number of Bookers (AFD Bookers at Cov Venues),1383,
E02001991,11,Number of Bookers (AFD Bookers at Cov Venues),2211,
E02001992,11,Number of Bookers (AFD Bookers at Cov Venues),849,
E02001993,11,Number of Bookers (AFD Bookers at Cov Venues),1313,
E02001994,11,Number of Bookers (AFD Bookers at Cov Venues),1167,
E02001995,11,Number of Bookers (AFD Bookers at Cov Venues),930,
E02001996,11,Number of Bookers (AFD Bookers at Cov Venues),483,
E02001997,11,Number of Bookers (AFD Bookers at Cov Venues),1432,
E02001998,11,Number of Bookers (AFD Bookers at Cov Venues),1074,
E02001999,11,Number of Bookers (AFD Bookers at Cov Venues),1537,
E02006805,11,Number of Bookers (AFD Bookers at Cov Venues),663,
E02001958,12,Number of Bookers (AFD-All) ,997,
E02001959,12,Number of Bookers (AFD-All) ,928,
E02001961,12,Number of Bookers (AFD-All) ,758,
E02001962,12,Number of Bookers (AFD-All) ,495,
E02001963,12,Number of Bookers (AFD-All) ,1056,
E02001964,12,Number of Bookers (AFD-All) ,681,
E02001965,12,Number of Bookers (AFD-All) ,1228,
E02001966,12,Number of Bookers (AFD-All) ,245,
E02001967,12,Number of Bookers (AFD-All) ,1616,
E02001968,12,Number of Bookers (AFD-All) ,818,
E02001969,12,Number of Bookers (AFD-All) ,818,
E02001970,12,Number of Bookers (AFD-All) ,758,
E02001971,12,Number of Bookers (AFD-All) ,1141,
E02001972,12,Number of Bookers (AFD-All) ,392,
E02001973,12,Number of Bookers (AFD-All) ,809,
E02001974,12,Number of Bookers (AFD-All) ,2002,
E02001975,12,Number of Bookers (AFD-All) ,1166,
E02001976,12,Number of Bookers (AFD-All) ,1026,
E02001977,12,Number of Bookers (AFD-All) ,1082,
E02001978,12,Number of Bookers (AFD-All) ,903,
E02001979,12,Number of Bookers (AFD-All) ,1279,
E02001980,12,Number of Bookers (AFD-All) ,1375,
E02001981,12,Number of Bookers (AFD-All) ,502,
E02001982,12,Number of Bookers (AFD-All) ,1867,
E02001983,12,Number of Bookers (AFD-All) ,1727,
E02001984,12,Number of Bookers (AFD-All) ,1646,
E02001985,12,Number of Bookers (AFD-All) ,600,
E02001986,12,Number of Bookers (AFD-All) ,1190,
E02001987,12,Number of Bookers (AFD-All) ,1785,
E02001988,12,Number of Bookers (AFD-All) ,1205,
E02001989,12,Number of Bookers (AFD-All) ,1228,
E02001990,12,Number of Bookers (AFD-All) ,1790,
E02001991,12,Number of Bookers (AFD-All) ,2785,
E02001992,12,Number of Bookers (AFD-All) ,1091,
E02001993,12,Number of Bookers (AFD-All) ,1652,
E02001994,12,Number of Bookers (AFD-All) ,1498,
E02001995,12,Number of Bookers (AFD-All) ,1282,
E02001996,12,Number of Bookers (AFD-All) ,597,
E02001997,12,Number of Bookers (AFD-All) ,1770,
