MSOA,Attribute,Value,%,DupValues+.01
E02001967,Adult Skills Sub-domain Score,0.258537415,,0.258537415
E02001974,Adult Skills Sub-domain Score,0.264686655,,0.264686655
E02001988,Adult Skills Sub-domain Score,0.270980875,,0.270980875
E02001983,Adult Skills Sub-domain Score,0.272725711,,0.272725711
E02001994,Adult Skills Sub-domain Score,0.276856133,,0.276856133
E02001990,Adult Skills Sub-domain Score,0.283056019,,0.283056019
E02001971,Adult Skills Sub-domain Score,0.29206539,,0.29206539
E02001995,Adult Skills Sub-domain Score,0.304461202,,0.304461202
E02001989,Adult Skills Sub-domain Score,0.304496874,,0.304496874
E02001965,Adult Skills Sub-domain Score,0.305309342,,0.305309342
E02006805,Adult Skills Sub-domain Score,0.305574589,,0.305574589
E02001984,Adult Skills Sub-domain Score,0.308580155,,0.308580155
E02001985,Adult Skills Sub-domain Score,0.325280324,,0.325280324
E02001963,Adult Skills Sub-domain Score,0.331687318,,0.331687318
E02001978,Adult Skills Sub-domain Score,0.335059369,,0.335059369
E02001976,Adult Skills Sub-domain Score,0.336785179,,0.336785179
E02001975,Adult Skills Sub-domain Score,0.337005579,,0.337005579
E02001993,Adult Skills Sub-domain Score,0.3500679,,0.3500679
E02001959,Adult Skills Sub-domain Score,0.353373001,,0.353373001
E02001977,Adult Skills Sub-domain Score,0.360415741,,0.360415741
E02001970,Adult Skills Sub-domain Score,0.369716436,,0.369716436
E02001958,Adult Skills Sub-domain Score,0.379138245,,0.379138245
E02001968,Adult Skills Sub-domain Score,0.386311068,,0.386311068
E02001986,Adult Skills Sub-domain Score,0.391271163,,0.391271163
E02001969,Adult Skills Sub-domain Score,0.407336473,,0.407336473
E02001973,Adult Skills Sub-domain Score,0.42847435,,0.42847435
E02001992,Adult Skills Sub-domain Score,0.430207581,,0.430207581
E02001962,Adult Skills Sub-domain Score,0.44024215,,0.44024215
E02001981,Adult Skills Sub-domain Score,0.452998127,,0.452998127
E02001961,Adult Skills Sub-domain Score,0.4731269,,0.4731269
E02001966,Adult Skills Sub-domain Score,0.484177046,,0.484177046
E02001996,Adult Skills Sub-domain Score,0.49389381,,0.49389381
E02001972,Adult Skills Sub-domain Score,0.510870994,,0.510870994
E02001964,Adult Skills Sub-domain Score,0.5321409,,0.5321409
E02001979,Adults 15+ estimate 2018,5001,1.73%,0.0173
E02001970,Adults 15+ estimate 2018,5025,1.73%,0.0273
E02001971,Adults 15+ estimate 2018,5059,1.75%,0.0175
E02001966,Adults 15+ estimate 2018,5195,1.79%,0.0179
E02001998,Adults 15+ estimate 2018,5197,1.79%,0.0279
E02001962,Adults 15+ estimate 2018,5229,1.80%,0.018
E02001963,Adults 15+ estimate 2018,5238,1.81%,0.0181
E02001969,Adults 15+ estimate 2018,5349,1.85%,0.0185
E02001989,Adults 15+ estimate 2018,5372,1.85%,0.0285
E02001980,Adults 15+ estimate 2018,5383,1.86%,0.0186
E02001978,Adults 15+ estimate 2018,5496,1.90%,0.019
E02001996,Adults 15+ estimate 2018,5724,1.97%,0.0197
E02001959,Adults 15+ estimate 2018,5756,1.99%,0.0199
E02001967,Adults 15+ estimate 2018,5920,2.04%,0.0204
E02001987,Adults 15+ estimate 2018,6130,2.11%,0.0211
E02001968,Adults 15+ estimate 2018,6258,2.16%,0.0216
E02001975,Adults 15+ estimate 2018,6515,2.25%,0.0225
E02001976,Adults 15+ estimate 2018,6530,2.25%,0.0325
E02001993,Adults 15+ estimate 2018,6554,2.26%,0.0226
E02001961,Adults 15+ estimate 2018,6578,2.27%,0.0227
E02001983,Adults 15+ estimate 2018,6608,2.28%,0.0228
E02001958,Adults 15+ estimate 2018,6717,2.32%,0.0232
E02001986,Adults 15+ estimate 2018,6734,2.32%,0.0332
E02001965,Adults 15+ estimate 2018,7030,2.43%,0.0243
E02001973,Adults 15+ estimate 2018,7053,2.43%,0.0343
E02001994,Adults 15+ estimate 2018,7122,2.46%,0.0246
E02001982,Adults 15+ estimate 2018,7144,2.46%,0.0346
E02006805,Adults 15+ estimate 2018,7236,2.50%,0.025
E02001964,Adults 15+ estimate 2018,7391,2.55%,0.0255
E02001997,Adults 15+ estimate 2018,7522,2.59%,0.0259
E02001995,Adults 15+ estimate 2018,8076,2.79%,0.0279
E02001985,Adults 15+ estimate 2018,8113,2.80%,0.028
E02001991,Adults 15+ estimate 2018,8114,2.80%,0.038
E02001974,Adults 15+ estimate 2018,8166,2.82%,0.0282
E02001977,Adults 15+ estimate 2018,8171,2.82%,0.0382
E02001990,Adults 15+ estimate 2018,8242,2.84%,0.0284
E02001992,Adults 15+ estimate 2018,8290,2.86%,0.0286
E02001972,Adults 15+ estimate 2018,8349,2.88%,0.0288
E02001984,Adults 15+ estimate 2018,8561,2.95%,0.0295
E02001988,Adults 15+ estimate 2018,9626,3.32%,0.0332
E02001981,Adults 15+ estimate 2018,10483,3.62%,0.0362
E02001999,Adults 15+ estimate 2018,11627,4.01%,0.0401
E02001961,AFD-All_Audience Spectrum_Commuter-land Culturebuffs,0,0.00%,0
E02001962,AFD-All_Audience Spectrum_Commuter-land Culturebuffs,0,0.00%,0.01
E02001964,AFD-All_Audience Spectrum_Commuter-land Culturebuffs,0,0.00%,0.01
E02001966,AFD-All_Audience Spectrum_Commuter-land Culturebuffs,0,0.00%,0.01
E02001969,AFD-All_Audience Spectrum_Commuter-land Culturebuffs,0,0.00%,0.01
E02001970,AFD-All_Audience Spectrum_Commuter-land Culturebuffs,0,0.00%,0.01
E02001975,AFD-All_Audience Spectrum_Commuter-land Culturebuffs,0,0.00%,0.01
E02001981,AFD-All_Audience Spectrum_Commuter-land Culturebuffs,0,0.00%,0.01
E02001985,AFD-All_Audience Spectrum_Commuter-land Culturebuffs,0,0.00%,0.01
E02001996,AFD-All_Audience Spectrum_Commuter-land Culturebuffs,0,0.00%,0.01
E02006805,AFD-All_Audience Spectrum_Commuter-land Culturebuffs,0,0.00%,0.01
E02001987,AFD-All_Audience Spectrum_Commuter-land Culturebuffs,2,0.11%,0.0011
E02001973,AFD-All_Audience Spectrum_Commuter-land Culturebuffs,1,0.12%,0.0012
E02001992,AFD-All_Audience Spectrum_Commuter-land Culturebuffs,2,0.18%,0.0018
E02001972,AFD-All_Audience Spectrum_Commuter-land Culturebuffs,1,0.26%,0.0026
E02001978,AFD-All_Audience Spectrum_Commuter-land Culturebuffs,3,0.33%,0.0033
E02001977,AFD-All_Audience Spectrum_Commuter-land Culturebuffs,4,0.37%,0.0037
E02001995,AFD-All_Audience Spectrum_Commuter-land Culturebuffs,5,0.39%,0.0039
E02001959,AFD-All_Audience Spectrum_Commuter-land Culturebuffs,5,0.54%,0.0054
E02001974,AFD-All_Audience Spectrum_Commuter-land Culturebuffs,14,0.70%,0.007
E02001958,AFD-All_Audience Spectrum_Commuter-land Culturebuffs,9,0.90%,0.009
E02001968,AFD-All_Audience Spectrum_Commuter-land Culturebuffs,9,1.10%,0.011
E02001963,AFD-All_Audience Spectrum_Commuter-land Culturebuffs,13,1.23%,0.0123
E02001979,AFD-All_Audience Spectrum_Commuter-land Culturebuffs,19,1.49%,0.0149
E02001971,AFD-All_Audience Spectrum_Commuter-land Culturebuffs,18,1.58%,0.0158
E02001988,AFD-All_Audience Spectrum_Commuter-land Culturebuffs,21,1.74%,0.0174
E02001989,AFD-All_Audience Spectrum_Commuter-land Culturebuffs,23,1.87%,0.0187
E02001965,AFD-All_Audience Spectrum_Commuter-land Culturebuffs,27,2.20%,0.022
E02001983,AFD-All_Audience Spectrum_Commuter-land Culturebuffs,40,2.32%,0.0232
E02001984,AFD-All_Audience Spectrum_Commuter-land Culturebuffs,55,3.34%,0.0334
E02001976,AFD-All_Audience Spectrum_Commuter-land Culturebuffs,47,4.58%,0.0458
E02001982,AFD-All_Audience Spectrum_Commuter-land Culturebuffs,121,6.48%,0.0648
E02001990,AFD-All_Audience Spectrum_Commuter-land Culturebuffs,147,8.21%,0.0821
E02001986,AFD-All_Audience Spectrum_Commuter-land Culturebuffs,103,8.66%,0.0866
E02001994,AFD-All_Audience Spectrum_Commuter-land Culturebuffs,141,9.41%,0.0941
E02001998,AFD-All_Audience Spectrum_Commuter-land Culturebuffs,208,15.65%,0.1565
E02001980,AFD-All_Audience Spectrum_Commuter-land Culturebuffs,277,20.15%,0.2015
E02001967,AFD-All_Audience Spectrum_Commuter-land Culturebuffs,337,20.85%,0.2085
E02001993,AFD-All_Audience Spectrum_Commuter-land Culturebuffs,441,26.69%,0.2669
E02001999,AFD-All_Audience Spectrum_Commuter-land Culturebuffs,685,36.79%,0.3679
E02001991,AFD-All_Audience Spectrum_Commuter-land Culturebuffs,1105,39.68%,0.3968
E02001997,AFD-All_Audience Spectrum_Commuter-land Culturebuffs,770,43.50%,0.435
E02001966,AFD-All_Audience Spectrum_Dormitory Dependables,0,0.00%,0
E02001972,AFD-All_Audience Spectrum_Dormitory Dependables,0,0.00%,0.01
E02001981,AFD-All_Audience Spectrum_Dormitory Dependables,0,0.00%,0.01
E02001985,AFD-All_Audience Spectrum_Dormitory Dependables,0,0.00%,0.01
E02001962,AFD-All_Audience Spectrum_Dormitory Dependables,2,0.40%,0.004
E02001977,AFD-All_Audience Spectrum_Dormitory Dependables,7,0.65%,0.0065
E02001973,AFD-All_Audience Spectrum_Dormitory Dependables,6,0.74%,0.0074
E02001961,AFD-All_Audience Spectrum_Dormitory Dependables,7,0.92%,0.0092
E02001969,AFD-All_Audience Spectrum_Dormitory Dependables,8,0.98%,0.0098
E02001987,AFD-All_Audience Spectrum_Dormitory Dependables,23,1.29%,0.0129
E02001988,AFD-All_Audience Spectrum_Dormitory Dependables,16,1.33%,0.0133
E02001968,AFD-All_Audience Spectrum_Dormitory Dependables,12,1.47%,0.0147
E02006805,AFD-All_Audience Spectrum_Dormitory Dependables,14,1.67%,0.0167
E02001964,AFD-All_Audience Spectrum_Dormitory Dependables,18,2.64%,0.0264
E02001996,AFD-All_Audience Spectrum_Dormitory Dependables,17,2.85%,0.0285
E02001992,AFD-All_Audience Spectrum_Dormitory Dependables,33,3.02%,0.0302
E02001995,AFD-All_Audience Spectrum_Dormitory Dependables,46,3.59%,0.0359
E02001958,AFD-All_Audience Spectrum_Dormitory Dependables,53,5.32%,0.0532
E02001970,AFD-All_Audience Spectrum_Dormitory Dependables,43,5.67%,0.0567
E02001978,AFD-All_Audience Spectrum_Dormitory Dependables,52,5.76%,0.0576
E02001975,AFD-All_Audience Spectrum_Dormitory Dependables,69,5.92%,0.0592
E02001993,AFD-All_Audience Spectrum_Dormitory Dependables,103,6.23%,0.0623
E02001976,AFD-All_Audience Spectrum_Dormitory Dependables,74,7.21%,0.0721
E02001984,AFD-All_Audience Spectrum_Dormitory Dependables,137,8.32%,0.0832
E02001971,AFD-All_Audience Spectrum_Dormitory Dependables,130,11.39%,0.1139
E02001959,AFD-All_Audience Spectrum_Dormitory Dependables,115,12.39%,0.1239
E02001989,AFD-All_Audience Spectrum_Dormitory Dependables,174,14.17%,0.1417
E02001991,AFD-All_Audience Spectrum_Dormitory Dependables,401,14.40%,0.144
E02001986,AFD-All_Audience Spectrum_Dormitory Dependables,177,14.87%,0.1487
E02001999,AFD-All_Audience Spectrum_Dormitory Dependables,283,15.20%,0.152
E02001983,AFD-All_Audience Spectrum_Dormitory Dependables,326,18.88%,0.1888
E02001965,AFD-All_Audience Spectrum_Dormitory Dependables,263,21.42%,0.2142
E02001994,AFD-All_Audience Spectrum_Dormitory Dependables,327,21.83%,0.2183
E02001963,AFD-All_Audience Spectrum_Dormitory Dependables,234,22.16%,0.2216
E02001974,AFD-All_Audience Spectrum_Dormitory Dependables,449,22.43%,0.2243
E02001979,AFD-All_Audience Spectrum_Dormitory Dependables,310,24.24%,0.2424
E02001990,AFD-All_Audience Spectrum_Dormitory Dependables,514,28.72%,0.2872
E02001980,AFD-All_Audience Spectrum_Dormitory Dependables,410,29.82%,0.2982
E02001997,AFD-All_Audience Spectrum_Dormitory Dependables,574,32.43%,0.3243
E02001982,AFD-All_Audience Spectrum_Dormitory Dependables,658,35.24%,0.3524
E02001967,AFD-All_Audience Spectrum_Dormitory Dependables,582,36.01%,0.3601
E02001998,AFD-All_Audience Spectrum_Dormitory Dependables,583,43.87%,0.4387
E02001959,AFD-All_Audience Spectrum_Experience Seekers,0,0.00%,0
E02001961,AFD-All_Audience Spectrum_Experience Seekers,0,0.00%,0.01
E02001962,AFD-All_Audience Spectrum_Experience Seekers,0,0.00%,0.01
E02001963,AFD-All_Audience Spectrum_Experience Seekers,0,0.00%,0.01
E02001964,AFD-All_Audience Spectrum_Experience Seekers,0,0.00%,0.01
E02001971,AFD-All_Audience Spectrum_Experience Seekers,0,0.00%,0.01
E02001975,AFD-All_Audience Spectrum_Experience Seekers,0,0.00%,0.01
E02001996,AFD-All_Audience Spectrum_Experience Seekers,0,0.00%,0.01
E02006805,AFD-All_Audience Spectrum_Experience Seekers,0,0.00%,0.01
E02001998,AFD-All_Audience Spectrum_Experience Seekers,2,0.15%,0.0015
E02001969,AFD-All_Audience Spectrum_Experience Seekers,2,0.24%,0.0024
E02001965,AFD-All_Audience Spectrum_Experience Seekers,3,0.24%,0.0124
E02001990,AFD-All_Audience Spectrum_Experience Seekers,7,0.39%,0.0039
E02001992,AFD-All_Audience Spectrum_Experience Seekers,5,0.46%,0.0046
E02001968,AFD-All_Audience Spectrum_Experience Seekers,4,0.49%,0.0049
E02001976,AFD-All_Audience Spectrum_Experience Seekers,5,0.49%,0.0149
E02001967,AFD-All_Audience Spectrum_Experience Seekers,13,0.80%,0.008
E02001978,AFD-All_Audience Spectrum_Experience Seekers,8,0.89%,0.0089
E02001970,AFD-All_Audience Spectrum_Experience Seekers,7,0.92%,0.0092
E02001972,AFD-All_Audience Spectrum_Experience Seekers,4,1.02%,0.0102
E02001966,AFD-All_Audience Spectrum_Experience Seekers,3,1.22%,0.0122
E02001997,AFD-All_Audience Spectrum_Experience Seekers,22,1.24%,0.0124
E02001986,AFD-All_Audience Spectrum_Experience Seekers,16,1.34%,0.0134
E02001979,AFD-All_Audience Spectrum_Experience Seekers,24,1.88%,0.0188
E02001973,AFD-All_Audience Spectrum_Experience Seekers,16,1.98%,0.0198
E02001989,AFD-All_Audience Spectrum_Experience Seekers,26,2.12%,0.0212
E02001958,AFD-All_Audience Spectrum_Experience Seekers,27,2.71%,0.0271
E02001984,AFD-All_Audience Spectrum_Experience Seekers,49,2.98%,0.0298
E02001994,AFD-All_Audience Spectrum_Experience Seekers,53,3.54%,0.0354
E02001980,AFD-All_Audience Spectrum_Experience Seekers,54,3.93%,0.0393
E02001974,AFD-All_Audience Spectrum_Experience Seekers,96,4.80%,0.048
E02001982,AFD-All_Audience Spectrum_Experience Seekers,128,6.86%,0.0686
E02001983,AFD-All_Audience Spectrum_Experience Seekers,127,7.35%,0.0735
E02001993,AFD-All_Audience Spectrum_Experience Seekers,144,8.72%,0.0872
E02001995,AFD-All_Audience Spectrum_Experience Seekers,178,13.88%,0.1388
E02001981,AFD-All_Audience Spectrum_Experience Seekers,135,26.89%,0.2689
E02001999,AFD-All_Audience Spectrum_Experience Seekers,548,29.43%,0.2943
E02001991,AFD-All_Audience Spectrum_Experience Seekers,825,29.62%,0.2962
E02001977,AFD-All_Audience Spectrum_Experience Seekers,455,42.05%,0.4205
E02001985,AFD-All_Audience Spectrum_Experience Seekers,312,52.00%,0.52
E02001988,AFD-All_Audience Spectrum_Experience Seekers,821,68.13%,0.6813
E02001987,AFD-All_Audience Spectrum_Experience Seekers,1549,86.78%,0.8678
E02001991,AFD-All_Audience Spectrum_Facebook Families,3,0.11%,0.0011
E02001998,AFD-All_Audience Spectrum_Facebook Families,3,0.23%,0.0023
E02001999,AFD-All_Audience Spectrum_Facebook Families,7,0.38%,0.0038
E02001979,AFD-All_Audience Spectrum_Facebook Families,7,0.55%,0.0055
E02001980,AFD-All_Audience Spectrum_Facebook Families,8,0.58%,0.0058
E02001997,AFD-All_Audience Spectrum_Facebook Families,11,0.62%,0.0062
E02001974,AFD-All_Audience Spectrum_Facebook Families,21,1.05%,0.0105
E02001988,AFD-All_Audience Spectrum_Facebook Families,14,1.16%,0.0116
E02001987,AFD-All_Audience Spectrum_Facebook Families,23,1.29%,0.0129
E02001967,AFD-All_Audience Spectrum_Facebook Families,22,1.36%,0.0136
E02001990,AFD-All_Audience Spectrum_Facebook Families,59,3.30%,0.033
E02001982,AFD-All_Audience Spectrum_Facebook Families,63,3.37%,0.0337
E02001983,AFD-All_Audience Spectrum_Facebook Families,71,4.11%,0.0411
E02001971,AFD-All_Audience Spectrum_Facebook Families,50,4.38%,0.0438
E02001963,AFD-All_Audience Spectrum_Facebook Families,54,5.11%,0.0511
E02001994,AFD-All_Audience Spectrum_Facebook Families,85,5.67%,0.0567
E02001975,AFD-All_Audience Spectrum_Facebook Families,77,6.60%,0.066
E02001984,AFD-All_Audience Spectrum_Facebook Families,139,8.44%,0.0844
E02001978,AFD-All_Audience Spectrum_Facebook Families,80,8.86%,0.0886
E02001965,AFD-All_Audience Spectrum_Facebook Families,117,9.53%,0.0953
E02001985,AFD-All_Audience Spectrum_Facebook Families,62,10.33%,0.1033
E02001995,AFD-All_Audience Spectrum_Facebook Families,134,10.45%,0.1045
E02001976,AFD-All_Audience Spectrum_Facebook Families,108,10.53%,0.1053
E02001989,AFD-All_Audience Spectrum_Facebook Families,135,10.99%,0.1099
E02001970,AFD-All_Audience Spectrum_Facebook Families,92,12.14%,0.1214
E02001959,AFD-All_Audience Spectrum_Facebook Families,114,12.28%,0.1228
E02001966,AFD-All_Audience Spectrum_Facebook Families,38,15.51%,0.1551
E02001977,AFD-All_Audience Spectrum_Facebook Families,170,15.71%,0.1571
E02001958,AFD-All_Audience Spectrum_Facebook Families,171,17.15%,0.1715
E02001986,AFD-All_Audience Spectrum_Facebook Families,210,17.65%,0.1765
E02001981,AFD-All_Audience Spectrum_Facebook Families,91,18.13%,0.1813
E02001993,AFD-All_Audience Spectrum_Facebook Families,355,21.49%,0.2149
E02001972,AFD-All_Audience Spectrum_Facebook Families,108,27.55%,0.2755
E02001968,AFD-All_Audience Spectrum_Facebook Families,240,29.34%,0.2934
E02001992,AFD-All_Audience Spectrum_Facebook Families,323,29.61%,0.2961
E02001973,AFD-All_Audience Spectrum_Facebook Families,291,35.97%,0.3597
E02001969,AFD-All_Audience Spectrum_Facebook Families,297,36.31%,0.3631
E02001996,AFD-All_Audience Spectrum_Facebook Families,227,38.02%,0.3802
E02001962,AFD-All_Audience Spectrum_Facebook Families,212,42.83%,0.4283
E02006805,AFD-All_Audience Spectrum_Facebook Families,362,43.10%,0.431
E02001961,AFD-All_Audience Spectrum_Facebook Families,331,43.67%,0.4367
E02001964,AFD-All_Audience Spectrum_Facebook Families,307,45.08%,0.4508
E02001980,AFD-All_Audience Spectrum_Heydays,0,0.00%,0
E02001991,AFD-All_Audience Spectrum_Heydays,0,0.00%,0.01
E02001987,AFD-All_Audience Spectrum_Heydays,1,0.06%,0.0006
E02001998,AFD-All_Audience Spectrum_Heydays,1,0.08%,0.0008
E02001979,AFD-All_Audience Spectrum_Heydays,2,0.16%,0.0016
E02001974,AFD-All_Audience Spectrum_Heydays,10,0.50%,0.005
E02001997,AFD-All_Audience Spectrum_Heydays,10,0.56%,0.0056
E02001967,AFD-All_Audience Spectrum_Heydays,10,0.62%,0.0062
E02001990,AFD-All_Audience Spectrum_Heydays,12,0.67%,0.0067
E02001982,AFD-All_Audience Spectrum_Heydays,20,1.07%,0.0107
E02001978,AFD-All_Audience Spectrum_Heydays,10,1.11%,0.0111
E02001975,AFD-All_Audience Spectrum_Heydays,13,1.11%,0.0211
E02001999,AFD-All_Audience Spectrum_Heydays,30,1.61%,0.0161
E02001983,AFD-All_Audience Spectrum_Heydays,30,1.74%,0.0174
E02001959,AFD-All_Audience Spectrum_Heydays,17,1.83%,0.0183
E02001971,AFD-All_Audience Spectrum_Heydays,21,1.84%,0.0184
E02001965,AFD-All_Audience Spectrum_Heydays,25,2.04%,0.0204
E02001994,AFD-All_Audience Spectrum_Heydays,34,2.27%,0.0227
E02001984,AFD-All_Audience Spectrum_Heydays,39,2.37%,0.0237
E02001963,AFD-All_Audience Spectrum_Heydays,29,2.75%,0.0275
E02001989,AFD-All_Audience Spectrum_Heydays,34,2.77%,0.0277
E02001970,AFD-All_Audience Spectrum_Heydays,23,3.03%,0.0303
E02001976,AFD-All_Audience Spectrum_Heydays,40,3.90%,0.039
E02001988,AFD-All_Audience Spectrum_Heydays,56,4.65%,0.0465
E02001968,AFD-All_Audience Spectrum_Heydays,43,5.26%,0.0526
E02001985,AFD-All_Audience Spectrum_Heydays,32,5.33%,0.0533
E02001995,AFD-All_Audience Spectrum_Heydays,71,5.54%,0.0554
E02001958,AFD-All_Audience Spectrum_Heydays,62,6.22%,0.0622
E02001962,AFD-All_Audience Spectrum_Heydays,33,6.67%,0.0667
E02001986,AFD-All_Audience Spectrum_Heydays,80,6.72%,0.0672
E02001969,AFD-All_Audience Spectrum_Heydays,59,7.21%,0.0721
E02001977,AFD-All_Audience Spectrum_Heydays,81,7.49%,0.0749
E02001981,AFD-All_Audience Spectrum_Heydays,40,7.97%,0.0797
E02006805,AFD-All_Audience Spectrum_Heydays,68,8.10%,0.081
E02001973,AFD-All_Audience Spectrum_Heydays,73,9.02%,0.0902
E02001993,AFD-All_Audience Spectrum_Heydays,152,9.20%,0.092
E02001961,AFD-All_Audience Spectrum_Heydays,70,9.23%,0.0923
E02001992,AFD-All_Audience Spectrum_Heydays,104,9.53%,0.0953
E02001966,AFD-All_Audience Spectrum_Heydays,24,9.80%,0.098
E02001996,AFD-All_Audience Spectrum_Heydays,66,11.06%,0.1106
E02001964,AFD-All_Audience Spectrum_Heydays,83,12.19%,0.1219
E02001972,AFD-All_Audience Spectrum_Heydays,50,12.76%,0.1276
E02001966,AFD-All_Audience Spectrum_Home & Heritage,0,0.00%,0
E02001972,AFD-All_Audience Spectrum_Home & Heritage,0,0.00%,0.01
E02001977,AFD-All_Audience Spectrum_Home & Heritage,0,0.00%,0.01
E02001985,AFD-All_Audience Spectrum_Home & Heritage,1,0.17%,0.0017
E02001981,AFD-All_Audience Spectrum_Home & Heritage,1,0.20%,0.002
E02001973,AFD-All_Audience Spectrum_Home & Heritage,3,0.37%,0.0037
E02001987,AFD-All_Audience Spectrum_Home & Heritage,7,0.39%,0.0039
E02001962,AFD-All_Audience Spectrum_Home & Heritage,2,0.40%,0.004
E02001968,AFD-All_Audience Spectrum_Home & Heritage,4,0.49%,0.0049
E02006805,AFD-All_Audience Spectrum_Home & Heritage,5,0.60%,0.006
E02001961,AFD-All_Audience Spectrum_Home & Heritage,5,0.66%,0.0066
E02001988,AFD-All_Audience Spectrum_Home & Heritage,8,0.66%,0.0166
E02001969,AFD-All_Audience Spectrum_Home & Heritage,16,1.96%,0.0196
E02001993,AFD-All_Audience Spectrum_Home & Heritage,57,3.45%,0.0345
E02001958,AFD-All_Audience Spectrum_Home & Heritage,35,3.51%,0.0351
E02001984,AFD-All_Audience Spectrum_Home & Heritage,59,3.58%,0.0358
E02001964,AFD-All_Audience Spectrum_Home & Heritage,26,3.82%,0.0382
E02001978,AFD-All_Audience Spectrum_Home & Heritage,37,4.10%,0.041
E02001995,AFD-All_Audience Spectrum_Home & Heritage,57,4.45%,0.0445
E02001996,AFD-All_Audience Spectrum_Home & Heritage,29,4.86%,0.0486
E02001992,AFD-All_Audience Spectrum_Home & Heritage,53,4.86%,0.0586
E02001975,AFD-All_Audience Spectrum_Home & Heritage,61,5.23%,0.0523
E02001991,AFD-All_Audience Spectrum_Home & Heritage,172,6.18%,0.0618
E02001999,AFD-All_Audience Spectrum_Home & Heritage,117,6.28%,0.0628
E02001989,AFD-All_Audience Spectrum_Home & Heritage,85,6.92%,0.0692
E02001986,AFD-All_Audience Spectrum_Home & Heritage,95,7.98%,0.0798
E02001976,AFD-All_Audience Spectrum_Home & Heritage,86,8.38%,0.0838
E02001959,AFD-All_Audience Spectrum_Home & Heritage,81,8.73%,0.0873
E02001983,AFD-All_Audience Spectrum_Home & Heritage,163,9.44%,0.0944
E02001982,AFD-All_Audience Spectrum_Home & Heritage,193,10.34%,0.1034
E02001971,AFD-All_Audience Spectrum_Home & Heritage,119,10.43%,0.1043
E02001963,AFD-All_Audience Spectrum_Home & Heritage,111,10.51%,0.1051
E02001965,AFD-All_Audience Spectrum_Home & Heritage,132,10.75%,0.1075
E02001974,AFD-All_Audience Spectrum_Home & Heritage,228,11.39%,0.1139
E02001990,AFD-All_Audience Spectrum_Home & Heritage,214,11.96%,0.1196
E02001970,AFD-All_Audience Spectrum_Home & Heritage,91,12.01%,0.1201
E02001994,AFD-All_Audience Spectrum_Home & Heritage,195,13.02%,0.1302
E02001997,AFD-All_Audience Spectrum_Home & Heritage,265,14.97%,0.1497
E02001967,AFD-All_Audience Spectrum_Home & Heritage,250,15.47%,0.1547
E02001979,AFD-All_Audience Spectrum_Home & Heritage,208,16.26%,0.1626
E02001980,AFD-All_Audience Spectrum_Home & Heritage,253,18.40%,0.184
E02001998,AFD-All_Audience Spectrum_Home & Heritage,251,18.89%,0.1889
E02001979,AFD-All_Audience Spectrum_Kaleidoscope Creativity,0,0.00%,0
E02001980,AFD-All_Audience Spectrum_Kaleidoscope Creativity,0,0.00%,0.01
