Attribute,Theme
AFD-All_Bookers per artform_Film,Cultural Participation (Actual)
AFD-All_Bookers per artform_General Entertainment,Cultural Participation (Actual)
AFD-All_Bookers per artform_Literature,Cultural Participation (Actual)
AFD-All_Bookers per artform_Museums/Heritage,Cultural Participation (Actual)
AFD-All_Bookers per artform_Music,Cultural Participation (Actual)
AFD-All_Bookers per artform_Musical Theatre,Cultural Participation (Actual)
AFD-All_Bookers per artform_Other Artforms,Cultural Participation (Actual)
AFD-All_Bookers per artform_Outdoor Arts,Cultural Participation (Actual)
AFD-All_Bookers per artform_Plays/Drama,Cultural Participation (Actual)
AFD-All_Bookers per artform_Traditional Visual Arts,Cultural Participation (Actual)
AFD-All_Bookers per artform_Uncoded,Cultural Participation (Actual)
AFD-All_Bookers per artform_Workshops,Cultural Participation (Actual)
AFD-All_Performances_Number of performances,Cultural Participation (Actual)
AFD-All_Performances_Avg. performances booked for per customer,Cultural Participation (Actual)
AFD-All_Yield_Average yield per ticket,Cultural Participation (Actual)
AFD-All_Bookers per artform_Total income,Cultural Participation (Actual)
AFD-All_Audience Spectrum_Metro-culturals,Cultural Participation (Actual)
AFD-All_Audience Spectrum_Commuter-land Culturebuffs,Cultural Participation (Actual)
AFD-All_Audience Spectrum_Experience Seekers,Cultural Participation (Actual)
AFD-All_Audience Spectrum_Dormitory Dependables,Cultural Participation (Actual)
AFD-All_Audience Spectrum_Trips & Treats,Cultural Participation (Actual)
AFD-All_Audience Spectrum_Home & Heritage,Cultural Participation (Actual)
AFD-All_Audience Spectrum_Up Our Street,Cultural Participation (Actual)
AFD-All_Audience Spectrum_Facebook Families,Cultural Participation (Actual)
AFD-All_Audience Spectrum_Kaleidoscope Creativity,Cultural Participation (Actual)
AFD-All_Audience Spectrum_Heydays,Cultural Participation (Actual)
AFD-All_Audience Spectrum_Total,Cultural Participation (Actual)
AFD-Coventry_Number of Bookers,Cultural Participation (Actual)
AFD-Coventry_Tickets Issued,Cultural Participation (Actual)
AFD-Coventry_No of venues visited_1,Cultural Participation (Actual)
AFD-Coventry_No of venues visited_2,Cultural Participation (Actual)
AFD-Coventry_No of venues visited_Average,Cultural Participation (Actual)
AFD-Coventry_Bookers per artform_Children/Family,Cultural Participation (Actual)
AFD-Coventry_Bookers per artform_Christmas Show,Cultural Participation (Actual)
AFD-Coventry_Bookers per artform_Contemporary Visual Arts,Cultural Participation (Actual)
AFD-Coventry_Bookers per artform_Dance,Cultural Participation (Actual)
AFD-Coventry_Bookers per artform_Film,Cultural Participation (Actual)
AFD-Coventry_Bookers per artform_General Entertainment,Cultural Participation (Actual)
AFD-Coventry_Bookers per artform_Literature,Cultural Participation (Actual)
AFD-Coventry_Bookers per artform_Museums/Heritage,Cultural Participation (Actual)
AFD-Coventry_Bookers per artform_Music,Cultural Participation (Actual)
AFD-Coventry_Bookers per artform_Musical Theatre,Cultural Participation (Actual)
AFD-Coventry_Bookers per artform_Other Artforms,Cultural Participation (Actual)
AFD-Coventry_Bookers per artform_Outdoor Arts,Cultural Participation (Actual)
AFD-Coventry_Bookers per artform_Plays/Drama,Cultural Participation (Actual)
AFD-Coventry_Bookers per artform_Traditional Visual Arts,Cultural Participation (Actual)
AFD-Coventry_Bookers per artform_Uncoded,Cultural Participation (Actual)
AFD-Coventry_Bookers per artform_Workshops,Cultural Participation (Actual)
AFD-Coventry_Performances_Number of performances,Cultural Participation (Actual)
AFD-Coventry_Performances_Avg. performances booked for per customer,Cultural Participation (Actual)
AFD-Coventry_Yield_Average yield per ticket,Cultural Participation (Actual)
AFD-Coventry_Bookers per artform_Total income,Cultural Participation (Actual)
AFD-Coventry_Audience Spectrum_Metro-culturals,Cultural Participation (Actual)
AFD-Coventry_Audience Spectrum_Commuter-land Culturebuffs,Cultural Participation (Actual)
AFD-Coventry_Audience Spectrum_Experience Seekers,Cultural Participation (Actual)
AFD-Coventry_Audience Spectrum_Dormitory Dependables,Cultural Participation (Actual)
AFD-Coventry_Audience Spectrum_Trips & Treats,Cultural Participation (Actual)
AFD-Coventry_Audience Spectrum_Home & Heritage,Cultural Participation (Actual)
AFD-Coventry_Audience Spectrum_Up Our Street,Cultural Participation (Actual)
AFD-Coventry_Audience Spectrum_Facebook Families,Cultural Participation (Actual)
AFD-Coventry_Audience Spectrum_Kaleidoscope Creativity,Cultural Participation (Actual)
AFD-Coventry_Audience Spectrum_Heydays,Cultural Participation (Actual)
AFD-Coventry_Audience Spectrum_Total,Cultural Participation (Actual)
Index of Multiple Deprivation (IMD) Score,Deprivation
Income Score (rate),Deprivation
Employment Score (rate),Deprivation
"Education, Skills and Training Score",Deprivation
Health Deprivation and Disability Score,Deprivation
Crime Score,Deprivation
Barriers to Housing and Services Score,Deprivation
Living Environment Score,Deprivation
Income Deprivation Affecting Children Index (IDACI) Score (rate),Deprivation
Income Deprivation Affecting Older People (IDAOPI) Score (rate),Deprivation
Children and Young People Sub-domain Score,Deprivation
Adult Skills Sub-domain Score,Deprivation
Geographical Barriers Sub-domain Score,Deprivation
Wider Barriers Sub-domain Score,Deprivation
Indoors Sub-domain Score,Deprivation
Outdoors Sub-domain Score,Deprivation
No-participation,Cultural Participation (Estimated)
Participation,Cultural Participation (Estimated)
Feel Safe - Night Time,"Civic Pride, Community Cohesion & Safety"
Feel Safe - Day Time,"Civic Pride, Community Cohesion & Safety"
City Centre Satisfaction,"Civic Pride, Community Cohesion & Safety"
Agree They Can Get Involved With The Community,"Civic Pride, Community Cohesion & Safety"
Agree They Can Influence Decisions,"Civic Pride, Community Cohesion & Safety"
Satisfied with Local Area,"Civic Pride, Community Cohesion & Safety"
Participation (Pubs & cinemas only),Cultural Participation (Estimated)
Participation excluding pubs & cinemas,Cultural Participation (Estimated)
Total Participation - Children,Cultural Participation (Estimated)
Participation excluding pubs & cinemas - Children,Cultural Participation (Estimated)
% ethnic minority,Demographics and Community
