MSOA,Attribute,Value,%
E02001997,Agree They Can Influence Decisions,,79.27%
E02001998,Agree They Can Influence Decisions,,17.74%
E02001999,Agree They Can Influence Decisions,,26.74%
E02006805,Agree They Can Influence Decisions,,16.44%
E02001958,Archeological Sites (TGI),290,4.32%
E02001959,Archeological Sites (TGI),237,4.12%
E02001961,Archeological Sites (TGI),234,3.56%
E02001962,Archeological Sites (TGI),217,4.15%
E02001963,Archeological Sites (TGI),211,4.03%
E02001964,Archeological Sites (TGI),267,3.61%
E02001965,Archeological Sites (TGI),277,3.94%
E02001966,Archeological Sites (TGI),274,5.27%
E02001967,Archeological Sites (TGI),330,5.57%
E02001968,Archeological Sites (TGI),256,4.09%
E02001969,Archeological Sites (TGI),200,3.74%
E02001970,Archeological Sites (TGI),230,4.58%
E02001971,Archeological Sites (TGI),220,4.35%
E02001972,Archeological Sites (TGI),421,5.04%
E02001973,Archeological Sites (TGI),273,3.87%
E02001974,Archeological Sites (TGI),413,5.06%
E02001975,Archeological Sites (TGI),283,4.34%
E02001976,Archeological Sites (TGI),273,4.18%
E02001977,Archeological Sites (TGI),425,5.20%
E02001978,Archeological Sites (TGI),242,4.40%
E02001979,Archeological Sites (TGI),221,4.42%
E02001980,Archeological Sites (TGI),258,4.79%
E02001981,Archeological Sites (TGI),557,5.31%
E02001982,Archeological Sites (TGI),364,5.10%
E02001983,Archeological Sites (TGI),332,5.02%
E02001984,Archeological Sites (TGI),389,4.54%
E02001985,Archeological Sites (TGI),461,5.68%
E02001986,Archeological Sites (TGI),290,4.31%
E02001987,Archeological Sites (TGI),349,5.69%
E02001988,Archeological Sites (TGI),652,6.77%
E02001989,Archeological Sites (TGI),235,4.37%
E02001990,Archeological Sites (TGI),369,4.48%
E02001991,Archeological Sites (TGI),490,6.04%
E02001992,Archeological Sites (TGI),329,3.97%
E02001993,Archeological Sites (TGI),307,4.68%
E02001994,Archeological Sites (TGI),338,4.75%
E02001995,Archeological Sites (TGI),428,5.30%
E02001996,Archeological Sites (TGI),209,3.65%
E02001997,Archeological Sites (TGI),425,5.65%
E02001998,Archeological Sites (TGI),282,5.43%
E02001999,Archeological Sites (TGI),763,6.56%
E02006805,Archeological Sites (TGI),284,3.92%
E02001958,Art galleries (TGI),1379,20.53%
E02001959,Art galleries (TGI),1210,21.02%
E02001961,Art galleries (TGI),1118,17.00%
E02001962,Art galleries (TGI),960,18.36%
E02001963,Art galleries (TGI),1107,21.13%
E02001964,Art galleries (TGI),1114,15.07%
E02001965,Art galleries (TGI),1493,21.24%
E02001966,Art galleries (TGI),837,16.11%
E02001967,Art galleries (TGI),1517,25.63%
E02001968,Art galleries (TGI),1278,20.42%
E02001969,Art galleries (TGI),1018,19.03%
E02001970,Art galleries (TGI),1110,22.09%
E02001971,Art galleries (TGI),1031,20.38%
E02001972,Art galleries (TGI),1505,18.03%
E02001973,Art galleries (TGI),1405,19.92%
E02001974,Art galleries (TGI),1856,22.73%
E02001975,Art galleries (TGI),1339,20.55%
E02001976,Art galleries (TGI),1390,21.29%
E02001977,Art galleries (TGI),2117,25.91%
E02001978,Art galleries (TGI),1201,21.85%
E02001979,Art galleries (TGI),1108,22.16%
E02001980,Art galleries (TGI),1347,25.02%
E02001981,Art galleries (TGI),2482,23.68%
E02001982,Art galleries (TGI),1559,21.82%
E02001983,Art galleries (TGI),1549,23.44%
E02001984,Art galleries (TGI),1855,21.67%
E02001985,Art galleries (TGI),2344,28.89%
E02001986,Art galleries (TGI),1329,19.74%
E02001987,Art galleries (TGI),1997,32.58%
E02001988,Art galleries (TGI),3022,31.39%
E02001989,Art galleries (TGI),1163,21.65%
E02001990,Art galleries (TGI),1845,22.39%
E02001991,Art galleries (TGI),2721,33.53%
E02001992,Art galleries (TGI),1387,16.73%
E02001993,Art galleries (TGI),1654,25.24%
E02001994,Art galleries (TGI),1654,23.22%
E02001995,Art galleries (TGI),1981,24.53%
E02001996,Art galleries (TGI),931,16.26%
E02001997,Art galleries (TGI),2216,29.46%
E02001998,Art galleries (TGI),1405,27.03%
E02001999,Art galleries (TGI),4407,37.90%
E02006805,Art galleries (TGI),1353,18.70%
E02001958,Art gallery once a month or more (TGI),45,0.67%
E02001959,Art gallery once a month or more (TGI),34,0.59%
E02001961,Art gallery once a month or more (TGI),35,0.53%
E02001962,Art gallery once a month or more (TGI),33,0.63%
E02001963,Art gallery once a month or more (TGI),31,0.59%
E02001964,Art gallery once a month or more (TGI),38,0.51%
E02001965,Art gallery once a month or more (TGI),44,0.63%
E02001966,Art gallery once a month or more (TGI),67,1.29%
E02001967,Art gallery once a month or more (TGI),49,0.83%
E02001968,Art gallery once a month or more (TGI),36,0.58%
E02001969,Art gallery once a month or more (TGI),28,0.52%
E02001970,Art gallery once a month or more (TGI),42,0.84%
E02001971,Art gallery once a month or more (TGI),31,0.61%
E02001972,Art gallery once a month or more (TGI),90,1.08%
E02001973,Art gallery once a month or more (TGI),45,0.64%
E02001974,Art gallery once a month or more (TGI),60,0.73%
E02001975,Art gallery once a month or more (TGI),36,0.55%
E02001976,Art gallery once a month or more (TGI),45,0.69%
E02001977,Art gallery once a month or more (TGI),101,1.24%
E02001978,Art gallery once a month or more (TGI),37,0.67%
E02001979,Art gallery once a month or more (TGI),35,0.70%
E02001980,Art gallery once a month or more (TGI),46,0.85%
E02001981,Art gallery once a month or more (TGI),138,1.32%
E02001982,Art gallery once a month or more (TGI),58,0.81%
E02001983,Art gallery once a month or more (TGI),50,0.76%
E02001984,Art gallery once a month or more (TGI),55,0.64%
E02001985,Art gallery once a month or more (TGI),119,1.47%
E02001986,Art gallery once a month or more (TGI),55,0.82%
E02001987,Art gallery once a month or more (TGI),113,1.84%
E02001988,Art gallery once a month or more (TGI),162,1.68%
E02001989,Art gallery once a month or more (TGI),29,0.54%
E02001990,Art gallery once a month or more (TGI),64,0.78%
E02001991,Art gallery once a month or more (TGI),106,1.31%
E02001992,Art gallery once a month or more (TGI),46,0.55%
E02001993,Art gallery once a month or more (TGI),55,0.84%
E02001994,Art gallery once a month or more (TGI),50,0.70%
E02001995,Art gallery once a month or more (TGI),90,1.11%
E02001996,Art gallery once a month or more (TGI),36,0.63%
E02001997,Art gallery once a month or more (TGI),75,1.00%
E02001998,Art gallery once a month or more (TGI),40,0.77%
E02001999,Art gallery once a month or more (TGI),163,1.40%
E02006805,Art gallery once a month or more (TGI),44,0.61%
E02001958,Aspiring Homemakers (MOSAIC),847,12.61%
E02001959,Aspiring Homemakers (MOSAIC),1662,28.87%
E02001961,Aspiring Homemakers (MOSAIC),95,1.44%
E02001962,Aspiring Homemakers (MOSAIC),143,2.73%
E02001963,Aspiring Homemakers (MOSAIC),1447,27.63%
E02001964,Aspiring Homemakers (MOSAIC),542,7.33%
E02001965,Aspiring Homemakers (MOSAIC),1604,22.82%
E02001966,Aspiring Homemakers (MOSAIC),0,0.00%
E02001967,Aspiring Homemakers (MOSAIC),1287,21.74%
E02001968,Aspiring Homemakers (MOSAIC),357,5.70%
E02001969,Aspiring Homemakers (MOSAIC),98,1.83%
E02001970,Aspiring Homemakers (MOSAIC),542,10.79%
E02001971,Aspiring Homemakers (MOSAIC),2592,51.24%
E02001972,Aspiring Homemakers (MOSAIC),149,1.78%
E02001973,Aspiring Homemakers (MOSAIC),61,0.86%
E02001974,Aspiring Homemakers (MOSAIC),3881,47.53%
E02001975,Aspiring Homemakers (MOSAIC),2863,43.94%
E02001976,Aspiring Homemakers (MOSAIC),1521,23.29%
E02001977,Aspiring Homemakers (MOSAIC),291,3.56%
E02001978,Aspiring Homemakers (MOSAIC),1127,20.51%
E02001979,Aspiring Homemakers (MOSAIC),1742,34.83%
E02001980,Aspiring Homemakers (MOSAIC),725,13.47%
E02001981,Aspiring Homemakers (MOSAIC),2,0.02%
E02001982,Aspiring Homemakers (MOSAIC),2127,29.77%
E02001983,Aspiring Homemakers (MOSAIC),1972,29.84%
E02001984,Aspiring Homemakers (MOSAIC),2248,26.26%
E02001985,Aspiring Homemakers (MOSAIC),132,1.63%
E02001986,Aspiring Homemakers (MOSAIC),464,6.89%
E02001987,Aspiring Homemakers (MOSAIC),0,0.00%
E02001988,Aspiring Homemakers (MOSAIC),707,7.34%
E02001989,Aspiring Homemakers (MOSAIC),1769,32.93%
E02001990,Aspiring Homemakers (MOSAIC),2179,26.44%
E02001991,Aspiring Homemakers (MOSAIC),161,1.98%
E02001992,Aspiring Homemakers (MOSAIC),1084,13.08%
E02001993,Aspiring Homemakers (MOSAIC),381,5.81%
E02001994,Aspiring Homemakers (MOSAIC),1828,25.67%
E02001995,Aspiring Homemakers (MOSAIC),801,9.92%
E02001996,Aspiring Homemakers (MOSAIC),153,2.67%
E02001997,Aspiring Homemakers (MOSAIC),21,0.28%
E02001998,Aspiring Homemakers (MOSAIC),733,14.10%
E02001999,Aspiring Homemakers (MOSAIC),195,1.68%
E02006805,Aspiring Homemakers (MOSAIC),341,4.71%
E02001958,Average household size (Persons),2.3,
E02001959,Average household size (Persons),2.6,
E02001961,Average household size (Persons),2.3,
E02001962,Average household size (Persons),2.7,
E02001963,Average household size (Persons),2.4,
E02001964,Average household size (Persons),2.4,
E02001965,Average household size (Persons),2.4,
E02001966,Average household size (Persons),3.1,
E02001967,Average household size (Persons),2.3,
E02001968,Average household size (Persons),2.7,
E02001969,Average household size (Persons),2.4,
E02001970,Average household size (Persons),2.2,
E02001971,Average household size (Persons),2.4,
E02001972,Average household size (Persons),2.7,
E02001973,Average household size (Persons),2.4,
E02001974,Average household size (Persons),2.4,
E02001975,Average household size (Persons),2.6,
E02001976,Average household size (Persons),2.3,
E02001977,Average household size (Persons),2.2,
E02001978,Average household size (Persons),2.5,
E02001979,Average household size (Persons),2.3,
E02001980,Average household size (Persons),2.3,
E02001981,Average household size (Persons),2.5,
E02001982,Average household size (Persons),2.3,
E02001983,Average household size (Persons),2.3,
E02001984,Average household size (Persons),2.5,
E02001985,Average household size (Persons),2.4,
E02001986,Average household size (Persons),2.1,
E02001987,Average household size (Persons),2.2,
E02001988,Average household size (Persons),1.9,
E02001989,Average household size (Persons),2.5,
E02001990,Average household size (Persons),2.5,
E02001991,Average household size (Persons),2.2,
E02001992,Average household size (Persons),2.5,
E02001993,Average household size (Persons),2.5,
E02001994,Average household size (Persons),2.4,
E02001995,Average household size (Persons),2.1,
E02001996,Average household size (Persons),2.1,
E02001997,Average household size (Persons),2.5,
E02001998,Average household size (Persons),2.5,
E02001999,Average household size (Persons),2.6,
E02006805,Average household size (Persons),2.6,
E02001958,Average yield per ticket (AFD),22.2106,
E02001959,Average yield per ticket (AFD),23.3143,
E02001961,Average yield per ticket (AFD),22.0966,
E02001962,Average yield per ticket (AFD),20.3473,
E02001963,Average yield per ticket (AFD),23.3746,
E02001964,Average yield per ticket (AFD),22.0842,
E02001965,Average yield per ticket (AFD),24.3598,
E02001966,Average yield per ticket (AFD),18.8346,
E02001967,Average yield per ticket (AFD),23.266,
E02001968,Average yield per ticket (AFD),21.1092,
E02001969,Average yield per ticket (AFD),19.9794,
E02001970,Average yield per ticket (AFD),23.2117,
E02001971,Average yield per ticket (AFD),21.8808,
E02001972,Average yield per ticket (AFD),18.1682,
E02001973,Average yield per ticket (AFD),20.8747,
E02001974,Average yield per ticket (AFD),21.4612,
E02001975,Average yield per ticket (AFD),22.0785,
E02001976,Average yield per ticket (AFD),22.2569,
E02001977,Average yield per ticket (AFD),19.9852,
E02001978,Average yield per ticket (AFD),22.4677,
E02001979,Average yield per ticket (AFD),22.1904,
E02001980,Average yield per ticket (AFD),23.2701,
E02001981,Average yield per ticket (AFD),19.4859,
E02001982,Average yield per ticket (AFD),23.155,
E02001983,Average yield per ticket (AFD),22.0924,
E02001984,Average yield per ticket (AFD),21.6558,
E02001985,Average yield per ticket (AFD),20.3936,
E02001986,Average yield per ticket (AFD),22.14,
E02001987,Average yield per ticket (AFD),18.1509,
E02001988,Average yield per ticket (AFD),20.4036,
E02001989,Average yield per ticket (AFD),20.4354,
E02001990,Average yield per ticket (AFD),23.0326,
E02001991,Average yield per ticket (AFD),20.7316,
E02001992,Average yield per ticket (AFD),22.5049,
E02001993,Average yield per ticket (AFD),20.4882,
E02001994,Average yield per ticket (AFD),21.2962,
E02001995,Average yield per ticket (AFD),22.229,
E02001996,Average yield per ticket (AFD),19.9585,
E02001997,Average yield per ticket (AFD),21.9308,
E02001998,Average yield per ticket (AFD),21.2374,
E02001999,Average yield per ticket (AFD),19.2857,
E02006805,Average yield per ticket (AFD),20.3722,
E02001958,Average yield per ticket £s (AFD Bookers at Cov Venues),17.8839,
E02001959,Average yield per ticket £s (AFD Bookers at Cov Venues),19.3239,
E02001961,Average yield per ticket £s (AFD Bookers at Cov Venues),19.1581,
E02001962,Average yield per ticket £s (AFD Bookers at Cov Venues),17.0976,
E02001963,Average yield per ticket £s (AFD Bookers at Cov Venues),19.2649,
E02001964,Average yield per ticket £s (AFD Bookers at Cov Venues),18.3729,
E02001965,Average yield per ticket £s (AFD Bookers at Cov Venues),19.129,
E02001966,Average yield per ticket £s (AFD Bookers at Cov Venues),16.8906,
E02001967,Average yield per ticket £s (AFD Bookers at Cov Venues),17.9571,
E02001968,Average yield per ticket £s (AFD Bookers at Cov Venues),17.7362,
E02001969,Average yield per ticket £s (AFD Bookers at Cov Venues),17.5161,
E02001970,Average yield per ticket £s (AFD Bookers at Cov Venues),18.974,
E02001971,Average yield per ticket £s (AFD Bookers at Cov Venues),18.1762,
E02001972,Average yield per ticket £s (AFD Bookers at Cov Venues),16.0172,
E02001973,Average yield per ticket £s (AFD Bookers at Cov Venues),17.5856,
E02001974,Average yield per ticket £s (AFD Bookers at Cov Venues),17.8335,
E02001975,Average yield per ticket £s (AFD Bookers at Cov Venues),18.407,
E02001976,Average yield per ticket £s (AFD Bookers at Cov Venues),18.0785,
E02001977,Average yield per ticket £s (AFD Bookers at Cov Venues),16.847,
E02001978,Average yield per ticket £s (AFD Bookers at Cov Venues),18.8954,
E02001979,Average yield per ticket £s (AFD Bookers at Cov Venues),18.0265,
E02001980,Average yield per ticket £s (AFD Bookers at Cov Venues),18.0432,
E02001981,Average yield per ticket £s (AFD Bookers at Cov Venues),15.9431,
E02001982,Average yield per ticket £s (AFD Bookers at Cov Venues),18.2106,
E02001983,Average yield per ticket £s (AFD Bookers at Cov Venues),17.4045,
E02001984,Average yield per ticket £s (AFD Bookers at Cov Venues),17.409,
E02001985,Average yield per ticket £s (AFD Bookers at Cov Venues),17.0396,
E02001986,Average yield per ticket £s (AFD Bookers at Cov Venues),17.8758,
E02001987,Average yield per ticket £s (AFD Bookers at Cov Venues),14.124,
E02001988,Average yield per ticket £s (AFD Bookers at Cov Venues),15.6505,
E02001989,Average yield per ticket £s (AFD Bookers at Cov Venues),16.9703,
E02001990,Average yield per ticket £s (AFD Bookers at Cov Venues),18.6857,
E02001991,Average yield per ticket £s (AFD Bookers at Cov Venues),15.3582,
E02001992,Average yield per ticket £s (AFD Bookers at Cov Venues),18.8564,
E02001993,Average yield per ticket £s (AFD Bookers at Cov Venues),15.2962,
E02001994,Average yield per ticket £s (AFD Bookers at Cov Venues),17.2376,
E02001995,Average yield per ticket £s (AFD Bookers at Cov Venues),18.3883,
E02001996,Average yield per ticket £s (AFD Bookers at Cov Venues),17.1505,
E02001997,Average yield per ticket £s (AFD Bookers at Cov Venues),17.3974,
E02001998,Average yield per ticket £s (AFD Bookers at Cov Venues),17.0785,
E02001999,Average yield per ticket £s (AFD Bookers at Cov Venues),14.1777,
E02006805,Average yield per ticket £s (AFD Bookers at Cov Venues),17.8469,
E02001958,Avg. performances booked for per customer (AFD Bookers at Cov Venues),1.5,
E02001959,Avg. performances booked for per customer (AFD Bookers at Cov Venues),1.4,
E02001961,Avg. performances booked for per customer (AFD Bookers at Cov Venues),1.4,
E02001962,Avg. performances booked for per customer (AFD Bookers at Cov Venues),1.9,
E02001963,Avg. performances booked for per customer (AFD Bookers at Cov Venues),1.3,
E02001964,Avg. performances booked for per customer (AFD Bookers at Cov Venues),1.5,
E02001965,Avg. performances booked for per customer (AFD Bookers at Cov Venues),1.2,
E02001966,Avg. performances booked for per customer (AFD Bookers at Cov Venues),1.8,
E02001967,Avg. performances booked for per customer (AFD Bookers at Cov Venues),1.5,
E02001968,Avg. performances booked for per customer (AFD Bookers at Cov Venues),1.5,
E02001969,Avg. performances booked for per customer (AFD Bookers at Cov Venues),1.5,
E02001970,Avg. performances booked for per customer (AFD Bookers at Cov Venues),1.5,
E02001971,Avg. performances booked for per customer (AFD Bookers at Cov Venues),1.5,
E02001972,Avg. performances booked for per customer (AFD Bookers at Cov Venues),2.3,
E02001973,Avg. performances booked for per customer (AFD Bookers at Cov Venues),1.5,
E02001974,Avg. performances booked for per customer (AFD Bookers at Cov Venues),1.2,
