MSOA,Attribute,Value,%
E02001958,AFD-All_Bookers per artform_Museums/Heritage,88,2.96%
E02001958,AFD-All_Bookers per artform_Music,283,1.83%
E02001958,AFD-All_Bookers per artform_Musical Theatre,349,2.30%
E02001958,AFD-All_Bookers per artform_Other Artforms,6,0.70%
E02001958,AFD-All_Bookers per artform_Outdoor Arts,4,1.96%
E02001958,AFD-All_Bookers per artform_Plays/Drama,247,1.70%
E02001958,AFD-All_Bookers per artform_Traditional Visual Arts,0,0.00%
E02001958,AFD-All_Bookers per artform_Uncoded,15,1.06%
E02001958,AFD-All_Bookers per artform_Workshops,16,1.71%
E02001958,AFD-All_Performances_Number of performances,2138,1.98%
E02001958,AFD-All_Performances_Avg. performances booked for per customer,2.1444333,214.44%
E02001958,AFD-All_Yield_Average yield per ticket,22.2106,2221.06%
E02001958,AFD-All_Bookers per artform_Total income,178307.2,1.85%
E02001958,AFD-All_Audience Spectrum_Metro-culturals,0,0.00%
E02001958,AFD-All_Audience Spectrum_Commuter-land Culturebuffs,9,0.90%
E02001958,AFD-All_Audience Spectrum_Experience Seekers,27,2.71%
E02001958,AFD-All_Audience Spectrum_Dormitory Dependables,53,5.32%
E02001958,AFD-All_Audience Spectrum_Trips & Treats,265,26.58%
E02001958,AFD-All_Audience Spectrum_Home & Heritage,35,3.51%
E02001958,AFD-All_Audience Spectrum_Up Our Street,296,29.69%
E02001958,AFD-All_Audience Spectrum_Facebook Families,171,17.15%
E02001958,AFD-All_Audience Spectrum_Kaleidoscope Creativity,79,7.92%
E02001958,AFD-All_Audience Spectrum_Heydays,62,6.22%
E02001958,AFD-All_Audience Spectrum_Total,997,
E02001958,AFD-Coventry_Number of Bookers,715,1.85%
E02001958,AFD-Coventry_Tickets Issued,5535,1.71%
E02001958,AFD-Coventry_No of venues visited_1,628,1.92%
E02001958,AFD-Coventry_No of venues visited_2,87,1.43%
E02001958,AFD-Coventry_No of venues visited_Average,1.121678322,112.17%
E02001958,AFD-Coventry_Bookers per artform_Children/Family,147,2.03%
E02001958,AFD-Coventry_Bookers per artform_Christmas Show,152,1.83%
E02001958,AFD-Coventry_Bookers per artform_Contemporary Visual Arts,3,2.19%
E02001958,AFD-Coventry_Bookers per artform_Dance,76,1.76%
E02001958,AFD-Coventry_Bookers per artform_Film,34,0.73%
E02001958,AFD-Coventry_Bookers per artform_General Entertainment,162,1.80%
E02001958,AFD-Coventry_Bookers per artform_Literature,0,0.00%
E02001958,AFD-Coventry_Bookers per artform_Museums/Heritage,0,0.00%
E02001958,AFD-Coventry_Bookers per artform_Music,203,1.75%
E02001958,AFD-Coventry_Bookers per artform_Musical Theatre,218,2.24%
E02001958,AFD-Coventry_Bookers per artform_Other Artforms,4,0.79%
E02001958,AFD-Coventry_Bookers per artform_Outdoor Arts,3,5.26%
E02001958,AFD-Coventry_Bookers per artform_Plays/Drama,187,1.71%
E02001958,AFD-Coventry_Bookers per artform_Traditional Visual Arts,0,0.00%
E02001958,AFD-Coventry_Bookers per artform_Uncoded,0,0.00%
E02001958,AFD-Coventry_Bookers per artform_Workshops,15,1.99%
E02001958,AFD-Coventry_Performances_Number of performances,1099,1.90%
E02001958,AFD-Coventry_Performances_Avg. performances booked for per customer,1.537062937,
E02001958,AFD-Coventry_Yield_Average yield per ticket,17.8839,
E02001958,AFD-Coventry_Bookers per artform_Total income,93622.6,
E02001958,AFD-Coventry_Audience Spectrum_Metro-culturals,0,0.00%
E02001958,AFD-Coventry_Audience Spectrum_Commuter-land Culturebuffs,6,0.84%
E02001958,AFD-Coventry_Audience Spectrum_Experience Seekers,17,2.38%
E02001958,AFD-Coventry_Audience Spectrum_Dormitory Dependables,34,4.76%
E02001958,AFD-Coventry_Audience Spectrum_Trips & Treats,186,26.01%
E02001958,AFD-Coventry_Audience Spectrum_Home & Heritage,28,3.92%
E02001958,AFD-Coventry_Audience Spectrum_Up Our Street,217,30.35%
E02001958,AFD-Coventry_Audience Spectrum_Facebook Families,123,17.20%
E02001958,AFD-Coventry_Audience Spectrum_Kaleidoscope Creativity,54,7.55%
E02001958,AFD-Coventry_Audience Spectrum_Heydays,50,6.99%
E02001958,AFD-Coventry_Audience Spectrum_Total,715,1.85%
E02001958,Index of Multiple Deprivation (IMD) Score,29.34162793,
E02001958,Income Score (rate),0.176687049,
E02001958,Employment Score (rate),0.082642518,
E02001958,"Education, Skills and Training Score",30.97700253,
E02001958,Health Deprivation and Disability Score,0.35962299,
E02001958,Crime Score,0.231465249,
E02001958,Barriers to Housing and Services Score,26.43175085,
E02001958,Living Environment Score,32.88337979,
E02001958,Income Deprivation Affecting Children Index (IDACI) Score (rate),0.043287758,
E02001958,Income Deprivation Affecting Older People (IDAOPI) Score (rate),0.043655653,
E02001958,Children and Young People Sub-domain Score,0.463752121,
E02001958,Adult Skills Sub-domain Score,0.379138245,
E02001958,Geographical Barriers Sub-domain Score,0.147322826,
E02001958,Wider Barriers Sub-domain Score,1.41627801,
E02001958,Indoors Sub-domain Score,0.779903279,
E02001958,Outdoors Sub-domain Score,0.134291936,
E02001959,Adults 15+ estimate 2018,5756,1.99%
E02001959,Household estimate 2018,2734,1.89%
E02001959,Population estimate 2018,7001,1.96%
E02001959,Segmentation_Audience Spectrum_Metro-culturals,0,0.00%
E02001959,Segmentation_Audience Spectrum_Commuter-land Culturebuffs,55,0.98%
E02001959,Segmentation_Audience Spectrum_Experience Seekers,0,0.00%
E02001959,Segmentation_Audience Spectrum_Dormitory Dependables,278,4.94%
E02001959,Segmentation_Audience Spectrum_Trips & Treats,2853,50.67%
E02001959,Segmentation_Audience Spectrum_Home & Heritage,1108,19.68%
E02001959,Segmentation_Audience Spectrum_Up Our Street,438,7.78%
E02001959,Segmentation_Audience Spectrum_Facebook Families,870,15.45%
E02001959,Segmentation_Audience Spectrum_Kaleidoscope Creativity,0,0.00%
E02001959,Segmentation_Audience Spectrum segment_Heydays,29,0.52%
E02001959,Segmentation_Audience Spectrum_Adults 15+ estimate 2018,5631,
E02001959,Segmentation_MOSAIC_A City Prosperity ,0,0.00%
E02001959,Segmentation_MOSAIC_B Prestige Positions ,6,0.10%
E02001959,Segmentation_MOSAIC_C Country Living ,62,1.08%
E02001959,Segmentation_MOSAIC_D Rural Reality ,0,0.00%
E02001959,Segmentation_MOSAIC_E Senior Security ,1172,20.36%
E02001959,Segmentation_MOSAIC_F Suburban Stability ,428,7.44%
E02001959,Segmentation_MOSAIC_G Domestic Success ,1,0.02%
E02001959,Segmentation_MOSAIC_H Aspiring Homemakers ,1662,28.87%
E02001959,Segmentation_MOSAIC_I Family Basics ,813,14.12%
E02001959,Segmentation_MOSAIC_J Transient Renters ,231,4.01%
E02001959,Segmentation_MOSAIC_K Municipal Tenants,0,0.00%
E02001959,Segmentation_MOSAIC_L Vintage Value ,29,0.50%
E02001959,Segmentation_MOSAIC_M Modest Traditions ,1352,23.49%
E02001959,Segmentation_MOSAIC_N Urban Cohesion ,0,0.00%
E02001959,Segmentation_MOSAIC_O Rental Hubs ,0,0.00%
E02001959,Segmentation_MOSAIC_U Unclassified,0,0.00%
E02001959,Segmentation_MOSAIC 6 Group (Adults 15+)_Adults 15+ estimate 2018,5756,
E02001959,TGI-Leisure_Art galleries,1210,21.02%
E02001959,TGI-Leisure_Art gallery once a month or more,34,0.59%
E02001959,TGI-Leisure_Ballet,465,8.08%
E02001959,TGI-Leisure_Classical concerts,578,10.04%
E02001959,TGI-Leisure_Comedy Shows,1300,22.59%
E02001959,TGI-Leisure_Contemp-orary dance,315,5.47%
E02001959,TGI-Leisure_Jazz concerts,376,6.53%
E02001959,TGI-Leisure_Opera,301,5.23%
E02001959,TGI-Leisure_Plays,1446,25.12%
E02001959,TGI-Leisure_Popular/rock concert,1981,34.42%
E02001959,TGI-Leisure_Theatre,2156,37.46%
E02001959,TGI-Leisure_Theatre once a month or more,78,1.36%
E02001959,TGI-Leisure_Museums,1163,20.21%
E02001959,TGI-Leisure_Archaeological sites,237,4.12%
E02001959,TGI-Leisure_Stately homes/ castles,1187,20.62%
E02001959,TGI-Leisure_Cinema_Ever go to the cinema,4317,75.00%
E02001959,TGI-Leisure_Cinema_Go every two or three months,813,14.12%
E02001959,TGI-Leisure_Cinema_Go once or more a month,679,11.80%
E02001959,TGI-Leisure_Cinema_Never go,1439,25.00%
E02001959,TGI-Leisure_Adults 15+ estimate 2018,5756,
E02001959,TGI-Media_Daily Express,116,2.02%
E02001959,TGI-Media_Daily Mail,270,4.69%
E02001959,TGI-Media_Daily Mirror,104,1.81%
E02001959,TGI-Media_Daily Record,2,0.03%
E02001959,TGI-Media_Daily Star,69,1.20%
E02001959,TGI-Media_Daily Telegraph,72,1.25%
E02001959,TGI-Media_Financial Times,9,0.16%
E02001959,TGI-Media_The Guardian,45,0.78%
E02001959,TGI-Media_i (newspaper),49,0.85%
E02001959,TGI-Media_The Sun,337,5.85%
E02001959,TGI-Media_The Times,68,1.18%
E02001959,TGI-Media_Adults 15+ estimate 2018,5756,
E02001959,AFD-All_Number of Bookers,928,1.86%
E02001959,AFD-All_Tickets Issued,7668,1.65%
E02001959,AFD-All_No of venues visited_1,653,1.93%
E02001959,AFD-All_No of venues visited_2,180,1.85%
E02001959,AFD-All_No of venues visited_3,64,1.76%
E02001959,AFD-All_No of venues visited_4,21,1.47%
E02001959,AFD-All_No of venues visited_5,4,0.66%
E02001959,AFD-All_No of venues visited_6,2,0.75%
E02001959,AFD-All_No of venues visited_7,2,1.49%
E02001959,AFD-All_No of venues visited_8,1,1.54%
E02001959,AFD-All_No of venues visited_9,0,0.00%
E02001959,AFD-All_No of venues visited_10,1,3.57%
E02001959,AFD-All_No of venues visited_More than 10,0,0.00%
E02001959,AFD-All_No of venues visited_Average,1.457974138,145.80%
E02001959,AFD-All_Bookers per artform_Children/Family,159,2.01%
E02001959,AFD-All_Bookers per artform_Christmas Show,201,2.07%
E02001959,AFD-All_Bookers per artform_Contemporary Visual Arts,3,1.53%
E02001959,AFD-All_Bookers per artform_Dance,120,1.69%
E02001959,AFD-All_Bookers per artform_Film,33,0.65%
E02001959,AFD-All_Bookers per artform_General Entertainment,208,1.92%
E02001959,AFD-All_Bookers per artform_Literature,7,2.31%
E02001959,AFD-All_Bookers per artform_Museums/Heritage,65,2.18%
E02001959,AFD-All_Bookers per artform_Music,285,1.84%
E02001959,AFD-All_Bookers per artform_Musical Theatre,330,2.18%
E02001959,AFD-All_Bookers per artform_Other Artforms,7,0.82%
E02001959,AFD-All_Bookers per artform_Outdoor Arts,3,1.47%
E02001959,AFD-All_Bookers per artform_Plays/Drama,266,1.83%
E02001959,AFD-All_Bookers per artform_Traditional Visual Arts,0,0.00%
E02001959,AFD-All_Bookers per artform_Uncoded,13,0.92%
E02001959,AFD-All_Bookers per artform_Workshops,11,1.17%
E02001959,AFD-All_Performances_Number of performances,1851,1.71%
E02001959,AFD-All_Performances_Avg. performances booked for per customer,1.994612069,199.46%
E02001959,AFD-All_Yield_Average yield per ticket,23.3143,2331.43%
E02001959,AFD-All_Bookers per artform_Total income,172363.03,1.79%
E02001959,AFD-All_Audience Spectrum_Metro-culturals,0,0.00%
E02001959,AFD-All_Audience Spectrum_Commuter-land Culturebuffs,5,0.54%
E02001959,AFD-All_Audience Spectrum_Experience Seekers,0,0.00%
E02001959,AFD-All_Audience Spectrum_Dormitory Dependables,115,12.39%
E02001959,AFD-All_Audience Spectrum_Trips & Treats,439,47.31%
E02001959,AFD-All_Audience Spectrum_Home & Heritage,81,8.73%
E02001959,AFD-All_Audience Spectrum_Up Our Street,148,15.95%
E02001959,AFD-All_Audience Spectrum_Facebook Families,114,12.28%
E02001959,AFD-All_Audience Spectrum_Kaleidoscope Creativity,9,0.97%
E02001959,AFD-All_Audience Spectrum_Heydays,17,1.83%
E02001959,AFD-All_Audience Spectrum_Total,928,
E02001959,AFD-Coventry_Number of Bookers,735,1.90%
E02001959,AFD-Coventry_Tickets Issued,5483,1.70%
E02001959,AFD-Coventry_No of venues visited_1,658,2.01%
E02001959,AFD-Coventry_No of venues visited_2,77,1.27%
E02001959,AFD-Coventry_No of venues visited_Average,1.104761905,110.48%
E02001959,AFD-Coventry_Bookers per artform_Children/Family,148,2.05%
E02001959,AFD-Coventry_Bookers per artform_Christmas Show,178,2.14%
E02001959,AFD-Coventry_Bookers per artform_Contemporary Visual Arts,0,0.00%
E02001959,AFD-Coventry_Bookers per artform_Dance,71,1.65%
E02001959,AFD-Coventry_Bookers per artform_Film,30,0.65%
E02001959,AFD-Coventry_Bookers per artform_General Entertainment,165,1.84%
E02001959,AFD-Coventry_Bookers per artform_Literature,1,3.57%
E02001959,AFD-Coventry_Bookers per artform_Museums/Heritage,0,0.00%
E02001959,AFD-Coventry_Bookers per artform_Music,218,1.88%
E02001959,AFD-Coventry_Bookers per artform_Musical Theatre,227,2.33%
E02001959,AFD-Coventry_Bookers per artform_Other Artforms,3,0.59%
E02001959,AFD-Coventry_Bookers per artform_Outdoor Arts,1,1.75%
E02001959,AFD-Coventry_Bookers per artform_Plays/Drama,201,1.84%
E02001959,AFD-Coventry_Bookers per artform_Traditional Visual Arts,0,0.00%
E02001959,AFD-Coventry_Bookers per artform_Uncoded,0,0.00%
E02001959,AFD-Coventry_Bookers per artform_Workshops,9,1.20%
E02001959,AFD-Coventry_Performances_Number of performances,1048,1.81%
E02001959,AFD-Coventry_Performances_Avg. performances booked for per customer,1.42585034,
E02001959,AFD-Coventry_Yield_Average yield per ticket,19.3239,
E02001959,AFD-Coventry_Bookers per artform_Total income,102687.59,
E02001959,AFD-Coventry_Audience Spectrum_Metro-culturals,0,0.00%
E02001959,AFD-Coventry_Audience Spectrum_Commuter-land Culturebuffs,4,0.54%
E02001959,AFD-Coventry_Audience Spectrum_Experience Seekers,0,0.00%
E02001959,AFD-Coventry_Audience Spectrum_Dormitory Dependables,87,11.84%
E02001959,AFD-Coventry_Audience Spectrum_Trips & Treats,336,45.71%
E02001959,AFD-Coventry_Audience Spectrum_Home & Heritage,70,9.52%
E02001959,AFD-Coventry_Audience Spectrum_Up Our Street,125,17.01%
E02001959,AFD-Coventry_Audience Spectrum_Facebook Families,92,12.52%
E02001959,AFD-Coventry_Audience Spectrum_Kaleidoscope Creativity,8,1.09%
E02001959,AFD-Coventry_Audience Spectrum_Heydays,13,1.77%
E02001959,AFD-Coventry_Audience Spectrum_Total,735,1.90%
E02001959,Index of Multiple Deprivation (IMD) Score,19.37657792,
E02001959,Income Score (rate),0.1173291,
E02001959,Employment Score (rate),0.052583333,
E02001959,"Education, Skills and Training Score",20.65045155,
E02001959,Health Deprivation and Disability Score,0.072997491,
E02001959,Crime Score,0.073617121,
E02001959,Barriers to Housing and Services Score,18.07232863,
E02001959,Living Environment Score,29.72587927,
E02001959,Income Deprivation Affecting Children Index (IDACI) Score (rate),0.032123393,
E02001959,Income Deprivation Affecting Older People (IDAOPI) Score (rate),0.030483067,
E02001959,Children and Young People Sub-domain Score,-0.049924585,
E02001959,Adult Skills Sub-domain Score,0.353373001,
E02001959,Geographical Barriers Sub-domain Score,-0.201337253,
E02001959,Wider Barriers Sub-domain Score,0.63232518,
E02001959,Indoors Sub-domain Score,0.662790844,
E02001959,Outdoors Sub-domain Score,0.050473659,
E02001961,Adults 15+ estimate 2018,6578,2.27%
E02001961,Household estimate 2018,3678,2.54%
E02001961,Population estimate 2018,8393,2.35%
E02001961,Segmentation_Audience Spectrum_Metro-culturals,0,0.00%
E02001961,Segmentation_Audience Spectrum_Commuter-land Culturebuffs,0,0.00%
E02001961,Segmentation_Audience Spectrum_Experience Seekers,0,0.00%
E02001961,Segmentation_Audience Spectrum_Dormitory Dependables,49,0.75%
E02001961,Segmentation_Audience Spectrum_Trips & Treats,532,8.13%
E02001961,Segmentation_Audience Spectrum_Home & Heritage,0,0.00%
E02001961,Segmentation_Audience Spectrum_Up Our Street,775,11.85%
E02001961,Segmentation_Audience Spectrum_Facebook Families,3606,55.12%
E02001961,Segmentation_Audience Spectrum_Kaleidoscope Creativity,882,13.48%
E02001961,Segmentation_Audience Spectrum segment_Heydays,698,10.67%
E02001961,Segmentation_Audience Spectrum_Adults 15+ estimate 2018,6542,
E02001961,Segmentation_MOSAIC_A City Prosperity ,0,0.00%
E02001961,Segmentation_MOSAIC_B Prestige Positions ,0,0.00%
E02001961,Segmentation_MOSAIC_C Country Living ,0,0.00%
E02001961,Segmentation_MOSAIC_D Rural Reality ,0,0.00%
E02001961,Segmentation_MOSAIC_E Senior Security ,0,0.00%
E02001961,Segmentation_MOSAIC_F Suburban Stability ,0,0.00%
E02001961,Segmentation_MOSAIC_G Domestic Success ,0,0.00%
E02001961,Segmentation_MOSAIC_H Aspiring Homemakers ,95,1.44%
E02001961,Segmentation_MOSAIC_I Family Basics ,2765,42.03%
E02001961,Segmentation_MOSAIC_J Transient Renters ,444,6.75%
E02001961,Segmentation_MOSAIC_K Municipal Tenants,1263,19.20%
E02001961,Segmentation_MOSAIC_L Vintage Value ,1237,18.81%
E02001961,Segmentation_MOSAIC_M Modest Traditions ,698,10.61%
E02001961,Segmentation_MOSAIC_N Urban Cohesion ,76,1.16%
E02001961,Segmentation_MOSAIC_O Rental Hubs ,0,0.00%
E02001961,Segmentation_MOSAIC_U Unclassified,0,0.00%
E02001961,Segmentation_MOSAIC 6 Group (Adults 15+)_Adults 15+ estimate 2018,6578,
E02001961,TGI-Leisure_Art galleries,1118,17.00%
E02001961,TGI-Leisure_Art gallery once a month or more,35,0.53%
E02001961,TGI-Leisure_Ballet,406,6.17%
E02001961,TGI-Leisure_Classical concerts,493,7.49%
E02001961,TGI-Leisure_Comedy Shows,1236,18.79%
E02001961,TGI-Leisure_Contemp-orary dance,353,5.37%
E02001961,TGI-Leisure_Jazz concerts,366,5.56%
E02001961,TGI-Leisure_Opera,277,4.21%
E02001961,TGI-Leisure_Plays,1199,18.23%
E02001961,TGI-Leisure_Popular/rock concert,1924,29.25%
E02001961,TGI-Leisure_Theatre,1849,28.11%
E02001961,TGI-Leisure_Theatre once a month or more,103,1.57%
E02001961,TGI-Leisure_Museums,1240,18.85%
E02001961,TGI-Leisure_Archaeological sites,234,3.56%
E02001961,TGI-Leisure_Stately homes/ castles,1106,16.81%
E02001961,TGI-Leisure_Cinema_Ever go to the cinema,4717,71.71%
E02001961,TGI-Leisure_Cinema_Go every two or three months,799,12.15%
E02001961,TGI-Leisure_Cinema_Go once or more a month,818,12.44%
E02001961,TGI-Leisure_Cinema_Never go,1861,28.29%
E02001961,TGI-Leisure_Adults 15+ estimate 2018,6578,
E02001961,TGI-Media_Daily Express,116,1.76%
E02001961,TGI-Media_Daily Mail,192,2.92%
E02001961,TGI-Media_Daily Mirror,154,2.34%
E02001961,TGI-Media_Daily Record,18,0.27%
E02001961,TGI-Media_Daily Star,126,1.92%
E02001961,TGI-Media_Daily Telegraph,44,0.67%
E02001961,TGI-Media_Financial Times,16,0.24%
E02001961,TGI-Media_The Guardian,45,0.68%
E02001961,TGI-Media_i (newspaper),42,0.64%
E02001961,TGI-Media_The Sun,466,7.08%
E02001961,TGI-Media_The Times,62,0.94%
E02001961,TGI-Media_Adults 15+ estimate 2018,6578,
E02001961,AFD-All_Number of Bookers,758,1.52%
E02001961,AFD-All_Tickets Issued,5343,1.15%
E02001961,AFD-All_No of venues visited_1,589,1.74%
E02001961,AFD-All_No of venues visited_2,125,1.28%
E02001961,AFD-All_No of venues visited_3,31,0.85%
E02001961,AFD-All_No of venues visited_4,5,0.35%
E02001961,AFD-All_No of venues visited_5,4,0.66%
E02001961,AFD-All_No of venues visited_6,0,0.00%
E02001961,AFD-All_No of venues visited_7,1,0.75%
E02001961,AFD-All_No of venues visited_8,1,1.54%
E02001961,AFD-All_No of venues visited_9,0,0.00%
E02001961,AFD-All_No of venues visited_10,1,3.57%
E02001961,AFD-All_No of venues visited_More than 10,1,1.82%
E02001961,AFD-All_No of venues visited_Average,1.329815303,132.98%
E02001961,AFD-All_Bookers per artform_Children/Family,121,1.53%
E02001961,AFD-All_Bookers per artform_Christmas Show,188,1.94%
E02001961,AFD-All_Bookers per artform_Contemporary Visual Arts,2,1.02%
E02001961,AFD-All_Bookers per artform_Dance,62,0.87%
E02001961,AFD-All_Bookers per artform_Film,13,0.26%
E02001961,AFD-All_Bookers per artform_General Entertainment,133,1.23%
E02001961,AFD-All_Bookers per artform_Literature,2,0.66%
E02001961,AFD-All_Bookers per artform_Museums/Heritage,58,1.95%
E02001961,AFD-All_Bookers per artform_Music,213,1.38%
E02001961,AFD-All_Bookers per artform_Musical Theatre,201,1.33%
E02001961,AFD-All_Bookers per artform_Other Artforms,4,0.47%
E02001961,AFD-All_Bookers per artform_Outdoor Arts,1,0.49%
E02001961,AFD-All_Bookers per artform_Plays/Drama,178,1.23%
E02001961,AFD-All_Bookers per artform_Traditional Visual Arts,0,0.00%
E02001961,AFD-All_Bookers per artform_Uncoded,9,0.63%
E02001961,AFD-All_Bookers per artform_Workshops,14,1.49%
E02001961,AFD-All_Performances_Number of performances,1393,1.29%
E02001961,AFD-All_Performances_Avg. performances booked for per customer,1.837730871,183.77%
E02001961,AFD-All_Yield_Average yield per ticket,22.0966,2209.66%
E02001961,AFD-All_Bookers per artform_Total income,110748.18,1.15%
E02001961,AFD-All_Audience Spectrum_Metro-culturals,0,0.00%
E02001961,AFD-All_Audience Spectrum_Commuter-land Culturebuffs,0,0.00%
E02001961,AFD-All_Audience Spectrum_Experience Seekers,0,0.00%
E02001961,AFD-All_Audience Spectrum_Dormitory Dependables,7,0.92%
E02001961,AFD-All_Audience Spectrum_Trips & Treats,84,11.08%
E02001961,AFD-All_Audience Spectrum_Home & Heritage,5,0.66%
E02001961,AFD-All_Audience Spectrum_Up Our Street,171,22.56%
E02001961,AFD-All_Audience Spectrum_Facebook Families,331,43.67%
E02001961,AFD-All_Audience Spectrum_Kaleidoscope Creativity,90,11.87%
E02001961,AFD-All_Audience Spectrum_Heydays,70,9.23%
E02001961,AFD-All_Audience Spectrum_Total,758,
E02001961,AFD-Coventry_Number of Bookers,581,1.50%
E02001961,AFD-Coventry_Tickets Issued,3858,1.19%
E02001961,AFD-Coventry_No of venues visited_1,535,1.64%
E02001961,AFD-Coventry_No of venues visited_2,46,0.76%
E02001961,AFD-Coventry_No of venues visited_Average,1.079173838,107.92%
E02001961,AFD-Coventry_Bookers per artform_Children/Family,114,1.58%
E02001961,AFD-Coventry_Bookers per artform_Christmas Show,179,2.16%
E02001961,AFD-Coventry_Bookers per artform_Contemporary Visual Arts,1,0.73%
E02001961,AFD-Coventry_Bookers per artform_Dance,38,0.88%
