GeographyID,GeographyName,GeographyDescription,GeographyType,FamilyHub,PCD,OA11,LSOA11,MSOA,Ward,LTLA18CD,UTLA18CD,LAUA,CAUTH,REGION,CTRY,LAT,LONG,WestMidlandsPolice,WestMidlandsPoliceImpactAreas,PrimaryCareNetwork,CCG18CD
RM1,Norfolk and Norwich University Hospitals NHS Foundation Trust,,Acute Trusts,,,,,,,,,,,,,,,,,,
RM3,Salford Royal NHS Foundation Trust,,Acute Trusts,,,,,,,,,,,,,,,,,,
RMC,Bolton NHS Foundation Trust,,Acute Trusts,,,,,,,,,,,,,,,,,,
RMP,Tameside Hospital NHS Foundation Trust,,Acute Trusts,,,,,,,,,,,,,,,,,,
RN3,Great Western Hospitals NHS Foundation Trust,,Acute Trusts,,,,,,,,,,,,,,,,,,
RN5,Hampshire Hospitals NHS Foundation Trust,,Acute Trusts,,,,,,,,,,,,,,,,,,
RN7,Dartford and Gravesham NHS Trust,,Acute Trusts,,,,,,,,,,,,,,,,,,
RNA,The Dudley Group NHS Foundation Trust,,Acute Trusts,,,,,,,,,,,,,,,,,,
RNL,North Cumbria University Hospitals NHS Trust,,Acute Trusts,,,,,,,,,,,,,,,,,,
RNQ,Kettering General Hospital NHS Foundation Trust,,Acute Trusts,,,,,,,,,,,,,,,,,,
RNS,Northampton General Hospital NHS Trust,,Acute Trusts,,,,,,,,,,,,,,,,,,
RNZ,Salisbury NHS Foundation Trust,,Acute Trusts,,,,,,,,,,,,,,,,,,
RP4,Great Ormond Street Hospital for Children NHS Foundation Trust,,Acute Trusts,,,,,,,,,,,,,,,,,,
RP5,Doncaster and Bassetlaw Hospitals NHS Foundation Trust,,Acute Trusts,,,,,,,,,,,,,,,,,,
RP6,Moorfields Eye Hospital NHS Foundation Trust,,Acute Trusts,,,,,,,,,,,,,,,,,,
RPA,Medway NHS Foundation Trust,,Acute Trusts,,,,,,,,,,,,,,,,,,
RPC,Queen Victoria Hospital NHS Foundation Trust,,Acute Trusts,,,,,,,,,,,,,,,,,,
RPY,The Royal Marsden NHS Foundation Trust,,Acute Trusts,,,,,,,,,,,,,,,,,,
RQ3,Birmingham Children's and Women's NHS Foundation Trust ,,Acute Trusts,,,,,,,,,,,,,,,,,,
RQ6,Royal Liverpool and Broadgreen University Hospitals NHS Trust,,Acute Trusts,,,,,,,,,,,,,,,,,,
RQ8,Mid Essex Hospital Services NHS Trust,,Acute Trusts,,,,,,,,,,,,,,,,,,
RQM,Chelsea and Westminster Hospital NHS Foundation Trust,,Acute Trusts,,,,,,,,,,,,,,,,,,
RQW,The Princess Alexandra Hospital NHS Trust,,Acute Trusts,,,,,,,,,,,,,,,,,,
RQX,Homerton University Hospital NHS Foundation Trust,,Acute Trusts,,,,,,,,,,,,,,,,,,
RR7,Gateshead Health NHS Foundation Trust,,Acute Trusts,,,,,,,,,,,,,,,,,,
RR8,Leeds Teaching Hospitals NHS Trust,,Acute Trusts,,,,,,,,,,,,,,,,,,
RRF,"Wrightington, Wigan and Leigh NHS Foundation Trust",,Acute Trusts,,,,,,,,,,,,,,,,,,
RRJ,The Royal Orthopaedic Hospital NHS Foundation Trust,,Acute Trusts,,,,,,,,,,,,,,,,,,
RRK,University Hospitals Birmingham NHS Foundation Trust,,Acute Trusts,,,,,,,,,,,,,,,,,,
RRV,University College London Hospitals NHS Foundation Trust,,Acute Trusts,,,,,,,,,,,,,,,,,,
RT3,Royal Brompton & Harefield NHS Foundation Trust,,Acute Trusts,,,,,,,,,,,,,,,,,,
RTD,The Newcastle Upon Tyne Hospitals NHS Foundation Trust,,Acute Trusts,,,,,,,,,,,,,,,,,,
RTE,Gloucestershire Hospitals NHS Foundation Trust,,Acute Trusts,,,,,,,,,,,,,,,,,,
RTF,Northumbria Healthcare NHS Foundation Trust,,Acute Trusts,,,,,,,,,,,,,,,,,,
RTG,University Hospitals of Derby and Burton NHS Foundation Trust,,Acute Trusts,,,,,,,,,,,,,,,,,,
RTH,Oxford University Hospitals NHS Foundation Trust,,Acute Trusts,,,,,,,,,,,,,,,,,,
RTK,Ashford and St Peter's Hospitals NHS Foundation Trust,,Acute Trusts,,,,,,,,,,,,,,,,,,
RTP,Surrey and Sussex Healthcare NHS Trust,,Acute Trusts,,,,,,,,,,,,,,,,,,
RTR,South Tees Hospitals NHS Foundation Trust,,Acute Trusts,,,,,,,,,,,,,,,,,,
RTX,University Hospitals of Morecambe Bay NHS Foundation Trust,,Acute Trusts,,,,,,,,,,,,,,,,,,
RVJ,North Bristol NHS Trust,,Acute Trusts,,,,,,,,,,,,,,,,,,
RVR,Epsom and St Helier University Hospitals NHS Trust,,Acute Trusts,,,,,,,,,,,,,,,,,,
RVV,East Kent Hospitals University NHS Foundation Trust,,Acute Trusts,,,,,,,,,,,,,,,,,,
RVW,North Tees and Hartlepool NHS Foundation Trust,,Acute Trusts,,,,,,,,,,,,,,,,,,
RVY,Southport and Ormskirk Hospital NHS Trust,,Acute Trusts,,,,,,,,,,,,,,,,,,
RW6,Pennine Acute Hospitals NHS Trust,,Acute Trusts,,,,,,,,,,,,,,,,,,
RWA,Hull and East Yorkshire Hospitals NHS Trust,,Acute Trusts,,,,,,,,,,,,,,,,,,
RWD,United Lincolnshire Hospitals NHS Trust,,Acute Trusts,,,,,,,,,,,,,,,,,,
RWE,University Hospitals of Leicester NHS Trust,,Acute Trusts,,,,,,,,,,,,,,,,,,
RWF,Maidstone and Tunbridge Wells NHS Trust,,Acute Trusts,,,,,,,,,,,,,,,,,,
RWG,West Hertfordshire Hospitals NHS Trust,,Acute Trusts,,,,,,,,,,,,,,,,,,
RWH,East and North Hertfordshire NHS Trust,,Acute Trusts,,,,,,,,,,,,,,,,,,
RWJ,Stockport NHS Foundation Trust,,Acute Trusts,,,,,,,,,,,,,,,,,,
RWP,Worcestershire Acute Hospitals NHS Trust,,Acute Trusts,,,,,,,,,,,,,,,,,,
RWW,Warrington and Halton Hospitals NHS Foundation Trust,,Acute Trusts,,,,,,,,,,,,,,,,,,
RWY,Calderdale and Huddersfield NHS Foundation Trust,,Acute Trusts,,,,,,,,,,,,,,,,,,
RX1,Nottingham University Hospitals NHS Trust,,Acute Trusts,,,,,,,,,,,,,,,,,,
RXC,East Sussex Healthcare NHS Trust,,Acute Trusts,,,,,,,,,,,,,,,,,,
RXF,Mid Yorkshire Hospitals NHS Trust,,Acute Trusts,,,,,,,,,,,,,,,,,,
RXH,Brighton and Sussex University Hospitals NHS Trust,,Acute Trusts,,,,,,,,,,,,,,,,,,
RXK,Sandwell and West Birmingham Hospitals NHS Trust,,Acute Trusts,,,,,,,,,,,,,,,,,,
RXL,Blackpool Teaching Hospitals NHS Foundation Trust,,Acute Trusts,,,,,,,,,,,,,,,,,,
RXN,Lancashire Teaching Hospitals NHS Foundation Trust,,Acute Trusts,,,,,,,,,,,,,,,,,,
RXP,County Durham and Darlington NHS Foundation Trust,,Acute Trusts,,,,,,,,,,,,,,,,,,
RXQ,Buckinghamshire Healthcare NHS Trust,,Acute Trusts,,,,,,,,,,,,,,,,,,
RXR,East Lancashire Hospitals NHS Trust,,Acute Trusts,,,,,,,,,,,,,,,,,,
RXW,Shrewsbury and Telford Hospital NHS Trust,,Acute Trusts,,,,,,,,,,,,,,,,,,
RYJ,Imperial College Healthcare NHS Trust,,Acute Trusts,,,,,,,,,,,,,,,,,,
RYR,Western Sussex Hospitals NHS Foundation Trust,,Acute Trusts,,,,,,,,,,,,,,,,,,
RGQ,Ipswich Hospital NHS Trust,,Acute Trusts,,,,,,,,,,,,,,,,,,
RR1,Heart of England NHS Foundation Trust,,Acute Trusts,,,,,,,,,,,,,,,,,,
RM2,University Hospital of South Manchester NHS Foundation Trust,,Acute Trusts,,,,,,,,,,,,,,,,,,
RW3,Central Manchester University Hospitals NHS Foundation Trust,,Acute Trusts,,,,,,,,,,,,,,,,,,
RFW,West Middlesex University Hospitals NHS Trust,,Acute Trusts,,,,,,,,,,,,,,,,,,
RQQ,Hinchingbrooke Health Care NHS Trust,,Acute Trusts,,,,,,,,,,,,,,,,,,
E39000018,London NHS region,,NHS region - local office,,,,,,,,,,,,,,,,,,
E39000026,Cheshire and Merseyside NHS region,,NHS region - local office,,,,,,,,,,,,,,,,,,
E39000032,North Midlands NHS region,,NHS region - local office,,,,,,,,,,,,,,,,,,
E39000033,West Midlands NHS region,,NHS region - local office,,,,,,,,,,,,,,,,,,
E39000037,Greater Manchester NHS region,,NHS region - local office,,,,,,,,,,,,,,,,,,
E39000040,Lancashire and South Cumbria NHS region,,NHS region - local office,,,,,,,,,,,,,,,,,,
E39000041,"South East (Hampshire, Isle of Wight and Thames Valley) NHS region",,NHS region - local office,,,,,,,,,,,,,,,,,,
E39000042,"South East (Kent, Surrey and Sussex) NHS region",,NHS region - local office,,,,,,,,,,,,,,,,,,
E39000043,South West (North) NHS region,,NHS region - local office,,,,,,,,,,,,,,,,,,
E39000044,South West (South) NHS region,,NHS region - local office,,,,,,,,,,,,,,,,,,
E39000045,Midlands (Central) NHS region,,NHS region - local office,,,,,,,,,,,,,,,,,,
E39000046,East of England (East) NHS region,,NHS region - local office,,,,,,,,,,,,,,,,,,
E39000047,North East and Yorkshire (Cumbria and NE) NHS region,,NHS region - local office,,,,,,,,,,,,,,,,,,
E39000048,North East and Yorkshire (Yorkshire and Humber) NHS region,,NHS region - local office,,,,,,,,,,,,,,,,,,
E38000001,"NHS Airedale, Wharfdale And Craven CCG",,CCG,,,,,,,,,,,,,,,,,,
E38000002,NHS Ashford CCG,,CCG,,,,,,,,,,,,,,,,,,
E38000004,NHS Barking And Dagenham CCG,,CCG,,,,,,,,,,,,,,,,,,
E38000005,NHS Barnet CCG,,CCG,,,,,,,,,,,,,,,,,,
E38000006,NHS Barnsley CCG,,CCG,,,,,,,,,,,,,,,,,,
E38000007,NHS Basildon And Brentwood CCG,,CCG,,,,,,,,,,,,,,,,,,
E38000008,NHS Bassetlaw CCG,,CCG,,,,,,,,,,,,,,,,,,
E38000009,NHS Bath And North East Somerset CCG,,CCG,,,,,,,,,,,,,,,,,,
E38000010,NHS Bedfordshire CCG,,CCG,,,,,,,,,,,,,,,,,,
E38000011,NHS Bexley CCG,,CCG,,,,,,,,,,,,,,,,,,
E38000014,NHS Blackburn With Darwen CCG,,CCG,,,,,,,,,,,,,,,,,,
E38000015,NHS Blackpool CCG,,CCG,,,,,,,,,,,,,,,,,,
E38000016,NHS Bolton CCG,,CCG,,,,,,,,,,,,,,,,,,
E38000018,NHS Bradford City CCG,,CCG,,,,,,,,,,,,,,,,,,
E38000019,NHS Bradford Districts CCG,,CCG,,,,,,,,,,,,,,,,,,
E38000020,NHS Brent CCG,,CCG,,,,,,,,,,,,,,,,,,
E38000021,NHS Brighton And Hove CCG,,CCG,,,,,,,,,,,,,,,,,,
E38000023,NHS Bromley CCG,,CCG,,,,,,,,,,,,,,,,,,
E38000024,NHS Bury CCG,,CCG,,,,,,,,,,,,,,,,,,
E38000025,NHS Calderdale CCG,,CCG,,,,,,,,,,,,,,,,,,
E38000026,NHS Cambridgeshire and Peterborough CCG,,CCG,,,,,,,,,,,,,,,,,,
E38000027,NHS Camden CCG,,CCG,,,,,,,,,,,,,,,,,,
E38000028,NHS Cannock Chase CCG,,CCG,,,,,,,,,,,,,,,,,,
E38000029,NHS Canterbury And Coastal CCG,,CCG,,,,,,,,,,,,,,,,,,
E38000030,NHS Castle Point And Rochford CCG,,CCG,,,,,,,,,,,,,,,,,,
E38000031,NHS Central London (Westminster) CCG,,CCG,,,,,,,,,,,,,,,,,,
E38000034,NHS Chorley And South Ribble CCG,,CCG,,,,,,,,,,,,,,,,,,
E38000035,NHS City And Hackney CCG,,CCG,,,,,,,,,,,,,,,,,,
E38000037,NHS Corby CCG,,CCG,,,,,,,,,,,,,,,,,,
E38000038,NHS Coventry And Rugby CCG,,CCG,,,,,,,,,,,,,,,,,,
E38000039,NHS Crawley CCG,,CCG,,,,,,,,,,,,,,,,,,
E38000040,NHS Croydon CCG,,CCG,,,,,,,,,,,,,,,,,,
E38000042,NHS Darlington CCG,,CCG,,,,,,,,,,,,,,,,,,
E38000043,"NHS Dartford, Gravesham And Swanley CCG",,CCG,,,,,,,,,,,,,,,,,,
E38000044,NHS Doncaster CCG,,CCG,,,,,,,,,,,,,,,,,,
E38000045,NHS Dorset CCG,,CCG,,,,,,,,,,,,,,,,,,
E38000046,NHS Dudley CCG,,CCG,,,,,,,,,,,,,,,,,,
E38000047,"NHS Durham Dales, Easington And Sedgefield CCG",,CCG,,,,,,,,,,,,,,,,,,
E38000048,NHS Ealing CCG,,CCG,,,,,,,,,,,,,,,,,,
E38000049,NHS East And North Hertfordshire CCG,,CCG,,,,,,,,,,,,,,,,,,
E38000050,NHS East Lancashire CCG,,CCG,,,,,,,,,,,,,,,,,,
E38000051,NHS East Leicestershire And Rutland CCG,,CCG,,,,,,,,,,,,,,,,,,
E38000052,NHS East Riding Of Yorkshire CCG,,CCG,,,,,,,,,,,,,,,,,,
E38000053,NHS East Staffordshire CCG,,CCG,,,,,,,,,,,,,,,,,,
E38000054,NHS East Surrey CCG,,CCG,,,,,,,,,,,,,,,,,,
E38000055,"NHS Eastbourne, Hailsham And Seaford CCG",,CCG,,,,,,,,,,,,,,,,,,
E38000056,NHS Eastern Cheshire CCG,,CCG,,,,,,,,,,,,,,,,,,
E38000057,NHS Enfield CCG,,CCG,,,,,,,,,,,,,,,,,,
E38000058,NHS Erewash CCG,,CCG,,,,,,,,,,,,,,,,,,
E38000059,NHS Fareham And Gosport CCG,,CCG,,,,,,,,,,,,,,,,,,
E38000062,NHS Gloucestershire CCG,,CCG,,,,,,,,,,,,,,,,,,
E38000063,NHS Great Yarmouth And Waveney CCG,,CCG,,,,,,,,,,,,,,,,,,
E38000064,NHS Greater Huddersfield CCG,,CCG,,,,,,,,,,,,,,,,,,
E38000066,NHS Greenwich CCG,,CCG,,,,,,,,,,,,,,,,,,
E38000068,NHS Halton CCG,,CCG,,,,,,,,,,,,,,,,,,
E38000069,"NHS Hambleton, Richmondshire And Whitby CCG",,CCG,,,,,,,,,,,,,,,,,,
E38000070,NHS Hammersmith And Fulham CCG,,CCG,,,,,,,,,,,,,,,,,,
E38000071,NHS Hardwick CCG,,CCG,,,,,,,,,,,,,,,,,,
E38000072,NHS Haringey CCG,,CCG,,,,,,,,,,,,,,,,,,
E38000073,NHS Harrogate And Rural District CCG,,CCG,,,,,,,,,,,,,,,,,,
E38000074,NHS Harrow CCG,,CCG,,,,,,,,,,,,,,,,,,
E38000075,NHS Hartlepool And Stockton-On-Tees CCG,,CCG,,,,,,,,,,,,,,,,,,
E38000076,NHS Hastings And Rother CCG,,CCG,,,,,,,,,,,,,,,,,,
E38000077,NHS Havering CCG,,CCG,,,,,,,,,,,,,,,,,,
E38000078,NHS Herefordshire CCG,,CCG,,,,,,,,,,,,,,,,,,
E38000079,NHS Herts Valleys CCG,,CCG,,,,,,,,,,,,,,,,,,
E38000080,"NHS Heywood, Middleton And Rochdale CCG",,CCG,,,,,,,,,,,,,,,,,,
E38000081,NHS High Weald Lewes Havens CCG,,CCG,,,,,,,,,,,,,,,,,,
E38000082,NHS Hillingdon CCG,,CCG,,,,,,,,,,,,,,,,,,
E38000083,NHS Horsham And Mid Sussex CCG,,CCG,,,,,,,,,,,,,,,,,,
E38000084,NHS Hounslow CCG,,CCG,,,,,,,,,,,,,,,,,,
E38000085,NHS Hull CCG,,CCG,,,,,,,,,,,,,,,,,,
E38000086,NHS Ipswich And East Suffolk CCG,,CCG,,,,,,,,,,,,,,,,,,
E38000087,NHS Isle Of Wight CCG,,CCG,,,,,,,,,,,,,,,,,,
E38000088,NHS Islington CCG,,CCG,,,,,,,,,,,,,,,,,,
E38000089,NHS Kernow CCG,,CCG,,,,,,,,,,,,,,,,,,
E38000090,NHS Kingston CCG,,CCG,,,,,,,,,,,,,,,,,,
E38000091,NHS Knowsley CCG,,CCG,,,,,,,,,,,,,,,,,,
E38000092,NHS Lambeth CCG,,CCG,,,,,,,,,,,,,,,,,,
E38000097,NHS Leicester City CCG,,CCG,,,,,,,,,,,,,,,,,,
E38000098,NHS Lewisham CCG,,CCG,,,,,,,,,,,,,,,,,,
E38000099,NHS Lincolnshire East CCG,,CCG,,,,,,,,,,,,,,,,,,
E38000100,NHS Lincolnshire West CCG,,CCG,,,,,,,,,,,,,,,,,,
E38000101,NHS Liverpool CCG,,CCG,,,,,,,,,,,,,,,,,,
E38000102,NHS Luton CCG,,CCG,,,,,,,,,,,,,,,,,,
E38000103,NHS Mansfield And Ashfield CCG,,CCG,,,,,,,,,,,,,,,,,,
E38000104,NHS Medway CCG,,CCG,,,,,,,,,,,,,,,,,,
E38000105,NHS Merton CCG,,CCG,,,,,,,,,,,,,,,,,,
E38000106,NHS Mid Essex CCG,,CCG,,,,,,,,,,,,,,,,,,
E38000107,NHS Milton Keynes CCG,,CCG,,,,,,,,,,,,,,,,,,
E38000108,NHS Nene CCG,,CCG,,,,,,,,,,,,,,,,,,
E38000109,NHS Newark & Sherwood CCG,,CCG,,,,,,,,,,,,,,,,,,
E38000113,NHS Newham CCG,,CCG,,,,,,,,,,,,,,,,,,
E38000115,NHS North Derbyshire CCG,,CCG,,,,,,,,,,,,,,,,,,
E38000116,NHS North Durham CCG,,CCG,,,,,,,,,,,,,,,,,,
E38000117,NHS North East Essex CCG,,CCG,,,,,,,,,,,,,,,,,,
E38000118,NHS North East Hampshire And Farnham CCG,,CCG,,,,,,,,,,,,,,,,,,
E38000119,NHS North East Lincolnshire CCG,,CCG,,,,,,,,,,,,,,,,,,
E38000120,NHS North Hampshire CCG,,CCG,,,,,,,,,,,,,,,,,,
E38000121,NHS North Kirklees CCG,,CCG,,,,,,,,,,,,,,,,,,
E38000122,NHS North Lincolnshire CCG,,CCG,,,,,,,,,,,,,,,,,,
E38000124,NHS North Norfolk CCG,,CCG,,,,,,,,,,,,,,,,,,
E38000126,NHS North Staffordshire CCG,,CCG,,,,,,,,,,,,,,,,,,
E38000127,NHS North Tyneside CCG,,CCG,,,,,,,,,,,,,,,,,,
E38000128,NHS North West Surrey CCG,,CCG,,,,,,,,,,,,,,,,,,
E38000129,"NHS Northern, Eastern And Western Devon CCG",,CCG,,,,,,,,,,,,,,,,,,
E38000130,NHS Northumberland CCG,,CCG,,,,,,,,,,,,,,,,,,
E38000132,NHS Nottingham City CCG,,CCG,,,,,,,,,,,,,,,,,,
E38000133,NHS Nottingham North And East CCG,,CCG,,,,,,,,,,,,,,,,,,
E38000134,NHS Nottingham West CCG,,CCG,,,,,,,,,,,,,,,,,,
E38000135,NHS Oldham CCG,,CCG,,,,,,,,,,,,,,,,,,
E38000136,NHS Oxfordshire CCG,,CCG,,,,,,,,,,,,,,,,,,
E38000137,NHS Portsmouth CCG,,CCG,,,,,,,,,,,,,,,,,,
E38000138,NHS Redbridge CCG,,CCG,,,,,,,,,,,,,,,,,,
E38000139,NHS Redditch And Bromsgrove CCG,,CCG,,,,,,,,,,,,,,,,,,
E38000140,NHS Richmond CCG,,CCG,,,,,,,,,,,,,,,,,,
E38000141,NHS Rotherham CCG,,CCG,,,,,,,,,,,,,,,,,,
E38000142,NHS Rushcliffe CCG,,CCG,,,,,,,,,,,,,,,,,,
