Q2,Q7,Q8,Q9,Q10,Q11,Q12_1,Q12_2,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21_1,Q21_2,Q21_3,Q21_4,Q21_5,Q21_6,Q21_7,Q21_8,Q22,Q23,Q24,Q25,Q26_1,Q26_2,Q26_3,Q26_4,Q26_5,Q26_6,Q26_7,Q27,Q28,Q35_1,Q35_2,Q35_3,Q35_4,Q35_5,Q36_1,Q36_2,Q36_3,Q36_4,Q36_5,Q36_6,Q36_7,Q36_8,Q36_9,Q37,Q38_1,Q38_2,Q38_3,Q38_4,Q38_5,Q38_6,Q38_7,Q38_8,Q38_9,Q39_1,Q39_2,Q39_3,Q40,Q41_1,Q41_2,Q42_1,Q42_2,Q43_1,Q43_2,Q43_3,Q43_4,Q43_5,Q43_6,Q43_7,Q43_8,Q43_9,Q43_10,Q44_1_1,Q44_1_2,Q44_1_3,Q44_1_4,Q44_1_5,Q44_2_1,Q44_2_2,Q44_2_3,Q44_2_4,Q44_2_5,Q45,Q49,Q50,Q51,Q52,Q52_13_Other,Q53_1,Q53_2,Q53_3,Q53_4,Q53_5,Q53_6,Q53_7,Q54,Q54_6_Other,Q55,Q55_8_Other,Q56,Q56_4_Other,Q56_18_Other,Q57,DBMSOA,DBIMDDECILE,DBWARD,DBNEIGHBOURHOOD,Q26WEBWBSMETRIC,WEIGHT,SWEMWBS_Score,SWEMWBSCategories
Fairly satisfied,2,Tend to agree,Very unsafe,Fairly unsafe,Got worse to live in,Very strongly,Fairly strongly,I feel the same,Tend to agree,Tend to disagree,Fairly likely,Very good,No,"No, I have never used e-cigarettes","At least 3 portions, but less than 5 portions",Tend to agree,Tend to disagree,Definitely agree,Tend to disagree,Definitely agree,Tend to agree,Tend to agree,Tend to agree,Once or twice a month,You and other household members always had enough of the kinds of foods you wanted to eat,Once a week,1 day,Some of the time,Some of the time,Some of the time,Some of the time,Often,Often,Often,Not at all,Only sometimes,More than 2 and a half hours,More than 2 and a half hours,More than 2 and a half hours,More than 2 and a half hours,1 hour but less than 2 and a half hours,Not attended/done at least three times in past 12 months,In person,In person,In person,In person,In person,In person,In person,In person,No, , , , , , , , , , , , ,No - I don't think it has changed my perception,None,None,No,No,6,6,8,8,8,8,3,6,5,6,"Yes, I volunteer with an organisation",Not,Not,Not,Not,Not,Not,I have in the past but no longer do so,Not,Not,No,Female,25-34,Married,In full time paid work, ,0,0,0,0,2,0,0,Heterosexual, ,"Christian (including Church of England, Catholic, Protestant, and all other Christian denominations)", ,White: British (incl. English/Welsh/Scottish/Northern Irish), , ,Not an ex-services member or their dependant,E02001971,4,Bablake Ward,NW,21.54,2.655750909,24,Average Mental Wellbeing
Neither satisfied nor dissatisfied,1 - Terrible,Tend to disagree,Fairly safe,Fairly safe,Not changed much (hasn't got better or worse),Not at all strongly,Not at all strongly,I feel the same,Don't know,Don't know,Not at all likely,Fair,No,"No, I have never used e-cigarettes",At least 5 portions,Definitely agree,Tend to disagree,Definitely agree,Definitely agree,Definitely agree,Definitely agree,Tend to agree,Definitely disagree,Never,"You and other household members had enough to eat, but not always the kinds of food you wanted",I Don't drink,0 days,None of the time,Some of the time,Some of the time,Some of the time,Often,All of the time,All of the time,"Yes, limited a little",Only sometimes,None,More than 2 and a half hours,More than 2 and a half hours,More than 2 and a half hours,1 hour but less than 2 and a half hours,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,No, , , , , , , , , , , , ,No - I don't think it has changed my perception,None,None,No,No,2,0 - Not worried at all,2,0 - Not worried at all,7,10 - Very worried,0 - Not worried at all,0 - Not worried at all,5,0 - Not worried at all,Not,Not,I have in the past but no longer do so,Not,Not,Not,Not,Not,No and I do not wish to for now,Not,No,Female,65-74,Married,Retired, ,0,0,0,0,1,2,0,Prefer not to say, ,"Christian (including Church of England, Catholic, Protestant, and all other Christian denominations)", ,White: British (incl. English/Welsh/Scottish/Northern Irish), , ,Not an ex-services member or their dependant,E02001971,7,Bablake Ward,NW,21.54,.466037067,24,Average Mental Wellbeing
Very satisfied,5 - Fantastic,Strongly agree,Fairly safe,Very safe,Not changed much (hasn't got better or worse),Very strongly,Very strongly,I feel the same,Definitely agree,Definitely agree,Fairly likely,Fair,No,"No, I have never used e-cigarettes","At least 3 portions, but less than 5 portions",Definitely agree,Tend to agree,Definitely agree,Tend to agree,Definitely agree,Definitely agree,Definitely agree,Definitely disagree,Never,You and other household members always had enough of the kinds of foods you wanted to eat,7 days,2 days,None of the time,Often,Often,Rarely,Often,Often,All of the time,"Yes, limited a little",Quite often,1 hour but less than 2 and a half hours,More than 2 and a half hours,None,None,None,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,No, , , , , , , , , , , , ,Yes - it has changed my perception in a positive way,None,None,Yes,Don't know,0 - Not worried at all,0 - Not worried at all,5,0 - Not worried at all,5,0 - Not worried at all,0 - Not worried at all,0 - Not worried at all,0 - Not worried at all,6,Not,Not,Not,No and I do not wish to for now,Not,Not,Not,Not,No and I do not wish to for now,Not,No,Male,75 and over,Married,Retired, ,0,0,0,0,0,2,0,Heterosexual, ,"Christian (including Church of England, Catholic, Protestant, and all other Christian denominations)", ,White: British (incl. English/Welsh/Scottish/Northern Irish), , ,Not an ex-services member or their dependant,E02001982,8,Woodlands Ward,SW,21.54,.302387131,24,Average Mental Wellbeing
Fairly satisfied,3,Tend to agree,Fairly safe,Fairly safe,Got worse to live in,Fairly strongly,Fairly strongly,I feel the same,Tend to agree,Tend to disagree,Fairly likely,Fair,"Yes, but I no longer smoke","No, I have never used e-cigarettes",At least 5 portions,Tend to disagree,Definitely agree,Definitely agree,Tend to agree,Definitely agree,Definitely agree,Tend to agree,Definitely disagree,Less frequently,"You and other household members had enough to eat, but not always the kinds of food you wanted",Less than once a week,0 days,Rarely,Rarely,Some of the time,Some of the time,All of the time,Rarely,Some of the time,"Yes, limited a little",Almost all the time,Some but less than 1 hour,More than 2 and a half hours,Some but less than 1 hour,Some but less than 1 hour,None,In person,In person,In person,In person,Not attended/done at least three times in past 12 months,In person,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,In person,Yes,In person,In person,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,In person,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,In person, , , ,Don't know,2 or 3,None,Yes,Yes,10 - Very worried,5,5,6,8,9,3,4,7,5,"Yes, I volunteer with an organisation",Not,Not,Not,Not,"Yes, I volunteer with an organisation",Not,Not,Not,Not,No,Female,35-44,Married,Self-employed, ,0,1,1,0,2,0,0,Prefer not to say, ,No religion, ,Prefer not to say, , ,Prefer not to say,E02001993,9,Westwood Ward,SW,18.59,.879127765,20,Possible Depression
Fairly dissatisfied,3,Tend to agree,Fairly safe,Very safe,Not changed much (hasn't got better or worse),Not very strongly,Fairly strongly,I feel the same,Neither agree nor disagree,Tend to disagree,Fairly likely,Good,No,"No, I have never used e-cigarettes",At least 5 portions,Definitely agree,Definitely disagree,Definitely agree,Definitely agree,Tend to agree,Definitely agree,Definitely agree,Definitely disagree,Never,You and other household members always had enough of the kinds of foods you wanted to eat,Once a week,0 days,Some of the time,Some of the time,Often,Often,All of the time,Some of the time,All of the time,Not at all,Never,None,1 hour but less than 2 and a half hours,More than 2 and a half hours,None,More than 2 and a half hours,Not attended/done at least three times in past 12 months,In person,In person,In person,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,No, , , , , , , , , ,Radio 1 Big Weekend, , ,No - I don't think it has changed my perception,None,None,Don't know,Don't know,1,0 - Not worried at all,9,6,3,10 - Very worried,9,8,6,3,Not,Not,Not,Not,No but I would like to,Not,Not,Not,No and I do not wish to for now,Not,No,Male,55-64,Prefer not to say,At home/not seeking work - (looking after the home or family), ,0,0,0,0,2,1,0,Prefer not to say, ,"Christian (including Church of England, Catholic, Protestant, and all other Christian denominations)", ,White: British (incl. English/Welsh/Scottish/Northern Irish), , ,Not an ex-services member or their dependant,E02001999,9,Wainbody Ward,SW,24.11,.491525529,27,Average Mental Wellbeing
Fairly dissatisfied,2,Tend to agree,Fairly unsafe,Fairly safe,Got worse to live in,Not at all strongly,Very strongly,I feel the same,Tend to disagree,Tend to disagree,Very likely,Good,"Yes, I currently smoke","No, I have never used e-cigarettes","At least 3 portions, but less than 5 portions",Definitely agree,Tend to agree,Tend to agree,Definitely agree,Definitely disagree,Definitely agree,Tend to agree,Tend to disagree,Once or twice a week,You and other household members always had enough of the kinds of foods you wanted to eat,7 days,7 days,Rarely,Often,Often,All of the time,All of the time,Often,Often,Not at all,Only sometimes,1 hour but less than 2 and a half hours,More than 2 and a half hours,Some but less than 1 hour,None,None,Not attended/done at least three times in past 12 months,In person,In person,In person,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,In person,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,No, , , , , , , , , ,Choir of man, , ,No - I don't think it has changed my perception,None,1,Yes,Yes,0 - Not worried at all,0 - Not worried at all,0 - Not worried at all,0 - Not worried at all,0 - Not worried at all,0 - Not worried at all,0 - Not worried at all,0 - Not worried at all,0 - Not worried at all,0 - Not worried at all,"Yes, I volunteer with an organisation",Not,Not,Not,Not,"Yes, I volunteer with an organisation",Not,Not,Not,Not,No,Male,55-64,Co-habiting,In full time paid work, ,0,0,0,0,3,0,0,Heterosexual, ,No religion, ,White: British (incl. English/Welsh/Scottish/Northern Irish), , ,Not an ex-services member or their dependant,E02001969,1,Radford Ward,NW,25.03,.6726,28,High Mental Wellbeing
Very dissatisfied,3,Tend to agree,Very unsafe,Very unsafe,Got worse to live in,Not at all strongly,Not at all strongly,I feel less of a sense of belonging,Definitely disagree,Definitely disagree,Not very likely,Fair,No,"Yes, but I no longer use e-cigarettes",Less than one portion,Tend to agree,Definitely disagree,Definitely agree,Definitely disagree,Tend to disagree,Tend to agree,Tend to disagree,Tend to agree,Once or twice a week,"You and other household members had enough to eat, but not always the kinds of food you wanted",Less than once a week,0 days,Rarely,Some of the time,Rarely,Often,Some of the time,Rarely,Some of the time,Not at all,Only sometimes,None,None,Some but less than 1 hour,None,1 hour but less than 2 and a half hours,Not attended/done at least three times in past 12 months,In person,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,No, , , , , , , , , , , , ,No - I don't think it has changed my perception,1,4 or more,No,Don't know,2,5,7,10 - Very worried,10 - Very worried,5,6,10 - Very worried,8,9,Not,Not,Not,No and I do not wish to for now,Not,Not,Not,Not,No and I do not wish to for now,Not,No,Male,25-34,Co-habiting,In full time paid work, ,0,0,0,0,2,0,0,Heterosexual, ,"Christian (including Church of England, Catholic, Protestant, and all other Christian denominations)", ,White: Other (please specify in the box below),Romanian, ,Not an ex-services member or their dependant,E02001987,5,Whoberley Ward,SW,17.98,3.9136352,19,Possible Depression
Very satisfied,5 - Fantastic,Strongly agree,Very safe,Very safe,Got better to live in,Very strongly,Very strongly,I feel the same,Definitely agree,Tend to agree,Fairly likely,Very good,No,"No, I have never used e-cigarettes",At least 5 portions,Definitely agree,Definitely agree,Definitely agree,Definitely agree,Definitely agree,Definitely agree,Definitely agree,Tend to disagree,Once or twice a month,You and other household members always had enough of the kinds of foods you wanted to eat,Less than once a week,1 day,All of the time,Rarely,Often,All of the time,All of the time,All of the time,All of the time,Not at all,Never,None,More than 2 and a half hours,More than 2 and a half hours,1 hour but less than 2 and a half hours,1 hour but less than 2 and a half hours,Not attended/done at least three times in past 12 months,In person,In person,In person,Not attended/done at least three times in past 12 months,In person,In person,Not attended/done at least three times in past 12 months,In person,No, , , , , , , , , ,Radio 1 Big Weekend, , ,No - I don't think it has changed my perception,None,None,Yes,Yes,0 - Not worried at all,0 - Not worried at all,0 - Not worried at all,0 - Not worried at all,0 - Not worried at all,0 - Not worried at all,0 - Not worried at all,0 - Not worried at all,0 - Not worried at all,0 - Not worried at all,Not,Not,Not,No and I do not wish to for now,Not,Not,Not,Not,No and I do not wish to for now,Not,No,Female,45-54,Co-habiting,Self-employed, ,0,0,0,0,3,0,0,Heterosexual, ,"Christian (including Church of England, Catholic, Protestant, and all other Christian denominations)", ,White: British (incl. English/Welsh/Scottish/Northern Irish), , ,Not an ex-services member or their dependant,E02001998,10,Wainbody Ward,SW,28.13,.628729514,31,High Mental Wellbeing
Fairly satisfied,2,Tend to agree,Very unsafe,Fairly safe,Got worse to live in,Fairly strongly,Fairly strongly,I feel the same,Neither agree nor disagree,Tend to agree,Fairly likely,Bad,"Yes, but I no longer smoke","No, I have never used e-cigarettes",Don't know,Tend to disagree,Tend to agree,Tend to disagree,Tend to agree,Tend to disagree,Tend to agree,Tend to agree,Tend to agree,Less frequently,You and other household members always had enough of the kinds of foods you wanted to eat,I Don't drink,0 days,Rarely,Some of the time,Rarely,Rarely,Some of the time,Often,Some of the time,"Yes, limited a lot",Quite often,None,1 hour but less than 2 and a half hours,Some but less than 1 hour,None,More than 2 and a half hours,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,No, , , , , , , , , , , , ,No - I don't think it has changed my perception,None,None,Don't know,Don't know,10 - Very worried,0 - Not worried at all,0 - Not worried at all,8,10 - Very worried,10 - Very worried,8,0 - Not worried at all,1,3,Not,Not,I have in the past but no longer do so,Not,Not,Not,"Yes, I volunteer informally (such as by helping neighbours)",Not,Not,Not,No,Male,75 and over,Married,Retired, ,0,0,0,0,1,2,0,Heterosexual, ,"Christian (including Church of England, Catholic, Protestant, and all other Christian denominations)", ,White: British (incl. English/Welsh/Scottish/Northern Irish), , ,Not an ex-services member or their dependant,E02001987,5,Whoberley Ward,SW,17.98,.302387131,19,Possible Depression
Very dissatisfied,2,Tend to disagree,Neither safe nor unsafe,Neither safe nor unsafe,Got worse to live in,Not at all strongly,Not at all strongly,I feel the same,Neither agree nor disagree,Tend to disagree,Very likely,Good,No,"No, I have never used e-cigarettes",At least one portion but less than 3 portions,Tend to agree,Tend to agree,Tend to agree,Tend to disagree,Tend to disagree,Don't know,Definitely agree,Tend to disagree,Less frequently,You and other household members always had enough of the kinds of foods you wanted to eat,I Don't drink,0 days,None of the time,Often,Some of the time,Some of the time,Some of the time,Often,All of the time,Not at all,Only sometimes,Some but less than 1 hour,More than 2 and a half hours,More than 2 and a half hours,More than 2 and a half hours,Some but less than 1 hour,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Both,Not attended/done at least three times in past 12 months,No, , , , , , , , , ,Voluntary work at UHCW Coventry,Visiting London for Platinum Jubilee celebration,Christian church activities,Yes - its has changed my perception in a negative way,1,1,No,Don't know,6,0 - Not worried at all,5,1,0 - Not worried at all,3,0 - Not worried at all,3,1,5,"Yes, I volunteer with an organisation",Not,Not,Not,Not,"Yes, I volunteer with an organisation",Not,Not,Not,Not,No,Male,75 and over,Divorced,Retired, ,0,0,0,0,0,0,0,Heterosexual, ,"Christian (including Church of England, Catholic, Protestant, and all other Christian denominations)", ,White: British (incl. English/Welsh/Scottish/Northern Irish), , ,Not an ex-services member or their dependant,E02001963,6,Holbrook Ward,NW,20.73,.422969314,23,Average Mental Wellbeing
Fairly satisfied,4,Strongly agree,Fairly unsafe,Fairly safe,Not changed much (hasn't got better or worse),Fairly strongly,Fairly strongly,Don't know,Tend to agree,Tend to disagree,Fairly likely,Good,No,"No, I have never used e-cigarettes",At least 5 portions,Definitely agree,Tend to agree,Definitely agree,Tend to agree,Tend to agree,Definitely agree,Tend to agree,Tend to disagree,Once or twice a month,You and other household members always had enough of the kinds of foods you wanted to eat,Less than once a week,0 days,Often,Often,Often,Often,Often,Often,Often,Not at all,Only sometimes,More than 2 and a half hours,More than 2 and a half hours,None,Some but less than 1 hour,More than 2 and a half hours,Not attended/done at least three times in past 12 months,In person,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Yes,Not attended/done at least three times in past 12 months,In person,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months, , , ,No - I don't think it has changed my perception,None,None,Yes,No,8,6,7,0 - Not worried at all,6,7,6,6,5,6,Not,Not,I have in the past but no longer do so,Not,Not,Not,Not,Not,No and I do not wish to for now,Not,No,Female,35-44,Married,Other please specify,Maternity allowance,1,0,0,0,2,0,0,Heterosexual, ,"Christian (including Church of England, Catholic, Protestant, and all other Christian denominations)", ,White: Other (please specify in the box below),Portuguese, ,Not an ex-services member or their dependant,E02001983,8,Whoberley Ward,SW,25.03,.879127765,28,High Mental Wellbeing
Fairly satisfied,3,Tend to agree,Fairly safe,Fairly safe,Don't know,Fairly strongly,Very strongly,I feel more of a sense of belonging,Neither agree nor disagree,Tend to disagree,Not very likely,Fair,No,"No, I have never used e-cigarettes",At least 5 portions,Definitely agree,Tend to agree,Definitely agree,Tend to disagree,Tend to agree,Tend to agree,Tend to agree,Definitely agree,Less frequently,You and other household members always had enough of the kinds of foods you wanted to eat,Less than once a week,0 days,Rarely,Some of the time,Some of the time,Some of the time,Some of the time,Often,Some of the time,"Yes, limited a lot",Only sometimes,None,Some but less than 1 hour,Some but less than 1 hour,1 hour but less than 2 and a half hours,None,Not attended/done at least three times in past 12 months,In person,In person,Not attended/done at least three times in past 12 months,In person,In person,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,In person,No, , , , , , , , , ,80s weekend at memorial park, , ,Yes - it has changed my perception in a positive way,None,None,Don't know,Don't know,6,7,7,1,3,7,0 - Not worried at all,1,4,3,Not,Not,Not,Not,No but I would like to,Not,"Yes, I volunteer informally (such as by helping neighbours)",Not,Not,Not,No,Female,45-54,Single (Never married and never registered a same-sex civil partnership),In full time paid work, ,0,0,0,0,0,0,0,Heterosexual, ,No religion, ,White: British (incl. English/Welsh/Scottish/Northern Irish), , ,Not an ex-services member or their dependant,E02001995,4,Cheylesmore Ward,SE,19.25,.725070667,21,Average Mental Wellbeing
Very satisfied,2,Neither agree nor disagree,Very safe,Very safe,Not changed much (hasn't got better or worse),Not very strongly,Not very strongly,I feel the same,Definitely agree,Tend to agree,Not very likely,Good,No,"No, I have never used e-cigarettes","At least 3 portions, but less than 5 portions",Tend to agree,Tend to disagree,Tend to agree,Tend to agree,Definitely disagree,Definitely agree,Definitely agree,Tend to agree,Once or twice a week,You and other household members always had enough of the kinds of foods you wanted to eat,2-4 days,2 days,Rarely,Often,Some of the time,Often,Often,Rarely,Some of the time,Not at all,Only sometimes,More than 2 and a half hours,More than 2 and a half hours,None,None,None,Not attended/done at least three times in past 12 months,In person,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,No, , , , , , , , , ,Back to the Future musical London,Killing Joke concert Birmingham,New Model Army concert Coventry,No - I don't think it has changed my perception,None,None,No,No,0 - Not worried at all,0 - Not worried at all,3,0 - Not worried at all,0 - Not worried at all,0 - Not worried at all,0 - Not worried at all,3,0 - Not worried at all,0 - Not worried at all,Not,Not,Not,No and I do not wish to for now,Not,Not,Not,Not,No and I do not wish to for now,Not,No,Male,55-64,Married,In full time paid work, ,0,0,0,0,2,0,0,Heterosexual, ,"Christian (including Church of England, Catholic, Protestant, and all other Christian denominations)", ,White: British (incl. English/Welsh/Scottish/Northern Irish), , ,Not an ex-services member or their dependant,E02001990,9,Wyken Ward,NE,19.98,1.02227469,22,Average Mental Wellbeing
Fairly satisfied,3,Tend to agree,Fairly safe,Fairly safe,Not changed much (hasn't got better or worse),Not very strongly,Fairly strongly,I feel the same,Neither agree nor disagree,Tend to disagree,Not very likely,Fair,No,"No, I have never used e-cigarettes","At least 3 portions, but less than 5 portions",Definitely disagree,Tend to disagree,Tend to agree,Tend to agree,Tend to agree,Tend to agree,Definitely agree,Tend to disagree,Once or twice a week,You and other household members always had enough of the kinds of foods you wanted to eat,2-4 days,Prefer not to say,Some of the time,Some of the time,Often,Often,Often,Some of the time,Often,"Yes, limited a little",Only sometimes,1 hour but less than 2 and a half hours,More than 2 and a half hours,More than 2 and a half hours,1 hour but less than 2 and a half hours,1 hour but less than 2 and a half hours,Not attended/done at least three times in past 12 months,In person,In person,In person,In person,In person,Not attended/done at least three times in past 12 months,In person,In person,Yes,Virtual,In person,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,In person,In person,In person,In person,In person,Place of worship,Religious procession,Park event,No - I don't think it has changed my perception,1,None,Don't know,Don't know,7,5,6,4,5,7,6,6,6,6,Not,Not,Not,No and I do not wish to for now,Not,Not,Not,Not,No and I do not wish to for now,Not,No,Male,65-74,Married,In part time paid work, ,0,0,0,0,1,2,1,Heterosexual, ,Sikh, ,Asian: Asian British Indian, , ,Not an ex-services member or their dependant,E02001999,8,Wainbody Ward,SW,22.35,.302387131,25,Average Mental Wellbeing
Fairly satisfied,3,Tend to agree,Fairly safe,Very safe,Not changed much (hasn't got better or worse),Not very strongly,Fairly strongly,I feel the same,Tend to agree,Don't know,Not very likely,Good,"Yes, but I no longer smoke","Yes, I currently use e-cigarettes",At least one portion but less than 3 portions,Tend to disagree,Definitely agree,Tend to agree,Tend to disagree,Tend to agree,Tend to agree,Tend to disagree,Tend to agree,Once or twice a week,Sometimes you and other household members did not have enough to eat,Once a week,1 day,Some of the time,Often,Some of the time,Some of the time,Some of the time,Often,Often,"Yes, limited a little",Quite often,More than 2 and a half hours,More than 2 and a half hours,None,None,Some but less than 1 hour,In person,In person,In person,In person,In person,In person,In person,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,No, , , , , , , , , ,Godiva festival, , ,Yes - it has changed my perception in a positive way,None,None,Yes,Yes,8,5,0 - Not worried at all,4,5,2,0 - Not worried at all,0 - Not worried at all,3,2,Not,Not,Not,Not,No but I would like to,Not,Not,Not,Not,No but I would like to,No,Male,25-34,Co-habiting,In full time paid work, ,0,0,0,0,2,0,0,Gay man, ,"Christian (including Church of England, Catholic, Protestant, and all other Christian denominations)", ,Black: Black British Caribbean, , ,Not an ex-services member or their dependant,E02001987,6,Whoberley Ward,SW,21.54,3.9136352,24,Average Mental Wellbeing
Fairly satisfied,I haven't visited Coventry City Centre in the last year,I haven't visited Coventry City Centre in the last year,Fairly safe,Very safe,Got worse to live in,Fairly strongly,Not at all strongly,I feel the same,Tend to disagree,Tend to disagree,Fairly likely,Very good,No,"No, I have never used e-cigarettes",At least 5 portions,Definitely agree,Tend to disagree,Definitely agree,Tend to agree,Tend to disagree,Definitely agree,Definitely agree,Tend to disagree,Less frequently,You and other household members always had enough of the kinds of foods you wanted to eat,I Don't drink,0 days,Some of the time,Some of the time,Some of the time,Often,All of the time,Some of the time,Often,Not at all,Only sometimes,1 hour but less than 2 and a half hours,More than 2 and a half hours,More than 2 and a half hours,1 hour but less than 2 and a half hours,More than 2 and a half hours,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,No, , , , , , , , , , , , ,No - I don't think it has changed my perception,None,None,No,Don't know,0 - Not worried at all,0 - Not worried at all,5,0 - Not worried at all,8,5,0 - Not worried at all,8,8,6,Not,Not,Not,No and I do not wish to for now,Not,Not,Not,Not,No and I do not wish to for now,Not,No,Female,55-64,Single (Never married and never registered a same-sex civil partnership),Retired, ,0,0,0,0,0,1,0,Heterosexual, ,"Christian (including Church of England, Catholic, Protestant, and all other Christian denominations)", ,White: British (incl. English/Welsh/Scottish/Northern Irish), , ,Not an ex-services member or their dependant,E02001967,6,Bablake Ward,NW,22.35,.5826958,25,Average Mental Wellbeing
Neither satisfied nor dissatisfied,3,Tend to agree,Neither safe nor unsafe,Fairly safe,Got worse to live in,Not very strongly,Fairly strongly,I feel the same,Tend to agree,Definitely agree,Very likely,Good,No,"No, I have never used e-cigarettes",At least one portion but less than 3 portions,Definitely agree,Tend to agree,Definitely agree,Tend to agree,Tend to disagree,Tend to agree,Tend to agree,Tend to agree,Once or twice a week,Sometimes you and other household members did not have enough to eat,I Don't drink,0 days,Rarely,Some of the time,Some of the time,Some of the time,Often,Some of the time,Some of the time,"Yes, limited a little",Quite often,None,1 hour but less than 2 and a half hours,1 hour but less than 2 and a half hours,Some but less than 1 hour,Some but less than 1 hour,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,No, , , , , , , , , , , , ,Yes - it has changed my perception in a positive way,None,None,Yes,Yes,10 - Very worried,8,8,7,10 - Very worried,10 - Very worried,6,9,10 - Very worried,7,Not,Not,I have in the past but no longer do so,Not,Not,Not,Not,Not,Not,No but I would like to,No,Male,35-44,Separated but still legally married,Registered unemployed/signing on for Job Seekers Allowance, ,0,0,0,0,5,0,0,Gay man, ,"Christian (including Church of England, Catholic, Protestant, and all other Christian denominations)", ,Black: Black British African, , ,Not an ex-services member or their dependant,E02001985,4,St. Michael's Ward,SE,19.25,1.761872303,21,Average Mental Wellbeing
