survey,Please rate the quality of your experience:,I had a good time!,Did the event have an impact on your perception of Coventry?,This experience increases my pride in Coventry as an area.,Please indicate your gender?,What is your age bracket?,Do you identify as disabled?,Please indicate your ethnic origin and cultural background:,Ethnic Group,Sexuality
The Walk - Coventry Embraces,Very Good,Strongly Agree,"Yes, it has improved",Not Sure,Female,35 - 49,No,White British,White British,Heterosexual/Straight
The Walk - Coventry Embraces,Very Good,Strongly Agree,"Yes, it has improved",Strongly Agree,Female,35 - 49,No,White British,White British,Heterosexual/Straight
The Walk - Coventry Embraces,Very Good,Strongly Agree,"Yes, it has improved",Strongly Agree,Female,20 - 34,No,White British,White British,Heterosexual/Straight
The Walk - Coventry Embraces,Very Good,Strongly Agree,"No, it is the same",Strongly Agree,Female,50 - 64,No,White British,White British,Heterosexual/Straight
The Walk - Coventry Embraces,Very Good,Strongly Agree,"Yes, it has improved",Strongly Agree,Female,35 - 49,No,White British,White British,Heterosexual/Straight
The Walk - Coventry Embraces,Good,Agree,"No, it is the same",Not Sure,Female,50 - 64,No,White British,White British,Heterosexual/Straight
The Walk - Coventry Embraces,Very Good,Strongly Agree,"Yes, it has improved",Not Sure,Female,50 - 64,No,White British,White British,Heterosexual/Straight
The Walk - Coventry Embraces,Very Good,Strongly Agree,"Yes, it has improved",Strongly Agree,Female,65 +,Yes,White British,White British,Bisexual
The Walk - Coventry Embraces,Very Good,Strongly Agree,"Yes, it has improved",Strongly Agree,Female,35 - 49,No,Any Other Asian Background,Asian or Asian British,Heterosexual/Straight
The Walk - Coventry Embraces,Not Sure,Agree,"No, it is the same",Not Sure,Female,35 - 49,No,White British,White British,Heterosexual/Straight
The Walk - Coventry Embraces,Very Good,Strongly Agree,"No, it is the same",Agree,Female,null,No,null,null,null
The Walk - Coventry Embraces,Very Good,Strongly Agree,"No, it is the same",Agree,Female,65 +,null,White British,White British,null
The Walk - Coventry Embraces,Very Good,Strongly Agree,"No, it is the same",Strongly Agree,Female,65 +,No,White British,White British,Heterosexual/Straight
The Walk - Coventry Embraces,Very Good,Strongly Agree,"Yes, it has improved",Strongly Agree,Female,65 +,No,White British,White British,Heterosexual/Straight
The Walk - Coventry Embraces,Very Good,Strongly Agree,"Yes, it has improved",Strongly Agree,Female,50 - 64,No,White British,White British,Heterosexual/Straight
The Walk - Coventry Embraces,Very Good,Strongly Agree,"Yes, it has improved",Strongly Agree,Male,50 - 64,No,White British,White British,Heterosexual/Straight
The Walk - Coventry Embraces,Very Good,Strongly Agree,"No, it is the same",Not Sure,Female,65 +,No,Prefer Not To Say,Prefer Not To Say,Heterosexual/Straight
The Walk - Coventry Embraces,Very Good,Strongly Agree,"Yes, it has improved",Agree,Female,50 - 64,No,White British,White British,Heterosexual/Straight
The Walk - Coventry Embraces,Good,Agree,"No, it is the same",Agree,Female,35 - 49,No,Mixed or Multiple - White and Black African,Mixed or multiple ethnic group,Heterosexual/Straight
The Walk - Coventry Embraces,Very Good,Strongly Agree,"Yes, it has improved",Strongly Agree,Female,65 +,No,White British,White British,Heterosexual/Straight
The Walk - Coventry Embraces,Very Good,Strongly Agree,"Yes, it has improved",Strongly Agree,Female,50 - 64,No,White British,White British,Heterosexual/Straight
The Walk - Coventry Embraces,Very Good,Strongly Agree,"Yes, it has improved",Strongly Agree,Female,35 - 49,No,White British,White British,Heterosexual/Straight
The Walk - Coventry Embraces,Very Good,Strongly Agree,"Yes, it has improved",Strongly Agree,Female,50 - 64,No,White British,White British,Heterosexual/Straight
The Walk - Coventry Embraces,Very Good,Strongly Agree,"No, it is the same",Strongly Agree,Female,35 - 49,No,White British,White British,Heterosexual/Straight
The Walk - Coventry Embraces,Very Good,Strongly Agree,"Yes, it has improved",Strongly Agree,Female,50 - 64,No,White British,White British,Heterosexual/Straight
The Walk - Coventry Embraces,Very Good,Strongly Agree,"Yes, it has improved",Not Sure,Female,null,No,Asian or Asian British Pakistani,Asian or Asian British,Heterosexual/Straight
The Walk - Coventry Embraces,Very Good,Strongly Agree,"No, it is the same",Agree,Female,50 - 64,No,White British,White British,Heterosexual/Straight
The Walk - Coventry Embraces,Very Good,Strongly Agree,"Yes, it has improved",Strongly Agree,Female,50 - 64,No,Any Other White Background,"White Other, White Irish, White Gypsy or Irish Traveller",Heterosexual/Straight
The Walk - Coventry Embraces,Very Good,Strongly Agree,"Yes, it has improved",Not Sure,Female,35 - 49,No,Asian or Asian British Pakistani,Asian or Asian British,Heterosexual/Straight
The Walk - Coventry Embraces,Very Good,Strongly Agree,"Yes, it has improved",Agree,Male,35 - 49,No,White British,White British,Heterosexual/Straight
The Walk - Coventry Embraces,Very Good,Strongly Agree,"Yes, it has improved",Strongly Agree,Female,50 - 64,No,White British,White British,Heterosexual/Straight
The Walk - Coventry Embraces,Good,Agree,"Yes, it has improved",Agree,Female,65 +,No,White British,White British,Heterosexual/Straight
The Walk - Coventry Embraces,Very Good,Strongly Agree,"Yes, it has improved",null,Female,50 - 64,No,White British,White British,Heterosexual/Straight
The Walk - Coventry Embraces,Very Good,Strongly Agree,"No, it is the same",Agree,null,null,null,null,null,null
The Walk - Coventry Embraces,Very Good,Strongly Agree,"Yes, it has improved",Strongly Agree,Female,50 - 64,No,White British,White British,Heterosexual/Straight
The Walk - Coventry Embraces,Very Good,Strongly Agree,"Yes, it has improved",Agree,Male,50 - 64,No,White British,White British,Heterosexual/Straight
The Walk - Coventry Embraces,Good,Agree,"No, it is the same",Agree,Female,50 - 64,Yes,White British,White British,Heterosexual/Straight
The Walk - Coventry Embraces,Very Good,Strongly Agree,"Yes, it has improved",Strongly Agree,Female,50 - 64,No,White British,White British,Heterosexual/Straight
The Walk - Coventry Embraces,Very Good,Strongly Agree,"Yes, it has improved",Agree,Female,50 - 64,No,White British,White British,Heterosexual/Straight
The Walk - Coventry Embraces,Very Good,Agree,"No, it is the same",null,Female,50 - 64,No,White British,White British,Heterosexual/Straight
The Walk - Coventry Embraces,Very Good,Strongly Agree,"Yes, it has improved",Strongly Agree,Female,50 - 64,No,White British,White British,Heterosexual/Straight
The Walk - Coventry Embraces,Very Good,Strongly Agree,"Yes, it has improved",Agree,Female,35 - 49,No,White British,White British,Heterosexual/Straight
The Walk - Coventry Embraces,Very Good,Strongly Agree,"Yes, it has improved",Agree,Female,50 - 64,No,White British,White British,Heterosexual/Straight
The Walk - Coventry Embraces,Very Good,Strongly Agree,"Yes, it has improved",Strongly Agree,Male,20 - 34,Yes,Asian or Asian British Pakistani,Asian or Asian British,Heterosexual/Straight
The Walk - Coventry Embraces,Not Sure,Agree,"No, it is the same",Agree,Female,50 - 64,No,Asian or Asian British Chinese,Asian or Asian British,Heterosexual/Straight
The Walk - Coventry Embraces,Very Good,Strongly Agree,"Yes, it has improved",Strongly Agree,Female,65 +,No,White British,White British,Heterosexual/Straight
The Walk - Coventry Embraces,Very Good,Strongly Agree,"Yes, it has improved",Strongly Agree,Female,35 - 49,No,White British,White British,Heterosexual/Straight
The Walk - Coventry Embraces,Very Good,Strongly Agree,"Yes, it has improved",Strongly Agree,Female,50 - 64,No,White Irish,"White Other, White Irish, White Gypsy or Irish Traveller",Bisexual
The Walk - Coventry Embraces,Very Good,Strongly Agree,"Yes, it has improved",Agree,Female,20 - 34,No,Any Other Mixed Background,Mixed or multiple ethnic group,Heterosexual/Straight
The Walk - Coventry Embraces,Very Good,Strongly Agree,"No, it is the same",Agree,Female,50 - 64,No,White British,White British,Prefer Not To Say
The Walk - Coventry Embraces,Very Good,Strongly Agree,"Yes, it has improved",Strongly Agree,Female,35 - 49,No,Asian or Asian British Indian,Asian or Asian British,Heterosexual/Straight
The Walk - Coventry Embraces,Very Good,Strongly Agree,"Yes, it has improved",Strongly Agree,Female,65 +,No,White British,White British,Heterosexual/Straight
The Walk - Coventry Embraces,Very Good,Strongly Agree,"Yes, it has improved",Strongly Agree,Male,35 - 49,No,White Irish,"White Other, White Irish, White Gypsy or Irish Traveller",Heterosexual/Straight
The Walk - Coventry Embraces,Very Good,Strongly Agree,"Yes, it has improved",Strongly Agree,Non-binary,65 +,No,Any Other White Background,"White Other, White Irish, White Gypsy or Irish Traveller",Prefer Not To Say
The Walk - Coventry Embraces,Very Good,Strongly Agree,"No, it is the same",Agree,Female,65 +,No,White British,White British,Heterosexual/Straight
The Walk - Coventry Embraces,Very Good,Strongly Agree,"No, it is the same",Agree,null,null,No,White British,White British,null
The Walk - Coventry Embraces,Very Good,Strongly Agree,"Yes, it has improved",Strongly Agree,Female,50 - 64,No,White British,White British,Heterosexual/Straight
The Walk - Coventry Embraces,Very Good,Agree,"Yes, it has improved",Agree,Female,null,null,null,null,null
The Walk - Coventry Embraces,Very Good,Strongly Agree,"Yes, it has improved",Strongly Agree,Male,50 - 64,Prefer Not To Say,Any Other White Background,"White Other, White Irish, White Gypsy or Irish Traveller",Heterosexual/Straight
The Walk - Coventry Embraces,Good,Agree,"Yes, it has improved",Agree,Female,50 - 64,No,White British,White British,Heterosexual/Straight
The Walk - Walk With Amal,Not Sure,Agree,"No, it is the same",Disagree,Female,50 - 64,No,Any Other White Background,"White Other, White Irish, White Gypsy or Irish Traveller",Heterosexual/Straight
The Walk - Walk With Amal,Good,Strongly Agree,"Yes, it has improved",Strongly Agree,Female,20 - 34,No,Asian or Asian British Indian,Asian or Asian British,Heterosexual/Straight
The Walk - Walk With Amal,Very Good,Strongly Agree,"Yes, it has improved",Agree,Male,20 - 34,No,White British,White British,Heterosexual/Straight
The Walk - Walk With Amal,Very Good,Strongly Agree,"Yes, it has improved",Strongly Agree,Female,35 - 49,No,Any Other White Background,"White Other, White Irish, White Gypsy or Irish Traveller",Heterosexual/Straight
The Walk - Walk With Amal,Very Good,Strongly Agree,"Yes, it has improved",Strongly Agree,Female,50 - 64,No,White British,White British,Heterosexual/Straight
The Walk - Walk With Amal,Very Good,Strongly Agree,"No, it is the same",Strongly Agree,Male,20 - 34,No,White British,White British,Gay Man
The Walk - Walk With Amal,Very Good,Strongly Agree,"Yes, it has improved",Strongly Agree,Male,20 - 34,No,Mixed or Multiple - White and Asian,Mixed or multiple ethnic group,Heterosexual/Straight
The Walk - Walk With Amal,Very Good,Strongly Agree,"Yes, it has improved",Agree,Male,65 +,No,White British,White British,Heterosexual/Straight
The Walk - Walk With Amal,Very Good,Strongly Agree,"Yes, it has improved",Strongly Agree,Female,20 - 34,Yes,White British,White British,Heterosexual/Straight
The Walk - Walk With Amal,Very Good,Strongly Agree,"Yes, it has improved",Strongly Agree,null,null,null,null,null,null
The Walk - Walk With Amal,Good,Agree,"Yes, it has improved",Strongly Agree,Female,35 - 49,No,White British,White British,Heterosexual/Straight
The Walk - Walk With Amal,Good,Strongly Agree,"Yes, it has improved",Strongly Agree,Female,35 - 49,No,White Irish,"White Other, White Irish, White Gypsy or Irish Traveller",Heterosexual/Straight
The Walk - Walk With Amal,Very Good,Strongly Agree,"Yes, it has improved",Strongly Agree,Female,50 - 64,No,White British,White British,Prefer Not To Say
The Walk - Walk With Amal,Good,Agree,"No, it is the same",Agree,Female,20 - 34,No,White British,White British,Heterosexual/Straight
The Walk - Walk With Amal,Very Good,Strongly Agree,"Yes, it has improved",Agree,Female,50 - 64,No,White British,White British,Heterosexual/Straight
The Walk - Walk With Amal,Good,Agree,"Yes, it has improved",Strongly Agree,Female,50 - 64,Yes,Asian or Asian British Indian,Asian or Asian British,Heterosexual/Straight
The Walk - Walk With Amal,Very Good,Strongly Agree,"No, it is the same",Agree,Female,0 - 19,No,Any Other White Background,"White Other, White Irish, White Gypsy or Irish Traveller",null
The Walk - Walk With Amal,Very Good,Strongly Agree,"Yes, it has improved",Strongly Agree,Female,35 - 49,No,White British,White British,Heterosexual/Straight
The Walk - Walk With Amal,Good,Agree,"Yes, it has improved",Strongly Agree,Female,35 - 49,No,White Irish,"White Other, White Irish, White Gypsy or Irish Traveller",Heterosexual/Straight
The Walk - Walk With Amal,Very Good,Strongly Agree,"Yes, it has improved",Strongly Agree,Female,50 - 64,No,Other Ethnic Group Arab,Any other ethnic group,Queer
The Walk - Walk With Amal,Very Good,Agree,"Yes, it has improved",Agree,Female,0 - 19,No,White British,White British,Prefer Not To Say
The Walk - Walk With Amal,Very Good,Strongly Agree,"Yes, it has improved",Strongly Agree,Female,35 - 49,No,Any Other White Background,"White Other, White Irish, White Gypsy or Irish Traveller",Heterosexual/Straight
The Walk - Walk With Amal,Very Good,Strongly Agree,"Yes, it has improved",Strongly Agree,Female,50 - 64,No,White British,White British,Prefer Not To Say
The Walk - Walk With Amal,Very Good,Strongly Agree,"Yes, it has improved",Strongly Agree,Male,35 - 49,No,Asian or Asian British Pakistani,Asian or Asian British,Heterosexual/Straight
The Walk - Walk With Amal,Not Sure,Agree,"No, it is the same",Not Sure,Female,35 - 49,No,Any Other Mixed Background,Mixed or multiple ethnic group,Heterosexual/Straight
The Walk - Walk With Amal,Good,Agree,"No, it is the same",Agree,Female,50 - 64,No,White British,White British,Prefer Not To Say
The Walk - Walk With Amal,Very Good,Strongly Agree,"Yes, it has improved",Strongly Agree,Male,50 - 64,Yes,White British,White British,Heterosexual/Straight
The Walk - Walk With Amal,Good,Agree,"Yes, it has improved",Strongly Agree,Female,50 - 64,No,White British,White British,Heterosexual/Straight
The Walk - Walk With Amal,Very Good,Strongly Agree,"Yes, it has improved",Strongly Agree,Female,35 - 49,Yes,White British,White British,Heterosexual/Straight
The Walk - Walk With Amal,Very Good,Strongly Agree,"Yes, it has improved",Strongly Agree,Female,35 - 49,No,White British,White British,Heterosexual/Straight
The Walk - Walk With Amal,Very Good,Agree,"Yes, it has improved",Agree,Female,0 - 19,No,Any Other Ethnic Group,Any other ethnic group,Heterosexual/Straight
The Walk - Walk With Amal,Very Good,Strongly Agree,"Yes, it has improved",Agree,Female,20 - 34,Prefer Not To Say,White British,White British,Bisexual
The Walk - Walk With Amal,Very Good,Strongly Agree,"Yes, it has improved",Strongly Agree,Female,50 - 64,No,White British,White British,Heterosexual/Straight
The Walk - Walk With Amal,Good,Strongly Agree,"Yes, it has improved",Agree,Female,20 - 34,No,Any Other Black Background,"Black, African, Caribbean, or Black British",Heterosexual/Straight
The Walk - Walk With Amal,Very Good,Strongly Agree,"Yes, it has improved",Agree,Female,20 - 34,No,White British,White British,Heterosexual/Straight
The Walk - Walk With Amal,Good,Agree,null,null,null,null,null,null,null,null
The Walk - Walk With Amal,Good,Agree,"Yes, it has improved",Agree,Male,35 - 49,No,Any Other Ethnic Group,Any other ethnic group,Heterosexual/Straight
The Walk - Walk With Amal,Very Good,Strongly Agree,"Yes, it has improved",Strongly Agree,Female,50 - 64,No,White British,White British,Heterosexual/Straight
The Walk - Walk With Amal,Good,Agree,"Yes, it has improved",Not Sure,Male,20 - 34,Prefer Not To Say,White - Gypsy or Irish Traveller,"White Other, White Irish, White Gypsy or Irish Traveller",Prefer Not To Say
The Walk - Walk With Amal,Good,Strongly Agree,"Yes, it has improved",Strongly Agree,Female,20 - 34,Yes,White Irish,"White Other, White Irish, White Gypsy or Irish Traveller",Prefer Not To Say
The Walk - Walk With Amal,Very Good,Strongly Agree,"Yes, it has improved",Strongly Agree,Female,35 - 49,No,Black or Black British African,"Black, African, Caribbean, or Black British",Heterosexual/Straight
The Walk - Walk With Amal,Very Good,Strongly Agree,"Yes, it has improved",Strongly Agree,Female,20 - 34,Yes,Any Other Asian Background,Asian or Asian British,Bisexual
The Walk - Walk With Amal,Very Good,Agree,"Yes, it has improved",Agree,Female,20 - 34,No,White British,White British,Heterosexual/Straight
The Walk - Walk With Amal,Good,Agree,"Yes, it has improved",Strongly Agree,Female,35 - 49,No,Asian or Asian British Indian,Asian or Asian British,Heterosexual/Straight
The Walk - Walk With Amal,Good,Agree,"Yes, it has improved",Strongly Agree,Female,20 - 34,No,Black or Black British African,"Black, African, Caribbean, or Black British",Gay Woman/Lesbian
The Walk - Walk With Amal,Very Good,Strongly Agree,"Yes, it has improved",Strongly Agree,Female,35 - 49,No,White British,White British,Prefer Not To Say
The Walk - Walk With Amal,Very Good,Strongly Agree,"No, it is the same",Agree,Male,35 - 49,Yes,Prefer Not To Say,Prefer Not To Say,Heterosexual/Straight
The Walk - Walk With Amal,Very Good,Strongly Agree,"Yes, it has improved",Strongly Agree,Female,50 - 64,No,Prefer Not To Say,Prefer Not To Say,Prefer Not To Say
The Walk - Walk With Amal,Very Good,Strongly Agree,"No, it is the same",Strongly Agree,Male,50 - 64,Prefer Not To Say,Asian or Asian British Indian,Asian or Asian British,Heterosexual/Straight
The Walk - Walk With Amal,Very Good,Agree,"Yes, it has improved",Strongly Agree,Female,20 - 34,No,Asian or Asian British Indian,Asian or Asian British,Heterosexual/Straight
The Walk - Walk With Amal,Very Good,Strongly Agree,"Yes, it has improved",Strongly Agree,Male,20 - 34,Yes,White British,White British,Bisexual
The Walk - Walk With Amal,Very Good,Strongly Agree,"No, it is the same",Agree,Male,65 +,No,White British,White British,Heterosexual/Straight
The Walk - Walk With Amal,Very Good,Strongly Agree,"No, it is the same",Not Sure,Female,35 - 49,No,White British,White British,Heterosexual/Straight
The Walk - Walk With Amal,Good,Agree,"Yes, it has improved",Agree,Female,20 - 34,Yes,Any Other Mixed Background,Mixed or multiple ethnic group,Prefer Not To Say
The Walk - Walk With Amal,Good,Agree,"Yes, it has improved",Agree,Female,35 - 49,No,Asian or Asian British Pakistani,Asian or Asian British,Prefer Not To Say
The Walk - Walk With Amal,Very Good,Strongly Agree,"Yes, it has improved",Agree,Female,0 - 19,No,White British,White British,Heterosexual/Straight
The Walk - Walk With Amal,Very Good,Not Sure,"Yes, it has improved",Strongly Agree,Male,20 - 34,No,Asian or Asian British Indian,Asian or Asian British,Bisexual
The Walk - Walk With Amal,Very Good,Strongly Agree,"Yes, it has improved",Strongly Agree,Female,65 +,No,White British,White British,Heterosexual/Straight
The Walk - Walk With Amal,Very Good,Strongly Agree,"Yes, it has improved",Agree,Male,50 - 64,No,White British,White British,Heterosexual/Straight
The Walk - Walk With Amal,Good,Agree,"Yes, it has improved",Strongly Agree,Male,50 - 64,Yes,Asian or Asian British Indian,Asian or Asian British,Heterosexual/Straight
The Walk - Walk With Amal,Very Good,Strongly Agree,"No, it is the same",Agree,Female,20 - 34,Yes,White Irish,"White Other, White Irish, White Gypsy or Irish Traveller",Gay Woman/Lesbian
The Walk - Walk With Amal,Good,Agree,"Yes, it has improved",Agree,Male,20 - 34,No,Asian or Asian British Pakistani,Asian or Asian British,Bisexual
The Walk - Walk With Amal,Very Good,Strongly Agree,"Yes, it has improved",Agree,Female,65 +,No,White British,White British,Heterosexual/Straight
The Walk - Walk With Amal,Very Good,Strongly Agree,"Yes, it has improved",Strongly Agree,Female,35 - 49,null,White British,White British,Heterosexual/Straight
The Walk - Walk With Amal,Good,Agree,"No, it is the same",Strongly Agree,Female,35 - 49,No,White - Gypsy or Irish Traveller,"White Other, White Irish, White Gypsy or Irish Traveller",Heterosexual/Straight
The Walk - Walk With Amal,Very Good,Strongly Agree,"Yes, it has improved",Strongly Agree,Male,65 +,No,White British,White British,Heterosexual/Straight
The Walk - Walk With Amal,Good,Agree,"Yes, it has improved",Agree,Female,50 - 64,No,Prefer Not To Say,Prefer Not To Say,Heterosexual/Straight
The Walk - Walk With Amal,Very Good,Strongly Agree,"Yes, it has improved",Agree,Female,50 - 64,No,Any Other White Background,"White Other, White Irish, White Gypsy or Irish Traveller",Heterosexual/Straight
The Walk - Walk With Amal,Very Good,Agree,"No, it is the same",Strongly Agree,Female,65 +,No,White British,White British,Heterosexual/Straight
The Walk - Walk With Amal,Very Good,Strongly Agree,"Yes, it has improved",Strongly Agree,Female,50 - 64,No,White Irish,"White Other, White Irish, White Gypsy or Irish Traveller",Heterosexual/Straight
The Walk - Walk With Amal,Very Good,Strongly Agree,"Yes, it has improved",Strongly Agree,Female,50 - 64,Yes,White Irish,"White Other, White Irish, White Gypsy or Irish Traveller",Heterosexual/Straight
The Walk - Walk With Amal,Very Good,Strongly Agree,"Yes, it has improved",Strongly Agree,Male,35 - 49,No,Asian or Asian British Indian,Asian or Asian British,Heterosexual/Straight
The Walk - Walk With Amal,Very Good,Agree,"No, it is the same",Strongly Agree,Female,50 - 64,No,White British,White British,Heterosexual/Straight
The Walk - Walk With Amal,Very Good,Strongly Agree,"Yes, it has improved",Strongly Agree,null,null,null,null,null,null
The Walk - Walk With Amal,Very Good,Strongly Agree,"Yes, it has improved",Strongly Agree,Male,65 +,No,White British,White British,Heterosexual/Straight
The Walk - Walk With Amal,Very Good,Strongly Agree,"Yes, it has improved",Strongly Agree,Female,50 - 64,No,White British,White British,Heterosexual/Straight
The Walk - Walk With Amal,Very Good,Strongly Agree,"Yes, it has improved",Agree,Female,50 - 64,No,White British,White British,Heterosexual/Straight
The Walk - Walk With Amal,Very Good,Strongly Agree,"No, it is the same",Not Sure,Female,65 +,No,White - Gypsy or Irish Traveller,"White Other, White Irish, White Gypsy or Irish Traveller",Heterosexual/Straight
The Walk - Walk With Amal,Very Good,Agree,"Yes, it has improved",Agree,Female,35 - 49,No,Any Other Ethnic Group,Any other ethnic group,Heterosexual/Straight
The Walk - Walk With Amal,Good,Agree,"Yes, it has improved",Not Sure,Female,65 +,No,Any Other White Background,"White Other, White Irish, White Gypsy or Irish Traveller",Prefer Not To Say
The Walk - Walk With Amal,Very Good,Strongly Agree,"Yes, it has improved",Strongly Agree,Female,20 - 34,No,Black or Black British African,"Black, African, Caribbean, or Black British",Heterosexual/Straight
The Walk - Walk With Amal,Very Good,Strongly Agree,"No, it is the same",Agree,Female,65 +,No,White British,White British,Heterosexual/Straight
The Walk - Walk With Amal,Very Good,Agree,"Yes, it has improved",Agree,Male,50 - 64,No,Black or Black British African,"Black, African, Caribbean, or Black British",Heterosexual/Straight
The Walk - Walk With Amal,Very Good,Strongly Agree,"No, it is the same",Strongly Agree,Female,65 +,No,White Irish,"White Other, White Irish, White Gypsy or Irish Traveller",Heterosexual/Straight
The Walk - Walk With Amal,Very Good,Strongly Agree,"No, it is the same",Strongly Agree,Female,65 +,No,White Irish,"White Other, White Irish, White Gypsy or Irish Traveller",Heterosexual/Straight
The Walk - Walk With Amal,Good,Agree,"Yes, it has improved",Agree,Female,50 - 64,No,White British,White British,Heterosexual/Straight
The Walk - Walk With Amal,Very Good,Strongly Agree,"Yes, it has improved",Agree,Male,65 +,No,White British,White British,Heterosexual/Straight
Another Christmas,Very Good,Agree,"No, it is the same",Not Sure,null,20 - 34,Prefer not to say,White British,White British,Prefer not to say
Another Christmas,Very Good,Strongly Agree,"No, it is the same",Agree,null,null,null,null,null,null
Another Christmas,Not Sure,Agree,"No, it is the same",Not Sure,Female,50 - 64,No,Prefer Not To Say,Prefer Not To Say,Heterosexual/Straight
Another Christmas,Good,Agree,"Yes, it has improved",Agree,null,null,null,null,null,null
Another Christmas,Very Good,Strongly Agree,"No, it is the same",Agree,Female,50 - 64,No,White British,White British,Heterosexual/Straight
Another Christmas,Good,Agree,"Yes, it has improved",Agree,null,null,null,null,null,null
Another Christmas,Very Good,Strongly Agree,"Yes, it has improved",Agree,Female,35 - 49,Yes,White British,White British,Bisexual
Another Christmas,Good,Agree,"No, it is the same",Not Sure,Female,50 - 64,No,White British,White British,Heterosexual/Straight
Another Christmas,Good,Agree,"Yes, it has improved",Agree,null,null,null,null,null,null
Another Christmas,Good,Agree,"No, it is the same",Agree,Female,20 - 34,No,White British,White British,Heterosexual/Straight
Another Christmas,Good,Agree,"No, it is the same",Strongly Disagree,Female,35 - 49,No,White British,White British,Prefer not to say
Theatre of Wandering,Very Good,Strongly Agree,"No, it is the same",Agree,Male,20 - 34,No,White British,White British,Heterosexual/Straight
Theatre of Wandering,Very Good,Agree,"Yes, it has improved",Agree,Female,65 +,No,White British,White British,Heterosexual/Straight
Theatre of Wandering,Poor,Disagree,"No, it is the same",Disagree,Female,50 - 64,No,White British,White British,Heterosexual/Straight
Theatre of Wandering,Very Good,Strongly Agree,"No, it is the same",Agree,Female,65 +,Prefer Not To Say,Prefer Not To Say,Prefer Not To Say,Prefer Not To Say
Theatre of Wandering,Very Good,Strongly Agree,"Yes, it has improved",Strongly Agree,Other,65 +,No,Asian or Asian British Indian,Asian or Asian British,Heterosexual/Straight
Theatre of Wandering,Very Good,Strongly Agree,"No, it is the same",Not Sure,Male,65 +,Prefer Not To Say,Prefer Not To Say,Prefer Not To Say,Prefer Not To Say
Theatre of Wandering,Very Good,Strongly Agree,"No, it is the same",Not Sure,Female,65 +,Yes,Any Other Ethnic Group,Any other ethnic group,Heterosexual/Straight
Theatre of Wandering,Good,Strongly Agree,"Yes, it has improved",Agree,Male,50 - 64,No,Any Other White Background,"White Other, White Irish, White Gypsy or Irish Traveller",Prefer Not To Say
Theatre of Wandering,Very Good,Strongly Agree,"Yes, it has improved",Strongly Agree,Male,50 - 64,No,White British,White British,Prefer Not To Say
Theatre of Wandering,Very Good,Strongly Agree,"No, it is the same",Not Sure,Female,20 - 34,No,Black or Black British African,"Black, African, Caribbean, or Black British",Heterosexual/Straight
Theatre of Wandering,Very Good,Strongly Agree,"Yes, it has improved",Strongly Agree,Female,35 - 49,No,Any Other White Background,"White Other, White Irish, White Gypsy or Irish Traveller",Heterosexual/Straight
Theatre of Wandering,Very Good,Strongly Agree,"Yes, it has improved",Strongly Agree,Female,35 - 49,No,Any Other White Background,"White Other, White Irish, White Gypsy or Irish Traveller",Heterosexual/Straight
Theatre of Wandering,Very Good,Strongly Agree,"Yes, it has improved",Strongly Agree,Female,50 - 64,Yes,White British,White British,Prefer Not To Say
