Survey,How likely is it that you would recommend the City Host volunteer programme to a friend or colleague? Where 10 - Extremely likely and 0 - Not at all likely,"On reflection of your City Host experience so far, has the City Host programme helped you gain more confidence?",I have interacted with people I wouldn't have normally.,I have gained new skills or my skills have increased through being a City Host.,Would you say in general your health is...,I've been feeling optimistic about the future,I've been feeling useful,I've been feeling relaxed,I've been dealing with problems well,I've been thinking clearly,I've been feeling close to other people,I've been able to make up my own mind about things,Please let us know how strongly you feel you belong to the your local area.,Please let us know how strongly you feel you belong to Coventry.,To what extent do you agree or disagree that there are opportunities for you to be actively involved in improving your local area?,"Overall, how satisfied or dissatisfied are you with your local area as a place to live?",Do you think volunteering as a City Host improves your wellbeing?,"How would you rate the City Host organisation, communication and management?",The training provided prepared me well for the City Host role.,Please rate the quality of the on-line induction events.,Please rate the quality of the on-line core training.,Please rate the quality of the Get Ready events.,Did you take part in Team Leader training? If so please rate the quality of the team leader training.,Which of the following best describes your current economic status?,"Are your day-to-day activities limited because of a health problem or disability which has lasted, or is expected to last, at least 12 months?",What is your age?,What is the gender to which you identify?,What is your marital status?,Please can you tell us which of the following best describes you?,Which of the following best describes your religion?,Please indicate your ethnic origin and cultural background:,Ethnicity,How often would you say you have been worried about money during the last few weeks?
City Host Survey - April 2022,10,"Yes, my confidence has increased",Strongly agree,Agree,Fair,Often,Often,All of the time,All of the time,All of the time,Often,Often,Fairly strongly,Very strongly,Tend to agree,Very satisfied,"Yes, it improves wellbeing a lot",Excellent,Agree,Excellent,Good,Good,Good,Retired,Not at all,65-74,Female,Co-habiting,Heterosexual,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",Any Other White Background,"White Other, White Irish, or White Gypsy or Irish Traveller",Never
City Host Survey - April 2022,7,"No, my confidence has not increased",Agree,Agree,Good,Some of the time,Often,Often,Often,Some of the time,Some of the time,Often,Fairly strongly,Not at all strongly,Tend to agree,Very satisfied,"Yes, it improves wellbeing a little",Good,Not sure,Not Sure,Not Sure,Not Sure,null,In part time paid work,Not at all,35-44,Female,Prefer not to say,Heterosexual,No religion,Any Other White Background,"White Other, White Irish, or White Gypsy or Irish Traveller",Only sometimes
City Host Survey - April 2022,10,"Yes, my confidence has increased",Strongly agree,Strongly agree,Good,Often,All of the time,Often,Some of the time,Often,All of the time,Some of the time,Very strongly,Very strongly,Definitely agree,Fairly satisfied,"Yes, it improves wellbeing a lot",Excellent,Agree,Good,Good,Good,Excellent,Registered unemployed/signing on for job seekers allowance,Yes limited a little,45-54,Female,Co-habiting,Heterosexual,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",Any Other White Background,"White Other, White Irish, or White Gypsy or Irish Traveller",Almost all the time
City Host Survey - April 2022,10,"No, my confidence has not increased",Agree,Agree,Good,Some of the time,Some of the time,All of the time,All of the time,null,Some of the time,Often,Very strongly,Very strongly,Tend to agree,Fairly satisfied,"Yes, it improves wellbeing a little",Good,Agree,Not Sure,Good,Excellent,null,null,Not at all,55-64,Female,Married,Heterosexual,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",Any Other White Background,"White Other, White Irish, or White Gypsy or Irish Traveller",Never
City Host Survey - April 2022,8,"Yes, my confidence has increased",Agree,Agree,Very good,Some of the time,Often,Rarely,Some of the time,Often,Some of the time,Often,Fairly strongly,Fairly strongly,Tend to agree,Fairly satisfied,Not sure,Good,Agree,Excellent,Good,Excellent,null,Self-employed,Not at all,45-54,Female,Married,Prefer not to say,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",Any Other White Background,"White Other, White Irish, or White Gypsy or Irish Traveller",Almost all the time
City Host Survey - April 2022,9,"Yes, my confidence has increased",Strongly agree,Agree,Very good,Some of the time,Some of the time,Often,Often,All of the time,Often,All of the time,Not very strongly,Not very strongly,Tend to disagree,Neither satisfied nor dissatisfied,"Yes, it improves wellbeing a little",Good,Agree,Good,Good,Excellent,Good,In full time paid work,Not at all,45-54,Female,Single (never married and never registered a same sex civil partnership),Heterosexual,No religion,Any Other White Background,"White Other, White Irish, or White Gypsy or Irish Traveller",Never
City Host Survey - April 2022,3,"Yes, my confidence has increased",Strongly agree,Not sure,Good,Often,Often,Some of the time,Some of the time,Some of the time,Often,All of the time,Not at all strongly,Very strongly,Don't know,Neither satisfied nor dissatisfied,"Yes, it improves wellbeing a little",Not Sure,Agree,Good,Good,Good,Good,In full time paid work,Not at all,16-24,Female,Co-habiting,Other; Asexual,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",Any Other White Background,"White Other, White Irish, or White Gypsy or Irish Traveller",Only sometimes
City Host Survey - April 2022,6,Not sure,Agree,Agree,Good,All of the time,Some of the time,Often,Often,Often,Rarely,Often,Not very strongly,Not at all strongly,Tend to agree,Fairly satisfied,Not sure,Good,Agree,Good,Excellent,Excellent,null,At home/not seeking work- (looking after the home or family),Yes limited a little,55-64,Female,Married,Heterosexual,No religion,Any Other White Background,"White Other, White Irish, or White Gypsy or Irish Traveller",Only sometimes
City Host Survey - April 2022,10,"Yes, my confidence has increased",Agree,Agree,Very good,Often,All of the time,All of the time,All of the time,All of the time,Often,All of the time,Very strongly,Very strongly,Definitely agree,Very satisfied,"Yes, it improves wellbeing a lot",Excellent,Strongly agree,Good,Good,Good,null,Self-employed,Not at all,55-64,Female,Married,Heterosexual,No religion,Asian or Asian British - Chinese,Asian or Asian British,Never
City Host Survey - April 2022,8,"Yes, my confidence has increased",Strongly agree,Agree,Good,Often,Often,Often,Often,Often,Often,Some of the time,Fairly strongly,Fairly strongly,Tend to agree,Fairly satisfied,"Yes, it improves wellbeing a lot",Excellent,Strongly agree,Good,Good,Excellent,Excellent,In full time paid work,Not at all,35-44,Male,Prefer not to say,Prefer not to say,No religion,Asian or Asian British - Chinese,Asian or Asian British,Never
City Host Survey - April 2022,8,"Yes, my confidence has increased",Agree,Agree,Good,Often,Often,Often,Often,Often,Often,Often,Fairly strongly,Fairly strongly,Tend to agree,Fairly satisfied,"Yes, it improves wellbeing a little",Good,Agree,Good,Good,Good,Not Sure,In full time paid work,Not at all,35-44,Female,Co-habiting,Heterosexual,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",Asian or Asian British - Chinese,Asian or Asian British,Only sometimes
City Host Survey - April 2022,10,"Yes, my confidence has increased",Strongly agree,Strongly agree,Very good,None of the time,All of the time,All of the time,Some of the time,All of the time,All of the time,Some of the time,Very strongly,Very strongly,Definitely agree,Very satisfied,"Yes, it improves wellbeing a lot",Excellent,Strongly agree,Excellent,Excellent,Excellent,Not Sure,Doing unpaid/voluntary work,Yes limited a lot,35-44,Male,Prefer not to say,Heterosexual,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",Asian or Asian British - Chinese,Asian or Asian British,Prefer not to say
City Host Survey - April 2022,10,Not sure,Agree,Agree,Good,Some of the time,Often,Often,Often,Often,Often,Often,Fairly strongly,Very strongly,Tend to disagree,Fairly satisfied,"Yes, it improves wellbeing a lot",Excellent,Agree,Good,Good,Good,null,In full time paid work,Not at all,35-44,Female,Single (never married and never registered a same sex civil partnership),Heterosexual,No religion,Asian or Asian British - Indian,Asian or Asian British,Only sometimes
City Host Survey - April 2022,10,"Yes, my confidence has increased",Strongly agree,Strongly agree,Very good,All of the time,All of the time,All of the time,Rarely,All of the time,null,All of the time,Very strongly,Very strongly,Definitely agree,Very satisfied,"Yes, it improves wellbeing a lot",Excellent,Strongly agree,Excellent,Excellent,Excellent,Not Sure,In part time paid work,Not at all,35-44,Female,Married,Heterosexual,Hindu,Asian or Asian British - Indian,Asian or Asian British,Only sometimes
City Host Survey - April 2022,10,"Yes, my confidence has increased",Disagree,Strongly disagree,Good,Some of the time,Often,Often,Often,Often,Often,Often,Fairly strongly,Very strongly,Don't know,Very satisfied,"Yes, it improves wellbeing a lot",Good,Disagree,Not Sure,Not Sure,Good,Good,In part time paid work,Not at all,55-64,Female,Prefer not to say,Heterosexual,Hindu,Asian or Asian British - Indian,Asian or Asian British,Only sometimes
City Host Survey - April 2022,10,"Yes, my confidence has increased",Agree,Agree,Good,Some of the time,Some of the time,Often,Rarely,Often,Often,Rarely,Not very strongly,Fairly strongly,Definitely disagree,Fairly satisfied,"Yes, it improves wellbeing a lot",Good,Agree,Good,Not Sure,Good,null,Retired,Not at all,65-74,Female,Married,Heterosexual,Hindu,Asian or Asian British - Indian,Asian or Asian British,Never
City Host Survey - April 2022,10,"Yes, my confidence has increased",Strongly agree,Agree,Very good,All of the time,Often,All of the time,All of the time,All of the time,Often,All of the time,Not very strongly,Fairly strongly,Tend to disagree,Neither satisfied nor dissatisfied,"Yes, it improves wellbeing a little",Good,Agree,Good,Good,Good,null,In full time paid work,Not at all,55-64,Female,Married,Heterosexual,Sikh,Asian or Asian British - Indian,Asian or Asian British,Never
City Host Survey - April 2022,10,"No, my confidence has not increased",Agree,Agree,Good,Some of the time,Often,Often,Often,Often,Some of the time,All of the time,Not very strongly,Fairly strongly,Tend to agree,Very satisfied,"Yes, it improves wellbeing a little",Good,Agree,Good,Good,Good,Good,In full time paid work,Not at all,55-64,null,null,null,Muslim,Asian or Asian British - Indian,Asian or Asian British,Only sometimes
City Host Survey - April 2022,9,Not sure,Strongly agree,Not sure,Fair,Some of the time,Some of the time,Some of the time,Some of the time,Often,Rarely,Often,Not very strongly,Very strongly,Don't know,Fairly satisfied,"Yes, it improves wellbeing a lot",Good,Not sure,Good,Good,null,Not Sure,Retired,Yes limited a little,65-74,Male,Married,Heterosexual,Hindu,Asian or Asian British - Indian,Asian or Asian British,Only sometimes
City Host Survey - April 2022,10,"Yes, my confidence has increased",Agree,Agree,Very good,Often,Often,Some of the time,Often,Often,Some of the time,Often,Fairly strongly,Very strongly,Tend to agree,Neither satisfied nor dissatisfied,"Yes, it improves wellbeing a little",Not Sure,Not sure,Good,Good,Excellent,Good,In full time paid work,Not at all,55-64,Male,Co-habiting,Heterosexual,Other; Ravidassia,Asian or Asian British - Indian,Asian or Asian British,Only sometimes
City Host Survey - April 2022,9,Not sure,Agree,Agree,Fair,Some of the time,Rarely,Rarely,Often,Some of the time,Often,Some of the time,Fairly strongly,Fairly strongly,Tend to agree,Neither satisfied nor dissatisfied,null,Good,Agree,Good,Good,Good,null,null,Yes limited a little,65-74,Male,Divorced,Prefer not to say,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",Asian or Asian British - Indian,Asian or Asian British,Quite often
City Host Survey - April 2022,6,"No, my confidence has not increased",Strongly agree,Disagree,Good,All of the time,All of the time,Often,All of the time,All of the time,All of the time,All of the time,Fairly strongly,Fairly strongly,Tend to agree,Neither satisfied nor dissatisfied,Not sure,Not Sure,Not sure,Good,Good,Good,null,In part time paid work,Not at all,45-54,Female,Married,Heterosexual,Sikh,Asian or Asian British - Indian,Asian or Asian British,Only sometimes
City Host Survey - April 2022,10,"No, my confidence has not increased",Strongly agree,Agree,Very good,Often,Often,Often,Often,Often,Often,Often,Very strongly,Very strongly,Definitely agree,Very satisfied,"Yes, it improves wellbeing a lot",Good,Agree,Good,Good,Good,null,In part time paid work,Not at all,45-54,Female,Married,Heterosexual,No religion,Asian or Asian British - Indian,Asian or Asian British,Never
City Host Survey - April 2022,10,"Yes, my confidence has increased",Strongly agree,Strongly agree,Good,Some of the time,All of the time,Some of the time,All of the time,All of the time,All of the time,All of the time,Donâ€™t know,Very strongly,Don't know,Very satisfied,"Yes, it improves wellbeing a lot",Good,Strongly agree,Excellent,Excellent,Excellent,Excellent,In full time paid work,Yes limited a little,55-64,Female,Single (never married and never registered a same sex civil partnership),Heterosexual,Hindu,Asian or Asian British - Indian,Asian or Asian British,Only sometimes
City Host Survey - April 2022,10,"Yes, my confidence has increased",Strongly agree,Strongly agree,Very good,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,Very strongly,Very strongly,Definitely agree,Very satisfied,"Yes, it improves wellbeing a lot",Excellent,Strongly agree,Excellent,Excellent,Excellent,Excellent,In full time paid work,Not at all,25-34,Male,Married,Heterosexual,Muslim,Asian or Asian British - Indian,Asian or Asian British,Quite often
City Host Survey - April 2022,10,"Yes, my confidence has increased",Strongly agree,Strongly agree,Very good,Often,All of the time,Some of the time,All of the time,All of the time,Often,All of the time,Fairly strongly,Very strongly,Definitely agree,Fairly satisfied,"Yes, it improves wellbeing a lot",Excellent,Strongly agree,Good,Good,Excellent,Excellent,Carer,Not at all,25-34,Male,Prefer not to say,Prefer not to say,Muslim,Asian or Asian British - Pakistani,Asian or Asian British,Prefer not to say
City Host Survey - April 2022,10,"Yes, my confidence has increased",Strongly agree,Strongly agree,Good,Often,All of the time,Some of the time,Some of the time,Often,All of the time,Often,Fairly strongly,Very strongly,Tend to agree,Fairly satisfied,"Yes, it improves wellbeing a lot",Excellent,Agree,Excellent,Good,Excellent,Excellent,In part time paid work,Not at all,25-34,Female,Married,Heterosexual,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",Black or Black British - African,"Black, African, Caribbean, or Black British",Quite often
City Host Survey - April 2022,7,null,Not sure,Agree,Good,Some of the time,null,null,Rarely,Some of the time,Often,Often,null,Not very strongly,Tend to agree,Fairly satisfied,"Yes, it improves wellbeing a little",Not Sure,null,null,Good,null,null,In part time paid work,Not at all,25-34,Male,Single (never married and never registered a same sex civil partnership),Bisexual,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",Black or Black British - African,"Black, African, Caribbean, or Black British",Almost all the time
City Host Survey - April 2022,10,"Yes, my confidence has increased",Agree,Strongly agree,Very good,Rarely,None of the time,All of the time,None of the time,Often,All of the time,All of the time,Very strongly,Very strongly,Definitely agree,Very satisfied,"Yes, it improves wellbeing a lot",Excellent,Strongly agree,Excellent,Excellent,Excellent,Good,In full time paid work,Not at all,25-34,Female,Single (never married and never registered a same sex civil partnership),Other (please specify),null,Black or Black British - African,"Black, African, Caribbean, or Black British",Almost all the time
City Host Survey - April 2022,10,"Yes, my confidence has increased",Strongly agree,Agree,Very good,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,Often,Very strongly,Very strongly,Definitely agree,Very satisfied,"Yes, it improves wellbeing a lot",Excellent,Strongly agree,Good,Excellent,Excellent,Good,In full time paid work,Not at all,35-44,Male,Prefer not to say,Heterosexual,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",Black or Black British - African,"Black, African, Caribbean, or Black British",Only sometimes
City Host Survey - April 2022,10,"Yes, my confidence has increased",Strongly agree,Strongly agree,Fair,Some of the time,All of the time,All of the time,All of the time,Often,All of the time,All of the time,Very strongly,Very strongly,Definitely agree,Very satisfied,"Yes, it improves wellbeing a lot",Good,Agree,Excellent,Good,Good,Good,In full time paid work,Yes limited a lot,45-54,Female,Single (never married and never registered a same sex civil partnership),Prefer not to say,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",Black or Black British - Caribbean,"Black, African, Caribbean, or Black British",Quite often
City Host Survey - April 2022,10,"Yes, my confidence has increased",Agree,Agree,Good,All of the time,Often,Often,Often,Often,Some of the time,All of the time,Fairly strongly,Fairly strongly,Tend to agree,Neither satisfied nor dissatisfied,"Yes, it improves wellbeing a lot",Excellent,Agree,Excellent,Good,Excellent,null,Retired,Not at all,65-74,Female,null,Heterosexual,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",Black or Black British - Caribbean,"Black, African, Caribbean, or Black British",Never
City Host Survey - April 2022,8,"Yes, my confidence has increased",Strongly agree,Agree,Very good,All of the time,Rarely,Rarely,Some of the time,Some of the time,Rarely,All of the time,Not very strongly,Very strongly,Definitely disagree,Neither satisfied nor dissatisfied,"Yes, it improves wellbeing a lot",Good,Strongly agree,Good,Excellent,Excellent,null,In full time paid work,Not at all,55-64,Female,Divorced,Heterosexual,No religion,Black or Black British - Caribbean,"Black, African, Caribbean, or Black British",Never
City Host Survey - April 2022,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
City Host Survey - April 2022,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
City Host Survey - April 2022,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
City Host Survey - April 2022,8,"Yes, my confidence has increased",Strongly agree,Agree,Good,Often,Some of the time,Often,All of the time,All of the time,Often,All of the time,Very strongly,Fairly strongly,Tend to agree,Fairly satisfied,"Yes, it improves wellbeing a lot",Excellent,Agree,Good,Good,Good,Good,null,Not at all,55-64,Female,null,null,null,null,null,null
City Host Survey - April 2022,null,"No, my confidence has not increased",Agree,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
City Host Survey - April 2022,10,"Yes, my confidence has increased",Strongly agree,Strongly agree,Very good,Often,Some of the time,Some of the time,Often,Some of the time,Often,Often,Fairly strongly,Very strongly,Tend to agree,Fairly satisfied,"Yes, it improves wellbeing a lot",Excellent,Not sure,null,null,null,null,null,null,null,null,null,null,null,null,null,null
City Host Survey - April 2022,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
City Host Survey - April 2022,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
City Host Survey - April 2022,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
City Host Survey - April 2022,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
City Host Survey - April 2022,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
City Host Survey - April 2022,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
City Host Survey - April 2022,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
City Host Survey - April 2022,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
City Host Survey - April 2022,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
City Host Survey - April 2022,5,"No, my confidence has not increased",Agree,Not sure,Good,Often,Often,Often,Often,Often,Some of the time,Often,Fairly strongly,Fairly strongly,Definitely agree,Very satisfied,Not sure,Good,Not sure,Not Sure,Not Sure,Not Sure,null,Retired,Not at all,65-74,Female,Married,Heterosexual,null,null,null,Never
City Host Survey - April 2022,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
City Host Survey - April 2022,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
City Host Survey - April 2022,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
City Host Survey - April 2022,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
City Host Survey - April 2022,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
City Host Survey - April 2022,1,"No, my confidence has not increased",Not sure,Disagree,Very good,Some of the time,None of the time,Rarely,Rarely,Rarely,Rarely,Rarely,Fairly strongly,Fairly strongly,Tend to agree,Neither satisfied nor dissatisfied,"No, it doesn't improve wellbeing",Good,Disagree,Good,Not Sure,Good,null,null,Not at all,65-74,Female,null,null,null,null,null,Quite often
City Host Survey - April 2022,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
City Host Survey - April 2022,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
City Host Survey - April 2022,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
City Host Survey - April 2022,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
City Host Survey - April 2022,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
City Host Survey - April 2022,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
City Host Survey - April 2022,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
City Host Survey - April 2022,null,"No, my confidence has not increased",Strongly disagree,null,Very good,null,null,null,null,null,null,null,Fairly strongly,Fairly strongly,null,Fairly satisfied,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
City Host Survey - April 2022,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
City Host Survey - April 2022,null,"No, my confidence has not increased",Disagree,Disagree,Very good,null,null,Often,null,null,null,null,null,Very strongly,Tend to agree,Fairly dissatisfied,Not sure,Good,null,null,null,null,Poor,null,null,null,null,null,null,null,null,null,null
City Host Survey - April 2022,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
City Host Survey - April 2022,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
