survey,How likely is it that you would recommend the City Host volunteer programme to a friend or colleague?,"On reflection of your City Host experience so far, has the City Host programme helped you gain more confidence?",I have interacted with people I wouldn't have normally.,I have gained new skills or my skills have increased through being a City Host.,Would you say in general your health is...,I've been feeling optimistic about the future,Iâ€™ve been feeling useful,I've been feeling relaxed,I've been dealing with problems well,I've been thinking clearly,I've been feeling close to other people,I've been able to make up my own mind about things,Please let us know how strongly you feel you belong to the your local area.,Please let us know how strongly you feel you belong to Coventry.,To what extent do you agree or disagree that there are opportunities for you to be actively involved in improving your local area?,"Overall, how satisfied or dissatisfied are you with your local area as a place to live?",Do you think volunteering as a City Host improves your wellbeing?,"How would you rate the City Host organisation, communication and management?",The training provided prepared me well for the City Host role.,Please rate the quality of the on-line induction events.,Please rate the quality of the on-line core training.,Please rate the quality of the Get Ready events.,Did you take part in Team Leader training? If so please rate the quality of the team leader training.,Which of the following best describes your current economic status?,"Not stated, please specify","Are your day-to-day activities limited because of a health problem or disability which has lasted, or is expected to last, at least 12 months?",What is your age?,What is the gender to which you identify?,What is your marital status?,Please can you tell us which of the following best describes you?,"Not stated, please specify",Which of the following best describes your religion?,"Not stated, please specify",Please indicate your ethnic origin and cultural background:,Ethnic Group,Nearly there! Household composition: Pre-school age (0-4 years). How many people living permanently in your household (including yourself) fit within the above category?,Household composition: Primary school age (5-11 years). How many people living permanently in your household (including yourself) fit within the above category?,Household composition: Secondary school age (12-16 years). How many people living permanently in your household (including yourself) fit within the above category?,Household composition: Post school education (16-17 years). How many people living permanently in your household (including yourself) fit within the above category?,Household composition: Adult (18-64). How many people living permanently in your household (including yourself) fit within the above category?,Household composition: Working (65+). How many people living permanently in your household (including yourself) fit within the above category?,Household composition: Retired (65+). How many people living permanently in your household (including yourself) fit within the above category?,How often would you say you have been worried about money during the last few weeks?
City Host Survey - November 2021,3,"No, my confidence has not increased",Agree,Disagree,Very good,Often,Often,Some of the time,Often,Often,Some of the time,All of the time,Fairly strongly,Not at all strongly,Tend to agree,Very satisfied,Not sure,Not Sure,Not sure,Good,Not Sure,Poor,No Response,In part time paid work,No Response,Not at all,45-54,Female,Single (never married and never registered a same sex civil partnership),Heterosexual,No Response,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",No Response,White â€“ British,White British,0,0,0,0,1,0,0,Never
City Host Survey - November 2021,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response
City Host Survey - November 2021,10 - Extremely likely,"Yes, my confidence has increased",Strongly agree,Agree,Fair,Often,Often,Often,Often,Often,Often,All of the time,Very strongly,Fairly strongly,Tend to agree,Fairly satisfied,"Yes, it improves wellbeing a lot",Excellent,Strongly agree,Excellent,Excellent,Excellent,Excellent,Long-term sick or disabled,No Response,Yes limited a lot,55-64,Female,Divorced,Heterosexual,No Response,No religion,No Response,White â€“ British,White British,1,1,1,1,1,0,0,"Quite often,"
City Host Survey - November 2021,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response
City Host Survey - November 2021,10 - Extremely likely,"Yes, my confidence has increased",Strongly agree,Strongly agree,Very good,All of the time,Often,Some of the time,All of the time,Often,All of the time,Often,Very strongly,Very strongly,Definitely agree,Very satisfied,"Yes, it improves wellbeing a lot",Excellent,Strongly agree,Excellent,Good,Excellent,Excellent,In full time paid work,No Response,Not at all,25-34,Male,Married,Heterosexual,No Response,Hindu,No Response,Asian or Asian British â€“ Indian,Asian or Asian British,0,0,0,0,1,0,0,Only sometimes
City Host Survey - November 2021,10 - Extremely likely,Not sure,Strongly agree,Agree,Good,Some of the time,Often,Some of the time,Often,Often,Often,All of the time,Very strongly,Very strongly,Tend to agree,Fairly satisfied,"Yes, it improves wellbeing a lot",Good,Agree,Good,Good,Good,No Response,In full time paid work,No Response,Not at all,55-64,Female,Divorced,Heterosexual,No Response,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",No Response,White â€“ British,White British,0,0,No Response,0,1,0,0,Only sometimes
City Host Survey - November 2021,No Response,"No, my confidence has not increased",Agree,Agree,Good,Often,Often,Often,Often,Often,Some of the time,All of the time,Donâ€™t know,Fairly strongly,Tend to disagree,Fairly satisfied,No Response,No Response,Not sure,Good,Not Sure,Good,Good,Retired,No Response,Not at all,65-74,Female,Prefer not to say,Prefer not to say,No Response,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",No Response,White â€“ British,White British,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response
City Host Survey - November 2021,5,"No, my confidence has not increased",Agree,Disagree,Very good,All of the time,All of the time,Often,All of the time,All of the time,Rarely,All of the time,Fairly strongly,Fairly strongly,Definitely disagree,Very satisfied,"No, it doesn't improve wellbeing",Very Poor,Agree,Not Sure,Not Sure,Good,Good,Retired,No Response,Not at all,75 and over,Female,Widowed,Heterosexual,No Response,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",No Response,White â€“ British,White British,1,1,No Response,1,0,1,1,Never
City Host Survey - November 2021,6,"No, my confidence has not increased",Agree,Strongly disagree,Good,Often,Often,Often,Often,Often,Often,All of the time,Fairly strongly,Not at all strongly,Don't know,Very satisfied,"No, it doesn't improve wellbeing",Good,Agree,Poor,Not Sure,Good,No Response,Retired,No Response,Not at all,55-64,Female,Married,Heterosexual,No Response,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",No Response,White â€“ British,White British,0,0,0,0,2,0,0,Only sometimes
City Host Survey - November 2021,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response
City Host Survey - November 2021,10 - Extremely likely,"Yes, my confidence has increased",Strongly agree,Agree,Good,Often,Some of the time,Some of the time,Often,Often,Often,Often,Not very strongly,Fairly strongly,Tend to agree,Fairly satisfied,"Yes, it improves wellbeing a lot",Good,Strongly agree,Excellent,Excellent,Excellent,No Response,Retired,No Response,Not at all,55-64,Female,Married,Heterosexual,No Response,No religion,No Response,White â€“ British,White British,No Response,0,0,0,2,0,0,Only sometimes
City Host Survey - November 2021,9,"Yes, my confidence has increased",Strongly agree,Agree,Very good,Often,All of the time,Often,Often,Often,Often,Often,Fairly strongly,Fairly strongly,Tend to agree,Fairly satisfied,"Yes, it improves wellbeing a lot",Excellent,Strongly agree,Good,Good,Excellent,Excellent,In full time paid work,No Response,Not at all,45-54,Male,Single (never married and never registered a same sex civil partnership),Heterosexual,No Response,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",No Response,Any Other White Background,"White Other, White Irish, or White Gypsy or Irish Traveller",No Response,0,0,0,1,0,0,Never
City Host Survey - November 2021,9,"Yes, my confidence has increased",Strongly agree,Not sure,Very good,Some of the time,Often,Often,Often,All of the time,Often,Some of the time,Fairly strongly,Fairly strongly,Don't know,Fairly satisfied,"Yes, it improves wellbeing a little",Good,Agree,Good,Good,Excellent,No Response,In full time paid work,No Response,Not at all,55-64,Female,Co-habiting,Heterosexual,No Response,No religion,No Response,White â€“ British,White British,0,0,0,0,2,0,0,Never
City Host Survey - November 2021,No Response,"No, my confidence has not increased",Agree,No Response,No Response,Some of the time,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response
City Host Survey - November 2021,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response
City Host Survey - November 2021,10 - Extremely likely,"No, my confidence has not increased",Strongly agree,Not sure,Very good,Often,Often,Often,Often,Often,Often,All of the time,Fairly strongly,Very strongly,Definitely agree,Very satisfied,"Yes, it improves wellbeing a lot",Good,Agree,Good,Not Sure,Good,No Response,Retired,No Response,Not at all,65-74,Male,Married,Heterosexual,No Response,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",No Response,White â€“ British,White British,0,0,0,0,0,1,1,Never
City Host Survey - November 2021,2,"No, my confidence has not increased",Disagree,Strongly disagree,Prefer not to say,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Not at all strongly,Not at all strongly,Tend to disagree,Very dissatisfied,"No, it doesn't improve wellbeing",Poor,Disagree,Not Sure,Not Sure,Poor,No Response,Registered unemployed/signing on for job seekers allowance,No Response,Not at all,Prefer not to say,Male,Single (never married and never registered a same sex civil partnership),Heterosexual,No Response,No religion,No Response,White â€“ British,White British,No Response,No Response,No Response,No Response,No Response,No Response,No Response,Only sometimes
City Host Survey - November 2021,10 - Extremely likely,"Yes, my confidence has increased",Strongly agree,Agree,Very good,All of the time,All of the time,All of the time,All of the time,Often,All of the time,All of the time,Fairly strongly,Very strongly,Tend to agree,Fairly satisfied,"Yes, it improves wellbeing a lot",Excellent,Strongly agree,Good,Good,Good,No Response,Retired,No Response,Not at all,55-64,Male,Single (never married and never registered a same sex civil partnership),Heterosexual,No Response,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",No Response,White â€“ British,White British,0,0,0,0,1,No Response,1,"Quite often,"
City Host Survey - November 2021,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response
City Host Survey - November 2021,10 - Extremely likely,"Yes, my confidence has increased",Agree,Not sure,Fair,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Often,Fairly strongly,Very strongly,Definitely agree,Very satisfied,"Yes, it improves wellbeing a lot",Good,Agree,Good,Good,Excellent,Excellent,Retired,No Response,Yes limited a little,65-74,Female,Married,Heterosexual,No Response,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",No Response,White â€“ British,White British,0,0,0,0,0,0,2,Never
City Host Survey - November 2021,9,"Yes, my confidence has increased",Agree,Not sure,Good,Often,Often,Often,Often,Often,Often,Often,Not very strongly,Fairly strongly,Tend to disagree,Fairly satisfied,"Yes, it improves wellbeing a lot",Good,Not sure,Good,Good,Good,No Response,Other (please specify),Casual paid work and voluntary work,Not at all,45-54,Female,Married,Heterosexual,No Response,No religion,No Response,White â€“ British,White British,0,0,0,1,3,0,0,Never
City Host Survey - November 2021,8,"No, my confidence has not increased",Strongly agree,Not sure,Good,Often,Often,Often,Often,All of the time,All of the time,All of the time,Very strongly,Fairly strongly,Definitely agree,Very satisfied,"Yes, it improves wellbeing a little",Good,Strongly agree,Good,Good,Good,Not Sure,Retired,No Response,Not at all,Prefer not to say,Female,Prefer not to say,Prefer not to say,No Response,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",No Response,White â€“ British,White British,1,0,0,0,1,No Response,No Response,No Response
City Host Survey - November 2021,10 - Extremely likely,Not sure,Strongly agree,Agree,Good,Often,Often,Some of the time,Often,Often,Some of the time,All of the time,Fairly strongly,Very strongly,Tend to agree,Very satisfied,"Yes, it improves wellbeing a lot",Excellent,Strongly agree,Excellent,Excellent,Excellent,Excellent,In full time paid work,No Response,Not at all,45-54,Female,Separated but still legally married,Heterosexual,No Response,No religion,No Response,White â€“ British,White British,0,0,1,1,1,0,0,"Quite often,"
City Host Survey - November 2021,8,"Yes, my confidence has increased",Strongly agree,Agree,Good,Often,Often,Some of the time,Some of the time,Some of the time,Some of the time,Often,Not very strongly,Fairly strongly,Don't know,Donâ€™t know,"Yes, it improves wellbeing a lot",Good,Agree,Good,Excellent,Excellent,Excellent,In full time paid work,No Response,Not at all,35-44,Female,Single (never married and never registered a same sex civil partnership),Heterosexual,No Response,No religion,No Response,White â€“ British,White British,0,2,0,0,1,0,0,"Quite often,"
City Host Survey - November 2021,10 - Extremely likely,"Yes, my confidence has increased",Agree,Agree,Good,Often,Often,Some of the time,Often,Often,Often,All of the time,Fairly strongly,Very strongly,Tend to disagree,Very satisfied,"Yes, it improves wellbeing a lot",Excellent,Agree,Good,Good,Good,Good,In full time paid work,No Response,Yes limited a little,55-64,Male,Single (never married and never registered a same sex civil partnership),Heterosexual,No Response,No religion,No Response,White â€“ British,White British,0,0,0,0,1,0,0,Never
City Host Survey - November 2021,10 - Extremely likely,"Yes, my confidence has increased",Strongly agree,Agree,Fair,Often,Often,Often,Often,Often,Often,Often,Fairly strongly,Fairly strongly,Definitely agree,Very satisfied,"Yes, it improves wellbeing a little",Good,Agree,Good,Good,Good,No Response,In full time paid work,No Response,Not at all,35-44,Male,Married,Heterosexual,No Response,No religion,No Response,White â€“ British,White British,0,0,0,0,2,0,0,"Quite often,"
City Host Survey - November 2021,10 - Extremely likely,"Yes, my confidence has increased",Strongly agree,Agree,Good,All of the time,Often,Often,All of the time,Often,All of the time,Often,Fairly strongly,Fairly strongly,Tend to disagree,Fairly satisfied,"Yes, it improves wellbeing a little",Excellent,Strongly agree,Good,Excellent,Excellent,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response
City Host Survey - November 2021,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response
City Host Survey - November 2021,10 - Extremely likely,"Yes, my confidence has increased",Strongly agree,Agree,Very good,Often,Often,Often,All of the time,Often,Often,All of the time,Fairly strongly,Very strongly,Definitely agree,Fairly satisfied,"Yes, it improves wellbeing a lot",Good,Agree,Good,Good,Excellent,Excellent,In full time paid work,No Response,Not at all,45-54,Male,Single (never married and never registered a same sex civil partnership),Bisexual,No Response,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",No Response,White â€“ British,White British,No Response,0,0,0,2,0,0,Never
City Host Survey - November 2021,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response
City Host Survey - November 2021,10 - Extremely likely,"Yes, my confidence has increased",Strongly agree,Strongly agree,Good,Often,All of the time,Often,Often,Often,All of the time,Often,Very strongly,Very strongly,Don't know,Very satisfied,"Yes, it improves wellbeing a lot",Excellent,Strongly agree,Excellent,Excellent,Excellent,Not Sure,Doing unpaid/voluntary work,No Response,Not at all,65-74,Male,Divorced,Heterosexual,No Response,No religion,No Response,White â€“ British,White British,0,0,0,0,0,0,1,Never
City Host Survey - November 2021,9,"No, my confidence has not increased",Strongly agree,Agree,Good,Some of the time,Often,Some of the time,Often,Some of the time,Some of the time,Often,Fairly strongly,Fairly strongly,Tend to agree,Fairly satisfied,"Yes, it improves wellbeing a little",Good,Agree,Good,Good,Excellent,Excellent,In full time paid work,No Response,Not at all,55-64,Female,Married,Heterosexual,No Response,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",No Response,White â€“ British,White British,0,0,0,0,2,0,0,Only sometimes
City Host Survey - November 2021,10 - Extremely likely,"Yes, my confidence has increased",Strongly agree,Strongly agree,Very good,All of the time,Often,All of the time,Often,All of the time,All of the time,All of the time,Very strongly,Fairly strongly,Tend to agree,Very satisfied,"Yes, it improves wellbeing a lot",Excellent,Strongly agree,Excellent,Good,Excellent,No Response,Retired,No Response,Not at all,55-64,Female,Married,Heterosexual,No Response,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",No Response,White â€“ British,White British,0,0,0,0,3,0,0,Never
City Host Survey - November 2021,10 - Extremely likely,No Response,No Response,No Response,Good,Some of the time,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,Not Sure,Disagree,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response
City Host Survey - November 2021,5,"No, my confidence has not increased",Agree,Disagree,Good,Often,Often,Often,Often,Often,All of the time,Often,Not very strongly,Fairly strongly,Don't know,Very satisfied,"Yes, it improves wellbeing a little",Good,Not sure,Not Sure,Not Sure,Not Sure,Good,Retired,No Response,Not at all,55-64,Female,Married,Heterosexual,No Response,No religion,No Response,White â€“ British,White British,0,0,0,0,3,0,0,Never
City Host Survey - November 2021,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response
City Host Survey - November 2021,No Response,"No, my confidence has not increased",Agree,Disagree,Good,Often,Some of the time,Some of the time,Often,Often,Some of the time,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response
City Host Survey - November 2021,8,"Yes, my confidence has increased",Agree,Agree,Good,Often,Often,Often,Often,Often,Often,Often,Fairly strongly,Fairly strongly,Tend to agree,Fairly satisfied,"Yes, it improves wellbeing a lot",Good,Strongly agree,Good,Good,Excellent,No Response,In full time paid work,No Response,Not at all,16-24,Female,Single (never married and never registered a same sex civil partnership),Gay woman/lesbian,No Response,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",No Response,White â€“ British,White British,0,0,0,0,2,0,0,Only sometimes
City Host Survey - November 2021,9,"Yes, my confidence has increased",Strongly agree,Not sure,Good,All of the time,All of the time,Often,Often,All of the time,Some of the time,All of the time,Very strongly,Fairly strongly,Definitely agree,Very satisfied,"Yes, it improves wellbeing a lot",Good,Agree,Good,Good,Good,Not Sure,Not registered unemployed but actively seeking work (i.e. have actively looked for work in the last 4 weeks),No Response,Yes limited a little,55-64,Female,Divorced,Heterosexual,No Response,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",No Response,White â€“ British,White British,1,0,0,0,1,0,0,Only sometimes
City Host Survey - November 2021,7,"Yes, my confidence has increased",Agree,Agree,Very good,Often,Some of the time,Some of the time,Often,Often,Often,Often,Not very strongly,Not very strongly,Definitely agree,Very satisfied,"Yes, it improves wellbeing a little",Good,Agree,Good,Good,Good,No Response,Retired,No Response,Not at all,55-64,Female,Married,Heterosexual,No Response,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",No Response,White â€“ British,White British,0,0,0,0,2,0,0,Never
City Host Survey - November 2021,9,"Yes, my confidence has increased",Agree,Agree,Good,Some of the time,Often,Often,Often,Often,Some of the time,Often,Fairly strongly,Fairly strongly,Tend to disagree,Fairly satisfied,"Yes, it improves wellbeing a lot",Good,Agree,Good,Good,Good,No Response,In full time paid work,No Response,Not at all,45-54,Female,No Response,No Response,No Response,Sikh,No Response,Asian or Asian British â€“ Indian,Asian or Asian British,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response
City Host Survey - November 2021,10 - Extremely likely,"Yes, my confidence has increased",Strongly agree,Agree,Very good,Some of the time,Some of the time,Some of the time,Rarely,All of the time,Rarely,All of the time,Very strongly,Fairly strongly,Tend to agree,Neither satisfied nor dissatisfied,"Yes, it improves wellbeing a little",Excellent,Strongly agree,Excellent,Excellent,Excellent,Excellent,In full time paid work,No Response,Not at all,55-64,Female,Single (never married and never registered a same sex civil partnership),Heterosexual,No Response,No religion,No Response,White â€“ British,White British,0,0,0,0,1,0,0,Never
City Host Survey - November 2021,6,"No, my confidence has not increased",Agree,Agree,Very good,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,Fairly strongly,Very strongly,Tend to disagree,Fairly satisfied,Not sure,Good,Agree,Good,Good,Good,No Response,In part time paid work,No Response,Not at all,45-54,Female,Married,Heterosexual,No Response,Sikh,No Response,Asian or Asian British â€“ Indian,Asian or Asian British,0,0,4,2,2,0,0,Only sometimes
