Are you a general freelancer or working on a specific event?,In what capacity were you involved?,1 - What is your age bracket?,2 - What is your age bracket?,Please indicate your gender:,Is your gender identity different to the sex you were assumed to be at birth?,Do you identify as disabled?,Please indicate your ethnic origin and cultural background:,Please indicate your sexual orientation:,Ethnicity Category
Working on a specific event / project ,Artist / Performer,60+,50-64,Female,No - The Same,No,Mixed or Multiple - White and Asian,Heterosexual/Straight,Mixed or multiple ethnic group
Working on a specific event / project ,Artist / Performer,30-39,20-34,Female,No - The Same,No,Mixed or Multiple - White and Black African,Bisexual,Mixed or multiple ethnic group
Working on a specific event / project ,Artist / Performer,50-59,50-64,Female,No - The Same,Yes,Mixed or Multiple - White and Black Caribbean,Bisexual,Mixed or multiple ethnic group
Working on a specific event / project ,Artist / Performer,50-59,50-64,Female,No - The Same,No,Mixed or Multiple - White and Black Caribbean,Prefer Not To Say,Mixed or multiple ethnic group
Working on a specific event / project ,Artist / Performer,50-59,50-64,Female,No - The Same,No,Mixed or Multiple - White and Black Caribbean,Prefer Not To Say,Mixed or multiple ethnic group
Working on a specific event / project ,Artist / Performer,50-59,50-64,Female,No - The Same,No,Mixed or Multiple - White and Black Caribbean,Prefer Not To Say,Mixed or multiple ethnic group
Working on a specific event / project ,Artist / Performer,40-49,35-49,Female,No - The Same,Yes,White - British,Bisexual,White British
Working on a specific event / project ,Artist / Performer,30-39,20-34,Female,No - The Same,Yes,White - British,Bisexual,White British
Working on a specific event / project ,Artist / Performer,60+,65+,Female,No - The Same,No,White - British,Heterosexual/Straight,White British
Working on a specific event / project ,Artist / Performer,60+,65+,Female,No - The Same,No,White - British,Heterosexual/Straight,White British
Working on a specific event / project ,Artist / Performer,20-29,20-34,Female,No - The Same,No,White - British,Heterosexual/Straight,White British
Working on a specific event / project ,Artist / Performer,0-19,0-19,Female,No - The Same,No,White - British,Heterosexual/Straight,White British
Working on a specific event / project ,Artist / Performer,50-59,50-64,Female,No - The Same,No,White - British,Heterosexual/Straight,White British
Working on a specific event / project ,Artist / Performer,60+,65+,Female,No - The Same,No,White - British,Heterosexual/Straight,White British
Working on a specific event / project ,Artist / Performer,60+,65+,Female,No - The Same,Yes,White - British,Heterosexual/Straight,White British
Working on a specific event / project ,Artist / Performer,20-29,20-34,Female,No - The Same,No,White - British,Prefer Not To Say,White British
Working on a specific event / project ,Artist / Performer,0-19,0-19,Female,No - The Same,No,White - Irish,Heterosexual/Straight,"White Other, White Irish, or White Gypsy or Irish Traveller"
Working on a specific event / project ,Artist / Performer,50-59,50-64,Female,No - The Same,No,White - Irish,Heterosexual/Straight,"White Other, White Irish, or White Gypsy or Irish Traveller"
Working on a specific event / project ,Artist / Performer,20-29,20-34,Female,No - The Same,No,White - Irish,Heterosexual/Straight,"White Other, White Irish, or White Gypsy or Irish Traveller"
Working on a specific event / project ,Artist / Performer,30-39,20-34,Male,No - The Same,No,Any Other White Background,Heterosexual/Straight,"White Other, White Irish, or White Gypsy or Irish Traveller"
Working on a specific event / project ,Artist / Performer,20-29,20-34,Male,Yes - Different,No,Black or Black British - Caribbean,Heterosexual/Straight,"Black, African, Caribbean, or Black British"
Working on a specific event / project ,Artist / Performer,20-29,20-34,Male,No - The Same,No,Black or Black British - Caribbean,Heterosexual/Straight,"Black, African, Caribbean, or Black British"
Working on a specific event / project ,Artist / Performer,30-39,35-49,Male,No - The Same,No,Mixed or Multiple - White and Black Caribbean,Heterosexual/Straight,Mixed or multiple ethnic group
Working on a specific event / project ,Artist / Performer,60+,50-64,Male,No - The Same,No,White - British,Heterosexual/Straight,White British
Working on a specific event / project ,Artist / Performer,20-29,20-34,Male,No - The Same,No,White - British,Heterosexual/Straight,White British
Working on a specific event / project ,Artist / Performer,40-49,35-49,Male,No - The Same,Yes,White - British,Heterosexual/Straight,White British
Working on a specific event / project ,Artist / Performer,40-49,35-49,Female,No - The Same,No,White - British,Gay Woman/Lesbian,White British
Working on a specific event / project ,Artist / Performer,40-49,35-49,Female,No - The Same,No,White - British,Gay Woman/Lesbian,White British
Working on a specific event / project ,Artist / Performer,50-59,50-64,Female,No - The Same,No,White - British,Heterosexual/Straight,White British
Working on a specific event / project ,Composer Producer,50-59,50-64,Male,No - The Same,No,White - British,Gay Man,White British
Working on a specific event / project ,Curation / Programming,20-29,20-34,Female,No - The Same,No,White - British,Prefer Not To Say,White British
Working on a specific event / project ,Curation / Programming,30-39,20-34,Female,No - The Same,No,Any Other White Background,Bisexual,"White Other, White Irish, or White Gypsy or Irish Traveller"
Working on a specific event / project ,"Freelancer / Contractor - Event Support, Catering, Refreshments, Venue Services etc.",50-59,50-64,Female,No - The Same,Yes,White - British,Bisexual,White British
Working on a specific event / project ,"Freelancer / Contractor - Production Staff, Producers, Technical Staff etc.",40-49,35-49,Female,No - The Same,No,Any Other Mixed Background,Heterosexual/Straight,Mixed or multiple ethnic group
Working on a specific event / project ,"Freelancer / Contractor - Production Staff, Producers, Technical Staff etc.",40-49,35-49,Female,Yes - Different,No,Any Other Mixed Background,Heterosexual/Straight,Mixed or multiple ethnic group
Working on a specific event / project ,"Freelancer / Contractor - Production Staff, Producers, Technical Staff etc.",20-29,20-34,Female,Yes - Different,No,Asian or Asian British - Indian,Heterosexual/Straight,Asian or Asian British
Working on a specific event / project ,"Freelancer / Contractor - Production Staff, Producers, Technical Staff etc.",20-29,20-34,Female,No - The Same,No,Mixed or Multiple - White and Black African,Heterosexual/Straight,Mixed or multiple ethnic group
Working on a specific event / project ,"Freelancer / Contractor - Production Staff, Producers, Technical Staff etc.",50-59,50-64,Female,No - The Same,No,White - British,Bisexual,White British
Working on a specific event / project ,"Freelancer / Contractor - Production Staff, Producers, Technical Staff etc.",20-29,20-34,Female,No - The Same,No,White - British,Bisexual,White British
Working on a specific event / project ,"Freelancer / Contractor - Production Staff, Producers, Technical Staff etc.",50-59,50-64,Female,No - The Same,No,White - British,Bisexual,White British
Working on a specific event / project ,"Freelancer / Contractor - Production Staff, Producers, Technical Staff etc.",50-59,50-64,Female,No - The Same,No,White - British,Gay Woman/Lesbian,White British
Working on a specific event / project ,"Freelancer / Contractor - Production Staff, Producers, Technical Staff etc.",30-39,20-34,Female,No - The Same,No,White - British,Heterosexual/Straight,White British
Working on a specific event / project ,"Freelancer / Contractor - Production Staff, Producers, Technical Staff etc.",20-29,20-34,Female,No - The Same,No,White - British,Heterosexual/Straight,White British
Working on a specific event / project ,"Freelancer / Contractor - Production Staff, Producers, Technical Staff etc.",40-49,35-49,Female,No - The Same,No,White - British,Heterosexual/Straight,White British
Working on a specific event / project ,"Freelancer / Contractor - Production Staff, Producers, Technical Staff etc.",40-49,35-49,Female,No - The Same,No,White - British,Heterosexual/Straight,White British
Working on a specific event / project ,"Freelancer / Contractor - Production Staff, Producers, Technical Staff etc.",40-49,35-49,Female,No - The Same,No,White - British,Heterosexual/Straight,White British
Working on a specific event / project ,"Freelancer / Contractor - Production Staff, Producers, Technical Staff etc.",30-39,20-34,Female,No - The Same,No,White - British,Heterosexual/Straight,White British
Working on a specific event / project ,"Freelancer / Contractor - Production Staff, Producers, Technical Staff etc.",30-39,20-34,Female,No - The Same,No,White - British,Heterosexual/Straight,White British
Working on a specific event / project ,"Freelancer / Contractor - Production Staff, Producers, Technical Staff etc.",30-39,35-49,Female,No - The Same,No,White - British,Heterosexual/Straight,White British
Working on a specific event / project ,"Freelancer / Contractor - Production Staff, Producers, Technical Staff etc.",40-49,35-49,Female,No - The Same,No,White - British,Heterosexual/Straight,White British
Working on a specific event / project ,"Freelancer / Contractor - Production Staff, Producers, Technical Staff etc.",40-49,35-49,Female,No - The Same,No,White - British,Heterosexual/Straight,White British
Working on a specific event / project ,"Freelancer / Contractor - Production Staff, Producers, Technical Staff etc.",20-29,20-34,Female,No - The Same,No,White - British,Heterosexual/Straight,White British
Working on a specific event / project ,"Freelancer / Contractor - Production Staff, Producers, Technical Staff etc.",30-39,20-34,Female,No - The Same,Yes,White - British,Heterosexual/Straight,White British
Working on a specific event / project ,"Freelancer / Contractor - Production Staff, Producers, Technical Staff etc.",20-29,20-34,Female,No - The Same,No,White - British,Heterosexual/Straight,White British
Working on a specific event / project ,"Freelancer / Contractor - Production Staff, Producers, Technical Staff etc.",30-39,20-34,Female,No - The Same,No,White - British,Heterosexual/Straight,White British
Working on a specific event / project ,"Freelancer / Contractor - Production Staff, Producers, Technical Staff etc.",40-49,35-49,Female,No - The Same,No,White - British,Heterosexual/Straight,White British
Working on a specific event / project ,"Freelancer / Contractor - Production Staff, Producers, Technical Staff etc.",20-29,20-34,Female,No - The Same,No,White - British,Prefer Not To Say,White British
Working on a specific event / project ,"Freelancer / Contractor - Production Staff, Producers, Technical Staff etc.",20-29,20-34,Female,No - The Same,No,White - British,Prefer Not To Say,White British
Working on a specific event / project ,"Freelancer / Contractor - Production Staff, Producers, Technical Staff etc.",20-29,20-34,Male,No - The Same,No,Any Other White Background,Heterosexual/Straight,"White Other, White Irish, or White Gypsy or Irish Traveller"
Working on a specific event / project ,"Freelancer / Contractor - Production Staff, Producers, Technical Staff etc.",20-29,20-34,Male,No - The Same,No,Any Other White Background,Heterosexual/Straight,"White Other, White Irish, or White Gypsy or Irish Traveller"
Working on a specific event / project ,"Freelancer / Contractor - Production Staff, Producers, Technical Staff etc.",20-29,20-34,Male,No - The Same,No,Asian or Asian British - Chinese,Gay Man,Asian or Asian British
Working on a specific event / project ,"Freelancer / Contractor - Production Staff, Producers, Technical Staff etc.",20-29,20-34,Male,No - The Same,Yes,Asian or Asian British - Indian,Heterosexual/Straight,Asian or Asian British
Working on a specific event / project ,"Freelancer / Contractor - Production Staff, Producers, Technical Staff etc.",20-29,20-34,Male,No - The Same,No,White - British,Bisexual,White British
Working on a specific event / project ,"Freelancer / Contractor - Production Staff, Producers, Technical Staff etc.",20-29,20-34,Male,No - The Same,No,White - British,Gay Man,White British
Working on a specific event / project ,"Freelancer / Contractor - Production Staff, Producers, Technical Staff etc.",40-49,35-49,Male,No - The Same,No,White - British,Gay Man,White British
Working on a specific event / project ,"Freelancer / Contractor - Production Staff, Producers, Technical Staff etc.",20-29,20-34,Male,No - The Same,No,White - British,Gay Man,White British
Working on a specific event / project ,"Freelancer / Contractor - Production Staff, Producers, Technical Staff etc.",20-29,20-34,Male,No - The Same,Yes,White - British,Heterosexual/Straight,White British
Working on a specific event / project ,"Freelancer / Contractor - Production Staff, Producers, Technical Staff etc.",30-39,35-49,Male,No - The Same,No,White - British,Heterosexual/Straight,White British
Working on a specific event / project ,"Freelancer / Contractor - Production Staff, Producers, Technical Staff etc.",30-39,35-49,Male,No - The Same,No,White - British,Heterosexual/Straight,White British
Working on a specific event / project ,"Freelancer / Contractor - Production Staff, Producers, Technical Staff etc.",50-59,50-64,Male,No - The Same,Yes,White - British,Heterosexual/Straight,White British
Working on a specific event / project ,"Freelancer / Contractor - Production Staff, Producers, Technical Staff etc.",30-39,20-34,Male,No - The Same,No,White - British,Heterosexual/Straight,White British
Working on a specific event / project ,"Freelancer / Contractor - Production Staff, Producers, Technical Staff etc.",20-29,20-34,Male,No - The Same,No,White - British,Heterosexual/Straight,White British
Working on a specific event / project ,"Freelancer / Contractor - Production Staff, Producers, Technical Staff etc.",50-59,50-64,Male,No - The Same,No,White - British,Heterosexual/Straight,White British
Working on a specific event / project ,"Freelancer / Contractor - Production Staff, Producers, Technical Staff etc.",40-49,35-49,Male,No - The Same,Prefer Not To Say,White - British,Heterosexual/Straight,White British
Working on a specific event / project ,"Freelancer / Contractor - Production Staff, Producers, Technical Staff etc.",50-59,50-64,Male,No - The Same,No,White - British,Heterosexual/Straight,White British
Working on a specific event / project ,"Freelancer / Contractor - Production Staff, Producers, Technical Staff etc.",50-59,50-64,Male,No - The Same,No,White - British,Heterosexual/Straight,White British
Working on a specific event / project ,"Freelancer / Contractor - Production Staff, Producers, Technical Staff etc.",50-59,50-64,Male,No - The Same,No,White - British,Heterosexual/Straight,White British
Working on a specific event / project ,Artist / Performer,60+,65+,Female,No - The Same,No,Asian or Asian British - Indian,Bisexual,Asian or Asian British
Working on a specific event / project ,One Off Volunteer,60+,65+,Female,No - The Same,No,Any Other Asian Background,Heterosexual/Straight,Asian or Asian British
Working on a specific event / project ,One Off Volunteer,60+,50-64,Female,No - The Same,No,Any Other Mixed Background,Heterosexual/Straight,Mixed or multiple ethnic group
Working on a specific event / project ,One Off Volunteer,50-59,50-64,Female,No - The Same,No,Black or Black British - Caribbean,Heterosexual/Straight,"Black, African, Caribbean, or Black British"
Working on a specific event / project ,One Off Volunteer,60+,65+,Female,No - The Same,No,White - British,Bisexual,White British
Working on a specific event / project ,One Off Volunteer,30-39,20-34,Female,No - The Same,No,White - British,Heterosexual/Straight,White British
Working on a specific event / project ,One Off Volunteer,60+,65+,Female,No - The Same,No,White - British,Heterosexual/Straight,White British
Working on a specific event / project ,One Off Volunteer,50-59,50-64,Female,No - The Same,No,White - British,Heterosexual/Straight,White British
Working on a specific event / project ,One Off Volunteer,60+,65+,Female,No - The Same,No,White - British,Heterosexual/Straight,White British
Working on a specific event / project ,One Off Volunteer,50-59,50-64,Female,No - The Same,No,White - British,Heterosexual/Straight,White British
Working on a specific event / project ,One Off Volunteer,60+,50-64,Female,No - The Same,No,White - British,Heterosexual/Straight,White British
Working on a specific event / project ,One Off Volunteer,50-59,50-64,Female,No - The Same,No,White - British,Heterosexual/Straight,White British
Working on a specific event / project ,One Off Volunteer,60+,50-64,Female,No - The Same,Yes,White - British,Heterosexual/Straight,White British
Working on a specific event / project ,One Off Volunteer,50-59,50-64,Female,No - The Same,No,White - British,Heterosexual/Straight,White British
Working on a specific event / project ,One Off Volunteer,30-39,35-49,Female,No - The Same,No,White - British,Heterosexual/Straight,White British
Working on a specific event / project ,One Off Volunteer,60+,65+,Female,No - The Same,No,White - British,Heterosexual/Straight,White British
Working on a specific event / project ,One Off Volunteer,50-59,50-64,Female,No - The Same,No,White - British,Heterosexual/Straight,White British
Working on a specific event / project ,One Off Volunteer,40-49,35-49,Female,No - The Same,No,White - British,Heterosexual/Straight,White British
Working on a specific event / project ,One Off Volunteer,50-59,50-64,Female,No - The Same,Yes,White - British,Heterosexual/Straight,White British
Working on a specific event / project ,One Off Volunteer,30-39,20-34,Female,No - The Same,No,White - British,Heterosexual/Straight,White British
Working on a specific event / project ,One Off Volunteer,50-59,50-64,Female,No - The Same,No,White - British,Heterosexual/Straight,White British
Working on a specific event / project ,One Off Volunteer,60+,65+,Female,No - The Same,No,White - British,Heterosexual/Straight,White British
Working on a specific event / project ,One Off Volunteer,50-59,50-64,Female,No - The Same,No,White - British,Heterosexual/Straight,White British
Working on a specific event / project ,One Off Volunteer,40-49,35-49,Female,No - The Same,No,White - British,Heterosexual/Straight,White British
Working on a specific event / project ,One Off Volunteer,60+,65+,Female,No - The Same,No,White - British,Heterosexual/Straight,White British
Working on a specific event / project ,One Off Volunteer,60+,50-64,Female,No - The Same,No,White - British,Heterosexual/Straight,White British
Working on a specific event / project ,One Off Volunteer,50-59,50-64,Female,No - The Same,No,White - British,Heterosexual/Straight,White British
Working on a specific event / project ,One Off Volunteer,60+,65+,Female,No - The Same,No,White - British,Heterosexual/Straight,White British
Working on a specific event / project ,One Off Volunteer,40-49,35-49,Female,No - The Same,No,White - British,Heterosexual/Straight,White British
Working on a specific event / project ,One Off Volunteer,50-59,50-64,Female,No - The Same,No,White - British,Heterosexual/Straight,White British
Working on a specific event / project ,One Off Volunteer,60+,50-64,Female,Prefer Not To Say,Yes,White - British,Prefer Not To Say,White British
Working on a specific event / project ,One Off Volunteer,60+,65+,Female,No - The Same,Yes,White - British,Prefer Not To Say,White British
Working on a specific event / project ,One Off Volunteer,50-59,50-64,Male,No - The Same,No,White - British,Heterosexual/Straight,White British
Working on a specific event / project ,One Off Volunteer,50-59,50-64,Male,No - The Same,No,White - British,Heterosexual/Straight,White British
Working on a specific event / project ,One Off Volunteer,50-59,50-64,Male,No - The Same,No,White - British,Heterosexual/Straight,White British
Working on a specific event / project ,Other; Driver of Participating Vehicle,60+,65+,Male,No - The Same,No,White - British,Heterosexual/Straight,White British
Working on a specific event / project ,Artist / Performer,40-49,35-49,Female,No - The Same,No,Asian or Asian British - Indian,Heterosexual/Straight,Asian or Asian British
Working on a specific event / project ,Artist / Performer,50-59,50-64,Female,No - The Same,No,White - British,Heterosexual/Straight,White British
Working on a specific event / project ,Artist / Performer,20-29,20-34,Non-binary,Yes - Different,Yes,Any Other White Background,Pansexual/Asexual ,"White Other, White Irish, or White Gypsy or Irish Traveller"
Working on a specific event / project ,One Off Volunteer,60+,50-64,Female,No - The Same,No,White - Irish,Heterosexual/Straight,"White Other, White Irish, or White Gypsy or Irish Traveller"
Working on a specific event / project ,"Freelancer / Contractor - Production Staff, Producers, Technical Staff etc.",40-49,35-49,Female,No - The Same,No,White - British,Heterosexual/Straight,White British
Working on a specific event / project ,One Off Volunteer,20-29,20-34,Female,No - The Same,No,White - British,Heterosexual/Straight,White British
Working on a specific event / project ,"Freelancer / Contractor - Production Staff, Producers, Technical Staff etc.",30-39,20-34,Female,No - The Same,No,White - British,Heterosexual/Straight,White British
Working on a specific event / project ,"Freelancer / Contractor - Production Staff, Producers, Technical Staff etc.",40-49,35-49,Female,No - The Same,No,White - British,Heterosexual/Straight,White British
Working on a specific event / project ,Artist / Performer,60+,65+,Female,No - The Same,No,White - British,Prefer not to answer,White British
Working on a specific event / project ,Artist / Performer,30-39,20-34,Female,No - The Same,No,White - British,Bisexual,White British
Working on a specific event / project ,"Freelancer / Contractor - Production Staff, Producers, Technical Staff etc.",30-39,35-49,Male,No - The Same,No,White - British,Prefer Not To Say,White British
Working on a specific event / project ,One Off Volunteer,20-29,20-34,Female,No - The Same,No,Asian or Asian British - Chinese,Heterosexual/Straight,Asian or Asian British
Working on a specific event / project ,One Off Volunteer,20-29,20-34,Female,No - The Same,No,Asian or Asian British - Indian,Heterosexual/Straight,Asian or Asian British
Working on a specific event / project ,Artist / Performer,30-39,20-34,Female,No - The Same,No,Any Other White Background,Heterosexual/Straight,"White Other, White Irish, or White Gypsy or Irish Traveller"
Working on a specific event / project ,Artist / Performer,30-39,35-49,Female,No - The Same,No,Any Other White Background,Heterosexual/Straight,"White Other, White Irish, or White Gypsy or Irish Traveller"
Working on a specific event / project ,Artist / Performer,20-29,20-34,Female,No - The Same,No,Asian or Asian British - Indian,Gay Woman/Lesbian,Asian or Asian British
Working on a specific event / project ,Artist / Performer,60+,50-64,Female,No - The Same,No,Asian or Asian British - Indian,Heterosexual/Straight,Asian or Asian British
Working on a specific event / project ,Artist / Performer,20-29,20-34,Female,No - The Same,No,Black or Black British - Caribbean,Heterosexual/Straight,"Black, African, Caribbean, or Black British"
