Project,Point of Measurement,Month / Year,"Generally, how satisfied are you with your local area as a place to live?",Do you agree or disagree that you can influence decisions affecting your local area?,"How often do you chat to your neighbours, more than to just say hello?","To what extent do you agree or disagree that this neighbourhood is a place where people from different backgrounds (i.e. different ethnic groups, faith groups, social backgrounds or countries of origin) get on well together?","Please rate how engaged you generally feel with your local community (engagement refers to a feeling that you are meaningfully connected to other people in your community, and/or the community as a whole)",Please rate how empowered/ confident you feel to join the following activities: Arts and cultural heritage,Please rate how empowered/confident you feel to join the following activities: Leisure,Please rate how empowered/confident you feel to join the following activities: Sporting and physical,Please rate how empowered/confident you feel to join the following activities: Volunteering,"Do you plan to get involved in activities with members of different generations? (e.g. join community centre activities, take part in sports, do more voluntary work)","Please rate how much you agree/disagree with the following statement: ""My local area is a place where people from different generations mix well together""","Please rate how much you agree/disagree with the following statement: ""My community and myself as an individual is well represented in the city""","Overall, how satisfied are you with your life?  (On a 0-10 scale, where 0 is not satisfied at all and 10 is completely satisfied)","Overall, how much do you feel the things you do in your life are worthwhile? (On a scale of 0-10, where 0 is not at all worthwhile and 10 is completely worthwhile)","Overall, how happy did you feel yesterday? (On a 0-10 scale, where 0 is not at all happy and 10 is completely happy)","Overall, how anxious did you feel yesterday? (On 0-10 scale, where 0 is not anxious and 10 is completely anxious)",Age,Gender,Identify as Disabled,Ethnic Background,Technical Notes
Cardboard Camps,Post,Jul-21,Fairly Satisfied,Don't Know,Once or twice a week,Don't Know,Disengaged,Sometimes Empowered,Sometimes Empowered,Sometimes Empowered,Sometimes Empowered,Not Sure,Agree,Disagree,7,5,4,6,null,null,null,null,Survey managed on behalf of the Trust by Cardboard Citizens - demographic questions not asked due to being asked as part of application process.
Cardboard Camps,Post,Jul-21,Fairly Satisfied,Tend to Agree,Once or twice a week,Don't Know,Disengaged,Never Empowered,Never Empowered,Never Empowered,Sometimes Empowered,Yes,Agree,Agree,5,5,4,9,null,null,null,null,Survey managed on behalf of the Trust by Cardboard Citizens - demographic questions not asked due to being asked as part of application process.
Cardboard Camps,Post,Jul-21,Fairly Dissatisfied,Don't Know,Once or twice a week,Tend to Agree,Disengaged,Very Empowered,Sometimes Empowered,Never Empowered,null,Yes,Disagree,Disagree,4,5,8,4,null,null,null,null,Survey managed on behalf of the Trust by Cardboard Citizens - demographic questions not asked due to being asked as part of application process.
Cardboard Camps,Post,Jul-21,Fairly Satisfied,Tend to Disagree,On most days,Don't Know,Engaged,null,Never Empowered,Never Empowered,Very Empowered,Yes,Agree,Agree,5,5,8,8,null,null,null,null,Survey managed on behalf of the Trust by Cardboard Citizens - demographic questions not asked due to being asked as part of application process.
Cardboard Camps,Post,Jul-21,Very Satisfied,Definitely Agree,On most days,Definitely Agree,Very Engaged,Very Empowered,Very Empowered,Empowered,Very Empowered,Yes,Agree,Strongly Agree,10,10,10,9,null,null,null,null,Survey managed on behalf of the Trust by Cardboard Citizens - demographic questions not asked due to being asked as part of application process.
Cardboard Camps,Post,Jul-21,Very Satisfied,Don't Know,On most days,Don't Know,Very Engaged,null,Very Empowered,null,null,Yes,Agree,Strongly Agree,10,10,9,9,null,null,null,null,Survey managed on behalf of the Trust by Cardboard Citizens - demographic questions not asked due to being asked as part of application process.
Cardboard Camps,Post,Jul-21,Fairly Satisfied,Don't Know,Less than once a month,Don't Know,Disengaged,Sometimes Empowered,Never Empowered,Never Empowered,Sometimes Empowered,No,Agree,Agree,7,7,8,3,null,null,null,null,Survey managed on behalf of the Trust by Cardboard Citizens - demographic questions not asked due to being asked as part of application process.
Cardboard Camps,Post,Jul-21,Neither Satisfied nor Dissatisfied,Tend to Agree,Once or twice a week,Don't Know,Engaged,Very Empowered,Very Empowered,Sometimes Empowered,Sometimes Empowered,Yes,Agree,Agree,8,9,10,6,null,null,null,null,Survey managed on behalf of the Trust by Cardboard Citizens - demographic questions not asked due to being asked as part of application process.
Cardboard Camps,Post,Jul-21,Neither Satisfied nor Dissatisfied,Don't Know,Once or twice a week,Tend to Disagree,Disengaged,Empowered,Sometimes Empowered,Sometimes Empowered,Empowered,Yes,Disagree,Disagree,6,7,8,8,null,null,null,null,Survey managed on behalf of the Trust by Cardboard Citizens - demographic questions not asked due to being asked as part of application process.
Cardboard Camps,Post,Jul-21,Fairly Satisfied,Definitely Disagree,Less than once a month,Tend to Disagree,Very Engaged,null,Empowered,Empowered,Very Empowered,Yes,Strongly Disagree,Strongly Disagree,10,10,3,3,null,null,null,null,Survey managed on behalf of the Trust by Cardboard Citizens - demographic questions not asked due to being asked as part of application process.
Cardboard Camps,Post,Jul-21,Very Satisfied,Definitely Agree,Once or twice a week,Tend to Agree,null,null,null,null,null,null,null,null,8,8,8,8,null,null,null,null,Survey managed on behalf of the Trust by Cardboard Citizens - demographic questions not asked due to being asked as part of application process.
Cardboard Camps,Post,Jul-21,Fairly Dissatisfied,Don't Know,On most days,Tend to Agree,Engaged,Very Empowered,Empowered,Empowered,Very Empowered,Yes,Agree,Agree,9,10,10,9,null,null,null,null,Survey managed on behalf of the Trust by Cardboard Citizens - demographic questions not asked due to being asked as part of application process.
Cardboard Camps,Post,Jul-21,Very Satisfied,Definitely Agree,On most days,Definitely Agree,Very Engaged,Very Empowered,Very Empowered,Very Empowered,Very Empowered,Yes,Disagree,Disagree,6,9,10,0,null,null,null,null,Survey managed on behalf of the Trust by Cardboard Citizens - demographic questions not asked due to being asked as part of application process.
Cardboard Camps,Post,Jul-21,Neither Satisfied nor Dissatisfied,Tend to Disagree,Once or twice a week,Tend to Agree,Engaged,Empowered,Empowered,Sometimes Empowered,Very Empowered,Yes,Agree,null,6,6,8,3,null,null,null,null,Survey managed on behalf of the Trust by Cardboard Citizens - demographic questions not asked due to being asked as part of application process.
Cardboard Camps,Post,Jul-21,Fairly Satisfied,Tend to Agree,Once or twice a week,Don't Know,Engaged,Very Empowered,Empowered,Empowered,Empowered,Yes,Agree,Disagree,8,8,9,1,null,null,null,null,Survey managed on behalf of the Trust by Cardboard Citizens - demographic questions not asked due to being asked as part of application process.
Coventry Welcomes,Post,Jul-21,Fairly Satisfied,Tend to Agree,On most days,Definitely Agree,Engaged,Empowered,Empowered,Empowered,Empowered,Not Sure,Strongly Agree,Agree,10,10,9,1,35 - 49,Female,No,White British,
Coventry Welcomes,Post,Jul-21,Fairly Satisfied,Tend to Agree,On most days,Definitely Agree,Engaged,Sometimes Empowered,Empowered,Empowered,Sometimes Empowered,Yes,Strongly Agree,Agree,8,8,9,1,50 - 64,Female,No,White British,
Coventry Welcomes,Post,Jul-21,Fairly Satisfied,Tend to Agree,Once or twice a month,Tend to Agree,Engaged,Very Empowered,Sometimes Empowered,Sometimes Empowered,Sometimes Empowered,Yes,Strongly Agree,Agree,8,8,8,2,null,Female,Prefer Not To Say,Other Ethnic Group,
Coventry Welcomes,Post,Jul-21,Very Satisfied,Tend to Agree,On most days,Definitely Agree,Very Engaged,Very Empowered,Sometimes Empowered,Sometimes Empowered,Very Empowered,Yes,Strongly Agree,Agree,9,8,7,1,20 - 34,Female,No,Other Ethnic Group,
Coventry Welcomes,Post,Jul-21,Fairly Satisfied,Tend to Agree,On most days,Definitely Agree,Very Engaged,Empowered,Sometimes Empowered,Sometimes Empowered,Very Empowered,Yes,Strongly Agree,Agree,8,8,8,9,35 - 49,Female,No,Black or Black British - African,
Coventry Welcomes,Post,Jul-21,Very Satisfied,Definitely Agree,Once or twice a week,Definitely Agree,Engaged,Empowered,Empowered,Empowered,Empowered,Yes,Strongly Agree,Agree,9,8,8,2,20 - 34,Male,No,Other Asian Background,
Coventry Welcomes,Post,Jul-21,Neither Satisfied nor Dissatisfied,Don't Know,Never,Tend to Agree,Engaged,Very Empowered,Empowered,Never Empowered,Sometimes Empowered,Not Sure,Strongly Agree,Strongly Agree,7,8,8,1,20 - 34,Male,No,Other White Background,
Coventry Welcomes,Post,Jul-21,Very Satisfied,Tend to Agree,On most days,Definitely Agree,Engaged,Empowered,Empowered,Empowered,Empowered,Yes,Strongly Agree,Agree,5,5,7,5,35 - 49,Female,No,Black or Black British - African,
Coventry Welcomes,Post,Jul-21,Fairly Dissatisfied,Don't Know,Once or twice a week,Tend to Agree,Disengaged,Empowered,Sometimes Empowered,Sometimes Empowered,Empowered,Not Sure,Strongly Agree,Agree,8,8,9,3,35 - 49,Female,Prefer Not To Say,Other Ethnic Group - Arab,
Coventry Welcomes,Post,Jul-21,Fairly Satisfied,Definitely Agree,On most days,Tend to Disagree,Engaged,Empowered,Sometimes Empowered,Sometimes Empowered,Very Empowered,Yes,Strongly Agree,Agree,8,8,8,5,35 - 49,Female,No,Black or Black British - African,
Coventry Welcomes,Post,Jul-21,Neither Satisfied nor Dissatisfied,Tend to Agree,Once or twice a week,Tend to Agree,Engaged,Empowered,Sometimes Empowered,Sometimes Empowered,Sometimes Empowered,Yes,Strongly Agree,Agree,9,8,7,3,20 - 34,Male,No,Other Asian Background,
Coventry Welcomes,Post,Jul-21,Fairly Satisfied,Don't Know,Once or twice a month,Tend to Agree,Disengaged,Sometimes Empowered,Never Empowered,Sometimes Empowered,Sometimes Empowered,Yes,Strongly Agree,Agree,8,8,8,2,20 - 34,Female,Prefer Not To Say,Black or Black British - Caribbean,
Coventry Welcomes,Post,Jul-21,Very Satisfied,Definitely Agree,Once or twice a week,Definitely Agree,Engaged,Empowered,Empowered,Empowered,Empowered,Yes,Strongly Agree,Strongly Agree,7,7,9,2,20 - 34,Female,No,Other Asian Background,
Coventry Welcomes,Post,Jul-21,Fairly Dissatisfied,Definitely Agree,Once or twice a week,Tend to Disagree,Engaged,Empowered,Empowered,Very Empowered,Very Empowered,Yes,Agree,Disagree,8,9,8,1,35 - 49,Female,No,Black or Black British - African,
Coventry Welcomes,Post,Jul-21,Fairly Dissatisfied,Tend to Agree,On most days,Tend to Agree,Engaged,Sometimes Empowered,Sometimes Empowered,Never Empowered,Empowered,Yes,Agree,Agree,7,7,6,4,35 - 49,Male,Yes,Other Asian Background,
Coventry Welcomes,Post,Jul-21,Very Satisfied,Tend to Agree,On most days,Tend to Disagree,Very Engaged,Very Empowered,Sometimes Empowered,Sometimes Empowered,Empowered,Yes,Strongly Agree,Strongly Agree,10,10,10,3,50 - 64,Male,Prefer Not To Say,Asian or Asian British - Indian,
Coventry Welcomes,Post,Jul-21,Neither Satisfied nor Dissatisfied,Tend to Agree,On most days,Tend to Disagree,Engaged,Sometimes Empowered,Sometimes Empowered,Sometimes Empowered,Sometimes Empowered,Yes,Agree,Agree,10,10,10,3,20 - 34,Female,Prefer Not To Say,Other Ethnic Group,
Coventry Welcomes,Post,Jul-21,Fairly Satisfied,Definitely Agree,Once or twice a month,Tend to Agree,Disengaged,Empowered,Sometimes Empowered,Sometimes Empowered,Sometimes Empowered,Yes,Strongly Agree,Agree,6,6,4,5,20 - 34,Female,No,Other Ethnic Group,
Coventry Welcomes,Post,Jul-21,Neither Satisfied nor Dissatisfied,Definitely Agree,Once or twice a week,Tend to Agree,Engaged,Sometimes Empowered,Sometimes Empowered,Sometimes Empowered,Sometimes Empowered,Yes,Strongly Agree,Agree,6,5,4,5,20 - 34,Female,No,Black or Black British - African,
Coventry Welcomes,Post,Jul-21,Fairly Satisfied,Don't Know,On most days,Too few people in the local neighbourhood to judge,Engaged,Empowered,Sometimes Empowered,Never Empowered,Sometimes Empowered,Not Sure,Strongly Agree,Agree,5,5,7,6,20 - 34,Female,No,Other Black Background,
Coventry Welcomes,Post,Jul-21,Neither Satisfied nor Dissatisfied,Don't Know,Once or twice a month,Tend to Agree,Disengaged,Sometimes Empowered,Sometimes Empowered,Sometimes Empowered,Never Empowered,Yes,Strongly Agree,Agree,10,10,9,4,20 - 34,Female,No,Other Ethnic Group - Arab,
Coventry Welcomes,Post,Jul-21,Fairly Satisfied,Tend to Agree,On most days,Tend to Disagree,Engaged,Very Empowered,Sometimes Empowered,Sometimes Empowered,Sometimes Empowered,Yes,Agree,Agree,7,7,5,3,35 - 49,Female,Prefer Not To Say,Black or Black British - Caribbean,
Coventry Welcomes,Post,Jul-21,Neither Satisfied nor Dissatisfied,Definitely Agree,Once or twice a month,Tend to Disagree,Engaged,Sometimes Empowered,Sometimes Empowered,Sometimes Empowered,Sometimes Empowered,Not Sure,Agree,Agree,8,8,8,3,35 - 49,Female,Prefer Not To Say,Asian or Asian British - Pakistani,
Coventry Welcomes,Post,Jul-21,Fairly Satisfied,Tend to Agree,On most days,Definitely Agree,Very Engaged,Empowered,Sometimes Empowered,Sometimes Empowered,Sometimes Empowered,Yes,Strongly Agree,Agree,8,8,7,3,20 - 34,Female,No,Asian or Asian British - Indian,
Coventry Welcomes,Post,Jul-21,Fairly Dissatisfied,Don't Know,Once or twice a week,Tend to Agree,Engaged,Very Empowered,Sometimes Empowered,Never Empowered,Sometimes Empowered,Not Sure,Strongly Agree,Agree,9,9,9,2,35 - 49,Female,No,Black or Black British - African,
Coventry Welcomes,Post,Jul-21,Very Satisfied,Tend to Agree,Once or twice a month,Tend to Agree,Engaged,Sometimes Empowered,Sometimes Empowered,Never Empowered,Sometimes Empowered,Not Sure,Strongly Agree,Agree,8,8,6,2,20 - 34,Female,No,Other Black Background,
Home Festival Flashmob,Post,Oct-21,Fairly Satisfied,Tend to Agree,On most days,Definitely Agree,Engaged,Sometimes Empowered,Empowered,Empowered,Sometimes Empowered,Yes,Agree,Agree,8,7,9,1,50 - 64,Female,No,White British,
Home Festival Flashmob,Post,Oct-21,Fairly Satisfied,Don't Know,On most days,Definitely Agree,Engaged,Empowered,Empowered,Empowered,Empowered,Not Sure,Strongly Agree,Agree,10,10,10,1,35 - 49,Female,No,White British,
Home Festival Flashmob,Post,Oct-21,Fairly Satisfied,Tend to Disagree,Less than once a month,Definitely Disagree,Disengaged,Sometimes Empowered,Sometimes Empowered,Sometimes Empowered,Sometimes Empowered,Not Sure,Disagree,Strongly Disagree,7,8,7,8,35 - 49,Non-binary,Yes,Mixed - Other Mixed/Multiple Ethnic Background,
Home Festival Flashmob,Post,Oct-21,Fairly Satisfied,Don't Know,On most days,Tend to Agree,Very Engaged,Very Empowered,Very Empowered,Very Empowered,Very Empowered,Yes,Strongly Agree,Agree,9,9,9,0,65 +,Female,No,White British,
Home Festival Flashmob,Post,Oct-21,Fairly Satisfied,Don't Know,Once or twice a month,Tend to Agree,Engaged,Very Empowered,Very Empowered,Very Empowered,Very Empowered,Yes,Strongly Agree,Agree,9,9,9,1,20 - 34,Female,No,Asian or Asian British - Indian,
Home Festival Flashmob,Post,Oct-21,Very Satisfied,Definitely Agree,Once or twice a week,Definitely Agree,Engaged,Empowered,Empowered,Empowered,Empowered,Yes,Strongly Agree,Strongly Agree,10,6,8,1,50 - 64,Female,No,White British,
Home Festival Flashmob,Post,Oct-21,Fairly Satisfied,Tend to Agree,Once or twice a month,Definitely Agree,Engaged,Very Empowered,Very Empowered,Very Empowered,Very Empowered,Yes,Strongly Agree,Strongly Agree,7,7,7,0,50 - 64,Female,No,White British,
Home Festival Flashmob,Post,Oct-21,Very Satisfied,Tend to Agree,Once or twice a week,Tend to Agree,Engaged,Very Empowered,Very Empowered,Empowered,Very Empowered,Yes,Strongly Agree,Agree,9,9,9,0,35 - 49,Female,No,Other White Background,
Home Festival Flashmob,Post,Oct-21,Fairly Satisfied,Tend to Disagree,Less than once a month,Definitely Agree,Very Engaged,Very Empowered,Empowered,Sometimes Empowered,Very Empowered,Yes,Agree,Strongly Agree,8,8,4,3,50 - 64,Female,No,Asian or Asian British - Indian,
Ruff Tuff Cream Puff Estate Agency,Post,Oct-21,Fairly Satisfied,Don't Know,Once or twice a week,Tend to Agree,Disengaged,Empowered,Never Empowered,Never Empowered,Empowered,Not Sure,Agree,Agree,9,9,9,3,null,null,null,null,Survey managed on behalf of the Trust by Cardboard Citizens - demographic questions not asked due to being asked as part of application process.
Ruff Tuff Cream Puff Estate Agency,Post,Oct-21,Fairly Satisfied,Don't Know,Less than once a month,Tend to Agree,Engaged,Very Empowered,Very Empowered,null,Very Empowered,Yes,Agree,Disagree,5,6,8,4,null,null,null,null,Survey managed on behalf of the Trust by Cardboard Citizens - demographic questions not asked due to being asked as part of application process.
Ruff Tuff Cream Puff Estate Agency,Post,Oct-21,Fairly Satisfied,Don't Know,Less than once a month,Definitely Agree,Disengaged,Never Empowered,Very Empowered,Very Empowered,Never Empowered,Yes,Agree,Strongly Agree,8,10,10,8,null,null,null,null,Survey managed on behalf of the Trust by Cardboard Citizens - demographic questions not asked due to being asked as part of application process.
Ruff Tuff Cream Puff Estate Agency,Post,Oct-21,Fairly Satisfied,Don't Know,Never,Tend to Agree,Disengaged,Empowered,Sometimes Empowered,Never Empowered,Empowered,Yes,Strongly Disagree,Agree,8,8,10,8,null,null,null,null,Survey managed on behalf of the Trust by Cardboard Citizens - demographic questions not asked due to being asked as part of application process.
Ruff Tuff Cream Puff Estate Agency,Post,Oct-21,Neither Satisfied nor Dissatisfied,Tend to Disagree,Once or twice a month,Tend to Disagree,Engaged,Empowered,Sometimes Empowered,Never Empowered,Sometimes Empowered,Yes,Agree,Disagree,7,7,2,7,null,null,null,null,Survey managed on behalf of the Trust by Cardboard Citizens - demographic questions not asked due to being asked as part of application process.
Ruff Tuff Cream Puff Estate Agency,Post,Oct-21,Fairly Dissatisfied,Tend to Disagree,Never,Definitely Disagree,null,Very Empowered,Sometimes Empowered,Sometimes Empowered,Very Empowered,Yes,Strongly Disagree,Strongly Disagree,9,10,10,8,null,null,null,null,Survey managed on behalf of the Trust by Cardboard Citizens - demographic questions not asked due to being asked as part of application process.
Ruff Tuff Cream Puff Estate Agency,Post,Oct-21,Fairly Satisfied,Don't Know,Once or twice a month,Don't Know,null,Very Empowered,Empowered,Empowered,Very Empowered,Yes,Disagree,Disagree,3,4,8,8,null,null,null,null,Survey managed on behalf of the Trust by Cardboard Citizens - demographic questions not asked due to being asked as part of application process.
Ruff Tuff Cream Puff Estate Agency,Post,Oct-21,Fairly Satisfied,Tend to Agree,Once or twice a week,Tend to Agree,Engaged,Very Empowered,Sometimes Empowered,Sometimes Empowered,Sometimes Empowered,Yes,Agree,Agree,null,null,null,null,null,null,null,null,Survey managed on behalf of the Trust by Cardboard Citizens - demographic questions not asked due to being asked as part of application process.
Ruff Tuff Cream Puff Estate Agency,Post,Oct-21,Very Satisfied,Definitely Agree,null,Definitely Agree,Very Engaged,Very Empowered,Very Empowered,Very Empowered,Very Empowered,Yes,Agree,Strongly Agree,null,null,null,null,null,null,null,null,Survey managed on behalf of the Trust by Cardboard Citizens - demographic questions not asked due to being asked as part of application process.
Ruff Tuff Cream Puff Estate Agency,Post,Oct-21,Fairly Dissatisfied,Tend to Disagree,Once or twice a week,Tend to Agree,Disengaged,null,Never Empowered,Sometimes Empowered,Very Empowered,Not Sure,Agree,Agree,3,2,4,7,null,null,null,null,Survey managed on behalf of the Trust by Cardboard Citizens - demographic questions not asked due to being asked as part of application process.
Ruff Tuff Cream Puff Estate Agency,Post,Oct-21,Very Satisfied,Don't Know,Once or twice a month,Tend to Agree,Engaged,Very Empowered,Sometimes Empowered,Sometimes Empowered,Very Empowered,Yes,Agree,Agree,9,10,9,8,null,null,null,null,Survey managed on behalf of the Trust by Cardboard Citizens - demographic questions not asked due to being asked as part of application process.
Ruff Tuff Cream Puff Estate Agency,Post,Oct-21,Fairly Satisfied,Don't Know,Once or twice a week,Tend to Agree,null,Sometimes Empowered,Sometimes Empowered,Never Empowered,Sometimes Empowered,Not Sure,Agree,Agree,8,8,5,4,null,null,null,null,Survey managed on behalf of the Trust by Cardboard Citizens - demographic questions not asked due to being asked as part of application process.
Ruff Tuff Cream Puff Estate Agency,Post,Oct-21,Very Satisfied,Definitely Agree,On most days,Definitely Agree,Very Engaged,Very Empowered,null,null,null,Yes,Agree,Strongly Agree,10,10,10,1,null,null,null,null,Survey managed on behalf of the Trust by Cardboard Citizens - demographic questions not asked due to being asked as part of application process.
Ruff Tuff Cream Puff Estate Agency,Post,Oct-21,Fairly Satisfied,Don't Know,Once or twice a week,Tend to Disagree,Disengaged,Empowered,Sometimes Empowered,Sometimes Empowered,Very Empowered,Yes,Disagree,Disagree,5,7,2,1,null,null,null,null,Survey managed on behalf of the Trust by Cardboard Citizens - demographic questions not asked due to being asked as part of application process.
Ruff Tuff Cream Puff Estate Agency,Post,Oct-21,Very Satisfied,Definitely Agree,Once or twice a week,Definitely Agree,Very Engaged,Very Empowered,null,null,null,Yes,Agree,Strongly Agree,10,10,8,8,null,null,null,null,Survey managed on behalf of the Trust by Cardboard Citizens - demographic questions not asked due to being asked as part of application process.
Arts and Homelessness Steering Group,Post,Nov-21,Fairly Satisfied,Don't Know,Once or twice a week,Tend to Agree,Engaged,Very Empowered,Very Empowered,Very Empowered,Very Empowered,Yes,Strongly Agree,Strongly Agree,10,10,10,1,35 - 49,Female,No,White British,
Arts and Homelessness Steering Group,Post,Nov-21,Fairly Satisfied,Tend to Agree,Once or twice a week,Tend to Agree,Engaged,Very Empowered,Very Empowered,Empowered,Very Empowered,Yes,Agree,Agree,9,9,9,4,35 - 49,Male,No,White British,
Arts and Homelessness Steering Group,Post,Nov-21,Neither Satisfied nor Dissatisfied,Don't Know,Never,Tend to Agree,Very Engaged,Sometimes Empowered,Sometimes Empowered,Never Empowered,Sometimes Empowered,Not Sure,Agree,Disagree,7,8,7,1,65 +,Male,No,White British,
