survey,How likely is it that you would recommend the City Host volunteer programme to a friend or colleague?,"On reflection of your City Host experience so far, has the City Host programme helped you gain more confidence?",I have interacted with people I wouldn't have normally.,I have gained new skills or my skills have increased through being a City Host.,What is your age?,What is the gender to which you identify?,What is your marital status?,Please can you tell us which of the following best describes you?,Other please specify,Which of the following best describes your religion?,Other please specify,Please indicate your ethnic origin and cultural background:,Ethnic Group,Household composition: Pre-school age (0-4 years). How many people living permanently in your household (including yourself) fit within the above category?,Household composition: Primary school age (5-11 years). How many people living permanently in your household (including yourself) fit within the above category?,Household composition: Secondary school age (12-16 years). How many people living permanently in your household (including yourself) fit within the above category?,Household composition: Post school education (16-17 years). How many people living permanently in your household (including yourself) fit within the above category?,"Household composition: Adult (18-59-female, 18-64-male). How many people living permanently in your household (including yourself) fit within the above category?","Household composition: Working (60+ female, 65+ male). How many people living permanently in your household (including yourself) fit within the above category?","Household composition: Retired (60+ female, 65+ male). How many people living permanently in your household (including yourself) fit within the above category?",Household composition: Adult (18-64). How many people living permanently in your household (including yourself) fit within the above category?,Household composition: Working (65+). How many people living permanently in your household (including yourself) fit within the above category?,Household composition: Retired (65+). How many people living permanently in your household (including yourself) fit within the above category?,How often would you say you have been worried about money during the last few weeks?,Which of the following best describes your current economic status?,Other please specify,"Are your day-to-day activities limited because of a health problem or disability which has lasted, or is expected to last, at least 12 months?",Would you say in general your health is...,I've been feeling optimistic about the future,Iâ€™ve been feeling useful,I've been feeling relaxed,I've been dealing with problems well,I've been thinking clearly,I've been feeling close to other people,I've been able to make up my own mind about things,Please let us know how strongly you feel you belong to the your local area.,Please let us know how strongly you feel you belong to Coventry.,To what extent do you agree or disagree that there are opportunities for you to be actively involved in improving your local area?,"Overall, how satisfied or dissatisfied are you with your local area as a place to live?",Do you think volunteering as a City Host improves your wellbeing?,"How would you rate the City Host organisation, communication and management?",The training provided prepared me well for the City Host role.,Please rate the quality of the selection events.,Please rate the quality of the core training.,Please rate the quality of the on-line induction events.,Please rate the quality of the on-line core training.,Please rate the quality of the Get Ready events.,Did you take part in Team Leader training? If so please rate the quality of the team leader training.
City Host Survey - July 2021,10 - Extremely likely,"Yes, my confidence has increased",Agree,Agree,75 and over,Male,Married,Heterosexual,No Response,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",No Response,White â€“ British,White British,0,0,0,0,No Response,No Response,No Response,0,0,2,Only sometimes,Retired,No Response,Not at all,Very good,All of the time,Often,Often,All of the time,Often,Some of the time,All of the time,Very strongly,Very strongly,Tend to agree,Fairly satisfied,"Yes, it improves wellbeing a lot",Not Sure,Disagree,No Response,No Response,Good,Good,Excellent,Good
City Host Survey - July 2021,7,"No, my confidence has not increased",Agree,Not sure,55-64,Female,Married,Heterosexual,No Response,No religion,No Response,White â€“ British,White British,0,0,0,0,No Response,No Response,No Response,3,0,0,Never,Retired,No Response,Not at all,Good,Often,Often,Some of the time,Often,Often,All of the time,All of the time,Not very strongly,Fairly strongly,Don't know,Fairly satisfied,"Yes, it improves wellbeing a little",Good,Not sure,No Response,No Response,Not Sure,Not Sure,Not Sure,No Response
City Host Survey - July 2021,8,"No, my confidence has not increased",Agree,Not sure,55-64,Male,Married,Heterosexual,No Response,No religion,No Response,White â€“ British,White British,0,0,0,0,No Response,No Response,No Response,3,0,0,Never,Retired,No Response,Not at all,Good,Often,Often,All of the time,All of the time,All of the time,All of the time,All of the time,Fairly strongly,Very strongly,Tend to agree,Very satisfied,"Yes, it improves wellbeing a lot",Good,Not sure,No Response,No Response,Good,Good,Not Sure,Good
City Host Survey - July 2021,10 - Extremely likely,"Yes, my confidence has increased",Agree,Agree,55-64,Female,Widowed,Heterosexual,No Response,No religion,No Response,White â€“ British,White British,0,0,0,0,No Response,No Response,No Response,1,0,0,Prefer not to say,Retired,No Response,Not at all,Very good,Some of the time,Some of the time,Some of the time,Often,Often,Some of the time,All of the time,Very strongly,Donâ€™t know,Tend to agree,Very satisfied,"Yes, it improves wellbeing a lot",Good,Agree,No Response,No Response,Good,Good,Excellent,No Response
City Host Survey - July 2021,10 - Extremely likely,"Yes, my confidence has increased",Agree,No Response,45-54,Female,Single (never married and never registered a same sex civil partnership),Heterosexual,No Response,No religion,No Response,White â€“ British,White British,0,0,0,0,No Response,No Response,No Response,0,0,0,Never,In full time paid work,No Response,Not at all,Very good,Often,Some of the time,Some of the time,All of the time,Often,All of the time,All of the time,Fairly strongly,Very strongly,Tend to agree,Neither satisfied nor dissatisfied,"Yes, it improves wellbeing a little",Excellent,Strongly agree,No Response,No Response,Excellent,Excellent,Excellent,No Response
City Host Survey - July 2021,6,No Response,Agree,Agree,65-74,Male,Married,Heterosexual,No Response,No religion,No Response,White â€“ British,White British,0,0,0,0,No Response,No Response,No Response,1,1,No Response,Never,Self-employed,No Response,Not at all,Very good,Rarely,Some of the time,Some of the time,Some of the time,Often,Some of the time,Often,Fairly strongly,Very strongly,Tend to agree,Very satisfied,Not sure,Good,Agree,No Response,No Response,Good,Good,Good,Good
City Host Survey - July 2021,10 - Extremely likely,"No, my confidence has not increased",Agree,Agree,65-74,Female,Married,Heterosexual,No Response,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",No Response,White â€“ British,White British,0,0,0,0,No Response,No Response,No Response,0,1,1,Never,In part time paid work,No Response,Not at all,Very good,Often,Often,Some of the time,All of the time,All of the time,All of the time,All of the time,Fairly strongly,Fairly strongly,Tend to agree,Very satisfied,"Yes, it improves wellbeing a little",Good,Agree,No Response,No Response,Good,Good,Good,No Response
City Host Survey - July 2021,10 - Extremely likely,"Yes, my confidence has increased",Strongly agree,Strongly agree,55-64,Male,Single (never married and never registered a same sex civil partnership),Heterosexual,No Response,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",No Response,White â€“ British,White British,2,0,0,0,No Response,No Response,No Response,1,1,1,Only sometimes,Retired,No Response,Not at all,Very good,All of the time,All of the time,Often,All of the time,All of the time,Often,All of the time,Fairly strongly,Very strongly,Tend to agree,Very satisfied,"Yes, it improves wellbeing a lot",Excellent,Agree,No Response,No Response,Good,Good,Excellent,No Response
City Host Survey - July 2021,7,"Yes, my confidence has increased",Agree,Not sure,45-54,Male,Single (never married and never registered a same sex civil partnership),Heterosexual,No Response,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",No Response,White â€“ British,White British,0,0,0,0,No Response,No Response,No Response,1,0,0,Only sometimes,In full time paid work,No Response,Not at all,Good,Some of the time,Often,Some of the time,Often,Some of the time,Often,Often,Not very strongly,Fairly strongly,Tend to agree,Neither satisfied nor dissatisfied,"Yes, it improves wellbeing a little",Good,Agree,No Response,No Response,Good,Good,Excellent,No Response
City Host Survey - July 2021,10 - Extremely likely,"Yes, my confidence has increased",Strongly agree,Agree,45-54,Female,Married,Heterosexual,No Response,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",No Response,White â€“ British,White British,No Response,0,0,0,No Response,No Response,No Response,3,0,0,Never,In full time paid work,No Response,Not at all,Good,Often,Often,Often,Often,Often,Some of the time,Often,Fairly strongly,Very strongly,Tend to agree,Fairly satisfied,"Yes, it improves wellbeing a lot",Good,Agree,No Response,No Response,Good,Good,Good,No Response
City Host Survey - July 2021,9,Not sure,Strongly agree,Agree,45-54,Female,Single (never married and never registered a same sex civil partnership),Heterosexual,No Response,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",No Response,White â€“ British,White British,0,0,0,0,No Response,No Response,No Response,1,0,0,"Quite often,",In full time paid work,No Response,Not at all,Good,Often,Often,Rarely,Often,Often,Rarely,Often,Not very strongly,Not very strongly,Tend to agree,Fairly satisfied,"Yes, it improves wellbeing a little",Excellent,Strongly agree,No Response,No Response,Good,Good,Good,Good
City Host Survey - July 2021,8,"No, my confidence has not increased",Agree,Not sure,45-54,Male,Married,Heterosexual,No Response,No religion,No Response,White â€“ British,White British,0,0,1,0,No Response,No Response,No Response,3,0,0,Prefer not to say,In full time paid work,No Response,Not at all,Good,Some of the time,Some of the time,Some of the time,Some of the time,Often,Often,Often,Not very strongly,Fairly strongly,Don't know,Very satisfied,"Yes, it improves wellbeing a lot",Excellent,Agree,No Response,No Response,Good,Good,Excellent,No Response
City Host Survey - July 2021,No Response,"No, my confidence has not increased",Agree,Disagree,65-74,Male,Married,Heterosexual,No Response,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",No Response,White â€“ British,White British,0,0,0,0,No Response,No Response,No Response,0,0,2,Never,Retired,No Response,Not at all,Very good,Some of the time,Some of the time,Often,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response
City Host Survey - July 2021,10 - Extremely likely,"Yes, my confidence has increased",Strongly agree,Strongly agree,55-64,Female,Married,Heterosexual,No Response,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",No Response,White â€“ British,White British,0,0,0,0,No Response,No Response,No Response,2,0,0,Never,Retired,No Response,Yes limited a little,Good,All of the time,All of the time,Often,Often,Often,All of the time,All of the time,Fairly strongly,Very strongly,Tend to agree,Fairly satisfied,"Yes, it improves wellbeing a lot",Not Sure,Agree,No Response,No Response,Good,Good,Good,No Response
City Host Survey - July 2021,8,"Yes, my confidence has increased",Agree,Agree,65-74,Female,Married,Heterosexual,No Response,Sikh,No Response,Asian or Asian British â€“ Indian,Asian or Asian British,0,No Response,No Response,No Response,No Response,No Response,No Response,1,1,No Response,Prefer not to say,Retired,No Response,Not at all,Very good,All of the time,All of the time,Often,All of the time,All of the time,All of the time,All of the time,Fairly strongly,Fairly strongly,Don't know,Fairly satisfied,"Yes, it improves wellbeing a little",Good,Agree,No Response,No Response,Good,Good,Good,No Response
City Host Survey - July 2021,8,"No, my confidence has not increased",Agree,Not sure,65-74,Female,Married,Heterosexual,No Response,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",No Response,White â€“ British,White British,2,0,No Response,0,No Response,No Response,No Response,0,0,2,Never,Retired,No Response,Not at all,Good,Some of the time,Some of the time,Often,Some of the time,Often,Some of the time,All of the time,Very strongly,Fairly strongly,Tend to agree,Very satisfied,"Yes, it improves wellbeing a little",Excellent,Agree,No Response,No Response,Good,Good,Not Sure,No Response
City Host Survey - July 2021,8,"Yes, my confidence has increased",Agree,Agree,45-54,Male,Married,Heterosexual,No Response,Sikh,No Response,Asian or Asian British â€“ Indian,Asian or Asian British,No Response,0,0,0,No Response,No Response,No Response,4,0,0,Only sometimes,In full time paid work,No Response,Not at all,Fair,Often,Often,All of the time,Often,Some of the time,All of the time,Often,Fairly strongly,Very strongly,Tend to disagree,Fairly satisfied,"Yes, it improves wellbeing a lot",Excellent,Strongly agree,No Response,No Response,Excellent,Good,Good,No Response
City Host Survey - July 2021,7,"Yes, my confidence has increased",Agree,Agree,55-64,Male,Married,Heterosexual,No Response,No religion,No Response,Asian or Asian British â€“ Indian,Asian or Asian British,No Response,No Response,No Response,No Response,No Response,No Response,No Response,2,No Response,No Response,Prefer not to say,Other (please specify),semi retired,No Response,Very good,All of the time,Often,Often,Often,Often,Often,All of the time,Fairly strongly,Very strongly,Don't know,Fairly satisfied,"Yes, it improves wellbeing a lot",Good,Agree,No Response,No Response,Good,Good,Good,No Response
City Host Survey - July 2021,10 - Extremely likely,"No, my confidence has not increased",Agree,Not sure,45-54,Female,Separated but still legally married,Heterosexual,No Response,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",No Response,White â€“ British,White British,0,0,1,1,No Response,No Response,No Response,0,0,0,Only sometimes,In full time paid work,No Response,Not at all,Very good,Often,Often,Some of the time,Some of the time,Often,Some of the time,All of the time,Fairly strongly,Very strongly,Tend to agree,Very satisfied,"Yes, it improves wellbeing a lot",Excellent,Agree,No Response,No Response,Excellent,Excellent,Excellent,Excellent
City Host Survey - July 2021,10 - Extremely likely,"Yes, my confidence has increased",Strongly agree,Agree,55-64,Female,Widowed,Heterosexual,No Response,No religion,No Response,White â€“ British,White British,0,0,0,0,No Response,No Response,No Response,1,0,0,Never,Retired,No Response,Not at all,Good,Often,Often,Often,Often,Often,Often,All of the time,Fairly strongly,Fairly strongly,Tend to agree,Very satisfied,"Yes, it improves wellbeing a lot",Good,Agree,No Response,No Response,Good,Good,Excellent,Good
City Host Survey - July 2021,10 - Extremely likely,"No, my confidence has not increased",Strongly agree,Not sure,65-74,Male,Married,Heterosexual,No Response,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",No Response,White â€“ British,White British,0,0,0,0,No Response,No Response,No Response,0,1,1,Never,Retired,No Response,Not at all,Very good,Some of the time,Often,Some of the time,Some of the time,Often,Often,All of the time,Very strongly,Very strongly,Definitely agree,Very satisfied,"Yes, it improves wellbeing a lot",Good,Agree,No Response,No Response,Good,Excellent,Good,No Response
City Host Survey - July 2021,5,"Yes, my confidence has increased",Agree,Disagree,45-54,Female,Prefer not to say,Prefer not to say,No Response,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",No Response,White â€“ British,White British,0,0,0,0,No Response,No Response,No Response,2,0,0,Only sometimes,In full time paid work,No Response,Yes limited a lot,Bad,Some of the time,Some of the time,Rarely,Often,Often,Rarely,Often,Not very strongly,Fairly strongly,Tend to agree,Fairly satisfied,"Yes, it improves wellbeing a little",Not Sure,Disagree,No Response,No Response,Good,Good,Excellent,No Response
City Host Survey - July 2021,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response
City Host Survey - July 2021,7,Not sure,Agree,Agree,55-64,Male,Single (never married and never registered a same sex civil partnership),Heterosexual,No Response,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",No Response,White â€“ British,White British,0,0,0,0,No Response,No Response,No Response,1,0,0,Only sometimes,Not registered unemployed but actively seeking work (i.e. have actively looked for work in the last 4 weeks),No Response,Not at all,Bad,Rarely,Often,Some of the time,Rarely,Some of the time,Some of the time,Some of the time,Fairly strongly,Very strongly,Tend to disagree,Fairly satisfied,"Yes, it improves wellbeing a little",Good,Agree,No Response,No Response,Good,Good,Good,No Response
City Host Survey - July 2021,5,"Yes, my confidence has increased",Agree,Not sure,55-64,Female,Single (never married and never registered a same sex civil partnership),Heterosexual,No Response,Other (please specify),Wiccan,White â€“ British,White British,No Response,0,0,0,No Response,No Response,No Response,1,0,0,Almost all the time,In part time paid work,No Response,Not at all,Good,Some of the time,Often,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Fairly strongly,Very strongly,Tend to disagree,Fairly satisfied,"Yes, it improves wellbeing a little",Not Sure,Not sure,No Response,No Response,Not Sure,Not Sure,Not Sure,Not Sure
City Host Survey - July 2021,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response
City Host Survey - July 2021,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response
City Host Survey - July 2021,No Response,"No, my confidence has not increased",Strongly agree,Disagree,65-74,Female,Married,Heterosexual,No Response,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",No Response,White â€“ British,White British,0,0,0,0,No Response,No Response,No Response,0,1,1,Prefer not to say,No Response,No Response,Not at all,Good,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,Very strongly,No Response,Very satisfied,"Yes, it improves wellbeing a little",Poor,Agree,No Response,No Response,Good,Good,No Response,No Response
City Host Survey - July 2021,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response
City Host Survey - July 2021,8,Not sure,Agree,Not sure,55-64,Female,Married,Prefer not to say,No Response,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",No Response,White â€“ British,White British,0,0,0,0,No Response,No Response,No Response,2,0,0,Prefer not to say,Retired,No Response,Not at all,Good,Often,Often,Often,Often,Often,Often,Often,Fairly strongly,Donâ€™t know,Tend to agree,Very satisfied,"Yes, it improves wellbeing a little",Excellent,Agree,No Response,No Response,Good,Good,Excellent,No Response
City Host Survey - July 2021,5,Not sure,Not sure,No Response,65-74,Male,Married,Heterosexual,No Response,No religion,No Response,White â€“ British,White British,2,No Response,0,0,No Response,No Response,No Response,0,2,2,Never,Retired,No Response,Not at all,Good,Often,Often,Often,Some of the time,Often,All of the time,All of the time,Fairly strongly,Fairly strongly,Tend to disagree,Neither satisfied nor dissatisfied,"Yes, it improves wellbeing a little",Not Sure,Disagree,No Response,No Response,Not Sure,Poor,Poor,Poor
City Host Survey - July 2021,6,"No, my confidence has not increased",Agree,Disagree,65-74,Female,Married,Prefer not to say,No Response,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",No Response,White â€“ British,White British,0,0,0,0,No Response,No Response,No Response,1,1,0,Prefer not to say,Self-employed,No Response,Not at all,Good,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Often,Fairly strongly,Very strongly,Don't know,Fairly dissatisfied,Not sure,Not Sure,Agree,No Response,No Response,Not Sure,Poor,Not Sure,No Response
City Host Survey - July 2021,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response
City Host Survey - July 2021,9,"Yes, my confidence has increased",Agree,Agree,35-44,Female,Single (never married and never registered a same sex civil partnership),Heterosexual,No Response,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",No Response,Any Other Ethnic Group,Any other ethnic group,1,1,0,0,No Response,No Response,No Response,4,0,0,Almost all the time,Doing unpaid/voluntary work,No Response,Yes limited a little,Good,Often,Often,Some of the time,Often,All of the time,Often,All of the time,Not very strongly,Fairly strongly,Don't know,Neither satisfied nor dissatisfied,"Yes, it improves wellbeing a lot",Excellent,Agree,No Response,No Response,Good,Good,Good,No Response
City Host Survey - July 2021,8,Not sure,Agree,Not sure,65-74,Female,Divorced,Heterosexual,No Response,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",No Response,White â€“ British,White British,0,0,0,0,No Response,No Response,No Response,0,No Response,1,Never,Retired,No Response,Not at all,Good,Often,Some of the time,Often,Often,Often,Some of the time,All of the time,Fairly strongly,Fairly strongly,Tend to agree,Fairly satisfied,"Yes, it improves wellbeing a little",Excellent,Agree,No Response,No Response,Good,Good,Excellent,No Response
City Host Survey - July 2021,10 - Extremely likely,"No, my confidence has not increased",Agree,Disagree,55-64,Female,Married,Heterosexual,No Response,No religion,No Response,Black or Black British â€“ Caribbean,"Black, African, Caribbean, or Black British",0,0,0,0,No Response,No Response,No Response,2,0,0,Never,Retired,No Response,Not at all,Good,Some of the time,Often,All of the time,Often,All of the time,Some of the time,Often,Not very strongly,Not very strongly,Tend to disagree,Neither satisfied nor dissatisfied,"Yes, it improves wellbeing a little",Good,Agree,No Response,No Response,Good,Good,Good,No Response
City Host Survey - July 2021,10 - Extremely likely,"No, my confidence has not increased",Agree,Disagree,55-64,Female,Divorced,Heterosexual,No Response,No religion,No Response,White â€“ British,White British,1,0,0,0,No Response,No Response,No Response,1,0,0,"Quite often,",Long-term sick or disabled,No Response,Yes limited a lot,Good,Rarely,Some of the time,Rarely,Some of the time,Some of the time,Rarely,Some of the time,Fairly strongly,Not very strongly,Tend to agree,Very dissatisfied,Not sure,Excellent,Strongly agree,No Response,No Response,Excellent,Excellent,Excellent,No Response
