Event,Programme,Venue,Venue Postcode,Commercial or Non-Commercial?,Co-Created,"Free Event, or Paid Event",Streamed on Social Media or Broadcast,Box Office,First Performance,No. of Performances
Summer of Surprises: Music In Pubs (The Stag and Pheasant),Summer of Surprises,The Stag and Pheasant,CV10 0SL,Non-Commercial,Not Co-Created,Free Event,N/A,Unticketed,29/05/2021,1
Summer of Surprises: Music In Pubs (The Yard),Summer of Surprises,The Yard,CV1 1LH,Non-Commercial,Not Co-Created,Free Event,N/A,Unticketed,29/05/2021,1
Poet Laureate Workshop Liz Berry,BBC Contains Strong Language,Online,Online,Non-Commercial,Co-Created,Free Event,Online Zoom Session,The Ticket Factory,29/05/2021,1
Summer of Surprises: Music In Pubs (New Spires),Summer of Surprises,New Spires,CV5 8HJ,Non-Commercial,Not Co-Created,Free Event,N/A,Unticketed,30/05/2021,1
Summer of Surprises: Music In Pubs (Open Arms),Summer of Surprises,Open Arms,CV3 5DP,Non-Commercial,Not Co-Created,Free Event,N/A,Unticketed,30/05/2021,1
Summer of Surprises: Music In Pubs (The Engine),Summer of Surprises,The Engine,CV8 2HP,Non-Commercial,Not Co-Created,Free Event,N/A,Unticketed,30/05/2021,1
Summer of Surprises: Music In Pubs (The Jag),Summer of Surprises,The Jag,CV5 9PS,Non-Commercial,Not Co-Created,Free Event,N/A,Unticketed,30/05/2021,1
Summer of Surprises: Music In Pubs (The Tin Music and Arts),Summer of Surprises,The Tin Music and Arts,CV1 4LY,Non-Commercial,Not Co-Created,Free Event,N/A,Unticketed,30/05/2021,1
Summer of Surprises: Music In Pubs (The Vale),Summer of Surprises,The Vale,CV5 7NZ,Non-Commercial,Not Co-Created,Free Event,N/A,Unticketed,30/05/2021,1
Small Bells Ring Residency,Green Futures,Coventry Canal Basin,CV1 4LY,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,30/05/2021,Residency
Summer of Surprises: Music In Pubs (Biggin Hall),Summer of Surprises,Biggin Hall,CV3 1HG,Non-Commercial,Not Co-Created,Free Event,N/A,Unticketed,31/05/2021,1
Summer of Surprises: Music In Pubs (The Burnt Post),Summer of Surprises,The Burnt Post,CV3 6AW,Non-Commercial,Not Co-Created,Free Event,N/A,Unticketed,31/05/2021,1
Summer of Surprises: Music In Pubs (The Hearsall Inn),Summer of Surprises,The Hearsall Inn,CV5 8DS,Non-Commercial,Not Co-Created,Free Event,N/A,Unticketed,31/05/2021,1
Summer of Surprises: Music In Pubs (The Newlands),Summer of Surprises,The Newlands,CV4 9DJ,Non-Commercial,Not Co-Created,Free Event,N/A,Unticketed,31/05/2021,1
Summer of Surprises: Music In Pubs (Twisted Barrel),Summer of Surprises,Twisted Barrel,CV1 5ED,Non-Commercial,Not Co-Created,Free Event,N/A,Unticketed,31/05/2021,1
Like Theres No Tomorrow,Belgrade Theatre Programme,Online,Online,Non-Commercial,Co-Created,Free Event,Streamed,Belgrade Theatre,05/06/2021,1
Coventry Moves,City of Culture Main Programme,Online,Online,Non-Commercial,Co-Created,Free Event,Streamed,Unticketed,05/06/2021,1
Coventry Moves Together,City of Culture Main Programme,Online,Online,Non-Commercial,Co-Created,Free Event,Streamed,Unticketed,05/06/2021,1
Local Sector Event,City of Culture Main Programme,Online,Online,Non-Commercial,Co-Created,Free Event,Online Zoom Session,The Ticket Factory,11/06/2021,1
Poet Laureate Workshop Roy McFarlane,BBC Contains Strong Language,Online,Online,Non-Commercial,Co-Created,Free Event,Online Zoom Session,The Ticket Factory,12/06/2021,1
Coventry Welcomes: Cooking with Mona,Caring City,Online,Online,Non-Commercial,Co-Created,Free Event,Online Zoom Session,The Ticket Factory,14/06/2021,1
Coventry Welcomes: No Direction Home,Caring City,The Box at FarGo Village,CV1 5ED,Non-Commercial,Co-Created,Paid Event,N/A,The Ticket Factory,14/06/2021,1
Coventry Welcomes: Still We Rise Podcast 11,Caring City,Herbert Art Gallery & Museum,CV1 5QP,Non-Commercial,Co-Created,Paid Event,N/A,The Ticket Factory,15/06/2021,1
Coventry Welcomes: What is Hate Crime,Caring City,Online,Online,Non-Commercial,Co-Created,Free Event,Online Zoom Session,The Ticket Factory,15/06/2021,1
Coventry Welcomes: Everyones Coventry,Caring City,Online,Online,Non-Commercial,Co-Created,Free Event,Online Zoom Session,The Ticket Factory,16/06/2021,1
Coventry Welcomes: Nanjing - In Person,Caring City,Coventry Cathedral,CV1 5AB,Non-Commercial,Co-Created,Free Event,N/A,The Ticket Factory,16/06/2021,1
Coventry Welcomes: Nanjing - Online,Caring City,Online,Online,Non-Commercial,Co-Created,Free Event,Online Zoom Session,The Ticket Factory,16/06/2021,1
Coventry Welcomes: Putting the Flags Out,Caring City,Online,Online,Non-Commercial,Co-Created,Free Event,Online Zoom Session,The Ticket Factory,16/06/2021,1
Coventry Welcomes: Spotting the Signs of Youth Exploitation,Caring City,Online,Online,Non-Commercial,Co-Created,Free Event,Online Zoom Session,The Ticket Factory,16/06/2021,1
Summer of Surprises: Pop Up Performances (Daventry Road),Summer of Surprises,Daventry Road,CV3 5HN,Non-Commercial,Not Co-Created,Free Event,N/A,Unticketed,17/06/2021,1
Summer of Surprises: Pop Up Performances (Broadgate),Summer of Surprises,Broadgate,CV1 1FS,Non-Commercial,Not Co-Created,Free Event,N/A,Unticketed,17/06/2021,1
Summer of Surprises: Pop Up Performances (Walsgrave Road),Summer of Surprises,Walsgrave Road,CV2 4BE,Non-Commercial,Not Co-Created,Free Event,N/A,Unticketed,17/06/2021,1
Coventry Welcomes: Blackout Poetry,Caring City,Online,Online,Non-Commercial,Co-Created,Free Event,Online Zoom Session,The Ticket Factory,17/06/2021,1
Coventry Welcomes: Health Champions,Caring City,Online,Online,Non-Commercial,Co-Created,Free Event,Online Zoom Session,The Ticket Factory,17/06/2021,1
Coventry Welcomes: ReMaking Home,Caring City,Online,Online,Non-Commercial,Co-Created,Free Event,Online Zoom Session,The Ticket Factory,17/06/2021,1
Coventry Welcomes: Still We Rise Podcast 12,Caring City,Herbert Art Gallery & Museum,CV1 5QP,Non-Commercial,Co-Created,Paid Event,N/A,The Ticket Factory,17/06/2021,1
Summer of Surprises: Pop Up Performances (Foleshill Road),Summer of Surprises,Foleshill Road,CV6 6ER,Non-Commercial,Not Co-Created,Free Event,N/A,Unticketed,18/06/2021,1
Summer of Surprises: Pop Up Performances (Broadgate),Summer of Surprises,Broadgate,CV1 1FS,Non-Commercial,Not Co-Created,Free Event,N/A,Unticketed,18/06/2021,1
Summer of Surprises: Pop Up Performances (Cannon Shopping Park),Summer of Surprises,Cannon Shopping Park,CV4 7EH,Non-Commercial,Not Co-Created,Free Event,N/A,Unticketed,18/06/2021,1
Summer of Surprises: Pop Up Performances (Roselands Avenue),Summer of Surprises,Roselands Avenue,CV2 1DU,Non-Commercial,Not Co-Created,Free Event,N/A,Unticketed,18/06/2021,1
Coventry Welcomes: Coventry as Global,Caring City,Panel Talk,Online,Non-Commercial,Co-Created,Free Event,Online Zoom Session,The Ticket Factory,18/06/2021,1
Coventry Welcomes: Home Is,Caring City,Online,Online,Non-Commercial,Co-Created,Free Event,Online Zoom Session,The Ticket Factory,18/06/2021,1
Coventry Welcomes: Inini Zine,Caring City,Herbert Art Gallery & Museum,CV1 5QP,Non-Commercial,Co-Created,Paid Event,N/A,The Ticket Factory,18/06/2021,1
Summer of Surprises: Pop Up Performances (Daventry Road),Summer of Surprises,Daventry Road,CV3 5HN,Non-Commercial,Not Co-Created,Free Event,N/A,Unticketed,19/06/2021,1
Summer of Surprises: Pop Up Performances (Earlsdon Street),Summer of Surprises,Earlsdon Street,CV5 6EJ,Non-Commercial,Not Co-Created,Free Event,N/A,Unticketed,19/06/2021,1
Summer of Surprises: Pop Up Performances (Foleshill Road),Summer of Surprises,Foleshill Road,CV6 6ER,Non-Commercial,Not Co-Created,Free Event,N/A,Unticketed,19/06/2021,1
Summer of Surprises: Pop Up Performances (Broadgate),Summer of Surprises,Broadgate,CV1 1FS,Non-Commercial,Not Co-Created,Free Event,N/A,Unticketed,19/06/2021,1
Summer of Surprises: Pop Up Performances (Moseley Avenue),Summer of Surprises,Moseley Avenue,CV6 1HS,Non-Commercial,Not Co-Created,Free Event,N/A,Unticketed,19/06/2021,1
Summer of Surprises: Pop Up Performances (Roselands Avenue),Summer of Surprises,Roselands Avenue,CV2 1DU,Non-Commercial,Not Co-Created,Free Event,N/A,Unticketed,19/06/2021,1
Coventry Welcomes: Bundle,Caring City,"St Peter's Centre, Coventry",CV1 5NP,Non-Commercial,Co-Created,Free Event,N/A,The Ticket Factory,19/06/2021,1
Observations on Being Preview,Green Futures,London Road Cemetery,CV1 2JT,Non-Commercial,Not Co-Created,Free Event,N/A,The Ticket Factory,19/06/2021,Multiple
Coventry Welcomes: Can You Hear Me,Caring City,Swanswell Park,CV1 4FF,Non-Commercial,Co-Created,Paid Event,N/A,The Ticket Factory,20/06/2021,1
Coventry Welcomes: I Am Kalam,Caring City,Cheylesmore Community Centre,CV3 5JX,Non-Commercial,Co-Created,Free Event,N/A,The Ticket Factory,20/06/2021,1
Coventry Welcomes: She Cannot Walk Alone,Caring City,Online,Online,Non-Commercial,Co-Created,Paid Event,Online Zoom Session,The Ticket Factory,20/06/2021,1
Heart of England Surgeries,Love Coventry,Online,Online,Non-Commercial,Co-Created,Free Event,Online Zoom Session,The Ticket Factory,21/06/2021,1
Coventry Welcomes: We Are Searching For Life,Caring City,Panel Talk,Online,Non-Commercial,Co-Created,Free Event,Online Zoom Session,The Ticket Factory,21/06/2021,1
Coventry Welcomes: Building Community Resilience,Caring City,Panel Talk,Online,Non-Commercial,Co-Created,Free Event,Online Zoom Session,The Ticket Factory,22/06/2021,1
Observations on Being,Green Futures,London Road Cemetery,CV1 2JT,Non-Commercial,Not Co-Created,Paid Event,N/A,The Ticket Factory,22/06/2021,Multiple
Radford Bubbles,Love Coventry,"Jubilee Crescent Community Centre, Coventry",CV6 5EX,Non-Commercial,Co-Created,Free Event,N/A,The Ticket Factory,24/06/2021,6
Coventry Welcomes: Conversation Cafe,Caring City,Online,Online,Non-Commercial,Co-Created,Free Event,Online Zoom Session,The Ticket Factory,25/06/2021,1
Coventry Welcomes: Linguistic Landscape,Caring City,Panel Talk,Online,Non-Commercial,Co-Created,Free Event,Online Zoom Session,The Ticket Factory,25/06/2021,1
Midsummer Fire Gardens,Summer of Surprises,Caludon Castle Park,CV2 5EH,Non-Commercial,Not Co-Created,Free Event,N/A,The Ticket Factory,25/06/2021,2
Coventry Welcomes: No Direction Home Coventry Showcase,Caring City,The Tin Music and Arts,CV1 4LY,Non-Commercial,Co-Created,Paid Event,N/A,The Ticket Factory,25/06/2021,1
Coventry Welcomes: No Direction Home Online,Caring City,Online,Online,Non-Commercial,Co-Created,Paid Event,Online Zoom Session,The Ticket Factory,25/06/2021,1
Coventry Welcomes: We Are Warriors,Caring City,Coventry University,CV1 5FB,Non-Commercial,Co-Created,Free Event,N/A,The Ticket Factory,25/06/2021,1
Passports of Kindness,Love Coventry,In School,VARIOUS,Non-Commercial,Co-Created,Free Event,N/A,The Ticket Factory,28/06/2021,-
Cardboard Camps Workshops,Caring City,Belgrade Theatre,CV1 1GS,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,28/06/2021,-
Choir of Man ,Commercial Programme - Assembly Festival Garden 2021,Assembly Festival Garden,CV1 2UR,Commercial,Not Co-Created,Paid Event,N/A,Assembly,01/07/2021,71
Access Coventry Panel Discussion,City of Culture Supported Programme,Online,Online,Non-Commercial,Co-Created,Free Event,Online Zoom Session,The Ticket Factory,02/07/2021,1
Circolombia ,Commercial Programme - Assembly Festival Garden 2021,Assembly Festival Garden,CV1 2UR,Commercial,Not Co-Created,Paid Event,N/A,Assembly,02/07/2021,74
Flock Together,Green Futures,"Charter House Field, Coventry",CV1 2JR,Non-Commercial,Co-Created,Free Event,N/A,The Ticket Factory,03/07/2021,2
Comedy Club 4 Kids ,Commercial Programme - Assembly Festival Garden 2021,Assembly Festival Garden,CV1 2UR,Commercial,Not Co-Created,Paid Event,N/A,Assembly,03/07/2021,4
We Come Far,Caring City,Canley Ford,CV5 6BY,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,04/07/2021,Multiple
The Mighty Kids Beatbox Comedy Show,Commercial Programme - Assembly Festival Garden 2021,Assembly Festival Garden,CV1 2UR,Commercial,Not Co-Created,Paid Event,N/A,Assembly,04/07/2021,2
Sara Barron (Work in Progress),Commercial Programme - Assembly Festival Garden 2021,Assembly Festival Garden,CV1 2UR,Commercial,Not Co-Created,Paid Event,N/A,Assembly,04/07/2021,1
Access Coventry Housebound Audiences,City of Culture Supported Programme,Online,Online,Non-Commercial,Co-Created,Free Event,Online Zoom Session,The Ticket Factory,09/07/2021,1
Psychology and the City,Caring City,Online,Online,Non-Commercial,Co-Created,Free Event,Online Zoom Session,The Ticket Factory,09/07/2021,1
Roam and Dwell 2021,Green Futures,Coventry Canal Basin,CV1 4LY,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,09/07/2021,9
Big Tent Ideas Festival 2021,Commercial Programme - Assembly Festival Garden 2021,Assembly Festival Garden,CV1 2UR,Commercial,Not Co-Created,Paid Event,N/A,Assembly,10/07/2021,1
England vs Italy | UEFA Final,Commercial Programme - Assembly Festival Garden 2021,Assembly Festival Garden,CV1 2UR,Commercial,Not Co-Created,Paid Event,N/A,Assembly,11/07/2021,1
Joanne McNally (Work in Progress),Commercial Programme - Assembly Festival Garden 2021,Assembly Festival Garden,CV1 2UR,Commercial,Not Co-Created,Paid Event,N/A,Assembly,14/07/2021,1
DINOSAUR WORLD LIVE,Commercial Programme - Assembly Festival Garden 2021,Assembly Festival Garden,CV1 2UR,Commercial,Not Co-Created,Paid Event,N/A,Assembly,15/07/2021,26
Olga Koch: Homecoming (Work in Progress),Commercial Programme - Assembly Festival Garden 2021,Assembly Festival Garden,CV1 2UR,Commercial,Not Co-Created,Paid Event,N/A,Assembly,15/07/2021,1
Access Cov Audiences Learning Difficulties,City of Culture Supported Programme,Online,Online,Non-Commercial,Co-Created,Free Event,Online Zoom Session,The Ticket Factory,16/07/2021,1
Caelum et Terram,Summer of Surprises,Compton Verney,CV35 9HZ,Non-Commercial,Not Co-Created,Paid Event,N/A,The Ticket Factory,16/07/2021,2
The Importance of Being Earnest,Commercial Programme - Assembly Festival Garden 2021,Assembly Festival Garden,CV1 2UR,Commercial,Not Co-Created,Paid Event,N/A,Assembly,16/07/2021,1
Police Cops: Badass Be Thy Name,Commercial Programme - Assembly Festival Garden 2021,Assembly Festival Garden,CV1 2UR,Commercial,Not Co-Created,Paid Event,N/A,Assembly,16/07/2021,2
Pride Classically Queer,Summer of Surprises,Coventry Cathedral,CV1 5AB,Non-Commercial,N/A,Paid Event,N/A,The Ticket Factory,17/07/2021,2
Triple Threat Comedy Night,Commercial Programme - Assembly Festival Garden 2021,Assembly Festival Garden,CV1 2UR,Commercial,Not Co-Created,Paid Event,N/A,Assembly,18/07/2021,1
Neville Staple - From the Specials,Commercial Programme - Assembly Festival Garden 2021,Assembly Festival Garden,CV1 2UR,Commercial,Not Co-Created,Paid Event,N/A,Assembly,18/07/2021,1
Access Cov Deaf Hard Of Hearing Audiences,City of Culture Supported Programme,Online,Online,Non-Commercial,Co-Created,Free Event,Online Zoom Session,The Ticket Factory,23/07/2021,1
Cardboard Camps,Caring City,Belgrade Theatre,CV1 1GS,Non-Commercial,Co-Created,Free Event,N/A,Belgrade Theatre,23/07/2021,1
2Tone Women Pioneers,City of Culture Supported Programme,Coventry Cathedral,CV1 5AB,Non-Commercial,Co-Created,Free Event,N/A,The Ticket Factory,24/07/2021,1
Creative Europe,City of Culture Main Programme,Coventry Canal Basin,CV1 4LY,Non-Commercial,Co-Created,Free Event,N/A,The Ticket Factory,24/07/2021,1
Elliot Steel,Commercial Programme - Assembly Festival Garden 2021,Assembly Festival Garden,CV1 2UR,Commercial,Not Co-Created,Paid Event,N/A,Assembly,24/07/2021,1
Bands In The Park (Naul's Mill Park),Green Futures,Naul's Mill Park,CV1 4AR,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,25/07/2021,1
Roundabout - Really Big and Really Loud,Belgrade Theatre Programme,Moat House Leisure & Neighbourhood Centre,CV2 1EA,Non-Commercial,Not Co-Created,Paid Event,N/A,Belgrade Theatre,27/07/2021,8
Card Ninja,Commercial Programme - Assembly Festival Garden 2021,Assembly Festival Garden,CV1 2UR,Commercial,Not Co-Created,Paid Event,N/A,Assembly,27/07/2021,2
Jester Styles ,Commercial Programme - Assembly Festival Garden 2021,Assembly Festival Garden,CV1 2UR,Commercial,Not Co-Created,Paid Event,N/A,Assembly,27/07/2021,9
MARVELus: All the Marvel Movies...Kind Of...,Commercial Programme - Assembly Festival Garden 2021,Assembly Festival Garden,CV1 2UR,Commercial,Not Co-Created,Paid Event,N/A,Assembly,27/07/2021,2
Roundabout - Black Love,Belgrade Theatre Programme,Moat House Leisure & Neighbourhood Centre,CV2 1EA,Non-Commercial,Co-Created,Paid Event,N/A,Belgrade Theatre,28/07/2021,6
Allesley Silas,City of Culture Supported Programme,St Johns Church of England Academy,CV5 9HZ,Non-Commercial,Co-Created,Paid Event,N/A,The Ticket Factory,28/07/2021,4
Made in the Midlands with Ken Loach,City of Culture Main Programme,Coventry Cathedral,CV1 5AB,Non-Commercial,Not Co-Created,Paid Event,Podcast Available,The Ticket Factory,28/07/2021,1
Roundabout - May Queen,Belgrade Theatre Programme,Moat House Leisure & Neighbourhood Centre,CV2 1EA,Non-Commercial,Not Co-Created,Paid Event,N/A,Belgrade Theatre,29/07/2021,6
Home Sessions Roni Size,Commercial Programme - Home Sessions,Coventry Cathedral,CV1 5AB,Commercial,Not Co-Created,Paid Event,N/A,The Ticket Factory,29/07/2021,1
Small Bells Ring Library Walks,Green Futures,Foleshill Library,CV6 5BG,Non-Commercial,Co-Created,Free Event,N/A,The Ticket Factory,29/07/2021,3
Me and My Doll,Commercial Programme - Assembly Festival Garden 2021,Assembly Festival Garden,CV1 2UR,Commercial,Not Co-Created,Paid Event,N/A,Assembly,29/07/2021,2
Roundabout - Hungry,Belgrade Theatre Programme,Moat House Leisure & Neighbourhood Centre,CV2 1EA,Non-Commercial,Co-Created,Paid Event,N/A,Belgrade Theatre,30/07/2021,5
Access Cov Lower Economic Backgrounds,City of Culture Supported Programme,Online,Online,Non-Commercial,Co-Created,Free Event,Online Zoom Session,The Ticket Factory,30/07/2021,1
Home Sessions Lightning Seeds,Commercial Programme - Home Sessions,Coventry Cathedral,CV1 5AB,Commercial,Not Co-Created,Paid Event,N/A,The Ticket Factory,30/07/2021,1
Home Sessions Midnight Ruins James Lavelle,Commercial Programme - Home Sessions,Coventry Cathedral,CV1 5AB,Commercial,Not Co-Created,Paid Event,N/A,The Ticket Factory,30/07/2021,1
Christopher Macarthur Boyd,Commercial Programme - Assembly Festival Garden 2021,Assembly Festival Garden,CV1 2UR,Commercial,Not Co-Created,Paid Event,N/A,Assembly,30/07/2021,1
Emerging From Lockdown,City of Culture Supported Programme,Herbert Art Gallery & Museum,CV1 5QP,Non-Commercial,Co-Created,Free Event,N/A,The Ticket Factory,31/07/2021,1
Generate Festival,Love Coventry,Blue Coat School,CV1 2BA,Non-Commercial,Co-Created,Free Event,N/A,The Ticket Factory,31/07/2021,10
Home Sessions Alabama 3,Commercial Programme - Home Sessions,Coventry Cathedral,CV1 5AB,Commercial,Not Co-Created,Paid Event,N/A,The Ticket Factory,31/07/2021,1
Home Sessions Evening with Terry Hall,Commercial Programme - Home Sessions,Coventry Cathedral,CV1 5AB,Commercial,Not Co-Created,Paid Event,N/A,The Ticket Factory,31/07/2021,1
Home Sessions Festival Pass,Commercial Programme - Home Sessions,Coventry Cathedral,CV1 5AB,Commercial,Not Co-Created,Paid Event,N/A,The Ticket Factory,31/07/2021,Multiple
Home Sessions John Grant,Commercial Programme - Home Sessions,Coventry Cathedral,CV1 5AB,Commercial,Not Co-Created,Paid Event,N/A,The Ticket Factory,31/07/2021,1
Home Sessions Morning Gloryville,Commercial Programme - Home Sessions,Coventry Cathedral,CV1 5AB,Commercial,Not Co-Created,Paid Event,N/A,The Ticket Factory,31/07/2021,1
Home Sessions Peter Doherty,Commercial Programme - Home Sessions,Coventry Cathedral,CV1 5AB,Commercial,Not Co-Created,Paid Event,N/A,The Ticket Factory,31/07/2021,1
Home Sessions Riding the Low,Commercial Programme - Home Sessions,Coventry Cathedral,CV1 5AB,Commercial,Not Co-Created,Paid Event,N/A,The Ticket Factory,31/07/2021,1
Home Sessions The Pop Group,Commercial Programme - Home Sessions,HMV Empire,CV1 1LF,Commercial,Not Co-Created,Paid Event,N/A,The Ticket Factory,31/07/2021,1
Small Bells Ring: Saturday Salon Family Session,Green Futures,Coventry Canal Basin,CV1 4LY,Non-Commercial,Co-Created,Free Event,N/A,The Ticket Factory,31/07/2021,5
Frankie Foxstone a.k.a The Profit: Walking Tour ,Commercial Programme - Assembly Festival Garden 2021,Assembly Festival Garden,CV1 2UR,Commercial,Not Co-Created,Paid Event,N/A,Assembly,31/07/2021,6
Captain Breadbeard,Commercial Programme - Assembly Festival Garden 2021,Assembly Festival Garden,CV1 2UR,Commercial,Not Co-Created,Paid Event,N/A,Assembly,31/07/2021,2
Bands In The Park (Longford Park),Green Futures,Longford Park,CV6 6DW,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,01/08/2021,1
Home Sessions Bill Drummond,Commercial Programme - Home Sessions,Coventry Cathedral,CV1 5AB,Commercial,Not Co-Created,Paid Event,N/A,The Ticket Factory,01/08/2021,1
Home Sessions Blues,Commercial Programme - Home Sessions,Coventry Cathedral,CV1 5AB,Commercial,Not Co-Created,Paid Event,N/A,The Ticket Factory,01/08/2021,1
Home Sessions Death Disco,Commercial Programme - Home Sessions,Coventry Cathedral,CV1 5AB,Commercial,Not Co-Created,Paid Event,N/A,The Ticket Factory,01/08/2021,1
Home Sessions The Libertines,Commercial Programme - Home Sessions,Coventry Cathedral,CV1 5AB,Commercial,Not Co-Created,Paid Event,N/A,The Ticket Factory,01/08/2021,1
Home Sessions Tim Burgess,Commercial Programme - Home Sessions,Coventry Cathedral,CV1 5AB,Commercial,Not Co-Created,Paid Event,N/A,The Ticket Factory,01/08/2021,1
Home Sessions Tim Burgess Party,Commercial Programme - Home Sessions,HMV Empire,CV1 1LF,Commercial,Not Co-Created,Paid Event,N/A,The Ticket Factory,01/08/2021,1
Small Bells Ring: Sunday Saloon Boat Trip,Green Futures,Coventry Canal Basin,CV1 4LY,Non-Commercial,Co-Created,Free Event,N/A,The Ticket Factory,01/08/2021,2
"Midnight Skyracer, with special guest Ellie Gowers",Commercial Programme - Assembly Festival Garden 2021,Assembly Festival Garden,CV1 2UR,Commercial,Not Co-Created,Paid Event,N/A,Assembly,02/08/2021,1
AlgoRHYTHM,Commercial Programme - Assembly Festival Garden 2021,Assembly Festival Garden,CV1 2UR,Commercial,Not Co-Created,Paid Event,N/A,Assembly,03/08/2021,7
Tez Ilyas: Life is a Tezt,Commercial Programme - Assembly Festival Garden 2021,Assembly Festival Garden,CV1 2UR,Commercial,Not Co-Created,Paid Event,N/A,Assembly,03/08/2021,3
Nish Kumar (Work in Progress) ,Commercial Programme - Assembly Festival Garden 2021,Assembly Festival Garden,CV1 2UR,Commercial,Not Co-Created,Paid Event,N/A,Assembly,04/08/2021,1
My Father the Tantric Masseur ,Commercial Programme - Assembly Festival Garden 2021,Assembly Festival Garden,CV1 2UR,Commercial,Not Co-Created,Paid Event,N/A,Assembly,05/08/2021,4
BBC CSL:  Sound Poetry Workshop,BBC Contains Strong Language,Charterhouse Car Park,CV1 2JR,Non-Commercial,Co-Created,Free Event,N/A,The Ticket Factory,06/08/2021,1
Rock ‘n’ Docs 1 (Our Hobby is Depeche Mode),CineCov,The Tin Music and Arts,CV1 4LY,Non-Commercial,Not Co-Created,Free Event,N/A,The Ticket Factory,06/08/2021,1
Frisky & Mannish: Poplab,Commercial Programme - Assembly Festival Garden 2021,Assembly Festival Garden,CV1 2UR,Commercial,Not Co-Created,Paid Event,N/A,Assembly,06/08/2021,2
Emerging From Lockdown,City of Culture Supported Programme,Coventry Caribbean Association,CV1 3BB,Non-Commercial,Co-Created,Free Event,N/A,The Ticket Factory,07/08/2021,1
CineCov presentes Open Air Screening The Italian Job,CineCov,Coventry Cathedral,CV1 5AB,Non-Commercial,Not Co-Created,Paid Event,N/A,The Ticket Factory,07/08/2021,1
Party on the Green Tile Hill,City of Culture Main Programme,Jardine Crescent,CV4 9PL,Non-Commercial,Co-Created,Free Event,N/A,The Ticket Factory,07/08/2021,1
The Sound of Cov: Live,Love Coventry,Assembly Festival Garden,CV1 2UR,Non-Commercial,Co-Created,Free Event,N/A,Assembly,07/08/2021,1
Prep For Pride - Creative Drop In,Commercial Programme - Assembly Festival Garden 2021,Assembly Festival Garden,CV1 2UR,Commercial,Not Co-Created,Free Event,N/A,Assembly,07/08/2021,1
2Tone Against Racism,City of Culture Supported Programme,Coventry Cathedral,CV1 5AB,Non-Commercial,Not Co-Created,Free Event,N/A,The Ticket Factory,08/08/2021,1
