IOBS,RESPID,QA,QB,Q1,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q3_1,Q3_2,Q3_3,Q3_4,Q4,Q4DKA,Q4_RCA,Q4_RCB,Q4_RCC,Q4_RCD,Q4_RCE,Q4_RCF,Q4_RCG,Q4_RCH,Q4_RCI,Q4_RCJ,Q4_RCK,Q4_RCL,Q4_RCM,Q4_RCN,Q4_RCO,Q4_RCP,Q4_RCQ,Q4_RCR,Q4_RCS,Q4_RCT,Q5,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q7A,Q7B,Q7C,Q7D,Q7E,Q7F,Q7G,Q7H,Q7I,Q8,Q9A,Q9B,Q9C,Q9D,Q9E,Q9F,Q9G,Q9H,Q10A,Q10B,Q10C,Q10D,Q10E,Q10F,Q10G,Q10H,Q11,Q11A,Q12,Q12DKA,Q13_1,Q13_2,Q13_3,Q13_4,Q13_5,Q14_1,Q14_2,Q14_3,Q14_4,Q14_5,Q14_6,Q15,Q15B,Q16,Q17,Q17DKA,Q18,Q18REFA,Q19,Q20,Q21,Q22,STYPE,WARD,AREA,TYPE,ACORN,WEIGHT
11,11,20-34,Female,Yes,Yes,No,No,No,No,Agree,Agree,Strongly agree,Disagree,Not sure,,,,,,,,,,,,,,,,,,,,,Don't know,Strongly agree,Disagree,Not sure,Not sure,Agree,Agree,,,,,,Cinema,,,,3-4,,,,,,,,,,,,,,,,None of these / Would not attend,Not very likely,,Not very nice,,Not at all,Not really,Somewhat,Somewhat,Not really,Fairly important,Fairly important,Fairly important,Fairly important,Fairly important,Fairly important,Fairly important,Not very important,Disagree,,,CV2 2AL,,No,White – British,Heterosexual/Straight,Yes,Lifestyle,Binley and Willenhall,South East,CATI,3 - Comfortable Communities,0.9480587
12,12,35-49,Male,Yes,Yes,No,No,Not sure,No,Disagree,Disagree,Disagree,Agree,similar events to come to the city,,,,,,,,,,,,,Events/facilities e.g. more/better/continue,,,,,,,,,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Museums and galleries,"Pubs, clubs, and bars",Live events,Live music,Theatre,Cinema,,,,9-10,,,,,,,,,Events that are based on my interests,Events that involve family and friends,Events which are free,Events across different times of the day in different places in the city,Events which are low cost,Offers for exclusive deals with partners such as restaurants and bars,Opportunity to earn loyalty points to unlock exclusive experiences and opportunities,,Fairly likely,Another reason,,Don't know,Somewhat,Somewhat,Somewhat,Definitely,Definitely,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Not sure,,,,Prefer not to say,No,White – British,Heterosexual/Straight,No,Lifestyle,Lower Stoke,South East,CATI,Prefer not to say / Unable to code,0.9535254
13,13,50-64,Female,Yes,Yes,Yes,Yes,Yes,Yes,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,I would like to see more culture and arts continuing in Coventry with a wide diversity of demographics and a high level of local creativity being used.,,,Arts/theatre/music/cultural events,,,,,,,,,,,,,,,,,,,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Museums and galleries,"Pubs, clubs, and bars",Live events,Live music,Theatre,Cinema,"Activities organised by arts-based community groups (e.g. dance, music, arts, etc.)",Faith-based cultural activities,,11+,,,,,,,,,Events that are based on my interests,Events that involve family and friends,,,Events which are low cost,,Opportunity to earn loyalty points to unlock exclusive experiences and opportunities,,Fairly likely,To see a show or event that I know will appeal to my friend or family member,"Friendly, international, city of welcomes.",,Definitely,Definitely,Somewhat,Definitely,Definitely,Very important,Fairly important,Fairly important,Very important,Don't know / Not sure,Very important,Very important,Very important,Strongly agree,"There's a mural on the police station, the shop windows were temporary, there's a mural on the Belgrave, the shop windows were really good. Some of the stuff that happened in Broadgate with the ribbons with writing on them.",,CV59GE,,No,White – British,Heterosexual/Straight,No,RDD,Bablake,North West,CATI,4 - Financially Stretched,1.2132465
14,14,20-34,Female,No,No,No,No,Yes,No,Agree,Agree,Agree,Agree,,Don't know,,,,,,,,,,,,,,,,,,,,Don't know,Agree,Agree,Agree,Agree,Agree,Agree,,"Pubs, clubs, and bars",,,Theatre,Cinema,,,,5-6,,,,,,,,,Events that are based on my interests,Events that involve family and friends,Events which are free,Events across different times of the day in different places in the city,Events which are low cost,Offers for exclusive deals with partners such as restaurants and bars,Opportunity to earn loyalty points to unlock exclusive experiences and opportunities,,Extremely likely,To see a show or event that I know will appeal to my friend or family member,Cathedral Church,,Definitely,Not Sure,Definitely,Definitely,Definitely,Very important,Don't know / Not sure,Don't know / Not sure,Very important,Don't know / Not sure,Don't know / Not sure,Very important,Very important,Disagree,,,BB6 1HH,,No,White – British,Heterosexual/Straight,No,Lifestyle,Radford,North West,CATI,Prefer not to say / Unable to code,0.9312169
15,15,50-64,Female,Yes,Yes,Yes,No,Yes,Yes,Not sure,Strongly disagree,Disagree,Strongly agree,Put Coventry on the map,,,,,,,,,,,,,,,,,,Positive comments,,,,Agree,Strongly agree,Not sure,Agree,Strongly agree,Agree,,"Pubs, clubs, and bars",Live events,Live music,Theatre,Cinema,,,,3-4,,,,,,,,,Events that are based on my interests,Events that involve family and friends,Events which are free,Events across different times of the day in different places in the city,Events which are low cost,Offers for exclusive deals with partners such as restaurants and bars,,,Not likely at all,,,Don't know,Somewhat,Somewhat,Definitely,Definitely,Definitely,Very important,Very important,Very important,Very important,Fairly important,Very important,Fairly important,Not very important,Agree,Assembly rooms were well done and organised,,CV5 6jj,,No,White – British,Heterosexual/Straight,No,Lifestyle,Whoberley,South West,CATI,3 - Comfortable Communities,0.8615715
16,16,65+,Male,Yes,Yes,No,No,No,No,Strongly disagree,Disagree,Not sure,Not sure,I would hoped that they would have built another complex that would hold more people and larger events. If would be nice to have either the Coventry Carnival or an annual motor carnival to bring people to the city. Keep the history of Coventry going through the motor history.,,,,,,,,,,,,,Events/facilities e.g. more/better/continue,,,,,,,,,Agree,Not sure,Not sure,Not sure,Not sure,Not sure,Museums and galleries,"Pubs, clubs, and bars",Live events,,Theatre,Cinema,"Activities organised by arts-based community groups (e.g. dance, music, arts, etc.)",Faith-based cultural activities,,11+,,,,,,,,,Events that are based on my interests,Events that involve family and friends,Events which are free,Events across different times of the day in different places in the city,Events which are low cost,,,,Not very likely,,Historic but also run down,,Somewhat,Somewhat,Somewhat,Somewhat,Not really,Fairly important,Very important,Very important,Fairly important,Very important,Very important,Very important,Fairly important,Agree,"I've seen large murals on buildings, more colour in the city centre with the flags.",,CV32QN,,No,White – British,Heterosexual/Straight,No,Lifestyle,Binley and Willenhall,South East,CATI,3 - Comfortable Communities,1.3265517
17,17,20-34,Female,Yes,No,No,No,Yes,Yes,Agree,Agree,Agree,Agree,bringing more attention to Coventry,,,,,,,,,,,,,,,,,,Positive comments,,,,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Disagree,Museums and galleries,,Live events,,,Cinema,"Activities organised by arts-based community groups (e.g. dance, music, arts, etc.)",Faith-based cultural activities,,11+,,,,,,,,,Events that are based on my interests,Events that involve family and friends,Events which are free,,Events which are low cost,Offers for exclusive deals with partners such as restaurants and bars,Opportunity to earn loyalty points to unlock exclusive experiences and opportunities,,Extremely likely,Visiting the city and seeing existing attractions,Community  Growing  History,,Somewhat,Somewhat,Somewhat,Definitely,Definitely,Very important,Very important,Fairly important,Fairly important,Very important,Very important,Fairly important,Fairly important,Strongly agree,More aware  CCOC offered more to do that didnt know existed,,CV6 7BM,,Prefer not to say,Other Ethnic Group – Arab,Heterosexual/Straight,No,Lifestyle,Longford,North East,CATI,4 - Financially Stretched,0.8246246
18,18,65+,Female,Yes,Yes,No,No,No,No,Disagree,Agree,Agree,Agree,Don't know,,,,,,,,,,,,,,,,,,,,,Don't know,Agree,Agree,Agree,Agree,Agree,Agree,Museums and galleries,"Pubs, clubs, and bars",Live events,Live music,Theatre,Cinema,"Activities organised by arts-based community groups (e.g. dance, music, arts, etc.)",,,11+,,,,,,,,,Events that are based on my interests,Events that involve family and friends,Events which are free,Events across different times of the day in different places in the city,Events which are low cost,Offers for exclusive deals with partners such as restaurants and bars,Opportunity to earn loyalty points to unlock exclusive experiences and opportunities,,Fairly likely,Visiting the city and seeing existing attractions,I used to think it was dull,,Definitely,Definitely,Definitely,Definitely,Definitely,Fairly important,Fairly important,Very important,Very important,Very important,Very important,Very important,Fairly important,Agree,I went to the Festival Gardens,,CV5 8HR,,No,White – British,Heterosexual/Straight,No,RDD,Radford,North West,CATI,3 - Comfortable Communities,1.2682371
19,19,50-64,Male,Yes,No,No,No,No,No,Disagree,Disagree,Disagree,Disagree,"I would like to see something involving working class or for the poor people.  There is very little for the poor people in the city, it is more aimed at the students or with people who have got money.",,,,,,,,,,,,,Events/facilities e.g. more/better/continue,,,,,,,,,Agree,Disagree,Disagree,Not sure,Disagree,Disagree,Museums and galleries,"Pubs, clubs, and bars",Live events,Live music,Theatre,Cinema,"Activities organised by arts-based community groups (e.g. dance, music, arts, etc.)",,,9-10,,,,,,,,,Events that are based on my interests,Events that involve family and friends,Events which are free,Events across different times of the day in different places in the city,Events which are low cost,,,,Not very likely,,"Poor, excluded",,Not really,Not at all,Not at all,Somewhat,Not really,Fairly important,Don't know / Not sure,Fairly important,Fairly important,Fairly important,Very important,Not very important,Not very important,Strongly disagree,,,CV23BN,,"Yes, limited a little",White – Irish,Bisexual,No,RDD,Henley,North East,CATI,5 - Urban Adversity,1.1805116
20,20,20-34,Male,Yes,Yes,No,No,Yes,No,Agree,Strongly disagree,Strongly agree,Strongly disagree,"We don't deserve the title of 'city of culture'. What sort of culture is it that you can't go outside to certain areas, such as Hillfields, and you fight with alcoholics and people in the streets?",,,,,,,,,,,,,,,,,,,Other,,,Strongly disagree,Agree,Agree,Agree,Agree,Agree,,,,,,,,,None of these,,The cost,,,,Feeling unsafe being out at night,,,,,,,,Events which are low cost,,,,Not likely at all,,N/A,,Definitely,Not at all,Definitely,Not at all,Definitely,Don't know / Not sure,Not at all important,Not at all important,Very important,Not at all important,Don't know / Not sure,Very important,Not at all important,Agree,"Opposite the Cathedral, they put some activities, pictures and signs over there to say 'We are the City of Culture'.",,CV35FD,,"Yes, limited a lot",Any Other White Background,Heterosexual/Straight,No,Lifestyle,Radford,North West,CATI,3 - Comfortable Communities,0.7968816
21,21,65+,Female,Yes,Yes,Yes,Yes,No,Yes,Disagree,Disagree,Disagree,Not sure,I liked the idea of different concerts and different organisations and people coming. I enjoyed the interface things that happened. It would be good longer term to have a mix of different events.,,,,,,,,,,,,,Events/facilities e.g. more/better/continue,,,,,Positive comments,,,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Museums and galleries,,Live events,,Theatre,,,Faith-based cultural activities,,11+,,,,,,,,,Events that are based on my interests,Events that involve family and friends,Events which are free,Events across different times of the day in different places in the city,Events which are low cost,Offers for exclusive deals with partners such as restaurants and bars,,,Extremely likely,The opportunity to show off my city,Home,,Definitely,Not Sure,Not Sure,Definitely,Definitely,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Strongly agree,The windows at the Belgrade. All the pictures and visual things going on around the city too.,,,Prefer not to say,No,White – British,Heterosexual/Straight,No,Lifestyle,Henley,North East,CATI,Prefer not to say / Unable to code,1.2332594
22,22,65+,Male,Yes,Yes,No,No,Yes,Yes,Agree,Disagree,Disagree,Agree,outskirts of Coventry to have more attention not just the city centre,,,,,,,,,,,,,,,,Opportunity/improvement,,,,,,Agree,Agree,Not sure,Agree,Agree,Agree,Museums and galleries,"Pubs, clubs, and bars",,,Theatre,,,,,5-6,,,,,,,,,Events that are based on my interests,,,Events across different times of the day in different places in the city,,Offers for exclusive deals with partners such as restaurants and bars,,,Not likely at all,,lovely city people help each other,,Definitely,Definitely,Definitely,Not really,Definitely,Fairly important,Very important,Fairly important,Don't know / Not sure,Very important,Very important,Fairly important,Fairly important,Disagree,,,cv3 5ew,,No,Any Other Ethnic Group,Heterosexual/Straight,No,RDD,Cheylesmore,South East,CATI,3 - Comfortable Communities,1.3265517
23,23,20-34,Male,Yes,No,Yes,No,Yes,No,Disagree,Agree,Agree,Agree,Would like to see more people of different cultures,,,,,,,,,,,,,,Diversity/faith/inclusive,,,,,,,,Strongly agree,Agree,Agree,Agree,Agree,Agree,,"Pubs, clubs, and bars",Live events,Live music,Theatre,Cinema,,,,11+,,,,,,,,,Events that are based on my interests,Events that involve family and friends,Events which are free,Events across different times of the day in different places in the city,Events which are low cost,Offers for exclusive deals with partners such as restaurants and bars,Opportunity to earn loyalty points to unlock exclusive experiences and opportunities,,Fairly likely,To see a show or event that I know will appeal to my friend or family member,"Hometown, childhood, enjoyment, some parts are a little rundown but its home",,Definitely,Somewhat,Somewhat,Definitely,Definitely,Fairly important,Very important,Very important,Very important,Very important,Very important,Very important,Fairly important,Agree,Statues,,CV32XJ,,No,White – British,Heterosexual/Straight,No,Lifestyle,Wyken,North East,CATI,1 - Affluent Achievers,0.9807042
24,24,65+,Female,Yes,Yes,Not sure,No,No,No,Agree,Not sure,Disagree,Not sure,Include older people visibly,,,,,,,,,Inclusion for elderly/disabilities,,,,,,,,,,,,,Strongly agree,Not sure,Not sure,Not sure,Agree,Strongly agree,,"Pubs, clubs, and bars",,Live music,Theatre,,,,,1-2,The cost,,The events that are on don't appeal to me,,Feeling unsafe being out at night,,,,Events that are based on my interests,Events that involve family and friends,Events which are free,Events across different times of the day in different places in the city,Events which are low cost,Offers for exclusive deals with partners such as restaurants and bars,Opportunity to earn loyalty points to unlock exclusive experiences and opportunities,,Not very likely,,Multicultural Peace,,Not really,Not Sure,Not really,Definitely,Not really,Fairly important,Fairly important,Very important,Fairly important,Fairly important,Not very important,Fairly important,Not very important,Disagree,,,CV5 6NX,,"Yes, limited a little",White – Irish,Heterosexual/Straight,No,RDD,Whoberley,South West,CATI,3 - Comfortable Communities,0.7896985
25,25,35-49,Male,Yes,Yes,No,No,Yes,Yes,Disagree,Disagree,Disagree,Agree,"Maybe be more concerts, sports activities.",,,Arts/theatre/music/cultural events,,,,Outdoor/physical activities,,,,,,,,,,,,,,,Agree,Strongly agree,Agree,Not sure,Agree,Not sure,,,Live events,Live music,Theatre,Cinema,"Activities organised by arts-based community groups (e.g. dance, music, arts, etc.)",,,11+,,,,,,,,,Events that are based on my interests,Events that involve family and friends,Events which are free,Events across different times of the day in different places in the city,Events which are low cost,Offers for exclusive deals with partners such as restaurants and bars,Opportunity to earn loyalty points to unlock exclusive experiences and opportunities,,Extremely likely,To see a show or event that I know will appeal to my friend or family member,Historic,,Definitely,Definitely,Definitely,Definitely,Definitely,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Not sure,,,CV6 3FZ,,No,Any Other White Background,Heterosexual/Straight,No,Lifestyle,Radford,North West,CATI,5 - Urban Adversity,1.0107265
26,26,50-64,Female,Yes,No,No,No,No,No,Agree,Not sure,Agree,Disagree,more events to be advertised and free parking,,,,,,Awareness e.g. advertising,,,,,,,,,,,,,,,,Agree,Not sure,Strongly agree,Strongly agree,Not sure,Strongly agree,,"Pubs, clubs, and bars",Live events,,,,,,,1-2,,,,,,,,None / Nothing,Events that are based on my interests,Events that involve family and friends,Events which are free,Events across different times of the day in different places in the city,Events which are low cost,Offers for exclusive deals with partners such as restaurants and bars,,,Not very likely,,i like it,,Definitely,Definitely,Somewhat,Definitely,Somewhat,Fairly important,Very important,Very important,Fairly important,Very important,Very important,Very important,Very important,Disagree,,,CV5 6AX,,"Yes, limited a lot",White – British,Heterosexual/Straight,No,Lifestyle,Earlsdon,South West,CATI,1 - Affluent Achievers,0.8615715
27,27,20-34,Male,Yes,Yes,No,No,Yes,Yes,Disagree,Disagree,Disagree,Not sure,"I think the way the put in some more communal areas and spaces to do things together, such as the gardens to promote that sense of community more",,,,,,,,,,Community/integration e.g. bringing people together,,,,,,,,,,,,Strongly agree,Agree,Strongly agree,Agree,Agree,Agree,Museums and galleries,"Pubs, clubs, and bars",Live events,,Theatre,Cinema,,,,11+,,,,,,,,,Events that are based on my interests,Events that involve family and friends,Events which are free,Events across different times of the day in different places in the city,Events which are low cost,,,,Not very likely,,"Recently it has been more vibrant I think, maligned",,Somewhat,Somewhat,Somewhat,Definitely,Definitely,Very important,Fairly important,Fairly important,Fairly important,Fairly important,Fairly important,Very important,Fairly important,Agree,"The real digital display past my commute was good, I get to go past the assembly events which is nice, the events are quite nice, I'm quite a fan of Fargo and the box events which I think has brought a lot of people there as well",,CV6 3BX,,No,White – British,Heterosexual/Straight,No,Lifestyle,Whoberley,South West,CATI,3 - Comfortable Communities,1.3299953
28,28,65+,Female,Yes,Yes,Yes,Yes,Yes,Yes,Disagree,Disagree,Disagree,Agree,Really impressed  Unfortunate with timing due to Covid,,,,,,,,,,,,,,,,,,Positive comments,,,,Strongly agree,Agree,Agree,Agree,Agree,Agree,Museums and galleries,"Pubs, clubs, and bars",,,Theatre,Cinema,,Faith-based cultural activities,,3-4,,,,,,,,,Events that are based on my interests,Events that involve family and friends,Events which are free,Events across different times of the day in different places in the city,Events which are low cost,Offers for exclusive deals with partners such as restaurants and bars,Opportunity to earn loyalty points to unlock exclusive experiences and opportunities,,Fairly likely,The opportunity to show off my city,Pride Excitement,,Definitely,Definitely,Definitely,Definitely,Definitely,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Strongly agree,Venue,,CV6 2BS,,"Yes, limited a little",White – British,Heterosexual/Straight,No,RDD,Whoberley,South West,CATI,4 - Financially Stretched,0.7896985
