GeographyID,GeographyName,URN,EstablishmentNumber,EstablishmentName,TypeOfEstablishment,EstablishmentTypeGroup,PhaseOfEducation,Postcode
E02001988,Coventry 031,131241,2155,Spon Gate Primary School,Community school,LA maintained schools,Primary,CV1 3BQ
E02001989,Coventry 032,103692,2142,Templars Primary School,Community school,LA maintained schools,Primary,CV4 9DA
E02001990,Coventry 033,103658,2078,Ernesford Grange Primary School,Community school,LA maintained schools,Primary,CV3 2HN
E02001990,Coventry 033,142245,2110,Clifford Bridge Academy,Academy converter,Academies,Primary,CV3 2PD
E02001991,Coventry 034,103641,2013,Earlsdon Primary School,Community school,LA maintained schools,Primary,CV5 6FZ
E02001992,Coventry 035,103671,2118,Sowe Valley Primary School,Community school,LA maintained schools,Primary,CV3 2QX
E02001992,Coventry 035,103681,2131,Aldermoor Farm Primary School,Community school,LA maintained schools,Primary,CV3 1DP
E02001992,Coventry 035,139680,2007,St Bartholomew's Church of England Academy,Academy sponsor led,Academies,Primary,CV3 2LP
E02001992,Coventry 035,142195,3434,Corpus Christi Catholic School,Academy converter,Academies,Primary,CV3 2QP
E02001993,Coventry 036,134019,3436,Charter Primary School,Community school,LA maintained schools,Primary,CV4 8DW
E02001993,Coventry 036,145214,3302,Leigh Church of England Primary School,Academy converter,Academies,Primary,CV4 9RQ
E02001994,Coventry 037,103691,2141,Manor Park Primary School,Community school,LA maintained schools,Primary,CV3 5EZ
E02001995,Coventry 038,103655,2068,Whitley Abbey Primary School,Community school,LA maintained schools,Primary,CV3 4DE
E02001996,Coventry 039,103719,3418,St Anne's Catholic Primary School,Voluntary aided school,LA maintained schools,Primary,CV3 3AD
E02001996,Coventry 039,134745,3438,Willenhall Community Primary School,Community school,LA maintained schools,Primary,CV3 3DB
E02001996,Coventry 039,139384,2005,Stretton Church of England Academy,Academy sponsor led,Academies,Primary,CV3 3AE
E02001997,Coventry 040,103723,3432,St Thomas More Catholic Primary School,Voluntary aided school,LA maintained schools,Primary,CV3 5DE
E02001997,Coventry 040,134426,3437,Howes Community Primary School,Community school,LA maintained schools,Primary,CV3 5EH
E02001998,Coventry 041,103664,2092,Grange Farm Primary School,Community school,LA maintained schools,Primary,CV3 6NF
E02001998,Coventry 041,103686,2136,Stivichall Primary School,Community school,LA maintained schools,Primary,CV3 6PY
E02001998,Coventry 041,142700,2124,Finham Primary School,Academy converter,Academies,Primary,CV3 6EJ
E02001999,Coventry 042,103667,2107,Cannon Park Primary School,Community school,LA maintained schools,Primary,CV4 7PS
E02006805,Coventry 043,103698,2151,John Shelton Community Primary School,Community school,LA maintained schools,Primary,CV6 4JP
E02001958,Coventry 001,103732,4029,Foxford School and Community Arts College,Foundation school,LA maintained schools,Secondary,CV6 6BB
E02001959,Coventry 002,140248,4034,President Kennedy School Academy,Academy converter,Academies,Secondary,CV6 4GL
E02001963,Coventry 006,103743,4707,Cardinal Newman Catholic School A Specialist Arts and Community College,Voluntary aided school,LA maintained schools,Secondary,CV6 2FR
E02001964,Coventry 007,141992,4007,Cardinal Wiseman Catholic School,Academy sponsor led,Academies,Secondary,CV2 2AJ
E02001965,Coventry 008,135335,6905,Grace Academy Coventry,Academy sponsor led,Academies,Secondary,CV2 2RH
E02001965,Coventry 008,141104,4004,Seva School,Free schools,Free Schools,Secondary,CV2 2TB
E02001967,Coventry 010,138023,4026,Coundon Court,Academy converter,Academies,Secondary,CV6 2AJ
E02001970,Coventry 013,142960,4030,Lyng Hall School,Academy converter,Academies,Secondary,CV2 3JS
E02001972,Coventry 015,140958,4002,Eden Girls' School Coventry,Free schools,Free Schools,Secondary,CV1 4FS
E02001976,Coventry 019,139292,4028,Caludon Castle School,Academy converter,Academies,Secondary,CV2 5BD
E02001977,Coventry 020,142339,4000,Barr's Hill School and Community College,Academy converter,Academies,Secondary,CV1 4BU
E02001978,Coventry 021,145179,4008,Stoke Park School,Academy sponsor led,Academies,Secondary,CV2 4JW
E02001981,Coventry 024,136126,6906,Sidney Stringer Academy,Academy sponsor led,Academies,Secondary,CV1 5LY
E02001985,Coventry 028,137272,4800,Blue Coat Church of England School and Music College,Academy converter,Academies,Secondary,CV1 2BA
E02001986,Coventry 029,137209,4033,West Coventry Academy,Academy converter,Academies,Secondary,CV4 9PW
E02001992,Coventry 035,140366,4001,Ernesford Grange Community Academy,Academy sponsor led,Academies,Secondary,CV3 2QD
E02001993,Coventry 036,137225,4043,The Westwood Academy,Academy converter,Academies,Secondary,CV4 8DY
E02001993,Coventry 036,140961,4003,WMG Academy for Young Engineers,University technical college,Free Schools,Secondary,CV4 8DY
E02001993,Coventry 036,141939,4006,Finham Park 2,Free schools,Free Schools,Secondary,CV4 9WT
E02001995,Coventry 038,136840,4044,Whitley Academy,Academy converter,Academies,Secondary,CV3 4BD
E02001998,Coventry 041,103742,4701,Bishop Ullathorne Catholic School,Voluntary aided school,LA maintained schools,Secondary,CV3 6BH
E02001998,Coventry 041,136963,4037,Finham Park School,Academy converter,Academies,Secondary,CV3 6EA
