Metric Type Identifier,Measurement Unit,Measurement Unit (Short Label),MetricTypeKey,Source,Hyperlink,Theme,Subcategory,MetricTypes_Key,Metric Type (Short Label),Metric Type
4477,%,%,4477-lgip,LGInformPlus,http://id.esd.org.uk/metricType/4477,Unspecified,Unspecified,77,Achievement of KS2 level 4+ in GPS for pupils whose first language is English (%) - 4477,"% of pupils whose first language is English attaining level 4 or above at KS2 in grammar, punctuation and spelling (tests) - 4477"
4478,%,%,4478-lgip,LGInformPlus,http://id.esd.org.uk/metricType/4478,Unspecified,Unspecified,78,Achievement of KS2 level 4+ in GPS for pupils whose first language is not English (%) - 4478,"% of pupils whose first language is not English attaining level 4 or above at KS2 in grammar, punctuation and spelling (tests) - 4478"
4479,%,%,4479-lgip,LGInformPlus,http://id.esd.org.uk/metricType/4479,Unspecified,Unspecified,79,Achievement of KS2 level 4+ in RWM for pupils whose first language is English (%) - 4479,"% of pupils whose first language is English attaining level 4 or above at KS2 in reading, writing and mathematics - 4479"
4480,%,%,4480-lgip,LGInformPlus,http://id.esd.org.uk/metricType/4480,Unspecified,Unspecified,80,Achievement of KS2 level 4+ in RWM for pupils whose first language is not English (%) - 4480,"% of pupils whose first language is not English attaining level 4 or above at KS2 in reading, writing and mathematics - 4480"
4481,%,%,4481-lgip,LGInformPlus,http://id.esd.org.uk/metricType/4481,Unspecified,Unspecified,81,Achievement of KS2 level 4+ in reading for disadvantaged pupils (%) - 4481,% of pupils disadvantaged attaining level 4 or above at KS2 in reading - 4481
4482,%,%,4482-lgip,LGInformPlus,http://id.esd.org.uk/metricType/4482,Unspecified,Unspecified,82,Achievement of KS2 level 4+ in reading for non disadvantaged pupils (%) - 4482,% of pupils not disadvantaged attaining level 4 or above at KS2 in reading - 4482
4483,%,%,4483-lgip,LGInformPlus,http://id.esd.org.uk/metricType/4483,Unspecified,Unspecified,83,Achievement of KS2 level 4+ in writing for disadvantaged pupils (%) - 4483,% of pupils disadvantaged attaining level 4 or above at KS2 in writing - 4483
4484,%,%,4484-lgip,LGInformPlus,http://id.esd.org.uk/metricType/4484,Unspecified,Unspecified,84,Achievement of KS2 level 4+ in writing for non disadvantaged pupils (%) - 4484,% of pupils not disadvantaged attaining level 4 or above at KS2 in writing - 4484
4485,%,%,4485-lgip,LGInformPlus,http://id.esd.org.uk/metricType/4485,Unspecified,Unspecified,85,Achievement of KS2 level 4+ in mathematics for disadvantaged pupils (%) - 4485,% of pupils disadvantaged attaining level 4 or above at KS2 in mathematics - 4485
26,%,%,26-lgip,LGInformPlus,http://id.esd.org.uk/metricType/26,Unspecified,Unspecified,87,Vacant dwellings - 26,"Vacant dwellings - all, as a percentage of all dwellings in the area - 26"
28,%,%,28-lgip,LGInformPlus,http://id.esd.org.uk/metricType/28,Unspecified,Unspecified,89,Timeliness of social care assessments - 28,Timeliness of social care assessment (all adults) - 28
29,%,%,29-lgip,LGInformPlus,http://id.esd.org.uk/metricType/29,Unspecified,Unspecified,90,Timeliness of social care packages - 29,Timeliness of social care packages following assessment - 29
30,%,%,30-lgip,LGInformPlus,http://id.esd.org.uk/metricType/30,Unspecified,Unspecified,91,Carers receiving needs assessment - 30,"Carers receiving needs assessment or review and a specific carer's service, or advice and information - 30"
31,%,%,31-lgip,LGInformPlus,http://id.esd.org.uk/metricType/31,Unspecified,Unspecified,92,Vulnerable people achieving Independent living - 31,Percentage of vulnerable people achieving independent living - 31
32,%,%,32-lgip,LGInformPlus,http://id.esd.org.uk/metricType/32,Unspecified,Unspecified,93,Vulnerable people supported to maintain independent living - 32,Percentage of vulnerable people who are supported to maintain independent living - 32
33,%,%,33-lgip,LGInformPlus,http://id.esd.org.uk/metricType/33,Unspecified,Unspecified,94,Care leavers in suitable accommodation - 33,Care leavers in suitable accommodation - 33
34,%,%,34-lgip,LGInformPlus,http://id.esd.org.uk/metricType/34,Unspecified,Unspecified,95,"Care leavers in education, employment or training - 34","Care leavers in education, employment or training - 34"
35,%,%,35-lgip,LGInformPlus,http://id.esd.org.uk/metricType/35,Unspecified,Unspecified,96,Qualified to level 2 and above (working age population) - 35,Proportion of population aged 16-64 qualified to at least Level 2 or higher - 35
36,%,%,36-lgip,LGInformPlus,http://id.esd.org.uk/metricType/36,Unspecified,Unspecified,97,Qualified to level 3 and above (working age population) - 36,Proportion of population aged 16-64 qualified to at least Level 3 or higher - 36
43,%,%,43-lgip,LGInformPlus,http://id.esd.org.uk/metricType/43,Unspecified,Unspecified,103,Small business showing growth - 43,Percentage of small businesses in an area showing employment growth - 43
44,%,%,44-lgip,LGInformPlus,http://id.esd.org.uk/metricType/44,Unspecified,Unspecified,104,Access to employment by public transport - 44,Access to employment by public transport (and other specified modes) (working age population) - 44
46,%,%,46-lgip,LGInformPlus,http://id.esd.org.uk/metricType/46,Unspecified,Unspecified,106,% household waste recycled - 46,"Percentage of household waste sent for reuse, recycling and composting (annual) - 46"
47,%,%,47-lgip,LGInformPlus,http://id.esd.org.uk/metricType/47,Unspecified,Unspecified,107,% municipal waste landfilled - 47,Percentage of municipal waste landfilled (annual) - 47
83,%,%,83-lgip,LGInformPlus,http://id.esd.org.uk/metricType/83,Unspecified,Unspecified,118,Adult participation in sport (3x30) - 83,Adult participation in sport and active recreation (3x30) - 83
91,%,%,91-lgip,LGInformPlus,http://id.esd.org.uk/metricType/91,Unspecified,Unspecified,124,"Obesity in school children, reception - 91",Obesity in primary school age children in reception - 91
92,%,%,92-lgip,LGInformPlus,http://id.esd.org.uk/metricType/92,Unspecified,Unspecified,125,"Obesity in school children, year 6 - 92",Obesity in primary school age children in Year 6 - 92
93,%,%,93-lgip,LGInformPlus,http://id.esd.org.uk/metricType/93,Unspecified,Unspecified,126,Childrens initial care assessments - 93,Percentage of initial assessments for children's social care carried out within 7 working days of referral - 93
107,%,%,107-lgip,LGInformPlus,http://id.esd.org.uk/metricType/107,Unspecified,Unspecified,129,% Population aged 65 and over for males and 60 and over for females - 107,Proportion of population aged 65 and over for males and 60 and over for females - 107
108,%,%,108-lgip,LGInformPlus,http://id.esd.org.uk/metricType/108,Unspecified,Unspecified,130,% Population aged 16 to 64 males/59 females - 108,Proportion of population aged 16 to 64 males and 16 to 59 for females - 108
109,%,%,109-lgip,LGInformPlus,http://id.esd.org.uk/metricType/109,Unspecified,Unspecified,131,% population aged 0 -15 - 109,Proportion of population aged 0-15 - 109
137,%,%,137-lgip,LGInformPlus,http://id.esd.org.uk/metricType/137,Unspecified,Unspecified,138,Graffiti - 137,Levels of graffiti - Improved street and environmental cleanliness - 137
138,%,%,138-lgip,LGInformPlus,http://id.esd.org.uk/metricType/138,Unspecified,Unspecified,139,Flyposting - 138,Levels of fly posting - Improved street and environmental cleanliness - 138
139,%,%,139-lgip,LGInformPlus,http://id.esd.org.uk/metricType/139,Unspecified,Unspecified,140,"Non decent housing, LA owned - 139",Percent of local authority housing stock that is non decent - 139
140,%,%,140-lgip,LGInformPlus,http://id.esd.org.uk/metricType/140,Unspecified,Unspecified,141,Non-frequent buses on time - 140,Bus services - the proportion of non-frequent scheduled services running on time - 140
148,%,%,148-lgip,LGInformPlus,http://id.esd.org.uk/metricType/148,Unspecified,Unspecified,143,Out of work benefits (working age population) - 148,Working age people on out of work benefits - 148
151,%,%,151-lgip,LGInformPlus,http://id.esd.org.uk/metricType/151,Unspecified,Unspecified,146,17yr olds in education or training - 151,Participation of 17 year olds in education or training - 151
154,%,%,154-lgip,LGInformPlus,http://id.esd.org.uk/metricType/154,Unspecified,Unspecified,148,Looked after children achieving 5 A*-C GCSEs (inc. Eng and Maths) - 154,Looked after children achieving 5 A*-C GCSEs (or equivalent) at KS4 (including English and Maths) - 154
156,%,%,156-lgip,LGInformPlus,http://id.esd.org.uk/metricType/156,Unspecified,Unspecified,150,% of major developments processed within 13 weeks or agreed time - Quarterly - 156,% of planning applications processed within 13 weeks or agreed time - major developments - Quarterly - 156
157,%,%,157-lgip,LGInformPlus,http://id.esd.org.uk/metricType/157,Unspecified,Unspecified,151,% of minor developments processed within 8 weeks or agreed time - Quarterly - 157,% of planning applications processed within 8 weeks or agreed time - minor developments - Quarterly - 157
158,%,%,158-lgip,LGInformPlus,http://id.esd.org.uk/metricType/158,Unspecified,Unspecified,152,% of other developments processed within 8 weeks or agreed time - Quarterly - 158,% of planning applications processed within 8 weeks or agreed time - other developments - Quarterly - 158
159,%,%,159-lgip,LGInformPlus,http://id.esd.org.uk/metricType/159,Unspecified,Unspecified,153,% county matter planning applications processed in timely manner (Quarterly) - 159,Percentage of county matter planning applications processed in 13 weeks (Quarterly) - 159
160,%,%,160-lgip,LGInformPlus,http://id.esd.org.uk/metricType/160,Unspecified,Unspecified,154,"Dwellings,  other public sector owned - 160","Number of dwellings owned by other public sector bodies, as a percentage of all dwellings - 160"
161,%,%,161-lgip,LGInformPlus,http://id.esd.org.uk/metricType/161,Unspecified,Unspecified,155,"Dwellings, private sector owned - 161","Number of dwellings owned by the private sector, as a percentage of all dwellings - 161"
162,%,%,162-lgip,LGInformPlus,http://id.esd.org.uk/metricType/162,Unspecified,Unspecified,156,"Dwellings, LA owned - 162","Number of local authority owned dwellings in an area (all LAs), as a percentage of all dwellings - 162"
165,%,%,165-lgip,LGInformPlus,http://id.esd.org.uk/metricType/165,Unspecified,Unspecified,158,JSA claimants rate - 165,"JSA Claimant count, total claimants - rate ( resident population aged 16-64 ) - 165"
167,%,%,167-lgip,LGInformPlus,http://id.esd.org.uk/metricType/167,Unspecified,Unspecified,160,JSA claimants claiming for over 12 months rate - 167,"JSA Claimant count, % claimants claiming for over 12 months - 167"
174,%,%,174-lgip,LGInformPlus,http://id.esd.org.uk/metricType/174,Unspecified,Unspecified,167,IMD: IDACI (2010) - per cent - 174,IMD - Income Deprivation Affecting Children Index (IDACI) (2010) - per cent - 174
182,%,%,182-lgip,LGInformPlus,http://id.esd.org.uk/metricType/182,Unspecified,Unspecified,172,Low birth weight rate - 182,"Child health, % low birthweight - 182"
193,%,%,193-lgip,LGInformPlus,http://id.esd.org.uk/metricType/193,Unspecified,Unspecified,177,Obese adults - 193,Prevalence of obese adults - 193
194,%,%,194-lgip,LGInformPlus,http://id.esd.org.uk/metricType/194,Unspecified,Unspecified,178,Adults who smoke (3 yr period) - 194,Prevalence of adult smoking (3 year period) - 194
195,%,%,195-lgip,LGInformPlus,http://id.esd.org.uk/metricType/195,Unspecified,Unspecified,179,Binge drinking adults - 195,Prevalence of adults who binge drink - 195
202,%,%,202-lgip,LGInformPlus,http://id.esd.org.uk/metricType/202,Unspecified,Unspecified,185,NDR collection rate - 202,Non domestic rates collected as percentage non domestic rates due - 202
264,%,%,264-lgip,LGInformPlus,http://id.esd.org.uk/metricType/264,Unspecified,Unspecified,215,"Days lost through sickness, total - 264","Sickness absence, % of days lost - 264"
265,%,%,265-lgip,LGInformPlus,http://id.esd.org.uk/metricType/265,Unspecified,Unspecified,216,Vacancy rate - 265,Vacancy rate - 265
285,%,%,285-lgip,LGInformPlus,http://id.esd.org.uk/metricType/285,Unspecified,Unspecified,223,16 and 17 year olds who are in education or work based learning - 285,Percentage of 16 and 17 year olds who are in education or work based learning - 285
319,%,%,319-lgip,LGInformPlus,http://id.esd.org.uk/metricType/319,Unspecified,Unspecified,247,"Primary fires, dwellings - 319",Number of primary dwelling fires as a percentage of all primary fires in buildings and outdoors (excluding secondary and chimney fires) - 319
320,%,%,320-lgip,LGInformPlus,http://id.esd.org.uk/metricType/320,Unspecified,Unspecified,248,"Primary fires, garages and sheds - 320",Number of primary fires in private garages and sheds as a percentage of all primary fires in buildings and outdoors (excluding secondary and chimney fires) - 320
321,%,%,321-lgip,LGInformPlus,http://id.esd.org.uk/metricType/321,Unspecified,Unspecified,249,"Primary fires, agricultural premises - 321",Number of primary fires in agricultural premises as a percentage of all primary fires in buildings and outdoors (excluding secondary and chimney fires) - 321
322,%,%,322-lgip,LGInformPlus,http://id.esd.org.uk/metricType/322,Unspecified,Unspecified,250,"Primary fires, industrial premises - 322",Number of primary fires in industrial premises as a percentage of all primary fires in buildings and outdoors (excluding secondary and chimney fires) - 322
323,%,%,323-lgip,LGInformPlus,http://id.esd.org.uk/metricType/323,Unspecified,Unspecified,251,"Primary fires, retail distribution buildings - 323",Number of primary fires in retail distribution buildings as a percentage of all primary fires in buildings and outdoors (excluding secondary and chimney fires) - 323
324,%,%,324-lgip,LGInformPlus,http://id.esd.org.uk/metricType/324,Unspecified,Unspecified,252,"Primary fires, other buildings - 324",Number of primary fires in other buildings as a percentage of all primary fires in buildings and outdoors (excluding secondary and chimney fires) - 324
325,%,%,325-lgip,LGInformPlus,http://id.esd.org.uk/metricType/325,Unspecified,Unspecified,253,"Primary fires, road vehicles - 325",Number of primary fires in road vehicles as a percentage of all primary fires in buildings and outdoors (excluding secondary and chimney fires) - 325
326,%,%,326-lgip,LGInformPlus,http://id.esd.org.uk/metricType/326,Unspecified,Unspecified,254,"Primary fires, other outdoor locations - 326",Number of primary fires in other outdoor locations as a percentage of all primary fires in buildings and outdoors (excluding secondary and chimney fires) - 326
332,%,%,332-lgip,LGInformPlus,http://id.esd.org.uk/metricType/332,Unspecified,Unspecified,260,Deliberate primary fires - cars - 332,Deliberate primary fires in cars as a percentage of all deliberate primary fires - 332
524,%,%,524-lgip,LGInformPlus,http://id.esd.org.uk/metricType/524,Unspecified,Unspecified,374,White: British population - 524,Population - Ethnicity - Percentage of the population who are white: British - 524
525,%,%,525-lgip,LGInformPlus,http://id.esd.org.uk/metricType/525,Unspecified,Unspecified,375,White: Irish population - 525,Population - Ethnicity - Percentage of the population who are white: Irish - 525
526,%,%,526-lgip,LGInformPlus,http://id.esd.org.uk/metricType/526,Unspecified,Unspecified,376,White: other white population - 526,Population - Ethnicity - Percentage of the population who are white: other white - 526
527,%,%,527-lgip,LGInformPlus,http://id.esd.org.uk/metricType/527,Unspecified,Unspecified,377,Mixed: white and black Caribbean population - 527,Population - Ethnicity - Percentage of the population who are mixed: white and black Caribbean - 527
528,%,%,528-lgip,LGInformPlus,http://id.esd.org.uk/metricType/528,Unspecified,Unspecified,378,Mixed: White and black African population - 528,Population - Ethnicity - Percentage of the population who are mixed: white and black African - 528
529,%,%,529-lgip,LGInformPlus,http://id.esd.org.uk/metricType/529,Unspecified,Unspecified,379,Mixed: white and Asian population - 529,Population - Ethnicity - Percentage of the population who are mixed: white and Asian - 529
530,%,%,530-lgip,LGInformPlus,http://id.esd.org.uk/metricType/530,Unspecified,Unspecified,380,Mixed: other mixed population - 530,Population - Ethnicity - Percentage of the population who are mixed: other mixed - 530
531,%,%,531-lgip,LGInformPlus,http://id.esd.org.uk/metricType/531,Unspecified,Unspecified,381,Asian or Asian British: Indian population - 531,Population - Ethnicity - Percentage of the population who are Asian or Asian British: Indian - 531
532,%,%,532-lgip,LGInformPlus,http://id.esd.org.uk/metricType/532,Unspecified,Unspecified,382,Asian or Asian British: Pakistani population - 532,Population - Ethnicity - Percentage of the population who are Asian or Asian British: Pakistani - 532
533,%,%,533-lgip,LGInformPlus,http://id.esd.org.uk/metricType/533,Unspecified,Unspecified,383,Asian or Asian British: Bangladeshi population - 533,Population - Ethnicity - Percentage of the population who are Asian or Asian British: Bangladeshi - 533
534,%,%,534-lgip,LGInformPlus,http://id.esd.org.uk/metricType/534,Unspecified,Unspecified,384,Asian or Asian British: other Asian population - 534,Population - Ethnicity - Percentage of the population who are Asian or Asian British: Other Asian - 534
535,%,%,535-lgip,LGInformPlus,http://id.esd.org.uk/metricType/535,Unspecified,Unspecified,385,Black or black British: black Caribbean population - 535,Population - Ethnicity - Percentage of the population who are black or black British: black Caribbean - 535
536,%,%,536-lgip,LGInformPlus,http://id.esd.org.uk/metricType/536,Unspecified,Unspecified,386,Black or black British: black African population - 536,Population - Ethnicity - Percentage of the population who are black or black British: black African - 536
537,%,%,537-lgip,LGInformPlus,http://id.esd.org.uk/metricType/537,Unspecified,Unspecified,387,Black or black British: other black population - 537,Population - Ethnicity - Percentage of the population who are black or black British: other black - 537
538,%,%,538-lgip,LGInformPlus,http://id.esd.org.uk/metricType/538,Unspecified,Unspecified,388,Chinese or other ethnic group: Chinese population - 538,Population - Ethnicity - Percentage of the population who are Chinese or other ethnic group: Chinese - 538
539,%,%,539-lgip,LGInformPlus,http://id.esd.org.uk/metricType/539,Unspecified,Unspecified,389,Chinese or other ethnic group: other population - 539,Population - Ethnicity - Percentage of the population who are Chinese or other ethnic group: other - 539
580,%,%,580-lgip,LGInformPlus,http://id.esd.org.uk/metricType/580,Unspecified,Unspecified,430,Total employee headcount - male - 580,Percentage of the total local authority employee headcount who are male - 580
581,%,%,581-lgip,LGInformPlus,http://id.esd.org.uk/metricType/581,Unspecified,Unspecified,431,Total employee headcount - female - 581,Percentage of the total local authority employee headcount who are female - 581
582,%,%,582-lgip,LGInformPlus,http://id.esd.org.uk/metricType/582,Unspecified,Unspecified,432,Total employee headcount - full time - 582,"Percentage of the total local authority employee headcount who are full time, all - 582"
583,%,%,583-lgip,LGInformPlus,http://id.esd.org.uk/metricType/583,Unspecified,Unspecified,433,"Total employee headcount - male, full time - 583",Percentage of the total local authority employee headcount who are male full time - 583
584,%,%,584-lgip,LGInformPlus,http://id.esd.org.uk/metricType/584,Unspecified,Unspecified,434,"Total employee headcount - female, full time - 584",Percentage of the total local authority employee headcount who are female full time - 584
585,%,%,585-lgip,LGInformPlus,http://id.esd.org.uk/metricType/585,Unspecified,Unspecified,435,Total employee headcount - part time - 585,"Percentage of the total local authority employee headcount who are part time, all - 585"
586,%,%,586-lgip,LGInformPlus,http://id.esd.org.uk/metricType/586,Unspecified,Unspecified,436,"Total employee headcount - male, part time - 586",Percentage of the total local authority employee headcount who are male part time - 586
587,%,%,587-lgip,LGInformPlus,http://id.esd.org.uk/metricType/587,Unspecified,Unspecified,437,"Total employee headcount - female, part time - 587",Percentage of the total local authority employee headcount who are female part time - 587
588,%,%,588-lgip,LGInformPlus,http://id.esd.org.uk/metricType/588,Unspecified,Unspecified,438,Total employee headcount - permanent - 588,"Percentage of the total local authority employee headcount who are permanent, all - 588"
589,%,%,589-lgip,LGInformPlus,http://id.esd.org.uk/metricType/589,Unspecified,Unspecified,439,Total employee headcount - temporary/casual - 589,"Percentage of the total local authority employee headcount who are temporary / casual, all - 589"
590,%,%,590-lgip,LGInformPlus,http://id.esd.org.uk/metricType/590,Unspecified,Unspecified,440,"Total employee headcount - permanent, full time - 590",Percentage of the total local authority employee headcount who are permanent and full time - 590
591,%,%,591-lgip,LGInformPlus,http://id.esd.org.uk/metricType/591,Unspecified,Unspecified,441,"Total employee headcount - permanent, part time - 591",Percentage of the total local authority employee headcount who are permanent and part time - 591
592,%,%,592-lgip,LGInformPlus,http://id.esd.org.uk/metricType/592,Unspecified,Unspecified,442,"Total employee headcount temporary/casual, full time - 592",Percentage of the total local authority employee headcount who are temporary / casual and full time - 592
593,%,%,593-lgip,LGInformPlus,http://id.esd.org.uk/metricType/593,Unspecified,Unspecified,443,"Total employee headcount - temporary/casual, part time - 593",Percentage of the total local authority employee headcount who are temporary / casual and part time - 593
594,%,%,594-lgip,LGInformPlus,http://id.esd.org.uk/metricType/594,Unspecified,Unspecified,444,"Total employee headcount - permanent, male - 594","Percentage of the total local authority employee headcount who are permanent, male - 594"
595,%,%,595-lgip,LGInformPlus,http://id.esd.org.uk/metricType/595,Unspecified,Unspecified,445,"Total employee headcount - permanent, female - 595","Percentage of the total local authority employee headcount who are permanent, female - 595"
596,%,%,596-lgip,LGInformPlus,http://id.esd.org.uk/metricType/596,Unspecified,Unspecified,446,"Total employee headcount - temporary/casual, male - 596","Percentage of the total local authority employee headcount who are temporary / casual, male - 596"
597,%,%,597-lgip,LGInformPlus,http://id.esd.org.uk/metricType/597,Unspecified,Unspecified,447,"Total employee headcount - temporary/casual, female - 597","Percentage of the total local authority employee headcount who are temporary / casual, female - 597"
598,%,%,598-lgip,LGInformPlus,http://id.esd.org.uk/metricType/598,Unspecified,Unspecified,448,"Total employee headcount - permanent, full time, male - 598","Percentage of the total local authority employee headcount who are permanent, full time and male - 598"
599,%,%,599-lgip,LGInformPlus,http://id.esd.org.uk/metricType/599,Unspecified,Unspecified,449,"Total employee headcount - permanent, full time, female - 599","Percentage of the total local authority employee headcount who are permanent, full time and female - 599"
600,%,%,600-lgip,LGInformPlus,http://id.esd.org.uk/metricType/600,Unspecified,Unspecified,450,"Total employee headcount - permanent, part time, male - 600","Percentage of the total local authority employee headcount who are permanent, part time and male - 600"
601,%,%,601-lgip,LGInformPlus,http://id.esd.org.uk/metricType/601,Unspecified,Unspecified,451,"Total employee headcount - permanent, part time, female - 601","Percentage of the total local authority employee headcount who are permanent, part time and female - 601"
602,%,%,602-lgip,LGInformPlus,http://id.esd.org.uk/metricType/602,Unspecified,Unspecified,452,"Total employee headcount - temporary/casual, full time, male - 602","Percentage of the total local authority employee headcount who are temporary / casual, full time and male - 602"
603,%,%,603-lgip,LGInformPlus,http://id.esd.org.uk/metricType/603,Unspecified,Unspecified,453,"Total employee headcount - temporary/casual, part time, male - 603","Percentage of the total local authority employee headcount who are temporary / casual, part time and male - 603"
604,%,%,604-lgip,LGInformPlus,http://id.esd.org.uk/metricType/604,Unspecified,Unspecified,454,"Total employee headcount - temporary/casual, full time, female - 604","Percentage of the total local authority employee headcount who are temporary / casual, full time and female - 604"
605,%,%,605-lgip,LGInformPlus,http://id.esd.org.uk/metricType/605,Unspecified,Unspecified,455,"Total employee headcount who are temporary/casual, part time and female - 605","Percentage of the total local authority employee headcount who are temporary / casual, part time and female - 605"
606,%,%,606-lgip,LGInformPlus,http://id.esd.org.uk/metricType/606,Unspecified,Unspecified,456,Employee ethnicity: white - 606,Percentage of the local authority workforce who are white - 606
607,%,%,607-lgip,LGInformPlus,http://id.esd.org.uk/metricType/607,Unspecified,Unspecified,457,Employee ethnicity: mixed ethnicity - 607,Percentage of the local authority workforce who are of mixed ethnicity - 607
608,%,%,608-lgip,LGInformPlus,http://id.esd.org.uk/metricType/608,Unspecified,Unspecified,458,Employee ethnicity: asian - 608,Percentage of the local authority workforce who are asian - 608
609,%,%,609-lgip,LGInformPlus,http://id.esd.org.uk/metricType/609,Unspecified,Unspecified,459,Employee ethnicity: black - 609,Percentage of the local authority workforce who are black - 609
610,%,%,610-lgip,LGInformPlus,http://id.esd.org.uk/metricType/610,Unspecified,Unspecified,460,Employee ethnicity: Chinese/ other ethnicity - 610,Percentage of the local authority workforce who are of Chinese/ other ethnicity - 610
611,%,%,611-lgip,LGInformPlus,http://id.esd.org.uk/metricType/611,Unspecified,Unspecified,461,Employee ethnicity: BAME - 611,"Percentage of the local authority workforce who are of black, asian and minority ethnicity - 611"
612,%,%,612-lgip,LGInformPlus,http://id.esd.org.uk/metricType/612,Unspecified,Unspecified,462,Employee ethnicity: ethnicity unknown - 612,Percentage of the local authority workforce whose ethnicity is unknown - 612
613,%,%,613-lgip,LGInformPlus,http://id.esd.org.uk/metricType/613,Unspecified,Unspecified,463,Employees aged 16 - 17 - 613,Percentage of the local authority workforce who are aged 16 - 17 - 613
614,%,%,614-lgip,LGInformPlus,http://id.esd.org.uk/metricType/614,Unspecified,Unspecified,464,Employees aged 18 - 19 - 614,Percentage of the local authority workforce who are aged 18 - 19 - 614
615,%,%,615-lgip,LGInformPlus,http://id.esd.org.uk/metricType/615,Unspecified,Unspecified,465,Employees aged 20 - 21 - 615,Percentage of the local authority workforce who are aged 20 - 21 - 615
616,%,%,616-lgip,LGInformPlus,http://id.esd.org.uk/metricType/616,Unspecified,Unspecified,466,Employees aged 22 - 24 - 616,Percentage of the local authority workforce who are aged 22 - 24 - 616
617,%,%,617-lgip,LGInformPlus,http://id.esd.org.uk/metricType/617,Unspecified,Unspecified,467,Employees aged 25 - 29 - 617,Percentage of the local authority workforce who are aged 25 - 29 - 617
618,%,%,618-lgip,LGInformPlus,http://id.esd.org.uk/metricType/618,Unspecified,Unspecified,468,Employees aged 30 - 34 - 618,Percentage of the local authority workforce who are aged 30 - 34 - 618
619,%,%,619-lgip,LGInformPlus,http://id.esd.org.uk/metricType/619,Unspecified,Unspecified,469,Employees aged 35 - 39 - 619,Percentage of the local authority workforce who are aged 35 - 39 - 619
620,%,%,620-lgip,LGInformPlus,http://id.esd.org.uk/metricType/620,Unspecified,Unspecified,470,Employees aged 40 - 44 - 620,Percentage of the local authority workforce who are aged 40 - 44 - 620
621,%,%,621-lgip,LGInformPlus,http://id.esd.org.uk/metricType/621,Unspecified,Unspecified,471,Employees aged 45 - 49 - 621,Percentage of the local authority workforce who are aged 45 - 49 - 621
643,%,%,643-lgip,LGInformPlus,http://id.esd.org.uk/metricType/643,Unspecified,Unspecified,479,"Top 5% of earners, women - 643",Percentage of the top paid 5% of staff who are women - 643
644,%,%,644-lgip,LGInformPlus,http://id.esd.org.uk/metricType/644,Unspecified,Unspecified,480,"Top 5% of earner, ethnic minority - 644",Percentage of the top paid 5% of local authority staff who are from an ethnic minority - 644
